datetime,open,high,low,close,volume
1569504600000,5.19,5.265,5.155,5.17,353643
1569505500000,5.175,5.21,5.12,5.16,260135
1569506400000,5.155,5.1968,5.1405,5.155,159403
1569507300000,5.153,5.153,5.11,5.145,164286
1569508200000,5.14,5.15,5.11,5.145,178673
1569509100000,5.1499,5.16,5.13,5.155,135129
1569510000000,5.16,5.16,5.12,5.16,171102
1569510900000,5.16,5.16,5.1,5.105,146998
1569511800000,5.1,5.15,5.08,5.145,260445
1569512700000,5.14,5.1461,5.11,5.135,168459
1569513600000,5.135,5.185,5.12,5.17,146023
1569514500000,5.17,5.19,5.16,5.185,87440
1569515400000,5.18,5.21,5.18,5.2,77308
1569516300000,5.2,5.205,5.16,5.165,86932
1569517200000,5.16,5.17,5.13,5.145,94076
1569518100000,5.15,5.15,5.13,5.13,55719
1569519000000,5.135,5.23,5.13,5.22,252701
1569519900000,5.215,5.235,5.215,5.225,67163
1569520800000,5.225,5.265,5.22,5.26,274249
1569521700000,5.2656,5.28,5.25,5.265,143252
1569522600000,5.26,5.315,5.25,5.31,279937
1569523500000,5.31,5.31,5.28,5.29,199708
1569524400000,5.3,5.31,5.26,5.275,181398
1569525300000,5.275,5.32,5.27,5.315,260896
1569526200000,5.315,5.34,5.3,5.325,339405
1569527100000,5.33,5.335,5.28,5.28,589750
1569591000000,5.25,5.38,5.22,5.3522,336371
1569591900000,5.355,5.37,5.3044,5.31,164409
1569592800000,5.3,5.32,5.25,5.29,189711
1569593700000,5.29,5.36,5.28,5.355,180705
1569594600000,5.355,5.38,5.33,5.355,171737
1569595500000,5.36,5.37,5.35,5.365,79865
1569596400000,5.36,5.39,5.34,5.385,168745
1569597300000,5.385,5.4,5.37,5.395,212789
1569598200000,5.39,5.42,5.34,5.37,343863
1569599100000,5.37,5.4103,5.36,5.39,156702
1569600000000,5.395,5.41,5.36,5.4,107235
1569600900000,5.39,5.42,5.37,5.415,108853
1569601800000,5.41,5.45,5.4,5.41,207629
1569602700000,5.41,5.415,5.31,5.31,206455
1569603600000,5.315,5.32,5.27,5.29,320587
1569604500000,5.295,5.32,5.29,5.31,123786
1569605400000,5.31,5.325,5.29,5.315,146661
1569606300000,5.31,5.33,5.3,5.325,141174
1569607200000,5.325,5.35,5.32,5.35,180928
1569608100000,5.345,5.39,5.345,5.37,166643
1569609000000,5.37,5.37,5.33,5.36,143879
1569609900000,5.36,5.37,5.34,5.35,110269
1569610800000,5.35,5.36,5.35,5.35,77305
1569611700000,5.35,5.39,5.35,5.39,163412
