datetime,open,high,low,close,volume
1569504600000,11.54,11.66,11.51,11.62,9928
1569505500000,11.6,11.63,11.58,11.6,5664
1569506400000,11.59,11.6,11.57,11.595,3632
1569507300000,11.6,11.62,11.6,11.6,12361
1569508200000,11.62,11.62,11.6,11.605,4605
1569509100000,11.61,11.61,11.56,11.56,22449
1569510000000,11.535,11.535,11.47,11.52,9772
1569510900000,11.51,11.52,11.5,11.51,4100
1569511800000,11.51,11.54,11.5,11.51,13375
1569512700000,11.52,11.53,11.515,11.53,5080
1569513600000,11.54,11.541,11.53,11.54,5524
1569514500000,11.54,11.565,11.525,11.565,5335
1569515400000,11.58,11.58,11.565,11.575,8698
1569516300000,11.58,11.58,11.5763,11.58,1750
1569517200000,11.58,11.6,11.575,11.6,2500
1569518100000,11.59,11.6,11.56,11.6,9038
1569519000000,11.6,11.611,11.59,11.6,23654
1569519900000,11.595,11.6,11.5703,11.5703,3616
1569520800000,11.58,11.61,11.5692,11.61,7618
1569521700000,11.62,11.62,11.572,11.595,11500
1569522600000,11.5949,11.62,11.59,11.61,2244
1569523500000,11.61,11.62,11.595,11.6,5470
1569524400000,11.6,11.61,11.59,11.595,2545
1569525300000,11.6,11.61,11.59,11.59,3763
1569526200000,11.59,11.6,11.57,11.595,7695
1569527100000,11.59,11.595,11.54,11.57,18036
1569591000000,11.62,11.62,11.55,11.62,9723
1569591900000,11.62,11.65,11.61,11.65,7271
1569592800000,11.65,11.67,11.64,11.6612,6829
1569593700000,11.66,11.67,11.66,11.67,1826
1569594600000,11.68,11.71,11.68,11.68,7067
1569595500000,11.67,11.69,11.67,11.68,1700
1569596400000,11.67,11.71,11.67,11.71,4969
1569597300000,11.71,11.71,11.64,11.68,10000
1569598200000,11.685,11.7,11.65,11.7,6568
1569599100000,11.67,11.68,11.65,11.65,2200
1569600000000,11.65,11.66,11.62,11.645,3769
1569600900000,11.645,11.65,11.63,11.645,1400
1569601800000,11.63,11.65,11.61,11.61,4349
1569602700000,11.6,11.65,11.6,11.61,6508
1569603600000,11.62,11.62,11.6,11.62,4433
1569604500000,11.625,11.625,11.57,11.5701,11319
1569605400000,11.6,11.6,11.57,11.58,3700
1569606300000,11.58,11.6,11.56,11.5901,10405
1569607200000,11.59,11.5902,11.57,11.581,3459
1569608100000,11.585,11.59,11.53,11.535,9878
1569609000000,11.53,11.53,11.5,11.5,7584
1569609900000,11.52,11.53,11.44,11.5,16747
1569610800000,11.49,11.536,11.49,11.5,6054
1569611700000,11.505,11.52,11.5,11.505,3245
1569612600000,11.51,11.52,11.5,11.51,6892
1569613500000,11.505,11.54,11.505,11.51,17871
1569850200000,11.52,11.64,11.52,11.585,3544
1569851100000,11.6,11.615,11.5514,11.5663,4212
1569852000000,11.57,11.58,11.53,11.56,6374
1569852900000,11.58,11.61,11.55,11.6,5400
1569853800000,11.6,11.6,11.53,11.56,11337
1569854700000,11.56,11.56,11.53,11.54,14114
1569855600000,11.53,11.54,11.53,11.53,1441
1569856500000,11.54,11.54,11.52,11.54,2171
1569857400000,11.56,11.56,11.53,11.535,5566
1569858300000,11.53,11.535,11.51,11.53,6040
1569859200000,11.53,11.55,11.5102,11.5102,3419
1569860100000,11.515,11.54,11.51,11.5265,3848
1569861000000,11.53,11.54,11.51,11.54,2568
1569861900000,11.55,11.56,11.545,11.545,4775
1569862800000,11.545,11.56,11.51,11.54,6362
1569863700000,11.53,11.55,11.51,11.51,12812
1569864600000,11.515,11.525,11.51,11.515,1831
1569865500000,11.52,11.53,11.47,11.475,10282
1569866400000,11.47,11.5,11.47,11.5,2774
1569867300000,11.49,11.51,11.49,11.505,2643
1569868200000,11.5,11.52,11.5,11.52,831
1569869100000,11.51,11.53,11.5,11.53,16438
1569870000000,11.525,11.56,11.52,11.555,7236
1569870900000,11.555,11.56,11.51,11.515,7259
1569871800000,11.51,11.51,11.47,11.48,16248
1569872700000,11.48,11.48,11.36,11.39,80948
1569936600000,11.35,11.46,11.34,11.39,3439
1569937500000,11.35,11.38,11.34,11.38,3055
1569938400000,11.38,11.38,11.34,11.35,7767
1569939300000,11.355,11.36,11.33,11.36,2826
1569940200000,11.36,11.41,11.36,11.385,5704
1569941100000,11.385,11.385,11.35,11.38,2482
1569942000000,11.37,11.4,11.36,11.39,3610
1569942900000,11.41,11.5,11.39,11.45,31912
