datetime,open,high,low,close,volume
1569504600000,19.45,19.55,19.45,19.55,15959
1569505500000,19.56,19.61,19.49,19.49,12865
1569506400000,19.55,19.57,19.51,19.54,9321
1569507300000,19.54,19.57,19.53,19.54,9269
1569508200000,19.57,19.59,19.54,19.5852,5442
1569509100000,19.59,19.59,19.55,19.56,11253
1569510000000,19.56,19.56,19.51,19.54,5713
1569510900000,19.535,19.64,19.52,19.64,9246
1569511800000,19.64,19.69,19.62,19.69,12299
1569512700000,19.685,19.69,19.64,19.68,5389
1569513600000,19.68,19.72,19.68,19.7,12002
1569514500000,19.7,19.705,19.67,19.68,7383
1569515400000,19.68,19.69,19.63,19.64,6285
1569516300000,19.64,19.65,19.6272,19.6272,5570
1569517200000,19.63,19.66,19.63,19.66,4695
1569518100000,19.65,19.66,19.55,19.55,7208
1569519000000,19.565,19.61,19.54,19.6,9588
1569519900000,19.605,19.65,19.6038,19.62,17508
1569520800000,19.62,19.66,19.61,19.65,11938
1569521700000,19.655,19.68,19.64,19.675,10537
1569522600000,19.675,19.69,19.65,19.655,13487
1569523500000,19.655,19.67,19.65,19.655,6977
1569524400000,19.66,19.69,19.66,19.68,13139
1569525300000,19.67,19.685,19.645,19.65,12270
1569526200000,19.645,19.66,19.64,19.645,17243
1569527100000,19.65,19.66,19.62,19.63,61656
1569591000000,19.6,19.68,19.56,19.57,17502
1569591900000,19.57,19.63,19.54,19.55,8466
1569592800000,19.55,19.62,19.54,19.56,4293
1569593700000,19.55,19.57,19.54,19.54,10315
1569594600000,19.5401,19.545,19.49,19.51,20493
1569595500000,19.52,19.54,19.5,19.525,12694
1569596400000,19.525,19.54,19.51,19.54,7890
1569597300000,19.54,19.6,19.54,19.6,16766
1569598200000,19.61,19.62,19.52,19.53,14279
1569599100000,19.53,19.58,19.53,19.53,4438
1569600000000,19.52,19.52,19.49,19.4929,12263
1569600900000,19.4901,19.4901,19.42,19.44,19067
1569601800000,19.43,19.47,19.43,19.45,3932
1569602700000,19.435,19.46,19.43,19.43,5254
1569603600000,19.43,19.48,19.43,19.46,5147
1569604500000,19.46,19.48,19.42,19.45,9026
1569605400000,19.44,19.44,19.39,19.41,7858
1569606300000,19.41,19.44,19.39,19.43,8080
1569607200000,19.43,19.44,19.4,19.44,6450
1569608100000,19.43,19.435,19.42,19.43,4304
1569609000000,19.43,19.455,19.43,19.45,3607
1569609900000,19.44,19.455,19.43,19.45,9257
1569610800000,19.46,19.46,19.4,19.41,13969
1569611700000,19.42,19.44,19.41,19.41,8854
1569612600000,19.415,19.44,19.41,19.43,11501
1569613500000,19.44,19.48,19.43,19.46,52609
1569850200000,19.46,19.64,19.46,19.6,18270
1569851100000,19.61,19.62,19.5545,19.555,6138
1569852000000,19.54,19.57,19.5,19.52,7968
1569852900000,19.53,19.53,19.46,19.46,4823
1569853800000,19.45,19.47,19.43,19.44,14515
1569854700000,19.45,19.475,19.44,19.46,12458
1569855600000,19.45,19.5202,19.44,19.48,8706
1569856500000,19.48,19.52,19.46,19.51,6286
1569857400000,19.54,19.57,19.53,19.55,6288
1569858300000,19.55,19.55,19.5036,19.5036,2463
1569859200000,19.52,19.55,19.52,19.53,2012
1569860100000,19.53,19.56,19.53,19.55,3754
1569861000000,19.56,19.58,19.54,19.575,7826
1569861900000,19.57,19.6,19.57,19.59,3763
1569862800000,19.6,19.62,19.575,19.59,11419
1569863700000,19.595,19.595,19.5404,19.55,7619
1569864600000,19.545,19.565,19.52,19.56,6737
1569865500000,19.5675,19.58,19.55,19.55,4226
1569866400000,19.545,19.57,19.545,19.555,2725
1569867300000,19.56,19.57,19.545,19.56,5585
1569868200000,19.56,19.58,19.56,19.575,3895
1569869100000,19.575,19.6,19.57,19.59,7897
1569870000000,19.585,19.62,19.58,19.62,6987
1569870900000,19.61,19.63,19.58,19.585,14353
1569871800000,19.59,19.6,19.57,19.585,12380
1569872700000,19.58,19.6,19.5,19.51,65821
1569936600000,19.5,19.6,19.45,19.45,19517
1569937500000,19.47,19.48,19.43,19.43,11843
1569938400000,19.4298,19.45,19.35,19.4,31791
1569939300000,19.4059,19.46,19.39,19.45,4548
1569940200000,19.46,19.4865,19.45,19.45,4115
1569941100000,19.47,19.48,19.44,19.47,9332
