datetime,open,high,low,close,volume
1569504600000,0.699,0.71,0.699,0.71,831
1569505500000,0.71,0.71,0.71,0.71,100
1569506400000,0.7101,0.7101,0.7101,0.7101,2500
1569507300000,0.71,0.71,0.6601,0.6601,1448
1569509100000,0.69405,0.7,0.69405,0.7,3508
1569510900000,0.702189,0.702189,0.702189,0.702189,2000
1569512700000,0.6931,0.70692,0.6931,0.70692,200
1569514500000,0.6801,0.6801,0.6801,0.6801,300
1569516300000,0.69,0.69,0.69,0.69,2758
1569517200000,0.6871,0.69,0.6871,0.69,800
1569519000000,0.6801,0.6801,0.679,0.679,200
1569519900000,0.688,0.688,0.6775,0.6775,2300
1569520800000,0.68,0.685,0.68,0.685,2235
1569522600000,0.7025,0.7025,0.7025,0.7025,100
1569524400000,0.718809,0.718809,0.718809,0.718809,100
1569591000000,0.6525,0.6525,0.6525,0.6525,320
1569591900000,0.7167,0.7167,0.7167,0.7167,2000
1569592800000,0.7138,0.72,0.7138,0.72,300
1569593700000,0.676668,0.72,0.676668,0.72,600
1569598200000,0.672,0.672,0.6701,0.6701,10300
1569599100000,0.68,0.68,0.68,0.68,100
1569600000000,0.6702,0.6702,0.67,0.67,10000
1569600900000,0.698,0.698,0.698,0.698,100
1569602700000,0.68895,0.68895,0.68895,0.68895,100
1569604500000,0.689,0.689,0.68,0.68,2022
1569605400000,0.6799,0.6799,0.6799,0.6799,100
1569606300000,0.67,0.671,0.67,0.671,8377
1569607200000,0.69295,0.69295,0.664805,0.6702,9800
1569608100000,0.6702,0.7037,0.653,0.653,19207
1569609000000,0.6825,0.6845,0.6556,0.68,400
1569609900000,0.6556,0.6825,0.6556,0.68,595
1569610800000,0.688,0.6984,0.688,0.6984,921
1569611700000,0.7137,0.718,0.7137,0.718,300
1569612600000,0.7169,0.7169,0.667172,0.7136,500
1569613500000,0.667,0.714,0.667,0.712,2000
1569852000000,0.67,0.67,0.67,0.67,100
1569852900000,0.655,0.6556,0.6499,0.6556,14299
1569853800000,0.643,0.643,0.64,0.64,2300
1569854700000,0.631,0.64,0.631,0.6394,17074
1569855600000,0.64,0.64,0.615,0.64,43959
1569856500000,0.64,0.64,0.64,0.64,321
1569857400000,0.6999,0.6999,0.69,0.69,1921
1569860100000,0.681932,0.681932,0.6401,0.6401,500
1569870900000,0.6899,0.6899,0.66595,0.66595,300
1569872700000,0.6899,0.6899,0.6421,0.6421,639
1569936600000,0.6153,0.6153,0.6153,0.6153,3000
1569939300000,0.6455,0.6455,0.6455,0.6455,200
1569940200000,0.644,0.644,0.644,0.644,2800
1569943800000,0.6762,0.6762,0.6762,0.6762,100
1569955500000,0.67,0.67,0.67,0.67,100
1569956400000,0.6728,0.6728,0.6728,0.6728,220
1569958200000,0.6761,0.6761,0.6761,0.6761,100
1569959100000,0.6443,0.6443,0.6443,0.6443,100
1570023000000,0.64,0.64,0.621,0.621,3300
1570023900000,0.6211,0.623,0.6211,0.6225,2800
1570024800000,0.6225,0.65025,0.622,0.6226,7566
1570025700000,0.6226,0.64935,0.6226,0.6226,4800
1570026600000,0.6226,0.660692,0.6226,0.6226,6800
1570027500000,0.6226,0.63,0.6226,0.6295,2200
1570028400000,0.6295,0.6485,0.629,0.6475,3200
1570029300000,0.6475,0.66343,0.6475,0.66343,4600
1570030200000,0.6477,0.6477,0.64,0.647,3400
1570031100000,0.647,0.668,0.6389,0.668,36855
1570032000000,0.663,0.68,0.663,0.68,16472
1570032900000,0.6765,0.738801,0.6765,0.7,12556
1570033800000,0.7,0.7007,0.672,0.672,6785
1570034700000,0.68,0.6859,0.672,0.672,1800
1570035600000,0.672,0.686,0.672,0.672,2000
1570036500000,0.672,0.686,0.672,0.672,2000
1570037400000,0.672,0.68625,0.66,0.68625,5800
1570038300000,0.6701,0.6943,0.66,0.6943,5700
1570039200000,0.6916,0.6943,0.66,0.680675,4100
1570040100000,0.6611,0.7025,0.6611,0.6818,4100
1570041000000,0.6818,0.7025,0.6818,0.6818,3985
1570041900000,0.6818,0.6818,0.6818,0.6818,2000
1570042800000,0.6818,0.7025,0.6818,0.682,11676
1570043700000,0.682,0.6821,0.682,0.6821,2800
1570044600000,0.6821,0.69,0.6821,0.6862,3200
1570045500000,0.6881,0.7025,0.6862,0.69,13564
1570109400000,0.727209,0.765,0.727209,0.7283,60435
1570110300000,0.74,0.75,0.733319,0.733319,11499
1570111200000,0.7399,0.7399,0.7363,0.7363,1600
1570112100000,0.735435,0.735435,0.73,0.73,1800
1570113000000,0.7398,0.7398,0.73,0.7302,3695
1570113900000,0.7245,0.73,0.7245,0.73,592
1570114800000,0.7313,0.743191,0.7245,0.74,23619
1570116600000,0.75,0.79,0.74,0.74,8560
1570117500000,0.74,0.741501,0.74,0.741501,9315
1570118400000,0.7401,0.745,0.7401,0.745,6415
1570120200000,0.7403,0.7649,0.7403,0.7649,12957
1570121100000,0.77,0.79,0.7699,0.7861,17400
1570122000000,0.7861,0.8,0.78,0.78,24405
1570122900000,0.78495,0.78495,0.720095,0.7592,25000
1570123800000,0.75,0.765,0.75,0.765,1900
1570124700000,0.7675,0.77,0.76,0.77,11000
1570125600000,0.76,0.77,0.76,0.7692,1100
1570126500000,0.775,0.8,0.775,0.8,9399
1570127400000,0.79,0.795,0.787442,0.795,2020
1570128300000,0.797499,0.8,0.765,0.775,5700
1570129200000,0.799259,0.799259,0.799259,0.799259,100
1570130100000,0.7993,0.81,0.79,0.8,22203
1570131000000,0.8,0.85,0.79,0.84,42038
1570131900000,0.848062,0.87,0.82,0.8678,48916
1570195800000,0.9,1.06,0.88,0.9405,416592
1570196700000,0.9405,0.9524,0.773,0.84,154003
1570197600000,0.8485,0.875,0.8412,0.8412,41721
1570198500000,0.86,0.86,0.8412,0.8598,9585
1570199400000,0.8506,0.898,0.8412,0.8602,26979
1570200300000,0.8602,0.8616,0.8484,0.854084,13807
1570201200000,0.8484,0.85,0.8484,0.8484,2220
1570202100000,0.85,0.85,0.83,0.8392,5964
1570203000000,0.85,0.85,0.83,0.83,1475
1570203900000,0.830177,0.835,0.83,0.83,10668
1570204800000,0.8325,0.8325,0.8325,0.8325,100
1570205700000,0.83,0.8349,0.83,0.83,1955
1570206600000,0.83,0.835,0.83,0.83,4589
1570207500000,0.83949,0.83949,0.8351,0.8374,1961
1570208400000,0.83,0.8338,0.8,0.8,26208
1570209300000,0.8,0.8,0.795,0.7978,6386
1570210200000,0.7978,0.8099,0.795,0.7998,5772
1570211100000,0.8099,0.83,0.8,0.8,4866
1570212900000,0.829799,0.83,0.815,0.83,6400
1570213800000,0.815,0.8325,0.815,0.815,1250
1570214700000,0.8325,0.8325,0.815,0.8325,500
1570215600000,0.82955,0.82955,0.819216,0.819216,390
1570216500000,0.8225,0.83,0.815,0.815,9775
1570217400000,0.8151,0.8151,0.81,0.81,2650
1570218300000,0.8149,0.8294,0.81,0.82,2600
1570455000000,0.82,0.82,0.8,0.8,11620
1570455900000,0.8,0.804838,0.8,0.8,1129
1570456800000,0.815,0.82,0.8098,0.8098,13552
1570457700000,0.8099,0.8133,0.8,0.8001,23753
1570458600000,0.8,0.8,0.8,0.8,200
1570460400000,0.8035,0.8099,0.8035,0.8099,390
