datetime,open,high,low,close,volume
1569504600000,4.39,4.39,4.37,4.39,43092
1569505500000,4.39,4.3969,4.38,4.39,14642
1569506400000,4.38,4.39,4.38,4.39,6838
1569507300000,4.385,4.39,4.375,4.39,20406
1569508200000,4.385,4.39,4.385,4.39,6188
1569509100000,4.39,4.39,4.37,4.37,34632
1569510000000,4.37,4.39,4.37,4.39,49916
1569510900000,4.39,4.395,4.38,4.385,19402
1569511800000,4.39,4.39,4.385,4.39,10900
1569512700000,4.39,4.41,4.385,4.395,187778
1569513600000,4.395,4.405,4.39,4.4,100030
1569514500000,4.395,4.41,4.395,4.41,36991
1569515400000,4.41,4.42,4.4,4.415,146516
1569516300000,4.415,4.42,4.41,4.42,20701
1569517200000,4.42,4.42,4.41,4.42,16259
1569518100000,4.42,4.43,4.42,4.43,16279
1569519000000,4.43,4.43,4.41,4.42,141217
1569519900000,4.42,4.44,4.42,4.4241,67023
1569520800000,4.43,4.435,4.42,4.43,94705
1569521700000,4.43,4.435,4.42,4.425,65431
1569522600000,4.43,4.43,4.42,4.43,35414
1569523500000,4.43,4.44,4.42,4.43,153112
1569524400000,4.435,4.44,4.43,4.44,15520
1569525300000,4.44,4.47,4.43,4.44,223790
1569526200000,4.44,4.47,4.44,4.465,93116
1569527100000,4.46,4.47,4.45,4.45,111447
1569591000000,4.46,4.48,4.44,4.47,117032
1569591900000,4.465,4.465,4.46,4.465,10450
1569592800000,4.47,4.47,4.43,4.435,183623
1569593700000,4.435,4.4361,4.43,4.435,4598
1569594600000,4.4301,4.44,4.43,4.435,169819
1569595500000,4.44,4.44,4.41,4.415,97030
1569596400000,4.42,4.42,4.41,4.42,37644
1569597300000,4.42,4.42,4.41,4.42,3400
1569598200000,4.42,4.425,4.37,4.39,279173
1569599100000,4.39,4.4,4.38,4.38,72737
1569600000000,4.38,4.38,4.34,4.35,294688
1569600900000,4.36,4.36,4.34,4.34,144692
1569601800000,4.34,4.345,4.33,4.345,63355
1569602700000,4.34,4.35,4.33,4.335,68868
1569603600000,4.33,4.355,4.33,4.35,96662
1569604500000,4.36,4.37,4.35,4.37,32930
1569605400000,4.37,4.4,4.36,4.39,244453
1569606300000,4.39,4.405,4.38,4.4,34187
1569607200000,4.4,4.42,4.4,4.42,28200
1569608100000,4.42,4.43,4.4184,4.43,17410
1569609000000,4.425,4.43,4.41,4.42,63055
1569609900000,4.41,4.415,4.37,4.3799,137038
1569610800000,4.38,4.38,4.36,4.37,50139
1569611700000,4.37,4.38,4.37,4.375,52870
1569612600000,4.37,4.375,4.36,4.365,50826
1569613500000,4.37,4.37,4.35,4.35,290292
1569850200000,4.36,4.4,4.36,4.39,60324
1569851100000,4.385,4.39,4.3705,4.375,19270
1569852000000,4.375,4.375,4.365,4.37,8487
1569852900000,4.365,4.37,4.36,4.365,6472
1569853800000,4.37,4.37,4.35,4.355,37931
1569854700000,4.355,4.37,4.3537,4.37,19695
1569855600000,4.365,4.37,4.365,4.37,6685
1569856500000,4.365,4.365,4.34,4.35,26756
1569857400000,4.3443,4.355,4.34,4.345,22823
1569858300000,4.35,4.35,4.32,4.325,90145
1569859200000,4.33,4.339,4.3,4.315,222589
1569860100000,4.32,4.34,4.31,4.325,126466
1569861000000,4.33,4.33,4.325,4.33,4600
1569861900000,4.33,4.36,4.32,4.355,336502
1569862800000,4.36,4.36,4.34,4.36,101946
1569863700000,4.36,4.36,4.3532,4.36,7406
1569864600000,4.36,4.36,4.34,4.355,107169
1569865500000,4.36,4.365,4.345,4.35,163898
1569866400000,4.35,4.355,4.34,4.35,46546
1569867300000,4.345,4.355,4.34,4.35,54951
1569868200000,4.35,4.35,4.345,4.35,19585
1569869100000,4.35,4.37,4.3416,4.37,71162
1569870000000,4.365,4.37,4.36,4.37,9192
1569870900000,4.37,4.41,4.365,4.41,119343
1569871800000,4.41,4.42,4.4,4.405,115912
1569872700000,4.405,4.43,4.39,4.395,329381
1569936600000,4.43,4.43,4.37,4.39,106493
1569937500000,4.39,4.39,4.36,4.365,97128
1569938400000,4.37,4.37,4.29,4.305,280689
1569939300000,4.305,4.32,4.3,4.305,83813
1569940200000,4.305,4.31,4.29,4.29,77200
1569941100000,4.2958,4.2978,4.28,4.285,115941
1569942000000,4.28,4.29,4.27,4.28,151042
1569942900000,4.275,4.28,4.27,4.27,15639
1569943800000,4.27,4.28,4.26,4.2696,38208
1569944700000,4.265,4.28,4.26,4.275,412637
1569945600000,4.275,4.28,4.27,4.28,10410
1569946500000,4.28,4.3,4.27,4.29,202696
1569947400000,4.295,4.305,4.29,4.295,82294
1569948300000,4.29,4.3,4.29,4.295,37755
1569949200000,4.3,4.305,4.28,4.28,96829
1569950100000,4.28,4.3,4.28,4.3,69868
1569951000000,4.295,4.3,4.29,4.295,61759
1569951900000,4.295,4.295,4.29,4.29,22699
