datetime,open,high,low,close,volume
1569504600000,16.23,16.45,16.16,16.41,53560
1569505500000,16.41,16.41,16.22,16.235,36586
1569506400000,16.21,16.33,16.18,16.23,18008
1569507300000,16.24,16.36,16.23,16.31,23611
1569508200000,16.31,16.38,16.3,16.31,15486
1569509100000,16.31,16.42,16.27,16.34,17202
1569510000000,16.32,16.33,16.24,16.26,24896
1569510900000,16.27,16.3,16.2,16.27,24218
1569511800000,16.27,16.35,16.25,16.32,8373
1569512700000,16.32,16.33,16.27,16.32,5346
1569513600000,16.3,16.355,16.28,16.32,20095
1569514500000,16.32,16.38,16.31,16.345,11184
1569515400000,16.34,16.36,16.305,16.36,11148
1569516300000,16.35,16.39,16.31,16.31,25850
1569517200000,16.32,16.355,16.32,16.34,10439
1569518100000,16.34,16.37,16.33,16.33,4050
1569519000000,16.335,16.45,16.3,16.435,25632
1569519900000,16.43,16.48,16.38,16.4,10897
1569520800000,16.41,16.46,16.38,16.385,23895
1569521700000,16.385,16.42,16.36,16.4,14247
1569522600000,16.4,16.44,16.36,16.41,12785
1569523500000,16.41,16.43,16.38,16.42,20368
1569524400000,16.43,16.44,16.38,16.38,12404
1569525300000,16.39,16.44,16.37,16.43,12861
1569526200000,16.43,16.48,16.42,16.46,29648
1569527100000,16.46,16.495,16.42,16.43,77385
1569591000000,15.51,15.62,15.06,15.49,217744
1569591900000,15.48,15.53,15.31,15.32,37654
1569592800000,15.34,15.42,15.32,15.35,53697
1569593700000,15.36,15.48,15.35,15.47,29868
1569594600000,15.5,15.53,15.42,15.47,91856
1569595500000,15.465,15.49,15.415,15.47,85395
1569596400000,15.48,15.515,15.44,15.465,105708
1569597300000,15.46,15.52,15.45,15.51,30994
1569598200000,15.51,15.55,15.42,15.4525,57203
1569599100000,15.455,15.51,15.44,15.475,44903
1569600000000,15.475,15.5,15.455,15.485,138786
1569600900000,15.485,15.51,15.4,15.4,110528
1569601800000,15.4,15.47,15.4,15.425,140245
1569602700000,15.43,15.485,15.415,15.445,126853
1569603600000,15.44,15.49,15.43,15.475,65590
1569604500000,15.47,15.475,15.405,15.455,115789
1569605400000,15.455,15.455,15.4,15.42,49698
1569606300000,15.415,15.425,15.36,15.395,49843
1569607200000,15.405,15.41,15.34,15.365,246820
1569608100000,15.365,15.38,15.29,15.32,155993
1569609000000,15.32,15.35,15.31,15.335,27935
1569609900000,15.34,15.34,15.17,15.29,114309
1569610800000,15.3,15.345,15.28,15.295,51087
1569611700000,15.295,15.34,15.295,15.315,211046
1569612600000,15.315,15.365,15.31,15.35,199870
1569613500000,15.35,15.4,15.32,15.38,373422
1569850200000,15.33,15.38,15.28,15.38,24686
1569851100000,15.3425,15.4,15.3,15.33,16196
1569852000000,15.32,15.47,15.32,15.435,38724
1569852900000,15.44,15.48,15.43,15.45,18315
1569853800000,15.45,15.53,15.43,15.48,25524
1569854700000,15.49,15.5,15.445,15.48,30564
1569855600000,15.48,15.51,15.43,15.43,16191
1569856500000,15.455,15.52,15.455,15.51,16720
1569857400000,15.51,15.54,15.49,15.505,9922
1569858300000,15.505,15.51,15.46,15.4894,8711
1569859200000,15.49,15.5,15.47,15.48,10561
1569860100000,15.47,15.49,15.44,15.48,16258
1569861000000,15.475,15.495,15.445,15.4825,13035
1569861900000,15.485,15.485,15.45,15.47,11444
1569862800000,15.47,15.5,15.45,15.475,23254
1569863700000,15.48,15.485,15.4525,15.47,14645
1569864600000,15.46,15.51,15.46,15.49,8851
1569865500000,15.495,15.52,15.49,15.5,12540
1569866400000,15.5,15.5,15.465,15.475,13329
1569867300000,15.4725,15.56,15.4725,15.53,22513
1569868200000,15.535,15.55,15.495,15.51,10657
1569869100000,15.5,15.51,15.49,15.5,7162
1569870000000,15.505,15.51,15.48,15.4834,15888
1569870900000,15.485,15.505,15.48,15.495,30915
1569871800000,15.495,15.505,15.45,15.49,32884
1569872700000,15.485,15.505,15.455,15.47,98511
1569936600000,15.31,15.38,15.295,15.34,27687
1569937500000,15.3325,15.3325,15.22,15.25,14868
1569938400000,15.24,15.31,15.18,15.23,24908
1569939300000,15.26,15.28,15.2,15.255,9015
1569940200000,15.26,15.29,15.24,15.29,45797
1569941100000,15.29,15.35,15.29,15.35,14152
1569942000000,15.38,15.38,15.3,15.3,5755
1569942900000,15.3,15.38,15.29,15.38,8036
1569943800000,15.38,15.38,15.31,15.32,9508
1569944700000,15.34,15.35,15.3,15.33,6003
1569945600000,15.33,15.33,15.26,15.27,6551
1569946500000,15.28,15.33,15.28,15.28,6700
1569947400000,15.29,15.3,15.21,15.24,6837
1569948300000,15.24,15.26,15.18,15.185,11711
1569949200000,15.18,15.31,15.18,15.25,10232
1569950100000,15.25,15.25,15.21,15.24,9595
1569951000000,15.25,15.25,15.21,15.22,7929
1569951900000,15.23,15.23,15.15,15.17,11020
1569952800000,15.17,15.24,15.17,15.22,6409
1569953700000,15.23,15.24,15.21,15.24,10229
1569954600000,15.22,15.25,15.16,15.175,35098
1569955500000,15.18,15.225,15.175,15.215,17363
1569956400000,15.22,15.25,15.2047,15.23,13370
1569957300000,15.24,15.24,15.22,15.235,18031
1569958200000,15.235,15.3,15.235,15.28,39674
1569959100000,15.28,15.285,15.25,15.265,52358
1570023000000,14.9,15.0,14.4316,14.79,55689
1570023900000,14.785,14.87,14.75,14.77,48545
1570024800000,14.815,14.93,14.79,14.92,16506
1570025700000,14.94,14.98,14.88,14.915,25666
1570026600000,14.91,14.97,14.86,14.95,26060
1570027500000,14.95,15.09,14.93,15.08,12617
1570028400000,15.05,15.07,15.0,15.015,8937
1570029300000,15.02,15.11,15.01,15.05,17302
1570030200000,15.04,15.04,14.99,15.0,8422
1570031100000,15.0,15.01,14.95,14.985,6384
1570032000000,14.99,15.0,14.88,14.88,11601
1570032900000,14.85,14.92,14.845,14.92,7456
1570033800000,14.93,14.93,14.8,14.825,3533
1570034700000,14.835,14.85,14.73,14.79,50435
1570035600000,14.78,14.83,14.78,14.81,7664
1570036500000,14.825,14.825,14.8,14.825,6036
1570037400000,14.83,14.87,14.79,14.86,13342
1570038300000,14.84,14.855,14.83,14.85,3898
1570039200000,14.83,14.865,14.83,14.855,8953
1570040100000,14.855,14.92,14.855,14.91,22471
1570041000000,14.92,14.92,14.89,14.91,10513
1570041900000,14.92,15.01,14.92,14.99,16460
1570042800000,14.99,15.02,14.985,15.0,17239
1570043700000,14.99,15.02,14.98,15.0,9721
1570044600000,14.99,15.04,14.98,15.02,13486
1570045500000,15.02,15.03,14.99,15.03,30109
1570109400000,15.17,15.31,15.14,15.24,76769
1570110300000,15.24,15.39,15.23,15.3,13014
1570111200000,15.3,15.32,15.11,15.195,39853
1570112100000,15.23,15.4,15.18,15.39,12834
1570113000000,15.38,15.555,15.38,15.47,61129
1570113900000,15.49,15.65,15.47,15.63,18783
1570114800000,15.62,15.84,15.62,15.77,23738
1570115700000,15.769,15.8,15.73,15.74,8160
1570116600000,15.72,15.75,15.6804,15.75,17980
1570117500000,15.73,15.74,15.7,15.72,9262
1570118400000,15.72,15.73,15.66,15.7,5831
1570119300000,15.68,15.68,15.62,15.66,7976
1570120200000,15.65,15.79,15.64,15.77,23936
1570121100000,15.775,15.93,15.77,15.92,22572
1570122000000,15.92,16.02,15.8803,15.8803,22111
1570122900000,15.88,16.01,15.88,15.99,10533
1570123800000,16.0,16.11,16.0,16.07,30999
1570124700000,16.06,16.08,15.98,16.01,14407
1570125600000,16.01,16.07,16.01,16.05,18890
1570126500000,16.04,16.075,16.01,16.025,23174
1570127400000,16.02,16.04,15.99,16.04,10221
1570128300000,16.04,16.05,15.99,15.99,9658
1570129200000,16.005,16.01,15.94,15.94,44754
1570130100000,15.93,15.935,15.88,15.9,54837
1570131000000,15.905,15.925,15.885,15.915,86282
1570131900000,15.92,15.93,15.89,15.91,213834
1570195800000,16.27,16.27,16.12,16.19,37493
1570196700000,16.15,16.29,16.105,16.28,30902
1570197600000,16.28,16.36,16.19,16.32,63034
1570198500000,16.32,16.35,16.26,16.31,52637
1570199400000,16.3,16.335,16.27,16.27,19221
1570200300000,16.27,16.31,16.25,16.29,24613
1570201200000,16.29,16.34,16.27,16.28,32539
1570202100000,16.27,16.3,16.21,16.26,13543
1570203000000,16.26,16.28,16.19,16.19,23557
1570203900000,16.19,16.21,16.075,16.11,39106
1570204800000,16.1,16.17,16.09,16.13,14051
1570205700000,16.13,16.255,16.11,16.225,18334
1570206600000,16.225,16.235,16.165,16.175,14420
1570207500000,16.165,16.26,16.16,16.235,11147
1570208400000,16.23,16.23,16.18,16.18,13200
1570209300000,16.185,16.22,16.14,16.2,12605
1570210200000,16.22,16.22,16.165,16.19,13691
1570211100000,16.185,16.24,16.18,16.18,12107
1570212000000,16.18,16.18,16.13,16.15,15951
1570212900000,16.15,16.255,16.15,16.24,17457
1570213800000,16.245,16.26,16.19,16.19,29342
1570214700000,16.2,16.28,16.2,16.27,31155
1570215600000,16.28,16.32,16.26,16.3,35404
1570216500000,16.305,16.315,16.235,16.255,26685
1570217400000,16.255,16.28,16.235,16.275,49113
1570218300000,16.275,16.36,16.26,16.35,114268
1570455000000,16.23,16.37,16.22,16.28,24173
1570455900000,16.25,16.34,16.23,16.32,7428
1570456800000,16.28,16.33,16.25,16.31,9558
1570457700000,16.31,16.31,16.24,16.25,2750
1570458600000,16.25,16.27,16.18,16.24,6574
1570459500000,16.21,16.25,16.1939,16.22,10800
1570460400000,16.235,16.26,16.17,16.18,10980
1570461300000,16.2,16.2,16.08,16.08,5357
1570462200000,16.08,16.13,16.02,16.06,9363
1570463100000,16.06,16.07,16.04,16.05,12462
1570464000000,16.05,16.05,15.95,15.97,9244
1570464900000,15.98,15.99,15.89,15.89,8505
1570465800000,15.87,15.93,15.85,15.87,10731
1570466700000,15.88,15.88,15.79,15.87,13025
1570467600000,15.88,15.94,15.88,15.92,15245
1570468500000,15.93,15.94,15.88,15.88,5605
1570469400000,15.87,16.0,15.85,15.96,13511
1570470300000,15.97,15.99,15.93,15.99,6900
1570471200000,15.98,15.99,15.88,15.88,8496
1570472100000,15.87,15.9,15.82,15.84,14438
1570473000000,15.84,15.87,15.83,15.86,4900
1570473900000,15.85,15.86,15.77,15.78,11145
1570474800000,15.79,15.83,15.67,15.7,23803
1570475700000,15.7,15.76,15.67,15.73,17909
1570476600000,15.74,15.745,15.66,15.68,43509
1570477500000,15.69,15.74,15.68,15.71,52623
1570541400000,15.74,15.97,15.74,15.97,17356
1570542300000,16.04,16.1,15.9,15.96,12953
1570543200000,15.99,15.995,15.8,15.85,7032
1570544100000,15.89,15.92,15.831,15.831,7769
1570545000000,15.82,15.88,15.79,15.88,4423
1570545900000,15.9,16.02,15.88,16.0,9357
1570546800000,15.97,15.97,15.9,15.9,5801
1570547700000,15.91,15.95,15.89,15.89,3021
1570548600000,15.92,15.93,15.87,15.88,6475
1570549500000,15.89,15.89,15.79,15.81,5163
1570550400000,15.82,15.86,15.8,15.805,6026
1570551300000,15.8,15.84,15.78,15.78,5113
1570552200000,15.78,15.82,15.67,15.73,12117
1570553100000,15.76,15.78,15.635,15.67,7625
1570554000000,15.67,15.71,15.66,15.71,3499
1570554900000,15.71,15.77,15.71,15.77,4110
1570555800000,15.76,15.8,15.72,15.76,8111
1570556700000,15.68,15.695,15.65,15.67,2491
1570557600000,15.67,15.71,15.66,15.68,4555
1570558500000,15.69,15.69,15.65,15.67,7880
1570559400000,15.67,15.76,15.66,15.74,11424
1570560300000,15.74,15.82,15.59,15.66,19805
1570561200000,15.74,15.77,15.66,15.7,3620
1570562100000,15.67,15.69,15.63,15.67,4708
1570563000000,15.67,15.675,15.55,15.58,4686
1570563900000,15.6,15.61,15.55,15.56,41392
1570627800000,16.15,16.24,16.07,16.21,27337
1570628700000,16.22,16.33,16.2,16.33,34708
1570629600000,16.34,16.36,16.27,16.34,19749
1570630500000,16.33,16.4362,16.305,16.39,19718
1570631400000,16.34,16.34,16.19,16.24,19769
1570632300000,16.21,16.215,16.09,16.14,16066
1570633200000,16.135,16.14,16.06,16.09,13666
1570634100000,16.1,16.2,16.095,16.16,12125
1570635000000,16.16,16.19,16.12,16.17,8924
1570635900000,16.2,16.2,16.11,16.11,4572
1570636800000,16.15,16.15,16.08,16.11,4209
1570637700000,16.12,16.13,16.08,16.09,4893
1570638600000,16.11,16.11,16.07,16.07,3259
1570639500000,16.08,16.12,16.08,16.11,3216
1570640400000,16.12,16.16,16.105,16.11,2891
1570641300000,16.105,16.11,16.08,16.11,3685
1570642200000,16.12,16.195,16.115,16.14,17673
1570643100000,16.14,16.16,16.1,16.14,19900
1570644000000,16.15,16.18,16.14,16.15,18853
1570644900000,16.16,16.18,16.15,16.17,5061
1570645800000,16.17,16.21,16.15,16.16,7499
1570646700000,16.17,16.19,16.15,16.17,6682
1570647600000,16.16,16.18,16.12,16.13,16120
1570648500000,16.12,16.13,16.07,16.1,16170
1570649400000,16.11,16.17,16.055,16.055,12036
1570650300000,16.055,16.16,16.04,16.14,100462
1570714200000,15.64,15.77,15.64,15.7,23275
1570715100000,15.75,15.84,15.71,15.78,16102
1570716000000,15.77,15.8,15.72,15.79,13490
1570716900000,15.79,15.809,15.71,15.715,35988
1570717800000,15.72,15.77,15.71,15.73,20919
1570718700000,15.73,15.84,15.69,15.8,23414
1570719600000,15.77,15.78,15.75,15.76,14647
1570720500000,15.77,15.85,15.77,15.8,13393
1570721400000,15.8,15.825,15.8,15.82,7899
1570722300000,15.82,15.85,15.795,15.81,13221
1570723200000,15.81,15.84,15.8,15.81,7623
1570724100000,15.81,15.83,15.8,15.81,4578
1570725000000,15.815,15.82,15.76,15.82,8952
1570725900000,15.8,15.815,15.775,15.81,5262
1570726800000,15.8,15.83,15.8,15.82,4515
1570727700000,15.82,15.82,15.78,15.805,3623
1570728600000,15.795,15.8,15.76,15.76,7641
1570729500000,15.75,15.77,15.73,15.76,3349
1570730400000,15.78,15.78,15.64,15.72,31590
1570731300000,15.7,15.7106,15.66,15.69,11197
1570732200000,15.7,15.72,15.6571,15.69,16109
1570733100000,15.68,15.71,15.65,15.71,9759
1570734000000,15.72,15.74,15.69,15.7,15376
1570734900000,15.705,15.72,15.685,15.7,12436
1570735800000,15.71,15.72,15.655,15.66,20700
1570736700000,15.66,16.84,15.65,16.16,1219457
1570800600000,16.37,16.51,16.28,16.49,192607
1570801500000,16.49,16.72,16.48,16.63,81292
1570802400000,16.62,16.685,16.59,16.66,29165
1570803300000,16.665,16.73,16.56,16.58,72463
1570804200000,16.581,16.645,16.55,16.57,76634
1570805100000,16.58,16.71,16.58,16.71,44241
1570806000000,16.71,16.81,16.71,16.8,37718
1570806900000,16.8,16.98,16.8,16.95,39984
1570807800000,16.96,17.0,16.9,16.91,16921
1570808700000,16.91,16.98,16.89,16.96,24689
1570809600000,16.97,17.01,16.93,16.94,9820
1570810500000,16.93,16.98,16.905,16.9351,41744
1570811400000,16.9302,16.95,16.87,16.92,26687
1570812300000,16.91,16.93,16.89,16.915,20493
1570813200000,16.91,16.91,16.84,16.85,17335
1570814100000,16.84,16.97,16.82,16.95,12615
1570815000000,16.92,16.96,16.87,16.92,7567
1570815900000,16.91,16.935,16.87,16.93,45940
1570816800000,16.9288,16.95,16.87,16.905,28940
1570817700000,16.92,16.92,16.84,16.845,19893
1570818600000,16.84,16.93,16.83,16.92,40086
1570819500000,16.93,16.94,16.9,16.9,19485
1570820400000,16.9,16.9,16.86,16.88,20918
1570821300000,16.87,16.89,16.815,16.86,35508
1570822200000,16.865,16.94,16.813,16.9,47298
1570823100000,16.89,16.99,16.83,16.9275,216772
1571059800000,16.91,17.11,16.91,17.11,13245
1571060700000,17.12,17.26,17.12,17.2299,18913
1571061600000,17.24,17.24,17.16,17.165,3154
1571062500000,17.16,17.24,17.16,17.19,16652
1571063400000,17.185,17.22,17.185,17.19,8143
1571064300000,17.17,17.17,17.1,17.16,4452
1571065200000,17.15,17.21,17.14,17.19,5146
1571066100000,17.19,17.19,17.11,17.13,4758
1571067000000,17.13,17.16,17.12,17.13,5767
1571067900000,17.13,17.15,17.12,17.13,4400
1571068800000,17.13,17.16,17.13,17.16,5762
1571069700000,17.16,17.21,17.15,17.21,14568
1571070600000,17.21,17.23,17.165,17.17,51741
1571071500000,17.175,17.2,17.16,17.175,10803
1571072400000,17.18,17.18,17.0658,17.09,9147
1571073300000,17.11,17.12,17.055,17.095,3508
1571074200000,17.1,17.12,17.0206,17.0206,5463
1571075100000,17.04,17.09,17.04,17.04,4185
1571076000000,17.04,17.08,17.04,17.06,4676
1571076900000,17.06,17.09,17.05,17.05,7128
1571077800000,17.04,17.045,16.98,17.0085,27364
1571078700000,17.02,17.0638,17.02,17.05,5157
1571079600000,17.05,17.12,17.05,17.11,7809
1571080500000,17.11,17.15,17.11,17.13,3704
1571081400000,17.13,17.14,17.1,17.115,24699
1571082300000,17.12,17.23,17.11,17.2,147883
1571146200000,17.2,17.22,16.97,16.99,20087
1571147100000,16.9636,17.01,16.823,16.88,11590
1571148000000,16.89,16.97,16.88,16.97,6480
1571148900000,16.96,17.04,16.92,17.01,26038
1571149800000,17.0,17.03,16.95,16.95,7958
1571150700000,16.94,17.0924,16.93,17.07,17170
1571151600000,17.07,17.07,16.99,17.02,17889
1571152500000,17.05,17.14,17.04,17.12,19041
1571153400000,17.12,17.21,17.12,17.2,24425
1571154300000,17.18,17.2,17.16,17.19,13359
1571155200000,17.18,17.215,17.17,17.19,9481
1571156100000,17.2,17.21,17.17,17.19,12871
1571157000000,17.18,17.195,17.16,17.18,9659
1571157900000,17.18,17.245,17.17,17.23,10398
1571158800000,17.23,17.25,17.22,17.23,6680
1571159700000,17.24,17.28,17.22,17.28,6495
1571160600000,17.26,17.29,17.25,17.29,4228
1571161500000,17.285,17.29,17.21,17.21,10727
1571162400000,17.22,17.22,17.14,17.17,11913
1571163300000,17.17,17.22,17.17,17.21,7044
1571164200000,17.2,17.21,17.17,17.17,7943
1571165100000,17.18,17.18,17.06,17.08,7671
1571166000000,17.08,17.08,17.03,17.06,5511
1571166900000,17.06,17.12,17.06,17.1,5410
1571167800000,17.11,17.14,17.09,17.14,25424
1571168700000,17.13,17.16,17.08,17.08,95689
1571232600000,16.82,16.89,16.78,16.78,23181
1571233500000,16.79,16.83,16.75,16.79,14681
1571234400000,16.77,16.79,16.7,16.76,9044
1571235300000,16.75,16.78,16.74,16.77,7766
1571236200000,16.78,16.81,16.75,16.81,7037
1571237100000,16.81,16.85,16.8,16.83,9284
1571238000000,16.8,16.85,16.71,16.85,10992
