datetime,open,high,low,close,volume
1569504600000,18.31,18.4742,17.95,17.9671,30387
1569505500000,17.91,17.96,17.29,17.39,35093
1569506400000,17.37,17.41,16.83,16.94,27750
1569507300000,16.97,17.148,16.75,16.75,38566
1569508200000,16.76,16.845,16.51,16.675,63362
1569509100000,16.665,16.7982,16.37,16.46,25096
1569510000000,16.415,16.71,16.3617,16.59,18300
1569510900000,16.59,16.59,16.275,16.32,32615
1569511800000,16.34,16.36,16.1,16.165,28192
1569512700000,16.22,16.33,16.1,16.2117,41104
1569513600000,16.22,16.53,16.19,16.5275,5122
1569514500000,16.525,16.65,16.45,16.53,8280
1569515400000,16.535,16.69,16.535,16.635,12550
1569516300000,16.635,16.635,16.46,16.5294,17611
1569517200000,16.51,16.51,16.32,16.32,5195
1569518100000,16.315,16.34,16.24,16.24,8205
1569519000000,16.22,16.32,16.13,16.221,14151
1569519900000,16.24,16.39,16.22,16.315,7710
1569520800000,16.32,16.39,16.265,16.325,15150
1569521700000,16.325,16.49,16.325,16.465,8325
1569522600000,16.465,16.58,16.4,16.45,14977
1569523500000,16.455,16.5,16.37,16.375,6830
1569524400000,16.37,16.37,16.26,16.26,10350
1569525300000,16.265,16.265,16.005,16.005,132819
1569526200000,16.01,16.15,16.01,16.065,30912
1569527100000,16.06,16.13,15.975,16.02,123388
1569591000000,16.37,17.47,16.16,16.705,74864
1569591900000,16.705,16.795,16.095,16.32,34642
1569592800000,16.32,16.38,16.05,16.175,14682
1569593700000,16.18,16.38,16.04,16.33,24596
1569594600000,16.46,17.395,16.387,17.385,114440
1569595500000,17.38,17.4,17.1001,17.19,32288
1569596400000,17.19,17.22,16.9375,17.01,30229
1569597300000,17.02,17.13,17.0,17.115,21909
1569598200000,17.115,17.12,16.8116,16.88,30627
1569599100000,16.87,17.14,16.87,17.05,22675
1569600000000,17.01,17.04,16.97,17.01,14226
1569600900000,17.01,17.04,16.98,17.0,12159
1569601800000,17.005,17.01,17.0,17.005,7700
1569602700000,17.005,17.055,16.81,16.85,36719
1569603600000,16.845,17.065,16.78,17.055,18274
1569604500000,17.055,17.06,17.0,17.005,10741
1569605400000,17.0,17.04,17.0,17.01,16946
1569606300000,17.005,17.105,17.0,17.04,10398
1569607200000,17.035,17.055,16.98,17.03,11378
1569608100000,17.035,17.13,17.03,17.04,14702
1569609000000,17.03,17.09,17.03,17.09,12844
1569609900000,17.075,17.25,17.03,17.25,22309
1569610800000,17.24,17.28,17.15,17.18,44629
1569611700000,17.21,17.25,17.065,17.08,34014
1569612600000,17.085,17.17,17.0,17.09,41309
1569613500000,17.075,17.26,17.02,17.17,135940
1569850200000,17.16,17.225,16.66,17.03,19854
1569851100000,17.0,17.09,16.92,16.92,7196
1569852000000,16.92,17.01,16.825,16.83,9897
1569852900000,16.85,17.045,16.81,16.905,21922
1569853800000,16.95,17.0584,16.845,16.845,11785
1569854700000,16.87,16.885,16.725,16.75,5969
1569855600000,16.745,16.745,16.41,16.41,15968
1569856500000,16.48,16.5,16.38,16.435,28911
1569857400000,16.48,16.54,16.41,16.47,10700
1569858300000,16.485,16.56,16.37,16.46,24554
1569859200000,16.46,16.53,16.36,16.38,17775
1569860100000,16.4,16.4,16.12,16.23,27006
1569861000000,16.24,16.38,16.21,16.32,11900
1569861900000,16.32,16.34,16.24,16.27,7112
1569862800000,16.26,16.54,16.2328,16.515,31658
1569863700000,16.5,16.66,16.5,16.61,30956
1569864600000,16.6,16.84,16.59,16.84,26060
1569865500000,16.7961,17.19,16.7961,17.0,42647
1569866400000,17.0,17.03,16.84,16.84,14593
1569867300000,16.83,16.93,16.76,16.775,6067
1569868200000,16.75,16.93,16.75,16.88,6600
1569869100000,16.875,17.045,16.86,16.91,20257
