datetime,open,high,low,close,volume
1591968600000,4.49,4.54,4.43,4.5305,294350
1591969500000,4.5399,4.5399,4.43,4.4577,100367
1591970400000,4.455,4.5,4.45,4.48,65394
1591971300000,4.485,4.5,4.46,4.46,54129
1591972200000,4.46,4.465,4.45,4.45,32353
1591973100000,4.455,4.46,4.3801,4.3801,54894
1591974000000,4.38,4.38,4.3,4.325,152161
1591974900000,4.33,4.335,4.2901,4.33,87727
1591975800000,4.3301,4.365,4.315,4.3423,54916
1591976700000,4.3477,4.375,4.34,4.375,41795
1591977600000,4.375,4.39,4.3601,4.365,53803
1591978500000,4.365,4.3777,4.3623,4.365,20520
1591979400000,4.36,4.36,4.34,4.3463,46783
1591980300000,4.345,4.36,4.34,4.355,30736
1591981200000,4.355,4.355,4.345,4.345,9290
1591982100000,4.34,4.3599,4.33,4.35,41725
1591983000000,4.35,4.35,4.3,4.3,33143
1591983900000,4.3,4.31,4.29,4.29,40590
1591984800000,4.29,4.295,4.27,4.28,104295
1591985700000,4.28,4.29,4.275,4.285,34978
1591986600000,4.29,4.31,4.26,4.265,44947
1591987500000,4.265,4.2799,4.26,4.2662,78780
1591988400000,4.265,4.29,4.2623,4.285,221716
1591989300000,4.2899,4.29,4.28,4.285,112023
1591990200000,4.285,4.29,4.27,4.285,218953
1591991100000,4.285,4.33,4.28,4.33,394351
