datetime,open,high,low,close,volume
1569504600000,10.34,10.34,10.21,10.21,6228
1569505500000,10.2358,10.28,10.23,10.23,4080
1569506400000,10.25,10.27,10.11,10.11,11711
1569507300000,10.11,10.23,10.11,10.11,19579
1569508200000,10.12,10.13,10.1,10.12,4383
1569509100000,10.11,10.13,10.08,10.11,5718
1569510000000,10.12,10.12,10.07,10.12,8216
1569510900000,10.12,10.13,10.1,10.12,7700
1569511800000,10.12,10.2,10.11,10.18,9434
1569512700000,10.17,10.21,10.16,10.185,8122
1569513600000,10.185,10.22,10.185,10.19,4928
1569514500000,10.18,10.18,10.16,10.17,4982
1569515400000,10.17,10.19,10.16,10.19,3400
1569516300000,10.18,10.19,10.14,10.15,4695
1569517200000,10.14,10.145,10.1,10.105,13635
1569518100000,10.1,10.105,10.05,10.06,8840
1569519000000,10.05,10.1,10.05,10.09,5411
1569519900000,10.075,10.12,10.075,10.095,10058
1569520800000,10.1,10.17,10.095,10.15,4561
1569521700000,10.145,10.16,10.11,10.11,13483
1569522600000,10.1,10.16,10.09,10.15,9493
1569523500000,10.15,10.16,10.11,10.11,7320
1569524400000,10.1,10.1059,10.04,10.06,14444
1569525300000,10.055,10.06,9.97,10.02,35105
1569526200000,10.02,10.06,10.02,10.045,19027
1569527100000,10.045,10.05,9.95,9.97,82206
1569591000000,9.99,10.21,9.99,10.21,5190
1569591900000,10.195,10.25,10.01,10.01,18337
1569592800000,10.0201,10.035,10.0,10.0,7382
1569593700000,10.01,10.15,9.99,10.0923,37805
1569594600000,10.07,10.1,10.05,10.07,1200
1569595500000,10.05,10.09,10.05,10.0702,1752
1569596400000,10.06,10.0844,10.045,10.045,3014
1569597300000,10.03,10.08,10.02,10.06,3516
1569598200000,10.06,10.08,9.95,10.0,10581
1569599100000,9.99,10.08,9.97,9.98,5912
1569600000000,9.97,9.995,9.96,9.98,5395
1569600900000,9.98,9.98,9.94,9.94,3767
1569601800000,9.93,9.955,9.91,9.94,4030
1569602700000,9.95,9.95,9.79,9.79,11549
1569603600000,9.79,9.88,9.77,9.85,18906
1569604500000,9.865,9.905,9.79,9.905,16096
1569605400000,9.93,9.95,9.9,9.94,5858
1569606300000,9.93,9.93,9.86,9.91,8800
1569607200000,9.91,9.92,9.88,9.88,4040
1569608100000,9.895,10.045,9.895,10.0,9970
1569609000000,9.99,10.03,9.93,9.99,10510
1569609900000,9.99,10.01,9.97,10.01,7751
1569610800000,10.01,10.01,9.96,10.0066,10717
1569611700000,10.01,10.03,9.99,9.9945,7303
1569612600000,10.0,10.01,9.92,9.925,39396
1569613500000,9.925,9.93,9.89,9.9,149528
1569850200000,9.96,10.07,9.96,9.985,9579
1569851100000,10.0,10.0,9.86,9.9,26004
1569852000000,9.91,9.96,9.89,9.94,12222
1569852900000,9.945,9.95,9.885,9.9,8039
1569853800000,9.9,9.9,9.86,9.86,8197
1569854700000,9.8683,9.89,9.86,9.875,7914
1569855600000,9.86,9.8848,9.85,9.87,48063
1569856500000,9.87,9.88,9.84,9.85,16125
1569857400000,9.86,9.86,9.83,9.83,5583
1569858300000,9.82,9.82,9.8,9.81,2700
1569859200000,9.8,9.8,9.77,9.78,6535
1569860100000,9.77,9.83,9.76,9.83,7538
1569861000000,9.81,9.85,9.81,9.85,4521
1569861900000,9.86,9.89,9.84,9.89,3645
1569862800000,9.895,9.92,9.89,9.89,5912
1569863700000,9.9,10.02,9.8601,10.02,13186
1569864600000,10.01,10.02,9.98,10.02,13011
1569865500000,10.02,10.02,9.97,9.97,9283
1569866400000,9.98,9.99,9.96,9.97,17658
1569867300000,9.96,9.98,9.96,9.98,9429
1569868200000,9.98,10.02,9.97,10.02,20312
1569869100000,10.01,10.02,9.94,9.94,13412
1569870000000,9.94,9.94,9.885,9.885,12707
1569870900000,9.88,9.92,9.86,9.86,25075
1569871800000,9.865,10.02,9.86,10.01,42528
1569872700000,10.01,10.03,9.96,9.96,118763
1569936600000,10.0,10.02,9.93,9.98,10293
1569937500000,10.0,10.03,9.99,9.99,14337
1569938400000,9.98,9.98,9.74,9.77,6660
1569939300000,9.7758,9.78,9.71,9.74,18185
1569940200000,9.73,9.75,9.69,9.69,6787
1569941100000,9.68,9.7,9.64,9.64,8685
1569942000000,9.66,9.795,9.66,9.795,10024
1569942900000,9.78,9.78,9.72,9.75,7326
1569943800000,9.73,9.81,9.73,9.75,5940
1569944700000,9.74,9.74,9.705,9.73,4427
1569945600000,9.72,9.75,9.71,9.72,8112
1569946500000,9.71,9.76,9.7,9.73,6644
1569947400000,9.72,9.73,9.69,9.71,14783
1569948300000,9.69,9.71,9.66,9.66,5485
1569949200000,9.66,9.69,9.65,9.655,13798
1569950100000,9.655,9.71,9.64,9.685,17302
1569951000000,9.68,9.69,9.6533,9.675,8366
1569951900000,9.69,9.69,9.66,9.66,9721
1569952800000,9.65,9.89,9.6275,9.87,135153
1569953700000,9.86,9.88,9.8,9.87,8005
1569954600000,9.88,9.91,9.805,9.84,8746
1569955500000,9.84,9.86,9.79,9.85,13037
1569956400000,9.84,9.93,9.83,9.89,9085
1569957300000,9.89,9.91,9.865,9.865,8477
1569958200000,9.865,9.865,9.79,9.81,22238
1569959100000,9.805,9.83,9.74,9.76,63703
1570023000000,9.6,9.75,9.36,9.51,33090
1570023900000,9.45,9.48,9.41,9.48,19190
1570024800000,9.46,9.69,9.46,9.64,13964
1570025700000,9.66,9.66,9.5,9.5,7307
1570026600000,9.45,9.5,9.41,9.4586,20121
1570027500000,9.45,9.48,9.37,9.48,8669
1570028400000,9.48,9.57,9.48,9.48,10673
1570029300000,9.48,9.51,9.38,9.41,14092
1570030200000,9.39,9.4,9.32,9.34,49517
1570031100000,9.32,9.35,9.28,9.28,26744
1570032000000,9.28,9.32,9.26,9.29,18370
1570032900000,9.28,9.29,9.27,9.285,11913
1570033800000,9.2866,9.34,9.275,9.325,22486
1570034700000,9.33,9.35,9.29,9.3,14895
1570035600000,9.3,9.35,9.29,9.31,31476
1570036500000,9.32,9.34,9.26,9.33,14261
1570037400000,9.335,9.34,9.32,9.33,10069
1570038300000,9.32,9.34,9.29,9.33,17364
1570039200000,9.31,9.33,9.295,9.305,17718
1570040100000,9.305,9.37,9.305,9.35,34989
1570041000000,9.35,9.41,9.345,9.38,56556
1570041900000,9.38,9.49,9.38,9.47,12196
1570042800000,9.47,9.49,9.42,9.49,17438
1570043700000,9.47,9.53,9.46,9.49,22186
1570044600000,9.485,9.51,9.425,9.51,32175
1570045500000,9.5,9.52,9.46,9.49,108228
1570109400000,9.41,9.64,9.26,9.34,15865
1570110300000,9.34,9.43,9.27,9.31,10718
1570111200000,9.315,9.315,9.112,9.19,16277
1570112100000,9.21,9.35,9.195,9.26,16984
1570113000000,9.28,9.31,9.18,9.18,14069
1570113900000,9.15,9.2,9.09,9.2,11487
1570114800000,9.19,9.3,9.18,9.24,17623
1570115700000,9.24,9.25,9.1,9.155,14311
1570116600000,9.17,9.2,9.14,9.14,7064
1570117500000,9.15,9.215,9.13,9.19,10794
1570118400000,9.19,9.33,9.19,9.295,13436
1570119300000,9.29,9.32,9.21,9.31,14627
1570120200000,9.31,9.34,9.29,9.29,12933
1570121100000,9.3,9.32,9.25,9.26,9488
1570122000000,9.25,9.28,9.24,9.265,6593
1570122900000,9.26,9.32,9.23,9.31,11054
1570123800000,9.33,9.35,9.3141,9.33,5728
1570124700000,9.32,9.35,9.29,9.29,7362
1570125600000,9.28,9.33,9.26,9.33,9499
1570126500000,9.33,9.39,9.33,9.37,5029
1570127400000,9.37,9.45,9.37,9.42,25574
1570128300000,9.41,9.41,9.33,9.34,30984
1570129200000,9.33,9.37,9.285,9.335,32645
1570130100000,9.33,9.35,9.29,9.315,15065
1570131000000,9.32,9.36,9.315,9.34,30481
1570131900000,9.34,9.39,9.29,9.38,119224
1570195800000,9.4,9.56,9.4,9.4,19531
1570196700000,9.4,9.47,9.4,9.43,33884
1570197600000,9.42,9.425,9.32,9.32,13634
1570198500000,9.32,9.43,9.32,9.37,11515
1570199400000,9.35,9.35,9.29,9.335,10324
1570200300000,9.325,9.335,9.29,9.3,8959
1570201200000,9.3,9.3522,9.283,9.283,15084
1570202100000,9.29,9.34,9.255,9.26,47065
1570203000000,9.255,9.305,9.255,9.28,22747
1570203900000,9.275,9.33,9.27,9.31,21405
1570204800000,9.29,9.34,9.29,9.34,24005
1570205700000,9.32,9.38,9.3,9.36,84308
1570206600000,9.35,9.41,9.35,9.41,5962
1570207500000,9.41,9.42,9.3641,9.37,4417
1570208400000,9.36,9.36,9.3,9.3,18632
1570209300000,9.32,9.37,9.32,9.37,9311
1570210200000,9.35,9.3791,9.34,9.36,9636
1570211100000,9.345,9.345,9.28,9.29,19751
1570212000000,9.28,9.3,8.99,8.99,59944
1570212900000,9.01,9.1484,9.0,9.135,42491
1570213800000,9.1231,9.17,9.1231,9.14,14686
1570214700000,9.13,9.15,9.1,9.105,15758
1570215600000,9.105,9.2,9.09,9.16,28743
1570216500000,9.15,9.18,9.12,9.13,40393
1570217400000,9.135,9.155,9.11,9.135,63612
1570218300000,9.135,9.22,9.12,9.22,105275
1570455000000,9.13,9.19,9.0,9.0,14605
1570455900000,9.01,9.12,8.9437,9.015,16380
1570456800000,9.01,9.2,9.01,9.14,46561
1570457700000,9.14,9.19,9.14,9.151,4409
1570458600000,9.15,9.15,9.08,9.11,5093
1570459500000,9.14,9.28,9.12,9.275,4240
1570460400000,9.32,9.35,9.27,9.3,3655
1570461300000,9.32,9.32,9.23,9.23,12987
1570462200000,9.24,9.31,9.24,9.29,2917
1570463100000,9.29,9.3,9.23,9.29,7388
1570464000000,9.2701,9.31,9.27,9.28,6109
1570464900000,9.29,9.35,9.29,9.32,6905
1570465800000,9.32,9.325,9.25,9.3,5155
1570466700000,9.3002,9.31,9.22,9.255,2923
1570467600000,9.2409,9.25,9.22,9.22,1920
1570468500000,9.22,9.26,9.2,9.26,2450
1570469400000,9.26,9.37,9.26,9.31,8988
1570470300000,9.31,9.34,9.31,9.33,4051
1570471200000,9.32,9.33,9.24,9.2712,4972
1570472100000,9.275,9.32,9.24,9.24,4734
