datetime,open,high,low,close,volume
1569504600000,32.35,32.36,31.85,32.06,19301
1569505500000,32.09,32.09,31.9,31.97,1500
1569506400000,32.04,32.15,32.0,32.11,3600
1569507300000,32.07,32.18,32.05,32.11,6453
1569508200000,32.13,32.13,32.03,32.03,2134
1569509100000,32.04,32.04,31.89,31.91,2745
1569510000000,31.85,31.87,31.72,31.785,2526
1569510900000,31.78,31.79,31.66,31.72,4110
1569511800000,31.72,31.89,31.71,31.87,4890
1569512700000,31.8896,31.8896,31.75,31.75,1923
1569513600000,31.8,31.95,31.8,31.89,2650
1569514500000,31.9044,31.95,31.86,31.95,2796
1569515400000,31.97,32.06,31.97,32.02,2198
1569516300000,32.0,32.19,32.0,32.17,14903
1569517200000,32.19,32.37,32.19,32.3,37312
1569518100000,32.305,32.38,32.205,32.24,35274
1569519000000,32.245,32.295,32.17,32.17,11559
1569519900000,32.21,32.22,31.98,31.98,11832
1569520800000,31.98,32.01,31.83,31.9,6536
1569521700000,31.95,32.0,31.83,31.9,4652
1569522600000,31.89,31.94,31.85,31.905,5002
1569523500000,31.89,31.965,31.89,31.92,5429
1569524400000,31.93,31.97,31.9,31.93,5939
1569525300000,31.91,31.95,31.84,31.84,5931
1569526200000,31.86,31.94,31.82,31.89,7681
1569527100000,31.88,31.91,31.73,31.77,56994
1569591000000,31.88,32.065,31.74,31.895,9132
1569591900000,31.81,31.86,31.605,31.63,10142
1569592800000,31.58,31.7754,31.57,31.72,13502
1569593700000,31.705,31.79,31.6,31.69,13805
1569594600000,31.705,31.72,31.585,31.59,15302
1569595500000,31.62,31.7,31.52,31.69,3273
1569596400000,31.68,31.71,31.55,31.595,6050
1569597300000,31.6,31.6015,31.47,31.515,4000
1569598200000,31.5,31.54,31.12,31.24,8738
1569599100000,31.17,31.34,31.17,31.34,3200
1569600000000,31.32,31.3743,31.29,31.36,4332
1569600900000,31.36,31.37,31.24,31.33,5363
1569601800000,31.31,31.34,31.24,31.24,2508
1569602700000,31.24,31.24,31.1,31.165,22701
1569603600000,31.14,31.48,31.12,31.465,31189
1569604500000,31.44,31.52,31.375,31.51,4017
1569605400000,31.55,31.58,31.49,31.57,3950
1569606300000,31.54,31.5597,31.435,31.5597,3799
1569607200000,31.54,31.59,31.5,31.59,5481
1569608100000,31.585,31.74,31.58,31.66,10528
1569609000000,31.63,31.63,31.56,31.59,2900
1569609900000,31.6,31.64,31.55,31.64,3502
1569610800000,31.64,31.66,31.53,31.59,4944
1569611700000,31.59,31.675,31.59,31.6,2206
1569612600000,31.61,31.64,31.59,31.5902,6819
1569613500000,31.58,31.64,31.54,31.62,21792
1569850200000,31.52,32.11,31.41,32.03,14415
1569851100000,32.02,32.07,31.68,31.94,8118
1569852000000,31.91,31.96,31.67,31.96,3980
1569852900000,31.91,31.99,31.83,31.89,5046
1569853800000,31.895,31.94,31.8,31.8,2625
1569854700000,31.795,32.05,31.795,31.97,7870
1569855600000,31.95,32.01,31.66,31.99,25193
1569856500000,32.01,32.05,31.9,32.0,4980
1569857400000,31.98,32.11,31.97,32.0,6300
1569858300000,32.02,32.02,31.85,31.85,2672
1569859200000,31.83,32.0,31.82,31.89,7074
1569860100000,31.89,32.06,31.89,32.0204,8739
1569861000000,32.06,32.1,32.0,32.07,3601
1569861900000,32.0705,32.1,32.0,32.07,4861
1569862800000,32.08,32.12,32.06,32.1,4000
1569863700000,32.11,32.14,32.08,32.1,3241
1569864600000,32.11,32.14,32.06,32.12,5159
1569865500000,32.14,32.29,32.14,32.23,5689
1569866400000,32.26,32.32,32.2001,32.32,6390
1569867300000,32.29,32.33,32.255,32.33,3715
1569868200000,32.3067,32.37,32.27,32.34,6433
1569869100000,32.34,32.48,32.34,32.45,7390
1569870000000,32.48,32.49,32.32,32.32,11618
1569870900000,32.29,32.33,32.24,32.245,9796
1569871800000,32.25,32.255,32.125,32.19,25557
1569872700000,32.19,32.25,32.12,32.14,45134
1569936600000,32.43,32.74,32.235,32.74,7621
1569937500000,32.7,32.95,32.67,32.95,8379
1569938400000,32.83,32.86,31.97,32.13,7542
1569939300000,32.15,32.37,32.06,32.11,3694
1569940200000,32.135,32.2,31.96,32.01,6488
1569941100000,32.04,32.04,31.83,31.89,7882
1569942000000,31.87,32.01,31.83,31.96,6924
1569942900000,31.915,31.99,31.87,31.99,3011
1569943800000,31.99,32.01,31.845,31.91,6511
1569944700000,31.92,31.94,31.81,31.86,4330
1569945600000,31.86,31.86,31.67,31.67,8080
1569946500000,31.69,31.82,31.66,31.66,6578
1569947400000,31.675,31.75,31.66,31.7,9613
1569948300000,31.71,31.72,31.55,31.55,5122
1569949200000,31.54,31.545,31.3599,31.3599,11992
1569950100000,31.39,31.44,31.31,31.39,13833
1569951000000,31.38,31.4,31.19,31.28,14343
1569951900000,31.275,31.35,31.17,31.18,8656
1569952800000,31.18,31.19,31.01,31.12,7019
1569953700000,31.13,31.13,31.05,31.09,8266
1569954600000,31.0902,31.27,31.05,31.23,9516
1569955500000,31.25,31.31,31.22,31.265,9237
1569956400000,31.28,31.28,31.14,31.15,6145
1569957300000,31.13,31.23,31.12,31.23,7754
1569958200000,31.235,31.24,31.07,31.155,16527
1569959100000,31.16,31.24,31.14,31.17,35958
1570023000000,30.85,30.96,30.2204,30.59,10146
1570023900000,30.59,30.93,30.471,30.93,9130
1570024800000,30.92,31.23,30.85,31.15,9634
1570025700000,31.12,31.25,30.98,30.98,7401
1570026600000,30.96,30.96,30.75,30.85,20048
1570027500000,30.84,30.99,30.82,30.96,9231
1570028400000,30.975,31.07,30.94,30.95,14394
1570029300000,30.95,30.97,30.74,30.78,9505
1570030200000,30.81,30.81,30.61,30.61,8501
1570031100000,30.63,30.6789,30.6,30.64,4751
1570032000000,30.645,30.645,30.47,30.47,7065
1570032900000,30.48,30.51,30.39,30.46,8145
1570033800000,30.45,30.52,30.4301,30.46,7998
1570034700000,30.47,30.5,30.431,30.47,7019
1570035600000,30.47,30.58,30.44,30.53,9640
1570036500000,30.54,30.66,30.52,30.64,4061
1570037400000,30.65,30.65,30.56,30.6,12550
1570038300000,30.61,30.61,30.555,30.59,4929
1570039200000,30.6,30.65,30.55,30.55,7956
1570040100000,30.58,30.71,30.58,30.6211,8016
1570041000000,30.61,30.76,30.61,30.73,6503
1570041900000,30.71,30.8,30.7,30.72,5950
1570042800000,30.74,30.795,30.68,30.76,10093
1570043700000,30.755,30.81,30.715,30.77,7536
1570044600000,30.77,30.82,30.74,30.74,15441
1570045500000,30.75,30.91,30.72,30.89,64818
1570109400000,30.67,30.745,30.49,30.67,4299
1570110300000,30.69,30.91,30.61,30.69,4138
1570111200000,30.69,30.69,30.4,30.565,6526
1570112100000,30.65,30.8525,30.65,30.77,5248
1570113000000,30.735,30.78,30.665,30.7,7069
1570113900000,30.71,30.7894,30.62,30.7894,15974
1570114800000,30.79,31.09,30.79,30.945,8300
1570115700000,30.96,31.04,30.74,30.83,3986
1570116600000,30.8,30.82,30.6705,30.7,3767
1570117500000,30.72,30.77,30.68,30.735,2611
1570118400000,30.79,30.95,30.76,30.95,1810
1570119300000,30.93,31.005,30.83,31.005,3194
1570120200000,31.01,31.06,31.0017,31.06,1780
1570121100000,31.08,31.12,31.05,31.12,4262
1570122000000,31.09,31.09,31.0,31.05,2687
1570122900000,31.03,31.16,31.03,31.13,2917
1570123800000,31.16,31.21,31.12,31.21,2496
1570124700000,31.21,31.24,31.18,31.195,2421
1570125600000,31.18,31.19,31.105,31.19,4255
1570126500000,31.195,31.28,31.16,31.16,11219
1570127400000,31.09,31.16,31.08,31.15,3097
1570128300000,31.1271,31.15,31.11,31.12,11498
1570129200000,31.1201,31.1201,30.96,31.0,21948
1570130100000,30.96,31.0,30.9108,30.93,3922
1570131000000,30.93,30.995,30.9,30.99,5359
1570131900000,30.99,31.18,30.92,31.13,35284
1570195800000,31.05,31.36,30.99,30.99,4653
1570196700000,31.08,31.08,30.9,31.08,1702
1570197600000,31.09,31.19,31.0037,31.11,3219
1570198500000,31.13,31.18,31.03,31.06,1672
1570199400000,31.02,31.02,30.94,30.96,2431
1570200300000,30.99,31.12,30.965,30.965,2918
1570201200000,31.0,31.03,30.87,30.94,5604
1570202100000,30.94,31.0,30.93,31.0,2600
1570203000000,31.0,31.01,30.93,30.93,4376
1570203900000,30.91,30.99,30.89,30.99,4558
1570204800000,31.0,31.01,30.97,30.98,10176
1570205700000,30.98,31.02,30.92,31.0,5053
1570206600000,31.0,31.03,30.96,31.0,6628
1570207500000,31.03,31.135,31.0,31.13,15234
1570208400000,31.09,31.17,31.04,31.17,3500
1570209300000,31.13,31.235,31.13,31.235,5700
1570210200000,31.21,31.35,31.18,31.32,3297
1570211100000,31.32,31.34,31.27,31.27,2498
1570212000000,31.3,31.36,31.295,31.33,3130
1570212900000,31.37,31.39,31.31,31.31,2376
1570213800000,31.31,31.39,31.3,31.38,2304
1570214700000,31.42,31.42,31.26,31.33,29854
1570215600000,31.38,31.46,31.38,31.44,3855
1570216500000,31.4266,31.49,31.3,31.49,24522
1570217400000,31.51,31.5717,31.51,31.54,5017
1570218300000,31.5424,31.7,31.5424,31.69,28592
1570455000000,31.54,31.56,31.3589,31.39,5078
1570455900000,31.3,31.79,31.3,31.67,3368
1570456800000,31.66,31.7,31.42,31.42,5201
1570457700000,31.48,31.52,31.44,31.48,3166
1570458600000,31.47,31.536,31.34,31.49,11945
1570459500000,31.505,31.565,31.47,31.565,4607
1570460400000,31.6,31.65,31.55,31.55,6079
1570461300000,31.52,31.55,31.37,31.38,3300
1570462200000,31.325,31.48,31.325,31.455,6481
1570463100000,31.46,31.5,31.355,31.355,5802
1570464000000,31.42,31.46,31.41,31.43,3501
1570464900000,31.44,31.59,31.44,31.51,23830
1570465800000,31.52,31.58,31.51,31.55,7674
1570466700000,31.57,31.62,31.54,31.55,8204
1570467600000,31.55,31.595,31.44,31.49,9091
1570468500000,31.51,31.51,31.3868,31.4,4299
1570469400000,31.395,31.63,31.39,31.48,14661
1570470300000,31.49,31.555,31.475,31.55,5775
1570471200000,31.53,31.53,31.39,31.41,4130
1570472100000,31.41,31.41,31.14,31.2,19404
1570473000000,31.185,31.34,31.17,31.29,9239
1570473900000,31.285,31.315,31.17,31.315,15128
1570474800000,31.32,31.35,31.26,31.35,8246
1570475700000,31.34,31.35,31.255,31.27,16656
1570476600000,31.28,31.32,31.24,31.28,15797
1570477500000,31.2949,31.32,31.18,31.2,46317
1570541400000,30.8,30.86,30.62,30.86,12041
1570542300000,30.94,31.11,30.7,30.7,25223
1570543200000,30.67,30.97,30.53,30.83,16460
1570544100000,30.82,30.82,30.72,30.81,22592
1570545000000,30.76,30.88,30.57,30.57,3727
1570545900000,30.59,30.72,30.58,30.69,6845
1570546800000,30.67,30.77,30.63,30.715,8333
1570547700000,30.73,30.76,30.55,30.55,6612
1570548600000,30.6,30.6,30.45,30.45,1900
