datetime,open,high,low,close,volume
1569504600000,33.16,33.29,32.88,33.025,4397
1569505500000,32.99,33.18,32.99,33.04,1837
1569506400000,33.14,33.24,33.05,33.18,9581
1569507300000,33.17,33.18,32.98,33.11,5425
1569508200000,33.01,33.14,33.01,33.14,2198
1569509100000,33.19,33.26,33.17,33.24,3300
1569510000000,33.23,33.29,33.18,33.25,4067
1569510900000,33.245,33.27,33.16,33.185,7217
1569511800000,33.13,33.28,33.13,33.28,3600
1569512700000,33.24,33.24,33.13,33.15,14800
1569513600000,33.11,33.23,33.11,33.15,2103
1569514500000,33.1271,33.1271,33.05,33.1,1255
1569515400000,33.1,33.15,33.07,33.07,2214
1569516300000,33.06,33.09,33.0,33.02,2100
1569517200000,33.02,33.05,32.9,32.91,1748
1569518100000,32.91,32.91,32.77,32.78,2000
1569519000000,32.8,32.9,32.8,32.88,3029
1569519900000,32.88,32.91,32.82,32.91,2556
1569520800000,32.89,32.97,32.89,32.94,1103
1569521700000,32.93,32.955,32.85,32.85,2148
1569522600000,32.88,32.985,32.88,32.93,11348
1569523500000,32.94,32.98,32.89,32.89,2330
1569524400000,32.9,32.93,32.9,32.92,2830
1569525300000,32.92,32.92,32.82,32.83,5789
1569526200000,32.84,32.9,32.81,32.82,9952
1569527100000,32.82,32.88,32.77,32.81,13830
1569591000000,33.08,33.49,32.98,33.47,15089
1569591900000,33.57,33.57,33.21,33.21,1100
1569592800000,33.16,33.26,33.02,33.14,2042
1569593700000,33.13,33.18,33.1,33.18,2203
1569594600000,33.19,33.22,33.13,33.13,1901
1569595500000,33.17,33.22,33.09,33.22,1310
1569596400000,33.25,33.3,33.19,33.19,1878
1569597300000,33.21,33.23,33.15,33.22,8271
1569598200000,33.19,33.24,32.995,33.06,2508
1569599100000,33.03,33.225,33.01,33.14,7360
1569600000000,33.12,33.14,33.07,33.11,808
1569600900000,32.98,33.02,32.965,33.02,645
1569601800000,32.98,33.02,32.93,33.02,849
1569602700000,33.0,33.02,32.87,32.92,1191
1569603600000,32.88,33.03,32.88,33.01,1133
1569604500000,33.04,33.04,32.99,33.03,2027
1569605400000,33.025,33.025,32.96,33.01,3671
1569606300000,32.995,33.04,32.96,33.04,2494
1569607200000,33.085,33.11,33.06,33.11,1000
1569608100000,33.11,33.155,33.09,33.09,3409
1569609000000,33.05,33.05,32.99,33.015,1101
1569609900000,33.02,33.02,32.96,33.02,1907
1569610800000,32.97,33.0,32.94,33.0,3013
1569611700000,33.02,33.105,33.005,33.09,2726
1569612600000,33.08,33.17,33.08,33.17,5674
1569613500000,33.155,33.23,33.1,33.21,22296
1569850200000,33.38,33.38,33.09,33.14,2335
1569851100000,33.04,33.07,32.91,33.04,1906
1569852000000,32.95,33.02,32.91,33.02,828
1569852900000,33.04,33.07,32.91,32.91,1500
1569853800000,32.91,32.95,32.84,32.85,3200
1569854700000,32.87,32.96,32.87,32.96,2109
1569855600000,32.97,33.0,32.885,32.99,3047
1569856500000,32.99,32.99,32.95,32.98,1521
1569857400000,32.97,33.05,32.95,33.05,3499
1569858300000,33.04,33.04,32.96,32.99,2239
1569859200000,33.02,33.065,33.0,33.02,2636
1569860100000,32.99,33.09,32.97,33.09,2712
1569861000000,33.12,33.12,33.06,33.12,2453
1569861900000,33.14,33.18,33.11,33.155,1900
1569862800000,33.17,33.17,33.15,33.17,1500
1569863700000,33.16,33.21,33.12,33.2,3848
1569864600000,33.18,33.2,33.17,33.17,1551
1569865500000,33.2,33.24,33.19,33.21,1318
1569866400000,33.22,33.22,33.19,33.2,1224
1569867300000,33.2,33.2,33.14,33.15,2635
1569868200000,33.13,33.22,33.13,33.21,3071
1569869100000,33.21,33.285,33.21,33.285,2237
1569870000000,33.275,33.275,33.24,33.26,2264
1569870900000,33.26,33.31,33.22,33.22,3109
1569871800000,33.22,33.22,33.16,33.16,5136
1569872700000,33.16,33.16,32.97,32.97,36697
1569936600000,33.33,33.59,33.25,33.59,4094
1569937500000,33.59,33.64,33.37,33.37,1624
1569938400000,33.22,33.22,32.85,32.85,2206
1569939300000,32.98,32.98,32.76,32.81,1496
1569940200000,32.82,32.87,32.78,32.8,2887
1569941100000,32.83,32.83,32.77,32.78,1200
1569942000000,32.77,32.84,32.75,32.82,1406
1569942900000,32.79,32.85,32.78,32.84,1900
