datetime,open,high,low,close,volume
1569504600000,3.94,3.97,3.875,3.89,37379
1569505500000,3.88,3.89,3.77,3.82,33359
1569506400000,3.815,3.86,3.8,3.83,60870
1569507300000,3.83,3.83,3.79,3.81,33262
1569508200000,3.81,3.83,3.795,3.795,79091
1569509100000,3.7983,3.82,3.7983,3.815,16827
1569510000000,3.81,3.82,3.8047,3.805,25056
1569510900000,3.805,3.83,3.805,3.825,30822
1569511800000,3.825,3.85,3.82,3.825,18979
1569512700000,3.83,3.83,3.8,3.8,14074
1569513600000,3.8,3.81,3.795,3.8,28893
1569514500000,3.8,3.81,3.79,3.8,10302
1569515400000,3.8,3.8,3.78,3.785,13923
1569516300000,3.785,3.79,3.775,3.78,33702
1569517200000,3.77,3.77,3.68,3.685,82648
1569518100000,3.68,3.68,3.6501,3.67,69024
1569519000000,3.665,3.68,3.665,3.67,37740
1569519900000,3.67,3.68,3.665,3.675,31981
1569520800000,3.68,3.68,3.67,3.675,11545
1569521700000,3.67,3.71,3.67,3.705,30614
1569522600000,3.705,3.73,3.7,3.73,11422
1569523500000,3.73,3.73,3.705,3.71,10446
1569524400000,3.71,3.72,3.7,3.72,16079
1569525300000,3.72,3.72,3.67,3.67,29256
1569526200000,3.675,3.68,3.65,3.65,23041
1569527100000,3.655,3.66,3.65,3.655,76212
1569591000000,3.68,3.75,3.68,3.7,62845
1569591900000,3.6901,3.74,3.685,3.7,31256
1569592800000,3.7,3.745,3.7,3.73,31577
1569593700000,3.73,3.75,3.72,3.75,20804
1569594600000,3.75,3.775,3.75,3.765,12546
1569595500000,3.76,3.77,3.74,3.76,31513
1569596400000,3.755,3.76,3.73,3.75,71159
1569597300000,3.755,3.77,3.73,3.735,31012
1569598200000,3.735,3.74,3.68,3.695,34344
1569599100000,3.7,3.73,3.7,3.715,31353
1569600000000,3.72,3.74,3.71,3.735,16083
1569600900000,3.735,3.74,3.705,3.71,12742
1569601800000,3.705,3.71,3.6921,3.7,15671
1569602700000,3.7,3.7,3.67,3.68,17635
1569603600000,3.68,3.7,3.68,3.69,4700
1569604500000,3.695,3.695,3.68,3.685,10900
1569605400000,3.68,3.69,3.675,3.69,9784
1569606300000,3.69,3.69,3.67,3.69,16083
1569607200000,3.69,3.69,3.675,3.68,11824
1569608100000,3.675,3.68,3.665,3.675,16657
1569609000000,3.675,3.68,3.665,3.675,22081
1569609900000,3.67,3.67,3.64,3.645,18597
1569610800000,3.645,3.65,3.63,3.635,7450
1569611700000,3.635,3.6555,3.63,3.65,18139
1569612600000,3.65,3.66,3.64,3.645,32906
1569613500000,3.645,3.65,3.63,3.645,47153
1569850200000,3.66,3.67,3.62,3.63,46472
1569851100000,3.63,3.64,3.61,3.615,20195
1569852000000,3.615,3.63,3.5824,3.625,17758
1569852900000,3.62,3.65,3.62,3.645,7392
1569853800000,3.65,3.66,3.64,3.64,9470
1569854700000,3.63,3.65,3.61,3.62,22521
1569855600000,3.62,3.62,3.605,3.61,26412
1569856500000,3.61,3.62,3.6,3.61,15088
1569857400000,3.61,3.62,3.595,3.62,15638
1569858300000,3.61,3.61,3.58,3.59,15735
1569859200000,3.6,3.6,3.59,3.59,12642
1569860100000,3.585,3.62,3.585,3.62,26516
1569861000000,3.62,3.635,3.61,3.63,35416
1569861900000,3.63,3.665,3.63,3.665,18570
1569862800000,3.66,3.67,3.645,3.655,17232
1569863700000,3.655,3.655,3.635,3.635,13751
1569864600000,3.64,3.665,3.64,3.66,17725
1569865500000,3.665,3.665,3.635,3.64,16774
1569866400000,3.645,3.65,3.64,3.65,5057
1569867300000,3.645,3.67,3.645,3.667,8764
1569868200000,3.66,3.66,3.645,3.655,8770
1569869100000,3.66,3.67,3.65,3.65,10735
1569870000000,3.65,3.66,3.64,3.655,11655
1569870900000,3.655,3.66,3.62,3.625,16000
1569871800000,3.62,3.63,3.61,3.615,25803
1569872700000,3.61,3.61,3.6,3.6,20952
1569936600000,3.55,3.55,3.435,3.44,99117
1569937500000,3.435,3.51,3.435,3.48,60021
1569938400000,3.48,3.49,3.41,3.415,40214
1569939300000,3.41,3.42,3.38,3.405,32015
1569940200000,3.4095,3.41,3.36,3.365,33127
1569941100000,3.37,3.37,3.345,3.35,32145
1569942000000,3.34,3.345,3.31,3.335,56758
1569942900000,3.34,3.42,3.33,3.415,107148
1569943800000,3.415,3.415,3.39,3.39,19441
1569944700000,3.39,3.4,3.39,3.39,9450
1569945600000,3.39,3.39,3.37,3.375,18591
1569946500000,3.38,3.39,3.37,3.3851,14073
1569947400000,3.38,3.39,3.35,3.375,22849
1569948300000,3.37,3.38,3.35,3.35,13425
1569949200000,3.345,3.35,3.33,3.33,17509
1569950100000,3.33,3.33,3.3129,3.32,32595
1569951000000,3.32,3.325,3.315,3.325,9057
1569951900000,3.32,3.32,3.28,3.285,24296
1569952800000,3.29,3.32,3.29,3.32,20251
1569953700000,3.33,3.33,3.32,3.325,8316
1569954600000,3.33,3.33,3.31,3.315,9248
1569955500000,3.31,3.31,3.3,3.305,14457
1569956400000,3.31,3.32,3.295,3.31,17380
1569957300000,3.315,3.33,3.31,3.31,17212
1569958200000,3.315,3.32,3.31,3.315,19642
1569959100000,3.32,3.32,3.27,3.295,96493
1570023000000,3.3,3.3,3.19,3.265,76744
1570023900000,3.26,3.29,3.24,3.29,18310
