datetime,open,high,low,close,volume
1569504600000,24.27,24.55,23.84,24.07,54009
1569505500000,24.03,24.07,24.02,24.045,2100
1569506400000,23.99,24.14,23.99,24.04,25898
1569507300000,24.04,24.1,23.98,24.07,8237
1569508200000,24.08,24.09,23.96,23.99,19526
1569509100000,23.99,23.99,23.82,23.86,16652
1569510000000,23.845,23.93,23.72,23.905,29493
1569510900000,23.92,23.98,23.86,23.88,15472
1569511800000,23.9,24.02,23.87,24.0,19728
1569512700000,24.01,24.01,23.97,24.0,16651
1569513600000,23.98,24.01,23.89,23.955,15319
1569514500000,23.95,24.0,23.94,23.97,6086
1569515400000,23.97,23.99,23.95,23.96,3667
1569516300000,23.96,23.97,23.89,23.9,4851
1569517200000,23.9,23.93,23.87,23.9,8287
1569518100000,23.9,23.91,23.82,23.84,18054
1569519000000,23.84,23.91,23.82,23.84,45397
1569519900000,23.84,23.85,23.805,23.85,15998
1569520800000,23.865,23.92,23.86,23.91,25546
1569521700000,23.89,23.91,23.875,23.885,10126
1569522600000,23.885,24.015,23.87,23.965,16198
1569523500000,23.955,23.97,23.89,23.9,7942
1569524400000,23.9,23.98,23.9,23.96,5816
1569525300000,23.96,24.04,23.96,24.025,11636
1569526200000,24.025,24.05,23.96,23.98,15719
1569527100000,23.97,24.02,23.94,24.01,55524
1569591000000,24.17,24.25,23.97,24.25,15091
1569591900000,24.23,24.23,24.0501,24.06,8798
1569592800000,24.04,24.04,23.89,23.9369,6772
1569593700000,23.89,24.055,23.89,24.055,3465
1569594600000,24.055,24.1,24.0344,24.1,2053
1569595500000,24.12,24.22,24.11,24.205,8137
1569596400000,24.23,24.26,24.19,24.2,14791
1569597300000,24.21,24.21,24.09,24.0998,6983
1569598200000,24.105,24.11,23.86,24.0,6214
1569599100000,23.965,23.99,23.83,23.87,52278
1569600000000,23.87,23.88,23.8,23.85,13244
1569600900000,23.85,23.85,23.72,23.735,6821
1569601800000,23.735,23.79,23.7,23.7,5928
1569602700000,23.7,23.76,23.62,23.645,8794
1569603600000,23.6103,23.69,23.6103,23.68,8723
1569604500000,23.66,23.66,23.57,23.6,6331
1569605400000,23.605,23.605,23.56,23.56,6506
1569606300000,23.56,23.625,23.505,23.625,9000
1569607200000,23.625,23.6392,23.55,23.59,7506
1569608100000,23.58,23.6,23.52,23.55,19441
1569609000000,23.53,23.54,23.48,23.51,13996
1569609900000,23.52,23.59,23.5,23.52,6215
1569610800000,23.51,23.55,23.48,23.48,8274
1569611700000,23.475,23.56,23.475,23.52,14883
1569612600000,23.5263,23.59,23.5,23.56,22802
1569613500000,23.565,23.57,23.465,23.51,72930
1569850200000,23.55,24.08,23.32,23.7,38920
1569851100000,23.745,23.83,23.65,23.82,28150
1569852000000,23.825,23.84,23.74,23.77,19688
1569852900000,23.77,23.865,23.74,23.85,15105
1569853800000,23.83,23.91,23.83,23.84,32907
1569854700000,23.85,24.02,23.82,23.94,32992
1569855600000,23.94,23.94,23.87,23.87,15543
1569856500000,23.88,23.89,23.77,23.78,11484
1569857400000,23.79,23.93,23.79,23.915,18766
1569858300000,23.95,24.0,23.92,23.98,11912
1569859200000,23.99,24.15,23.97,24.065,21946
1569860100000,24.07,24.14,24.06,24.08,14014
1569861000000,24.09,24.095,24.0,24.065,10494
1569861900000,24.07,24.11,24.05,24.11,6695
1569862800000,24.115,24.155,24.1,24.125,6193
1569863700000,24.13,24.13,24.02,24.02,7415
1569864600000,24.03,24.07,23.97,24.07,14343
1569865500000,24.09,24.15,24.09,24.11,9169
1569866400000,24.1001,24.18,24.1,24.18,6797
1569867300000,24.18,24.19,24.15,24.184,9555
1569868200000,24.2,24.28,24.1,24.1,40243
1569869100000,24.11,24.155,24.09,24.15,33018
1569870000000,24.15,24.23,24.135,24.193,13047
1569870900000,24.2,24.35,24.2,24.28,37691
1569871800000,24.28,24.36,24.28,24.34,29319
1569872700000,24.33,24.37,24.255,24.29,100573
1569936600000,24.41,24.4501,24.095,24.3218,8308
1569937500000,24.35,24.43,24.22,24.4,16730
1569938400000,24.39,24.4,24.17,24.17,15141
1569939300000,24.1596,24.17,24.07,24.13,4310
1569940200000,24.15,24.15,23.86,23.9,26812
1569941100000,23.88,23.97,23.73,23.74,16182
1569942000000,23.74,23.88,23.74,23.83,8987
1569942900000,23.8,23.91,23.7827,23.89,6916
1569943800000,23.9,23.96,23.825,23.825,3799
1569944700000,23.825,23.85,23.73,23.815,16352
1569945600000,23.815,23.815,23.63,23.65,9698
1569946500000,23.63,23.713,23.63,23.66,7037
1569947400000,23.66,23.685,23.65,23.675,4320
1569948300000,23.675,23.7,23.62,23.62,8823
1569949200000,23.58,23.61,23.505,23.54,7018
1569950100000,23.545,23.56,23.42,23.43,13207
1569951000000,23.43,23.445,23.355,23.38,6100
1569951900000,23.375,23.38,23.305,23.305,5920
1569952800000,23.3,23.35,23.27,23.335,8061
1569953700000,23.34,23.36,23.28,23.33,10724
1569954600000,23.35,23.44,23.35,23.43,6931
1569955500000,23.44,23.45,23.42,23.42,5306
1569956400000,23.41,23.44,23.37,23.39,12197
1569957300000,23.4,23.44,23.37,23.4,9868
1569958200000,23.415,23.42,23.3,23.4,21918
1569959100000,23.4,23.42,23.29,23.32,51497
1570023000000,23.24,23.24,22.79,22.91,10260
1570023900000,22.92,22.99,22.78,22.82,4935
1570024800000,22.82,23.03,22.78,23.02,10225
1570025700000,23.05,23.13,23.02,23.08,5285
