datetime,open,high,low,close,volume
1569504600000,13.43,13.47,13.3717,13.3717,3190
1569505500000,13.35,13.35,13.28,13.315,3470
1569506400000,13.2749,13.34,13.2678,13.2678,1101
1569507300000,13.345,13.35,13.3294,13.35,1538
1569508200000,13.35,13.39,13.33,13.38,3400
1569509100000,13.38,13.45,13.38,13.45,3913
1569510000000,13.45,13.58,13.45,13.5605,13276
1569510900000,13.58,13.6,13.55,13.56,20009
1569511800000,13.57,13.6,13.57,13.6,6500
1569512700000,13.5956,13.63,13.56,13.56,9100
1569513600000,13.56,13.57,13.49,13.5,13309
1569514500000,13.5,13.54,13.4971,13.52,5522
1569515400000,13.52,13.52,13.44,13.45,5554
1569516300000,13.45,13.48,13.37,13.45,3337
1569517200000,13.45,13.45,13.4321,13.45,3398
1569518100000,13.45,13.45,13.4284,13.45,3550
1569519000000,13.45,13.5,13.445,13.5,3823
1569519900000,13.5,13.52,13.41,13.435,11039
1569520800000,13.4301,13.47,13.37,13.47,17908
1569521700000,13.475,13.5,13.43,13.455,6230
1569522600000,13.4534,13.48,13.4534,13.4629,3501
1569523500000,13.5,13.52,13.46,13.4675,3983
1569524400000,13.4328,13.5,13.4328,13.5,2668
1569525300000,13.5,13.5,13.47,13.4784,5307
1569526200000,13.5,13.5,13.485,13.5,5050
1569527100000,13.5,13.52,13.47,13.5,13002
1569591000000,13.5,13.5,13.5,13.5,136
1569592800000,13.45,13.45,13.45,13.45,200
1569593700000,13.45,13.45,13.4,13.4,2533
1569594600000,13.43,13.44,13.35,13.44,500
1569595500000,13.42,13.42,13.3911,13.42,740
1569596400000,13.42,13.42,13.38,13.42,1761
1569597300000,13.39,13.4,13.35,13.37,7860
1569598200000,13.37,13.3735,13.3397,13.3397,7834
1569599100000,13.345,13.37,13.345,13.37,642
1569600000000,13.33,13.4,13.33,13.39,2550
1569600900000,13.37,13.37,13.32,13.37,4818
1569601800000,13.36,13.37,13.35,13.36,3242
1569602700000,13.37,13.37,13.32,13.36,8442
1569603600000,13.37,13.39,13.33,13.37,14371
1569604500000,13.37,13.4,13.36,13.37,8841
1569605400000,13.37,13.4,13.3699,13.38,3244
1569606300000,13.38,13.39,13.37,13.37,5586
1569607200000,13.37,13.37,13.37,13.37,1047
1569608100000,13.37,13.37,13.355,13.355,954
1569609000000,13.3564,13.3648,13.3564,13.3648,988
1569609900000,13.36,13.36,13.36,13.36,100
1569610800000,13.37,13.375,13.36,13.37,4985
1569611700000,13.366,13.366,13.365,13.365,958
1569612600000,13.37,13.42,13.37,13.42,32079
1569613500000,13.42,13.48,13.38,13.42,32487
1569850200000,13.55,13.55,13.46,13.46,12801
1569851100000,13.4591,13.49,13.455,13.46,1643
1569852000000,13.4729,13.49,13.455,13.47,9308
1569852900000,13.47,13.47,13.455,13.455,378
1569853800000,13.45,13.45,13.43,13.43,500
1569854700000,13.43,13.43,13.37,13.37,400
1569855600000,13.37,13.405,13.37,13.37,3059
1569856500000,13.37,13.37,13.3,13.3,1287
1569857400000,13.3,13.35,13.28,13.28,800
1569858300000,13.29,13.3,13.2,13.2,1300
1569859200000,13.2,13.25,13.2,13.25,1020
1569860100000,13.25,13.27,13.21,13.21,1600
1569861000000,13.19,13.19,13.17,13.18,1620
1569861900000,13.18,13.24,13.18,13.24,4000
1569862800000,13.24,13.26,13.215,13.26,3625
1569863700000,13.26,13.26,13.25,13.25,400
1569864600000,13.25,13.25,13.223,13.2365,4802
1569865500000,13.25,13.285,13.24,13.285,3700
1569866400000,13.3,13.32,13.28,13.29,6000
1569867300000,13.29,13.3791,13.28,13.36,11015
1569868200000,13.36,13.42,13.36,13.36,3975
1569869100000,13.3816,13.41,13.31,13.31,10115
1569870000000,13.32,13.4,13.29,13.355,19505
1569870900000,13.36,13.4,13.3,13.39,2600
1569871800000,13.39,13.44,13.3,13.405,10400
1569872700000,13.42,13.46,13.31,13.37,40869
1569936600000,13.37,13.4068,13.37,13.3854,3207
1569938400000,13.375,13.45,13.375,13.45,2431
1569939300000,13.395,13.4032,13.35,13.385,7059
1569940200000,13.38,13.396,13.38,13.396,2800
1569941100000,13.38,13.38,13.38,13.38,300
1569942000000,13.375,13.375,13.36,13.3713,957
1569942900000,13.3801,13.394,13.375,13.394,1474
1569943800000,13.39,13.3964,13.39,13.3964,974
1569945600000,13.34,13.3499,13.34,13.345,904
1569946500000,13.3379,13.3379,13.3379,13.3379,390
1569948300000,13.33,13.3301,13.3,13.3192,4957
1569949200000,13.3,13.3096,13.3,13.3,1588
1569951000000,13.3065,13.3099,13.3,13.3099,3096
1569951900000,13.3,13.305,13.25,13.25,3792
1569952800000,13.268,13.268,13.268,13.268,288
1569953700000,13.28,13.28,13.28,13.28,750
1569954600000,13.25,13.262,13.19,13.1957,7842
1569955500000,13.2292,13.2292,13.216,13.216,342
1569958200000,13.18,13.2049,13.18,13.2049,1147
1569959100000,13.18,13.19,13.18,13.18,500
1570023000000,13.17,13.1904,13.17,13.1904,1382
1570024800000,13.248,13.248,13.248,13.248,478
1570026600000,13.2,13.2,13.2,13.2,1598
1570027500000,13.18,13.18,13.18,13.18,100
1570028400000,13.18,13.18,13.15,13.15,3157
1570029300000,13.18,13.19,13.13,13.19,2200
1570030200000,13.13,13.19,13.12,13.14,3175
1570031100000,13.13,13.18,13.12,13.175,4288
1570032000000,13.16,13.16,13.13,13.16,400
1570032900000,13.16,13.16,13.13,13.16,800
1570033800000,13.16,13.165,13.13,13.165,700
1570034700000,13.1899,13.19,13.1374,13.1891,5919
1570035600000,13.14,13.14,13.13,13.14,600
1570036500000,13.14,13.175,13.13,13.13,1200
1570037400000,13.18,13.1979,13.15,13.185,1948
1570038300000,13.19,13.19,13.185,13.185,2200
1570039200000,13.16,13.19,13.15,13.15,3602
1570040100000,13.15,13.15,13.1,13.1,2000
1570041000000,13.11,13.11,13.11,13.11,600
1570041900000,13.11,13.11,13.11,13.11,600
1570042800000,13.11,13.115,13.11,13.115,1400
