datetime,open,high,low,close,volume
1569504600000,22.29,22.69,22.29,22.69,29251
1569505500000,22.7075,22.7075,22.43,22.55,15868
1569506400000,22.55,22.6,22.42,22.465,21529
1569507300000,22.45,22.63,22.44,22.57,15490
1569508200000,22.58,22.58,22.13,22.13,19748
1569509100000,22.11,22.205,22.11,22.13,8100
1569510000000,22.13,22.19,22.06,22.19,4800
1569510900000,22.215,22.28,22.215,22.27,6132
1569511800000,22.26,22.41,22.18,22.41,13356
1569512700000,22.37,22.39,22.3,22.39,4421
1569513600000,22.38,22.5,22.36,22.43,13350
1569514500000,22.42,22.5,22.4,22.45,6679
1569515400000,22.43,22.5717,22.43,22.51,6796
1569516300000,22.51,22.57,22.39,22.39,10504
1569517200000,22.4,22.45,22.39,22.4,4478
1569518100000,22.39,22.42,22.38,22.4,5892
1569519000000,22.405,22.515,22.38,22.5,9699
1569519900000,22.52,22.53,22.48,22.52,7800
1569520800000,22.53,22.58,22.47,22.5,9996
1569521700000,22.51,22.56,22.48,22.515,6969
1569522600000,22.51,22.63,22.48,22.61,8865
1569523500000,22.64,22.64,22.49,22.5,10072
1569524400000,22.52,22.55,22.47,22.47,10053
1569525300000,22.47,22.57,22.47,22.54,18027
1569526200000,22.55,22.55,22.44,22.44,13666
1569527100000,22.445,22.52,22.42,22.47,51403
1569591000000,22.53,22.86,22.5,22.85,15303
1569591900000,22.82,22.98,22.72,22.79,10818
1569592800000,22.77,22.77,22.62,22.62,6658
1569593700000,22.61,22.8639,22.61,22.77,13286
1569594600000,22.78,22.9,22.75,22.8,11814
1569595500000,22.82,22.82,22.72,22.76,3022
1569596400000,22.785,22.785,22.7,22.73,6750
1569597300000,22.72,22.87,22.7,22.83,15374
1569598200000,22.84,22.858,22.57,22.57,12273
1569599100000,22.6,22.83,22.6,22.75,6654
1569600000000,22.78,22.78,22.69,22.7,3175
1569600900000,22.72,22.82,22.63,22.79,9018
1569601800000,22.79,22.89,22.74,22.85,9495
1569602700000,22.8401,22.88,22.82,22.82,4957
1569603600000,22.83,22.96,22.8,22.95,11491
1569604500000,22.96,22.965,22.83,22.85,14027
1569605400000,22.855,22.855,22.77,22.785,10191
1569606300000,22.77,22.9,22.74,22.87,14605
1569607200000,22.89,22.91,22.8203,22.91,10231
1569608100000,22.9098,22.93,22.86,22.88,11561
1569609000000,22.895,22.95,22.845,22.9385,8473
1569609900000,22.93,22.97,22.91,22.97,12496
1569610800000,22.97,22.98,22.825,22.84,12628
1569611700000,22.85,22.91,22.82,22.9,16896
1569612600000,22.86,23.0,22.845,22.9866,30189
1569613500000,22.99,23.0,22.87,22.94,60008
1569850200000,22.92,23.25,22.885,23.12,17984
1569851100000,23.08,23.12,22.94,23.001,7703
1569852000000,23.0,23.0,22.8,22.875,11021
1569852900000,22.89,22.99,22.86,22.88,17410
1569853800000,22.87,22.97,22.87,22.92,7014
1569854700000,22.915,22.915,22.8,22.86,8762
1569855600000,22.83,22.93,22.82,22.87,8925
1569856500000,22.86,22.89,22.82,22.84,9712
1569857400000,22.85,22.87,22.83,22.845,6215
1569858300000,22.84,22.89,22.8,22.83,5089
1569859200000,22.82,22.84,22.78,22.79,7463
1569860100000,22.8,22.86,22.795,22.81,8310
1569861000000,22.81,22.81,22.78,22.8,2240
1569861900000,22.805,22.81,22.73,22.79,8949
1569862800000,22.79,22.85,22.79,22.83,5498
1569863700000,22.83,22.85,22.77,22.83,6635
1569864600000,22.83,22.84,22.77,22.83,9113
1569865500000,22.83,23.07,22.815,23.06,37704
1569866400000,23.061,23.125,23.03,23.11,7839
1569867300000,23.13,23.15,23.101,23.14,6500
1569868200000,23.15,23.22,23.15,23.1672,12280
1569869100000,23.18,23.18,23.09,23.125,18202
1569870000000,23.12,23.12,23.02,23.03,12383
1569870900000,23.02,23.025,22.97,22.97,15230
1569871800000,22.96,23.01,22.93,22.93,21991
1569872700000,22.93,23.0,22.9,22.9,40198
1569936600000,22.93,23.35,22.93,23.29,16856
1569937500000,23.34,23.4,23.31,23.33,10885
1569938400000,23.32,23.37,23.22,23.33,8646
1569939300000,23.33,23.38,23.32,23.38,9774
1569940200000,23.385,23.63,23.36,23.63,28319
1569941100000,23.611,23.68,23.49,23.515,20408
1569942000000,23.515,23.64,23.5,23.57,12350
1569942900000,23.55,23.6,23.44,23.485,12703
1569943800000,23.47,23.49,23.3,23.315,24704
1569944700000,23.32,23.37,23.21,23.37,20419
1569945600000,23.37,23.37,23.26,23.26,11571
1569946500000,23.24,23.27,23.2,23.24,10611
1569947400000,23.25,23.4,23.25,23.375,19722
1569948300000,23.375,23.395,23.32,23.32,6744
1569949200000,23.31,23.3622,23.26,23.3622,7857
1569950100000,23.37,23.37,23.25,23.32,4051
1569951000000,23.3,23.34,23.23,23.23,7000
1569951900000,23.235,23.3,23.2,23.3,12322
1569952800000,23.28,23.33,23.19,23.255,7746
1569953700000,23.26,23.26,23.19,23.25,6172
1569954600000,23.295,23.35,23.23,23.24,8362
1569955500000,23.23,23.235,23.18,23.205,6400
1569956400000,23.21,23.23,23.16,23.185,8200
1569957300000,23.195,23.195,23.13,23.14,12927
1569958200000,23.14,23.15,23.07,23.08,17487
1569959100000,23.08,23.09,22.91,22.92,63705
1570023000000,22.77,22.8,22.35,22.69,33360
1570023900000,22.6703,22.6703,22.46,22.565,13328
1570024800000,22.56,22.61,22.45,22.61,28523
1570025700000,22.54,22.93,22.54,22.74,22378
1570026600000,22.74,22.9,22.7301,22.765,14283
1570027500000,22.76,22.79,22.66,22.72,28504
1570028400000,22.7,22.735,22.5,22.56,21956
1570029300000,22.58,22.58,22.4,22.42,12590
1570030200000,22.44,22.47,22.39,22.46,5344
1570031100000,22.47,22.52,22.45,22.45,7900
1570032000000,22.47,22.525,22.4,22.4,8713
1570032900000,22.41,22.528,22.39,22.52,13986
1570033800000,22.51,22.525,22.49,22.49,9970
1570034700000,22.49,22.53,22.47,22.47,10080
1570035600000,22.485,22.485,22.39,22.415,12626
