datetime,open,high,low,close,volume
1569504600000,5.05,5.06,5.05,5.055,26207
1569505500000,5.06,5.06,5.05,5.05,2700
1569506400000,5.04,5.06,5.04,5.055,9995
1569507300000,5.055,5.06,5.055,5.06,1082
1569508200000,5.06,5.06,5.05,5.05,1200
1569509100000,5.06,5.06,5.0518,5.06,1692
1569510000000,5.06,5.06,5.045,5.045,11926
1569510900000,5.045,5.045,5.04,5.045,13000
1569511800000,5.05,5.05,5.045,5.045,1566
1569512700000,5.05,5.05,5.045,5.045,700
1569513600000,5.05,5.05,5.04,5.045,900
1569514500000,5.045,5.045,5.045,5.045,900
1569515400000,5.045,5.055,5.04,5.055,15697
1569516300000,5.055,5.06,5.05,5.055,9047
1569517200000,5.055,5.06,5.05,5.055,3978
1569518100000,5.055,5.06,5.055,5.055,2215
1569519000000,5.052,5.052,5.05,5.05,3419
1569519900000,5.0469,5.05,5.0469,5.05,1114
1569521700000,5.045,5.05,5.045,5.0469,992
1569522600000,5.05,5.05,5.05,5.05,100
1569523500000,5.0469,5.05,5.04,5.05,6898
1569524400000,5.045,5.045,5.0401,5.045,892
1569525300000,5.05,5.05,5.045,5.045,5170
1569526200000,5.045,5.05,5.04,5.04,6362
1569527100000,5.0463,5.05,5.04,5.045,5156
1569591000000,5.05,5.0586,5.05,5.05,7100
1569591900000,5.055,5.06,5.055,5.055,2800
1569592800000,5.055,5.06,5.055,5.055,1700
1569593700000,5.06,5.06,5.0546,5.0546,350
1569594600000,5.0593,5.06,5.0535,5.0593,2275
1569595500000,5.06,5.06,5.055,5.055,9112
1569596400000,5.055,5.055,5.05,5.055,5552
1569597300000,5.055,5.06,5.05,5.05,20035
1569598200000,5.05,5.055,5.05,5.05,1300
1569599100000,5.055,5.055,5.05,5.05,1200
1569600000000,5.05,5.055,5.05,5.05,3200
1569600900000,5.05,5.058,5.05,5.05,10100
1569601800000,5.05,5.055,5.05,5.05,5562
1569602700000,5.055,5.055,5.05,5.05,5100
1569603600000,5.05,5.055,5.05,5.05,7400
1569604500000,5.05,5.055,5.05,5.05,6200
1569605400000,5.05,5.0565,5.05,5.05,9233
1569606300000,5.05,5.0599,5.05,5.05,6495
1569607200000,5.05,5.055,5.05,5.05,9017
1569608100000,5.05,5.06,5.05,5.055,9440
1569609000000,5.05,5.0565,5.05,5.055,6551
1569609900000,5.05,5.055,5.05,5.05,6640
1569610800000,5.05,5.055,5.05,5.05,10204
1569611700000,5.05,5.0581,5.05,5.055,15562
1569612600000,5.05,5.055,5.05,5.05,16874
1569613500000,5.05,5.06,5.04,5.05,24089
1569850200000,5.05,5.05,5.04,5.04,13192
1569851100000,5.04,5.04,5.04,5.04,100
1569852900000,5.0499,5.0499,5.0499,5.0499,200
1569853800000,5.05,5.05,5.05,5.05,1782
1569858300000,5.0463,5.05,5.0463,5.05,12883
1569859200000,5.0499,5.05,5.045,5.047,4472
1569860100000,5.04,5.045,5.04,5.04,1200
1569861000000,5.04,5.0499,5.04,5.04,5600
1569861900000,5.04,5.0528,5.04,5.0528,5696
1569862800000,5.05,5.05,5.05,5.05,982
1569863700000,5.05,5.0569,5.05,5.0521,2716
1569864600000,5.05,5.05,5.05,5.05,1200
1569865500000,5.05,5.0533,5.05,5.05,2900
1569866400000,5.05,5.05,5.05,5.05,2000
1569867300000,5.05,5.055,5.0401,5.0401,7522
1569868200000,5.045,5.045,5.04,5.04,1795
1569869100000,5.04,5.065,5.04,5.06,33796
1569870000000,5.06,5.0621,5.06,5.06,6584
1569870900000,5.06,5.07,5.06,5.065,29372
1569871800000,5.065,5.065,5.0626,5.065,2311
1569872700000,5.065,5.07,5.05,5.05,17816
1569936600000,5.07,5.07,5.05,5.05,14449
1569937500000,5.05,5.06,5.05,5.055,2200
1569938400000,5.05,5.06,5.05,5.05,12092
1569939300000,5.055,5.06,5.05,5.055,7635
1569940200000,5.055,5.055,5.04,5.04,60114
1569941100000,5.04,5.0415,5.04,5.04,2560
1569942000000,5.04,5.04,5.04,5.04,2600
1569942900000,5.04,5.04,5.04,5.04,2800
1569943800000,5.04,5.04,5.04,5.04,2900
1569944700000,5.04,5.042,5.04,5.04,2765
1569945600000,5.04,5.04,5.04,5.04,9899
1569946500000,5.04,5.04,5.04,5.04,2800
1569947400000,5.04,5.04,5.04,5.04,3400
1569948300000,5.04,5.04,5.04,5.04,5674
1569949200000,5.04,5.05,5.03,5.03,9879
1569950100000,5.0368,5.0368,5.02,5.02,5809
1569951000000,5.02,5.025,5.02,5.02,3150
1569951900000,5.02,5.022,5.02,5.02,8000
1569952800000,5.02,5.025,5.02,5.02,3147
1569953700000,5.02,5.025,5.02,5.02,2936
1569954600000,5.02,5.02,5.02,5.02,2600
1569955500000,5.02,5.03,5.02,5.03,9800
1569956400000,5.03,5.0319,5.03,5.03,6600
1569957300000,5.03,5.04,5.025,5.025,8000
1569958200000,5.025,5.03,5.02,5.02,21302
1569959100000,5.02,5.03,5.02,5.02,26503
1570023000000,5.02,5.02,5.02,5.02,19992
1570023900000,5.03,5.03,5.01,5.02,8679
1570024800000,5.03,5.03,5.01,5.02,24221
1570025700000,5.02,5.03,5.01,5.03,8400
1570026600000,5.03,5.03,5.02,5.0274,26572
