datetime,open,high,low,close,volume
1591968600000,5.88,5.99,5.88,5.9014,65746
1591969500000,5.9199,5.9199,5.87,5.91,38278
1591970400000,5.903,5.92,5.88,5.92,37450
1591971300000,5.9062,5.9062,5.89,5.89,2364
1591972200000,5.8933,5.9,5.86,5.865,20499
1591973100000,5.86,5.86,5.83,5.83,17125
1591974000000,5.83,5.835,5.81,5.81,10970
1591974900000,5.8101,5.82,5.8,5.815,5300
1591975800000,5.81,5.83,5.81,5.83,3406
1591976700000,5.83,5.84,5.82,5.84,3759
1591977600000,5.84,5.848,5.83,5.83,3953
1591978500000,5.8462,5.85,5.82,5.825,5842
1591979400000,5.8299,5.838,5.823,5.83,3800
1591980300000,5.83,5.83,5.82,5.83,5331
1591981200000,5.83,5.835,5.83,5.83,2301
1591982100000,5.83,5.835,5.82,5.82,1300
1591983000000,5.82,5.83,5.82,5.825,2300
1591983900000,5.82,5.82,5.805,5.805,3330
1591984800000,5.805,5.81,5.8,5.81,3980
1591985700000,5.815,5.815,5.81,5.81,1500
1591986600000,5.81,5.8169,5.81,5.81,2700
1591987500000,5.81,5.815,5.81,5.81,1500
1591988400000,5.81,5.86,5.81,5.85,11691
1591989300000,5.855,5.855,5.83,5.83,3702
1591990200000,5.835,5.85,5.835,5.845,6000
1591991100000,5.845,5.87,5.84,5.86,19819
