datetime,open,high,low,close,volume
1569504600000,2.0,2.0,1.86,1.97,1546137
1569505500000,1.9701,1.975,1.91,1.92,456953
1569506400000,1.91,1.92,1.885,1.895,923960
1569507300000,1.9,1.9,1.875,1.895,540602
1569508200000,1.8994,1.91,1.87,1.8799,616315
1569509100000,1.88,1.9,1.87,1.9,379055
1569510000000,1.9,1.9,1.89,1.895,296243
1569510900000,1.89,1.91,1.89,1.89,279509
1569511800000,1.9,1.9,1.89,1.9,54509
1569512700000,1.895,1.9,1.87,1.88,183567
1569513600000,1.87,1.89,1.8684,1.875,346033
1569514500000,1.87,1.9,1.87,1.9,370281
1569515400000,1.9,1.9,1.89,1.89,68097
1569516300000,1.895,1.91,1.88,1.905,205794
1569517200000,1.905,1.92,1.9,1.915,92423
1569518100000,1.91,1.925,1.91,1.915,107879
1569519000000,1.91,1.92,1.9,1.9,216187
1569519900000,1.9,1.91,1.89,1.905,239223
1569520800000,1.905,1.92,1.9028,1.92,92806
1569521700000,1.915,1.94,1.91,1.94,223337
1569522600000,1.94,1.95,1.925,1.93,368707
1569523500000,1.94,1.94,1.92,1.93,79732
1569524400000,1.93,1.95,1.925,1.935,335245
1569525300000,1.94,1.94,1.91,1.91,128812
1569526200000,1.915,1.93,1.91,1.92,246205
1569527100000,1.915,1.92,1.9,1.91,577248
1569591000000,1.85,1.89,1.82,1.88,786742
1569591900000,1.88,1.9,1.87,1.895,312019
1569592800000,1.895,1.91,1.885,1.9,123728
1569593700000,1.9,1.92,1.885,1.9,671413
1569594600000,1.9,1.905,1.89,1.89,121712
1569595500000,1.89,1.9,1.89,1.9,68809
1569596400000,1.9,1.9,1.875,1.89,243979
1569597300000,1.89,1.89,1.87,1.875,139209
1569598200000,1.875,1.92,1.87,1.915,299431
1569599100000,1.915,1.92,1.89,1.89,229049
1569600000000,1.89,1.92,1.89,1.92,262466
1569600900000,1.916,1.93,1.9148,1.93,143233
1569601800000,1.93,1.95,1.925,1.935,184222
1569602700000,1.935,1.955,1.935,1.9499,156376
1569603600000,1.95,1.96,1.95,1.955,269795
1569604500000,1.955,1.97,1.95,1.965,114661
1569605400000,1.965,1.99,1.965,1.9701,339261
1569606300000,1.975,1.98,1.96,1.96,237008
1569607200000,1.97,1.98,1.96,1.97,149846
1569608100000,1.975,1.98,1.96,1.96,168681
1569609000000,1.96,1.97,1.96,1.965,63343
1569609900000,1.97,1.975,1.96,1.965,241305
1569610800000,1.965,1.97,1.96,1.97,133538
1569611700000,1.97,1.97,1.96,1.965,190958
1569612600000,1.965,1.97,1.95,1.95,142439
1569613500000,1.95,1.96,1.94,1.94,537999
1569850200000,1.9,1.905,1.85,1.87,582978
1569851100000,1.87,1.87,1.83,1.83,421431
1569852000000,1.83,1.84,1.81,1.815,331586
1569852900000,1.82,1.84,1.81,1.835,590028
1569853800000,1.84,1.84,1.81,1.82,260312
1569854700000,1.83,1.83,1.77,1.785,786181
1569855600000,1.79,1.795,1.74,1.75,791600
1569856500000,1.7521,1.76,1.75,1.755,338037
1569857400000,1.755,1.79,1.755,1.79,452014
1569858300000,1.79,1.8,1.78,1.79,238885
1569859200000,1.785,1.79,1.78,1.7866,90081
1569860100000,1.785,1.8,1.78,1.795,352356
1569861000000,1.8,1.8,1.79,1.79,117788
1569861900000,1.79,1.8,1.78,1.785,175909
1569862800000,1.781,1.79,1.77,1.77,125284
1569863700000,1.77,1.775,1.76,1.76,191057
1569864600000,1.765,1.77,1.76,1.765,100197
1569865500000,1.765,1.77,1.76,1.765,37154
1569866400000,1.765,1.77,1.76,1.77,58144
1569867300000,1.76,1.77,1.76,1.76,151675
1569868200000,1.76,1.77,1.76,1.765,328878
1569869100000,1.765,1.77,1.76,1.765,255364
1569870000000,1.76,1.7658,1.75,1.75,240653
1569870900000,1.75,1.76,1.74,1.755,659776
1569871800000,1.755,1.76,1.75,1.755,240835
1569872700000,1.755,1.76,1.75,1.755,275231
1569936600000,1.78,1.81,1.76,1.785,435472
1569937500000,1.78,1.81,1.78,1.8,208762
1569938400000,1.8,1.84,1.795,1.835,703823
1569939300000,1.84,1.87,1.82,1.85,913924
1569940200000,1.85,1.87,1.8401,1.865,257266
1569941100000,1.8688,1.87,1.845,1.86,255978
1569942000000,1.86,1.89,1.86,1.865,113499
1569942900000,1.86,1.87,1.86,1.865,69230
1569943800000,1.86,1.87,1.85,1.85,166702
1569944700000,1.8501,1.87,1.85,1.8601,110579
1569945600000,1.8601,1.88,1.86,1.8697,477023
1569946500000,1.865,1.87,1.85,1.855,84127
1569947400000,1.86,1.86,1.84,1.85,107654
1569948300000,1.845,1.85,1.84,1.84,42028
1569949200000,1.84,1.8456,1.83,1.84,171499
1569950100000,1.845,1.85,1.84,1.84,43991
1569951000000,1.84,1.85,1.84,1.85,155746
1569951900000,1.84,1.8461,1.84,1.845,31495
1569952800000,1.845,1.845,1.83,1.835,105707
1569953700000,1.835,1.836,1.83,1.835,28915
1569954600000,1.835,1.84,1.83,1.835,21107
1569955500000,1.835,1.84,1.82,1.83,239401
1569956400000,1.8201,1.84,1.82,1.8378,251697
1569957300000,1.835,1.84,1.83,1.835,136349
1569958200000,1.835,1.85,1.83,1.845,337729
1569959100000,1.85,1.85,1.83,1.83,343875
1570023000000,1.89,1.89,1.84,1.8884,654343
1570023900000,1.89,1.89,1.84,1.84,307391
1570024800000,1.845,1.86,1.83,1.85,312087
1570025700000,1.853,1.87,1.83,1.87,222110
1570026600000,1.865,1.88,1.84,1.87,415057
1570027500000,1.875,1.88,1.8521,1.87,244994
1570028400000,1.875,1.89,1.86,1.885,208021
1570029300000,1.88,1.88,1.86,1.87,197322
1570030200000,1.87,1.89,1.86,1.86,237602
1570031100000,1.86,1.885,1.86,1.875,812664
1570032000000,1.87,1.9,1.87,1.9,187303
1570032900000,1.895,1.9,1.86,1.875,363230
1570033800000,1.875,1.89,1.87,1.88,150484
1570034700000,1.88,1.8901,1.87,1.8893,323107
1570035600000,1.89,1.89,1.87,1.89,122190
1570036500000,1.88,1.9,1.88,1.89,99634
1570037400000,1.89,1.91,1.88,1.905,384174
1570038300000,1.9,1.905,1.89,1.895,249093
1570039200000,1.895,1.9,1.88,1.88,95941
1570040100000,1.88,1.9,1.87,1.89,466827
1570041000000,1.9,1.905,1.89,1.89,215364
1570041900000,1.895,1.92,1.89,1.9141,290532
1570042800000,1.91,1.92,1.91,1.915,102101
1570043700000,1.91,1.94,1.9,1.92,772036
1570044600000,1.925,1.93,1.91,1.91,343977
1570045500000,1.915,1.94,1.91,1.94,633600
1570109400000,1.92,1.94,1.88,1.9,362945
1570110300000,1.9,1.91,1.89,1.91,197682
1570111200000,1.91,1.95,1.905,1.935,935422
1570112100000,1.9399,1.95,1.91,1.92,492126
1570113000000,1.92,1.925,1.9,1.92,336078
1570113900000,1.92,1.95,1.915,1.94,357854
1570114800000,1.94,1.95,1.92,1.9201,264549
1570115700000,1.92,1.925,1.9,1.92,181691
1570116600000,1.9176,1.93,1.9,1.9,214812
1570117500000,1.9,1.93,1.9,1.915,222075
1570118400000,1.91,1.915,1.89,1.895,104736
1570119300000,1.895,1.9,1.89,1.895,74409
1570120200000,1.89,1.91,1.89,1.9,105483
1570121100000,1.91,1.91,1.9,1.905,65681
1570122000000,1.9,1.905,1.89,1.89,189378
1570122900000,1.895,1.9,1.89,1.895,182777
1570123800000,1.89,1.9,1.89,1.89,64547
1570124700000,1.895,1.92,1.89,1.915,139074
1570125600000,1.92,1.94,1.91,1.92,228957
1570126500000,1.92,1.92,1.9,1.91,340863
1570127400000,1.91,1.9199,1.9,1.905,78628
1570128300000,1.9,1.91,1.9,1.905,47334
1570129200000,1.9,1.91,1.9,1.9,41970
1570130100000,1.9,1.91,1.9,1.91,98031
1570131000000,1.9,1.91,1.88,1.88,297322
1570131900000,1.88,1.89,1.88,1.89,600875
1570195800000,1.87,1.89,1.86,1.865,228666
1570196700000,1.87,1.87,1.85,1.855,152787
1570197600000,1.85,1.8801,1.845,1.87,167689
1570198500000,1.87,1.87,1.86,1.86,62368
1570199400000,1.86,1.88,1.86,1.875,67667
1570200300000,1.875,1.89,1.87,1.87,152654
1570201200000,1.87,1.91,1.86,1.895,386216
1570202100000,1.895,1.9071,1.88,1.88,211410
1570203000000,1.88,1.88,1.87,1.87,36110
1570203900000,1.87,1.88,1.86,1.87,150651
1570204800000,1.88,1.88,1.87,1.87,23621
1570205700000,1.87,1.88,1.87,1.875,38731
1570206600000,1.875,1.88,1.87,1.87,49980
1570207500000,1.88,1.9,1.87,1.9,338664
1570208400000,1.895,1.9,1.89,1.89,56836
1570209300000,1.9,1.905,1.89,1.9033,128444
1570210200000,1.905,1.92,1.9001,1.91,178696
1570211100000,1.91,1.915,1.89,1.89,163613
1570212000000,1.89,1.9,1.88,1.89,257726
1570212900000,1.895,1.9,1.89,1.89,32841
1570213800000,1.895,1.91,1.89,1.9,40176
1570214700000,1.9,1.915,1.9,1.91,206876
1570215600000,1.91,1.92,1.9,1.9,171085
1570216500000,1.905,1.91,1.9,1.9,27593
1570217400000,1.91,1.92,1.9,1.915,225582
1570218300000,1.91,1.92,1.91,1.92,424414
1570455000000,1.9,1.93,1.89,1.91,457710
1570455900000,1.91,1.92,1.91,1.91,38489
1570456800000,1.91,1.94,1.91,1.9361,151818
1570457700000,1.93,1.95,1.93,1.945,145346
1570458600000,1.9401,1.96,1.93,1.945,210723
1570459500000,1.945,1.96,1.94,1.96,104140
1570460400000,1.955,1.97,1.94,1.965,188007
1570461300000,1.97,1.97,1.95,1.96,97251
1570462200000,1.96,1.97,1.95,1.955,506692
1570463100000,1.95,1.96,1.94,1.94,117349
1570464000000,1.94,1.95,1.935,1.94,135704
1570464900000,1.9444,1.95,1.94,1.95,69241
1570465800000,1.945,1.95,1.94,1.945,60800
1570466700000,1.94,1.95,1.94,1.94,23443
1570467600000,1.95,1.95,1.94,1.94,26386
1570468500000,1.94,1.95,1.94,1.94,22951
1570469400000,1.94,1.95,1.92,1.92,166897
1570470300000,1.92,1.93,1.91,1.92,165992
1570471200000,1.92,1.93,1.91,1.93,221991
1570472100000,1.9222,1.94,1.91,1.93,201898
1570473000000,1.93,1.93,1.92,1.93,37971
1570473900000,1.925,1.935,1.92,1.92,105241
1570474800000,1.92,1.93,1.92,1.92,44986
1570475700000,1.925,1.93,1.91,1.92,186828
1570476600000,1.92,1.94,1.92,1.935,101106
1570477500000,1.935,1.94,1.92,1.93,408967
1570541400000,1.97,2.04,1.97,2.03,1181407
1570542300000,2.03,2.04,2.015,2.015,846843
1570543200000,2.015,2.03,2.0,2.025,501764
1570544100000,2.025,2.04,2.02,2.035,256181
1570545000000,2.035,2.04,2.01,2.02,348056
1570545900000,2.01,2.03,2.01,2.015,382650
1570546800000,2.015,2.02,2.0,2.005,142903
1570547700000,2.005,2.02,2.0,2.02,146862
1570548600000,2.015,2.03,2.01,2.025,120271
1570549500000,2.025,2.03,2.01,2.015,331047
1570550400000,2.02,2.02,2.01,2.015,54260
1570551300000,2.0149,2.0174,2.0,2.005,230344
1570552200000,2.0,2.01,2.0,2.0094,51547
1570553100000,2.005,2.01,2.0,2.0,57920
1570554000000,2.0,2.01,2.0,2.005,85932
1570554900000,2.0047,2.01,2.0,2.005,53643
1570555800000,2.0,2.02,2.0,2.02,130623
1570556700000,2.02,2.04,2.015,2.035,401273
1570557600000,2.04,2.04,2.02,2.02,160009
1570558500000,2.02,2.04,2.01,2.01,982707
1570559400000,2.015,2.02,1.98,1.995,884225
1570560300000,1.99,2.0,1.99,1.99,196870
1570561200000,1.99,2.02,1.99,2.02,253122
1570562100000,2.02,2.02,2.0,2.005,316039
1570563000000,2.0,2.03,2.0,2.0095,510729
1570563900000,2.005,2.02,2.0,2.01,1078988
1570627800000,2.03,2.03,2.0,2.0,217623
1570628700000,2.0,2.03,2.0,2.02,373992
1570629600000,2.02,2.02,1.99,1.99,222776
1570630500000,1.99,2.005,1.98,2.0,389630
1570631400000,2.0,2.0,1.97,1.985,201125
1570632300000,1.985,2.005,1.98,1.9848,299644
1570633200000,1.99,1.99,1.97,1.97,196601
1570634100000,1.975,1.98,1.97,1.97,98879
1570635000000,1.97,1.99,1.97,1.985,55455
1570635900000,1.99,2.01,1.9801,2.01,132932
1570636800000,2.01,2.01,1.98,1.98,228416
1570637700000,1.985,1.9881,1.97,1.97,198955
1570638600000,1.97,1.98,1.97,1.97,51723
1570639500000,1.97,1.975,1.96,1.9627,92454
1570640400000,1.97,2.01,1.97,2.0,600958
1570641300000,2.0,2.0,1.98,1.98,444436
1570642200000,1.98,1.995,1.98,1.985,274916
1570643100000,1.99,1.99,1.98,1.99,78175
1570644000000,1.99,2.0,1.98,1.985,676567
1570644900000,1.99,2.0,1.98,1.995,247116
1570645800000,1.99,1.99,1.97,1.9899,277241
1570646700000,1.99,1.99,1.96,1.975,290159
1570647600000,1.98,1.98,1.96,1.97,111511
1570648500000,1.96,1.98,1.96,1.98,512835
1570649400000,1.98,1.98,1.97,1.98,170408
1570650300000,1.98,1.99,1.96,1.97,902932
1570714200000,1.97,1.98,1.93,1.9458,474373
1570715100000,1.95,1.9699,1.92,1.92,693573
1570716000000,1.93,1.93,1.9,1.91,318092
1570716900000,1.91,1.92,1.89,1.89,465532
1570717800000,1.895,1.93,1.89,1.925,920171
1570718700000,1.92,1.945,1.92,1.935,207636
1570719600000,1.9326,1.955,1.93,1.94,376740
1570720500000,1.94,1.95,1.93,1.95,295731
1570721400000,1.945,1.95,1.93,1.93,354894
1570722300000,1.935,1.94,1.93,1.94,38116
1570723200000,1.93,1.9559,1.93,1.9487,275864
1570724100000,1.95,1.97,1.9403,1.97,370858
1570725000000,1.97,1.97,1.94,1.95,399868
1570725900000,1.95,1.955,1.94,1.94,145048
1570726800000,1.945,1.97,1.94,1.965,258091
1570727700000,1.97,1.97,1.96,1.97,110597
1570728600000,1.97,1.975,1.96,1.965,126638
1570729500000,1.97,1.98,1.965,1.975,127748
1570730400000,1.97,1.985,1.97,1.98,254481
1570731300000,1.98,1.985,1.97,1.975,270991
1570732200000,1.98,1.99,1.97,1.975,168129
1570733100000,1.97,1.98,1.97,1.9744,51511
1570734000000,1.976,1.99,1.975,1.99,202277
1570734900000,1.985,1.995,1.975,1.99,410226
1570735800000,1.99,1.99,1.98,1.99,191526
1570736700000,1.985,2.0,1.98,1.99,1017582
1570800600000,1.96,1.96,1.93,1.935,409209
1570801500000,1.9314,1.9491,1.9,1.91,406039
1570802400000,1.91,1.92,1.9,1.9067,415399
1570803300000,1.9,1.91,1.89,1.9,322014
1570804200000,1.89,1.92,1.89,1.915,300116
1570805100000,1.9198,1.945,1.9198,1.94,276871
1570806000000,1.94,1.955,1.93,1.935,264745
1570806900000,1.94,1.95,1.935,1.94,213827
1570807800000,1.94,1.94,1.92,1.935,226240
1570808700000,1.94,1.95,1.93,1.94,292448
1570809600000,1.94,1.94,1.91,1.915,378714
1570810500000,1.92,1.93,1.91,1.93,112805
1570811400000,1.93,1.93,1.92,1.93,190504
1570812300000,1.925,1.93,1.9229,1.93,26388
1570813200000,1.9285,1.94,1.92,1.94,179644
1570814100000,1.935,1.94,1.925,1.9344,136644
1570815000000,1.94,1.94,1.92,1.93,198944
1570815900000,1.93,1.935,1.915,1.92,307085
1570816800000,1.915,1.94,1.91,1.94,348274
1570817700000,1.93,1.94,1.93,1.935,56278
1570818600000,1.935,1.94,1.92,1.94,232845
1570819500000,1.935,1.94,1.93,1.935,59917
1570820400000,1.94,1.94,1.91,1.9246,359131
1570821300000,1.925,1.93,1.91,1.915,195029
1570822200000,1.915,1.92,1.895,1.9,561158
1570823100000,1.9,1.91,1.89,1.91,1041959
1571059800000,1.92,1.92,1.89,1.9,331003
1571060700000,1.9099,1.92,1.9,1.905,171237
1571061600000,1.905,1.91,1.9,1.9,91065
1571062500000,1.9,1.91,1.89,1.905,183030
1571063400000,1.9,1.9299,1.9,1.91,492836
1571064300000,1.915,1.935,1.91,1.92,277995
1571065200000,1.9248,1.93,1.91,1.915,118963
1571066100000,1.915,1.92,1.91,1.915,58611
1571067000000,1.92,1.92,1.91,1.91,37926
1571067900000,1.9113,1.92,1.91,1.915,20042
1571068800000,1.91,1.915,1.91,1.915,18824
1571069700000,1.91,1.915,1.9,1.905,155537
1571070600000,1.9,1.92,1.9,1.9161,84580
1571071500000,1.91,1.92,1.9,1.9,145204
1571072400000,1.9,1.91,1.9,1.9,36947
1571073300000,1.9,1.905,1.9,1.9,54921
1571074200000,1.9,1.91,1.895,1.9,137307
1571075100000,1.9,1.91,1.89,1.895,81767
1571076000000,1.89,1.9,1.89,1.89,82673
1571076900000,1.89,1.895,1.88,1.88,120536
1571077800000,1.88,1.89,1.88,1.88,22363
1571078700000,1.88,1.88,1.87,1.87,83226
1571079600000,1.875,1.9,1.87,1.88,342712
1571080500000,1.885,1.89,1.87,1.875,76332
1571081400000,1.875,1.88,1.86,1.86,192382
1571082300000,1.86,1.88,1.86,1.875,569009
1571146200000,1.86,1.87,1.85,1.85,325980
1571147100000,1.85,1.885,1.845,1.87,432770
1571148000000,1.865,1.87,1.84,1.84,162237
1571148900000,1.84,1.8576,1.83,1.855,155940
1571149800000,1.85,1.86,1.83,1.845,274738
1571150700000,1.84,1.86,1.84,1.84,275682
1571151600000,1.845,1.845,1.82,1.83,300335
1571152500000,1.835,1.86,1.83,1.845,157510
1571153400000,1.84,1.85,1.83,1.84,117770
1571154300000,1.8451,1.85,1.83,1.845,388196
1571155200000,1.845,1.845,1.82,1.825,169283
1571156100000,1.82,1.83,1.82,1.82,164420
1571157000000,1.825,1.8492,1.82,1.835,303202
1571157900000,1.835,1.84,1.83,1.83,160909
1571158800000,1.835,1.84,1.82,1.825,77763
1571159700000,1.8243,1.83,1.815,1.825,111908
1571160600000,1.83,1.83,1.8,1.8,163155
1571161500000,1.805,1.81,1.78,1.795,654589
1571162400000,1.8,1.8196,1.797,1.81,178269
1571163300000,1.81,1.83,1.81,1.82,226866
1571164200000,1.82,1.83,1.82,1.82,42700
1571165100000,1.82,1.825,1.81,1.815,126765
1571166000000,1.82,1.82,1.81,1.81,85683
