datetime,open,high,low,close,volume
1569504600000,6.67,6.74,6.61,6.63,8289
1569505500000,6.63,6.64,6.58,6.59,11600
1569506400000,6.6,6.6,6.54,6.55,9185
1569507300000,6.53,6.53,6.49,6.515,8287
1569508200000,6.515,6.52,6.5,6.505,3374
1569509100000,6.505,6.515,6.47,6.48,6500
1569510000000,6.48,6.48,6.435,6.455,8528
1569510900000,6.45,6.455,6.425,6.435,7430
1569511800000,6.435,6.455,6.41,6.42,8999
1569512700000,6.4137,6.425,6.41,6.425,7340
1569513600000,6.425,6.44,6.42,6.43,2200
1569514500000,6.44,6.46,6.43,6.4549,3900
1569515400000,6.455,6.455,6.42,6.425,16718
1569516300000,6.42,6.435,6.42,6.42,15174
1569517200000,6.42,6.425,6.405,6.405,5858
1569518100000,6.4,6.405,6.39,6.39,4100
1569519000000,6.395,6.435,6.395,6.427,10540
1569519900000,6.43,6.435,6.42,6.43,4000
1569520800000,6.44,6.46,6.44,6.46,5400
1569521700000,6.46,6.46,6.44,6.445,8000
1569522600000,6.44,6.49,6.44,6.49,8102
1569523500000,6.48,6.49,6.47,6.47,6726
1569524400000,6.48,6.49,6.46,6.4705,8933
1569525300000,6.48,6.5,6.47,6.48,7815
1569526200000,6.49,6.49,6.465,6.48,14348
1569527100000,6.475,6.485,6.45,6.47,54575
1569591000000,6.46,6.53,6.4247,6.5,8414
1569591900000,6.49,6.49,6.45,6.47,4523
1569592800000,6.48,6.49,6.46,6.47,8490
1569593700000,6.47,6.52,6.47,6.52,7500
1569594600000,6.52,6.65,6.52,6.645,51280
1569595500000,6.65,6.7,6.65,6.695,24462
1569596400000,6.6999,6.715,6.61,6.625,49492
1569597300000,6.625,6.6566,6.62,6.655,9400
1569598200000,6.655,6.66,6.59,6.625,19997
1569599100000,6.615,6.63,6.59,6.63,12703
1569600000000,6.62,6.655,6.62,6.65,10210
1569600900000,6.65,6.665,6.63,6.65,13372
1569601800000,6.65,6.6599,6.64,6.655,10943
1569602700000,6.655,6.66,6.61,6.61,16443
1569603600000,6.61,6.625,6.6,6.62,10539
1569604500000,6.615,6.66,6.615,6.653,48612
1569605400000,6.655,6.69,6.655,6.68,11770
1569606300000,6.68,6.7,6.67,6.7,10586
1569607200000,6.695,6.695,6.66,6.665,8831
1569608100000,6.665,6.6698,6.65,6.65,9900
1569609000000,6.655,6.655,6.64,6.645,4700
1569609900000,6.64,6.64,6.575,6.6,16637
1569610800000,6.6,6.605,6.58,6.58,4000
1569611700000,6.58,6.645,6.57,6.635,26886
1569612600000,6.635,6.7,6.635,6.685,51505
1569613500000,6.68,6.725,6.68,6.71,117154
1569850200000,6.67,6.69,6.62,6.64,16382
1569851100000,6.635,6.635,6.55,6.57,9132
1569852000000,6.56,6.57,6.53,6.545,17809
1569852900000,6.54,6.54,6.49,6.515,25150
1569853800000,6.52,6.52,6.5,6.51,6698
1569854700000,6.515,6.52,6.51,6.51,3260
1569855600000,6.515,6.53,6.49,6.5,25924
1569856500000,6.5,6.51,6.47,6.475,22760
1569857400000,6.47,6.47,6.43,6.44,15763
1569858300000,6.435,6.44,6.42,6.42,4619
1569859200000,6.43,6.48,6.415,6.47,26006
1569860100000,6.47,6.47,6.45,6.47,17827
1569861000000,6.48,6.51,6.48,6.5025,6628
1569861900000,6.505,6.51,6.5,6.505,5894
1569862800000,6.51,6.525,6.5,6.525,12489
1569863700000,6.525,6.53,6.515,6.52,5874
1569864600000,6.53,6.605,6.53,6.605,69174
1569865500000,6.605,6.64,6.605,6.63,14214
1569866400000,6.635,6.64,6.63,6.64,9093
1569867300000,6.635,6.66,6.63,6.65,11138
1569868200000,6.64,6.66,6.62,6.627,16842
1569869100000,6.625,6.64,6.62,6.635,5000
1569870000000,6.64,6.64,6.62,6.625,5621
1569870900000,6.62,6.64,6.62,6.63,15710
1569871800000,6.63,6.63,6.62,6.62,9400
1569872700000,6.63,6.63,6.58,6.58,104698
1569936600000,6.6,6.62,6.59,6.62,6889
1569937500000,6.63,6.64,6.59,6.6,5681
1569938400000,6.59,6.62,6.53,6.53,7405
1569939300000,6.53,6.54,6.51,6.535,4895
1569940200000,6.54,6.54,6.49,6.515,17922
1569941100000,6.52,6.52,6.495,6.5,11243
1569942000000,6.5,6.505,6.48,6.48,21782
1569942900000,6.485,6.5,6.47,6.485,14351
1569943800000,6.49,6.49,6.425,6.435,7886
1569944700000,6.435,6.435,6.4,6.41,9108
1569945600000,6.41,6.41,6.36,6.365,14509
1569946500000,6.36,6.36,6.32,6.325,19164
1569947400000,6.32,6.34,6.31,6.33,11389
1569948300000,6.335,6.34,6.32,6.32,9316
1569949200000,6.31,6.32,6.29,6.29,11802
1569950100000,6.29,6.295,6.27,6.28,13734
1569951000000,6.28,6.28,6.25,6.26,27600
1569951900000,6.26,6.26,6.24,6.24,33375
1569952800000,6.245,6.25,6.22,6.23,11570
1569953700000,6.24,6.25,6.23,6.235,11488
1569954600000,6.235,6.25,6.21,6.225,20024
1569955500000,6.225,6.23,6.195,6.2,21767
1569956400000,6.205,6.215,6.185,6.185,7751
1569957300000,6.18,6.185,6.16,6.16,36314
1569958200000,6.16,6.165,6.13,6.145,21780
1569959100000,6.145,6.16,6.13,6.16,82550
1570023000000,6.11,6.21,6.07,6.11,14450
1570023900000,6.115,6.135,6.08,6.135,8829
1570024800000,6.13,6.16,6.12,6.155,7100
1570025700000,6.16,6.21,6.16,6.175,13886
1570026600000,6.17,6.17,6.12,6.14,10735
1570027500000,6.12,6.15,6.12,6.15,1900
1570028400000,6.14,6.16,6.13,6.13,3600
1570029300000,6.135,6.155,6.13,6.14,5344
1570030200000,6.14,6.15,6.125,6.125,3800
1570031100000,6.12,6.145,6.12,6.145,6198
1570032000000,6.14,6.16,6.14,6.145,10437
1570032900000,6.145,6.16,6.14,6.155,4500
1570033800000,6.155,6.16,6.14,6.145,13600
1570034700000,6.15,6.165,6.14,6.16,5100
1570035600000,6.16,6.195,6.155,6.19,5308
1570036500000,6.185,6.19,6.17,6.18,2100
1570037400000,6.175,6.18,6.16,6.165,9072
1570038300000,6.16,6.17,6.16,6.165,8971
1570039200000,6.16,6.17,6.16,6.16,11000
1570040100000,6.16,6.205,6.16,6.195,15239
1570041000000,6.19,6.2,6.18,6.19,7143
1570041900000,6.19,6.205,6.19,6.2,18324
1570042800000,6.21,6.22,6.2,6.215,8233
1570043700000,6.21,6.22,6.2,6.22,17155
1570044600000,6.215,6.24,6.215,6.23,13850
1570045500000,6.23,6.23,6.21,6.22,36730
1570109400000,6.15,6.21,6.1,6.15,32920
1570110300000,6.13,6.16,6.08,6.1,9021
1570111200000,6.1,6.105,6.065,6.105,35468
1570112100000,6.105,6.115,6.09,6.11,10095
1570113000000,6.1018,6.11,6.09,6.095,9510
1570113900000,6.095,6.1,6.03,6.04,21841
1570114800000,6.04,6.07,6.04,6.065,21674
1570115700000,6.07,6.09,6.05,6.07,6472
1570116600000,6.065,6.065,6.03,6.045,13739
1570117500000,6.04,6.04,6.02,6.0239,1600
1570118400000,6.025,6.04,6.015,6.02,11061
1570119300000,6.02,6.05,6.0,6.05,24181
1570120200000,6.05,6.06,6.04,6.04,4834
1570121100000,6.04,6.075,6.04,6.065,9089
1570122000000,6.07,6.08,6.06,6.075,29457
1570122900000,6.07,6.08,6.07,6.075,6055
1570123800000,6.07,6.099,6.07,6.09,4708
1570124700000,6.09,6.11,6.09,6.095,2800
1570125600000,6.0957,6.0957,6.09,6.09,2200
1570126500000,6.095,6.115,6.095,6.115,3600
1570127400000,6.11,6.117,6.11,6.115,2604
1570128300000,6.11,6.14,6.11,6.13,16326
1570129200000,6.135,6.135,6.13,6.13,3862
1570130100000,6.135,6.145,6.13,6.14,10159
1570131000000,6.13,6.14,6.13,6.13,7314
1570131900000,6.13,6.15,6.13,6.13,47085
1570195800000,6.11,6.2,6.08,6.08,13336
1570196700000,6.08,6.12,6.07,6.12,1200
1570197600000,6.1,6.13,6.05,6.08,42989
1570198500000,6.08,6.08,6.04,6.05,5831
1570199400000,6.04,6.04,6.01,6.015,8047
1570200300000,6.015,6.02,6.0,6.01,22450
1570201200000,6.015,6.025,6.0,6.02,10521
1570202100000,6.02,6.04,6.02,6.02,6600
1570203000000,6.02,6.05,6.0,6.005,30077
1570203900000,6.0,6.03,6.0,6.0252,4968
1570204800000,6.03,6.035,6.03,6.03,2500
1570205700000,6.03,6.05,6.02,6.045,3600
1570206600000,6.045,6.045,6.03,6.03,2300
1570207500000,6.035,6.05,6.03,6.05,4200
1570208400000,6.05,6.05,6.03,6.05,3346
1570209300000,6.05,6.05,6.03,6.035,7700
1570210200000,6.035,6.09,6.035,6.075,25981
1570211100000,6.08,6.12,6.08,6.115,16089
1570212000000,6.11,6.15,6.11,6.15,5000
1570212900000,6.145,6.175,6.145,6.16,20782
1570213800000,6.1675,6.2,6.16,6.17,19229
1570214700000,6.16,6.165,6.14,6.145,9351
1570215600000,6.145,6.15,6.14,6.15,2100
1570216500000,6.14,6.16,6.14,6.155,6837
1570217400000,6.155,6.18,6.15,6.17,11144
1570218300000,6.18,6.18,6.16,6.17,41396
1570455000000,6.11,6.19,6.11,6.12,8443
1570455900000,6.14,6.15,6.08,6.15,6670
1570456800000,6.14,6.19,6.14,6.17,14210
1570457700000,6.17,6.17,6.15,6.155,3390
1570458600000,6.15,6.16,6.15,6.16,1400
1570459500000,6.15,6.1594,6.14,6.155,10575
1570460400000,6.16,6.18,6.16,6.17,4940
1570461300000,6.165,6.165,6.14,6.145,3100
