datetime,open,high,low,close,volume
1591968600000,6.49,6.64,6.3101,6.605,223146
1591969500000,6.6038,6.67,6.545,6.64,142932
1591970400000,6.64,6.74,6.52,6.52,171163
1591971300000,6.53,6.54,6.41,6.41,58663
1591972200000,6.41,6.4301,6.215,6.325,105814
1591973100000,6.325,6.33,6.26,6.315,78108
1591974000000,6.31,6.31,6.11,6.11,84319
1591974900000,6.105,6.28,6.0816,6.225,43631
1591975800000,6.24,6.32,6.2,6.24,45586
1591976700000,6.25,6.415,6.25,6.415,20543
1591977600000,6.41,6.44,6.37,6.42,43641
1591978500000,6.42,6.42,6.345,6.4,39246
1591979400000,6.39,6.45,6.365,6.415,27938
1591980300000,6.41,6.46,6.358,6.42,67413
1591981200000,6.41,6.415,6.31,6.37,33237
1591982100000,6.38,6.41,6.31,6.315,36371
1591983000000,6.31,6.34,6.24,6.27,52321
1591983900000,6.275,6.28,6.12,6.135,44781
1591984800000,6.14,6.26,6.13,6.2,117162
1591985700000,6.22,6.3399,6.19,6.31,39335
1591986600000,6.315,6.4291,6.29,6.425,91437
1591987500000,6.43,6.47,6.355,6.47,119106
1591988400000,6.47,6.64,6.47,6.6267,210598
1591989300000,6.625,6.63,6.4601,6.5,105416
1591990200000,6.5,6.53,6.4549,6.505,122764
1591991100000,6.51,6.67,6.51,6.61,317844
