datetime,open,high,low,close,volume
1569504600000,14.69,14.71,14.635,14.65,16896
1569505500000,14.66,14.68,14.615,14.63,7600
1569506400000,14.645,14.705,14.62,14.62,7323
1569507300000,14.62,14.62,14.56,14.58,4869
1569508200000,14.58,14.61,14.56,14.61,3100
1569509100000,14.61,14.62,14.57,14.59,4400
1569510000000,14.59,14.59,14.53,14.54,2700
1569510900000,14.535,14.54,14.485,14.5,8738
1569511800000,14.49,14.55,14.49,14.54,3100
1569512700000,14.54,14.54,14.49,14.505,3584
1569513600000,14.5,14.5664,14.5,14.54,6124
1569514500000,14.545,14.55,14.52,14.535,3100
1569515400000,14.545,14.57,14.53,14.53,3213
1569516300000,14.535,14.55,14.51,14.52,6557
1569517200000,14.52,14.52,14.47,14.48,6592
1569518100000,14.48,14.4872,14.45,14.45,4096
1569519000000,14.445,14.48,14.445,14.47,3875
1569519900000,14.48,14.48,14.44,14.47,9435
1569520800000,14.475,14.5,14.47,14.5,4749
1569521700000,14.4933,14.4933,14.46,14.46,4000
1569522600000,14.46,14.46,14.44,14.44,6819
1569523500000,14.44,14.45,14.42,14.42,3993
1569524400000,14.415,14.45,14.415,14.435,5542
1569525300000,14.44,14.44,14.39,14.41,11691
1569526200000,14.41,14.455,14.395,14.42,11936
1569527100000,14.42,14.43,14.38,14.39,61388
1569591000000,14.49,14.7,14.49,14.66,16583
1569591900000,14.66,14.71,14.575,14.59,8782
1569592800000,14.58,14.6,14.53,14.555,6057
1569593700000,14.52,14.56,14.52,14.56,3300
1569594600000,14.56,14.58,14.525,14.53,3650
1569595500000,14.53,14.58,14.52,14.58,4925
1569596400000,14.57,14.59,14.53,14.53,3521
1569597300000,14.535,14.5575,14.51,14.555,4415
1569598200000,14.555,14.575,14.48,14.48,17726
1569599100000,14.48,14.56,14.48,14.55,3844
1569600000000,14.545,14.55,14.53,14.545,3952
1569600900000,14.535,14.535,14.48,14.515,1700
1569601800000,14.495,14.5,14.485,14.485,2100
1569602700000,14.47,14.505,14.46,14.47,6722
1569603600000,14.47,14.515,14.46,14.505,4901
1569604500000,14.51,14.515,14.48,14.48,2586
1569605400000,14.5,14.5,14.445,14.46,2905
1569606300000,14.44,14.46,14.415,14.45,5571
1569607200000,14.46,14.46,14.435,14.46,2700
1569608100000,14.46,14.47,14.43,14.44,4056
1569609000000,14.44,14.44,14.4,14.41,5445
1569609900000,14.41,14.42,14.385,14.39,4411
1569610800000,14.4,14.41,14.36,14.395,8174
1569611700000,14.4,14.425,14.395,14.405,5303
1569612600000,14.4,14.435,14.395,14.43,8097
1569613500000,14.43,14.51,14.41,14.5,80579
1569850200000,14.56,14.56,14.46,14.48,11016
1569851100000,14.46,14.46,14.4,14.44,11359
1569852000000,14.43,14.44,14.395,14.435,5918
1569852900000,14.45,14.45,14.395,14.4,6400
1569853800000,14.385,14.39,14.33,14.35,7523
1569854700000,14.345,14.41,14.345,14.4,2925
1569855600000,14.39,14.42,14.36,14.41,3950
1569856500000,14.405,14.415,14.37,14.38,4100
1569857400000,14.39,14.41,14.37,14.39,5856
1569858300000,14.395,14.4,14.35,14.365,3728
1569859200000,14.37,14.38,14.35,14.35,4439
1569860100000,14.34,14.4,14.34,14.3988,6945
1569861000000,14.395,14.4,14.38,14.38,5133
1569861900000,14.39,14.42,14.38,14.4,4600
1569862800000,14.41,14.435,14.41,14.435,2710
1569863700000,14.43,14.43,14.41,14.425,2935
1569864600000,14.43,14.44,14.42,14.435,1300
1569865500000,14.44,14.45,14.43,14.44,2349
1569866400000,14.44,14.45,14.43,14.445,4304
1569867300000,14.45,14.45,14.41,14.41,5746
1569868200000,14.42,14.44,14.41,14.425,6006
1569869100000,14.43,14.445,14.42,14.44,2758
1569870000000,14.45,14.455,14.43,14.445,6820
1569870900000,14.44,14.46,14.42,14.42,5309
1569871800000,14.42,14.44,14.4,14.4,8889
1569872700000,14.4,14.405,14.33,14.33,57446
1569936600000,14.43,14.585,14.365,14.585,14688
1569937500000,14.59,14.6,14.51,14.51,9546
1569938400000,14.5,14.5,14.28,14.3,9705
1569939300000,14.31,14.35,14.27,14.28,2732
1569940200000,14.29,14.34,14.27,14.27,4903
1569941100000,14.28,14.295,14.23,14.23,6301
1569942000000,14.24,14.29,14.23,14.26,8601
1569942900000,14.24,14.31,14.24,14.31,5806
1569943800000,14.32,14.33,14.26,14.27,5955
1569944700000,14.28,14.285,14.23,14.23,4200
1569945600000,14.23,14.23,14.19,14.19,8190
1569946500000,14.2,14.24,14.19,14.2,5603
1569947400000,14.195,14.26,14.195,14.26,2900
1569948300000,14.25,14.25,14.19,14.195,5994
1569949200000,14.19,14.19,14.14,14.145,7970
1569950100000,14.14,14.14,14.09,14.12,6819
1569951000000,14.12,14.13,14.06,14.08,10500
1569951900000,14.08,14.08,14.03,14.03,11215
1569952800000,14.0331,14.055,13.99,14.03,12969
1569953700000,14.02,14.02,13.98,14.02,5891
1569954600000,14.03,14.07,14.03,14.07,7231
1569955500000,14.07,14.1,14.045,14.055,12654
1569956400000,14.055,14.07,14.02,14.05,13943
1569957300000,14.045,14.09,14.04,14.06,11034
1569958200000,14.06,14.075,14.02,14.07,16080
1569959100000,14.065,14.15,14.045,14.105,121302
1570023000000,14.03,14.03,13.95,13.975,16422
1570023900000,13.97,14.03,13.96,14.0,5786
1570024800000,14.01,14.11,14.01,14.1,7136
1570025700000,14.1,14.13,14.06,14.07,6926
1570026600000,14.06,14.08,14.01,14.06,10468
1570027500000,14.05,14.06,14.01,14.03,7558
1570028400000,14.02,14.1,14.02,14.0933,8589
1570029300000,14.095,14.095,14.04,14.06,14831
1570030200000,14.07,14.07,14.005,14.025,5037
1570031100000,14.03,14.06,14.02,14.04,6417
1570032000000,14.025,14.055,14.02,14.02,5020
1570032900000,14.03,14.05,14.02,14.025,21281
1570033800000,14.015,14.015,13.94,13.95,24116
1570034700000,13.95,13.95,13.9,13.925,7917
1570035600000,13.915,13.99,13.91,13.97,26813
1570036500000,13.97,14.005,13.96,14.0,5502
1570037400000,14.005,14.005,13.96,13.97,10638
1570038300000,13.97,13.975,13.95,13.96,4564
1570039200000,13.96,13.97,13.94,13.955,12732
1570040100000,13.955,14.01,13.955,14.0,7489
1570041000000,14.005,14.025,14.0,14.015,15214
1570041900000,14.02,14.04,14.01,14.015,11218
1570042800000,14.03,14.04,13.99,14.025,13813
1570043700000,14.02,14.02,13.99,14.005,10763
1570044600000,14.0,14.03,13.99,14.015,26401
1570045500000,14.01,14.02,13.95,14.0,105530
1570109400000,13.97,13.98,13.91,13.97,7067
1570110300000,13.98,14.03,13.94,13.98,10266
1570111200000,13.97,13.97,13.76,13.82,16726
1570112100000,13.815,13.87,13.78,13.83,9546
1570113000000,13.82,13.88,13.81,13.81,4650
1570113900000,13.81,13.83,13.78,13.82,9715
1570114800000,13.81,13.945,13.81,13.945,7013
1570115700000,13.95,13.98,13.86,13.86,6308
1570116600000,13.86,13.86,13.78,13.81,17541
1570117500000,13.82,13.82,13.75,13.775,6000
1570118400000,13.78,13.7872,13.74,13.78,5120
1570119300000,13.78,13.79,13.73,13.79,2847
1570120200000,13.7835,13.81,13.7835,13.81,4333
1570121100000,13.81,13.845,13.81,13.845,5550
1570122000000,13.86,13.865,13.845,13.86,3324
1570122900000,13.86,13.9,13.86,13.89,4336
1570123800000,13.89,13.94,13.885,13.92,6250
1570124700000,13.93,13.95,13.91,13.91,3426
1570125600000,13.91,13.915,13.89,13.915,2900
1570126500000,13.92,13.94,13.92,13.93,3500
1570127400000,13.92,13.935,13.92,13.92,3220
1570128300000,13.93,13.94,13.89,13.91,3900
1570129200000,13.905,13.935,13.9,13.935,6815
1570130100000,13.935,13.935,13.89,13.905,13602
1570131000000,13.91,13.92,13.89,13.9,14229
1570131900000,13.89,13.94,13.86,13.94,59724
1570195800000,13.97,14.03,13.945,13.945,11430
1570196700000,13.94,13.945,13.87,13.91,8653
1570197600000,13.935,13.94,13.86,13.88,3551
1570198500000,13.88,13.88,13.82,13.82,3038
1570199400000,13.82,13.85,13.81,13.83,4700
1570200300000,13.83,13.84,13.8104,13.8104,5011
1570201200000,13.81,13.81,13.78,13.81,5900
1570202100000,13.83,13.86,13.83,13.86,1806
1570203000000,13.865,13.89,13.865,13.87,4568
1570203900000,13.87,13.9,13.87,13.895,6735
1570204800000,13.895,13.915,13.895,13.915,4643
1570205700000,13.91,13.92,13.88,13.92,2913
1570206600000,13.91,13.92,13.89,13.89,3077
1570207500000,13.89,13.89,13.865,13.875,2955
1570208400000,13.88,13.9,13.865,13.895,4655
1570209300000,13.89,13.8966,13.875,13.88,4428
1570210200000,13.89,13.955,13.875,13.94,18603
1570211100000,13.94,13.945,13.92,13.93,1900
1570212000000,13.94,13.945,13.935,13.94,2201
1570212900000,13.94,13.95,13.935,13.935,4000
1570213800000,13.94,13.945,13.93,13.945,1900
1570214700000,13.94,13.945,13.925,13.935,8100
1570215600000,13.945,13.965,13.94,13.955,12549
1570216500000,13.955,13.98,13.945,13.98,5100
1570217400000,13.98,14.02,13.975,14.01,14637
1570218300000,14.015,14.08,14.01,14.06,60594
1570455000000,14.06,14.06,13.98,13.98,6984
1570455900000,14.0,14.08,14.0,14.07,6461
1570456800000,14.055,14.09,14.04,14.07,3958
1570457700000,14.065,14.08,14.06,14.08,4044
1570458600000,14.08,14.08,14.015,14.04,6037
1570459500000,14.05,14.075,14.035,14.045,5716
1570460400000,14.05,14.11,14.05,14.08,5394
1570461300000,14.08,14.085,14.035,14.06,6217
1570462200000,14.05,14.07,14.045,14.06,3952
