datetime,open,high,low,close,volume
1569504600000,19.8,19.8,19.45,19.52,11032
1569505500000,19.53,19.54,19.31,19.43,14464
1569506400000,19.4534,19.54,19.4,19.44,38185
1569507300000,19.39,19.5,19.39,19.44,9372
1569508200000,19.43,19.45,19.39,19.41,7428
1569509100000,19.42,19.5301,19.42,19.5301,27116
1569510000000,19.51,19.51,19.39,19.44,9736
1569510900000,19.45,19.49,19.41,19.42,76000
1569511800000,19.44,19.44,19.26,19.35,14196
1569512700000,19.34,19.39,19.31,19.33,5100
1569513600000,19.32,19.42,19.295,19.4,10686
1569514500000,19.41,19.42,19.29,19.29,10319
1569515400000,19.3,19.3,19.25,19.25,3600
1569516300000,19.25,19.28,19.2,19.2,6650
1569517200000,19.21,19.24,19.17,19.2,5055
1569518100000,19.21,19.21,19.11,19.15,3834
1569519000000,19.15,19.19,19.14,19.16,4057
1569519900000,19.17,19.18,19.08,19.16,11463
1569520800000,19.1901,19.1901,19.14,19.18,3416
1569521700000,19.19,19.24,19.19,19.21,6118
1569522600000,19.205,19.315,19.2,19.31,17383
1569523500000,19.3,19.33,19.3,19.32,10180
1569524400000,19.34,19.39,19.34,19.39,3349
1569525300000,19.3828,19.47,19.3828,19.43,14839
1569526200000,19.4362,19.4698,19.3,19.31,19586
1569527100000,19.31,19.39,19.25,19.27,172755
1569591000000,19.4,19.4,19.13,19.355,9617
1569591900000,19.355,19.36,19.19,19.26,14169
1569592800000,19.23,19.35,19.195,19.195,27819
1569593700000,19.2,19.35,19.19,19.35,30019
1569594600000,19.37,19.435,19.34,19.42,4179
1569595500000,19.42,19.525,19.42,19.525,4858
1569596400000,19.52,19.56,19.48,19.55,6751
1569597300000,19.525,19.53,19.5,19.52,4396
1569598200000,19.52,19.52,19.22,19.3,20222
1569599100000,19.32,19.44,19.3,19.43,57187
1569600000000,19.42,19.5,19.35,19.5,59077
1569600900000,19.47,19.53,19.35,19.415,23746
1569601800000,19.4,19.41,19.31,19.32,9282
1569602700000,19.3,19.335,19.27,19.3,14886
1569603600000,19.3039,19.4,19.3,19.34,25240
1569604500000,19.34,19.38,19.29,19.32,16441
1569605400000,19.32,19.32,19.28,19.29,9539
1569606300000,19.29,19.3,19.27,19.3,8119
1569607200000,19.31,19.31,19.24,19.3,13842
1569608100000,19.29,19.29,19.21,19.27,8630
1569609000000,19.26,19.26,19.13,19.135,14524
1569609900000,19.135,19.14,19.07,19.075,13817
1569610800000,19.08,19.18,19.08,19.14,15752
1569611700000,19.15,19.26,19.15,19.215,17353
1569612600000,19.215,19.27,19.2,19.245,33708
1569613500000,19.25,19.28,19.18,19.19,78652
1569850200000,19.22,19.26,19.15,19.18,5780
1569851100000,19.2,19.265,19.16,19.23,4004
1569852000000,19.22,19.24,19.07,19.09,12622
1569852900000,19.08,19.15,19.04,19.05,11799
1569853800000,19.07,19.18,19.07,19.13,19692
1569854700000,19.13,19.26,19.12,19.13,26153
1569855600000,19.13,19.135,18.74,18.8,19960
1569856500000,18.81,18.89,18.785,18.88,5182
1569857400000,18.875,18.96,18.86,18.96,5431
1569858300000,18.95,18.96,18.86,18.87,5790
1569859200000,18.87,18.91,18.76,18.82,14664
1569860100000,18.82,18.84,18.805,18.83,12169
1569861000000,18.82,18.8401,18.775,18.835,11655
1569861900000,18.83,18.895,18.795,18.895,8937
1569862800000,18.9,18.91,18.885,18.9,6716
1569863700000,18.89,18.905,18.86,18.87,5352
1569864600000,18.85,18.9,18.85,18.9,5523
1569865500000,18.9,18.91,18.84,18.845,9210
1569866400000,18.84,18.85,18.8,18.84,11584
1569867300000,18.845,18.91,18.84,18.89,8532
1569868200000,18.9,18.975,18.9,18.97,9768
1569869100000,18.97,19.0,18.97,18.995,7169
1569870000000,18.995,18.995,18.94,18.985,17888
1569870900000,18.985,19.005,18.98,18.99,31209
1569871800000,18.995,19.05,18.95,19.005,55914
1569872700000,19.0,19.01,18.88,18.96,116963
1569936600000,19.0,19.2303,18.96,19.21,9281
1569937500000,19.19,19.28,19.13,19.14,18090
1569938400000,19.11,19.11,18.68,18.74,9595
1569939300000,18.72,18.79,18.5,18.59,9298
1569940200000,18.56,18.62,18.49,18.545,10621
1569941100000,18.56,18.61,18.515,18.53,12704
1569942000000,18.53,18.57,18.5,18.5,11579
1569942900000,18.5,18.54,18.46,18.47,11019
1569943800000,18.465,18.495,18.33,18.37,10146
1569944700000,18.4,18.4,18.22,18.24,6343
1569945600000,18.23,18.23,18.08,18.11,13469
1569946500000,18.11,18.13,18.01,18.03,15314
1569947400000,18.01,18.065,18.01,18.03,8653
1569948300000,18.03,18.05,17.89,17.9,13599
1569949200000,17.89,17.9,17.73,17.77,15805
1569950100000,17.77,17.77,17.7,17.73,10974
1569951000000,17.73,17.73,17.63,17.66,13216
1569951900000,17.65,17.65,17.59,17.62,14453
1569952800000,17.625,17.635,17.44,17.51,28261
1569953700000,17.52,17.65,17.52,17.65,11364
1569954600000,17.6617,17.71,17.63,17.63,9911
1569955500000,17.65,17.71,17.64,17.68,11928
1569956400000,17.67,17.69,17.6,17.61,15249
1569957300000,17.61,17.635,17.57,17.61,15008
1569958200000,17.6,17.61,17.54,17.57,31399
1569959100000,17.58,17.58,17.51,17.53,56688
1570023000000,17.22,17.42,16.81,17.04,14632
1570023900000,17.005,17.1099,16.865,16.965,13148
1570024800000,16.96,17.07,16.9101,16.97,13275
1570025700000,16.99,17.09,16.95,17.0,18080
1570026600000,16.99,17.04,16.9,17.02,25145
1570027500000,17.0,17.06,16.97,17.05,10212
1570028400000,17.04,17.11,16.98,17.0131,13410
