datetime,open,high,low,close,volume
1569504600000,13.32,13.38,13.32,13.36,15673
1569505500000,13.365,13.42,13.365,13.42,10766
1569506400000,13.43,13.435,13.42,13.43,4854
1569507300000,13.428,13.4435,13.42,13.43,9117
1569508200000,13.4281,13.44,13.425,13.4344,4437
1569509100000,13.4395,13.44,13.42,13.42,12834
1569510000000,13.425,13.43,13.38,13.425,23288
1569510900000,13.42,13.44,13.41,13.44,4886
1569511800000,13.44,13.4557,13.42,13.4557,9941
1569512700000,13.45,13.455,13.445,13.45,7137
1569513600000,13.45,13.45,13.3935,13.3935,18801
1569514500000,13.39,13.4035,13.39,13.4,2350
1569515400000,13.4,13.4195,13.4,13.41,5635
1569516300000,13.41,13.4181,13.395,13.395,7352
1569517200000,13.4,13.4098,13.3937,13.4,5219
1569518100000,13.405,13.405,13.37,13.3747,3977
1569519000000,13.37,13.38,13.37,13.38,1710
1569519900000,13.38,13.4,13.38,13.4,3992
1569520800000,13.4,13.4,13.38,13.397,8176
1569521700000,13.395,13.41,13.39,13.395,9987
1569522600000,13.3952,13.42,13.3908,13.415,12859
1569523500000,13.42,13.42,13.4,13.41,3778
1569524400000,13.41,13.44,13.395,13.44,18055
1569525300000,13.4371,13.44,13.4301,13.4375,6864
1569526200000,13.435,13.44,13.42,13.425,3995
1569527100000,13.42,13.425,13.39,13.41,17136
1569591000000,13.44,13.49,13.41,13.44,27699
1569591900000,13.45,13.4535,13.4388,13.4388,4165
1569592800000,13.44,13.46,13.425,13.45,12119
1569593700000,13.44,13.46,13.4396,13.44,15251
1569594600000,13.4437,13.47,13.4437,13.47,6705
1569595500000,13.47,13.48,13.47,13.48,5716
1569596400000,13.4864,13.4864,13.4601,13.4601,11444
1569597300000,13.465,13.49,13.465,13.485,8691
1569598200000,13.485,13.485,13.44,13.47,12741
1569599100000,13.47,13.49,13.4416,13.48,8207
1569600000000,13.47,13.47,13.46,13.46,3300
1569600900000,13.46,13.465,13.4501,13.465,13154
1569601800000,13.46,13.46,13.455,13.455,600
1569602700000,13.45,13.4599,13.45,13.4599,6524
1569603600000,13.455,13.468,13.44,13.465,6204
1569604500000,13.47,13.47,13.4564,13.46,2822
1569605400000,13.46,13.46,13.44,13.46,5130
1569606300000,13.452,13.46,13.43,13.4527,8588
1569607200000,13.45,13.45,13.43,13.445,6859
1569608100000,13.445,13.45,13.435,13.45,6325
1569609000000,13.45,13.46,13.4,13.4,13301
1569609900000,13.395,13.42,13.39,13.41,14292
1569610800000,13.42,13.42,13.395,13.395,12321
1569611700000,13.39,13.4,13.37,13.37,8943
1569612600000,13.375,13.4,13.375,13.39,23884
1569613500000,13.4,13.43,13.39,13.43,24105
1569850200000,13.52,13.52,13.44,13.5,32420
1569851100000,13.5,13.5,13.45,13.48,8932
1569852000000,13.48,13.48,13.46,13.46,6559
1569852900000,13.46,13.4699,13.43,13.4366,5864
1569853800000,13.435,13.445,13.42,13.44,4964
1569854700000,13.4336,13.45,13.42,13.4446,8782
1569855600000,13.44,13.455,13.4,13.4,33008
1569856500000,13.395,13.405,13.3901,13.4,12540
1569857400000,13.39,13.4,13.37,13.38,15549
1569858300000,13.3764,13.388,13.37,13.38,5993
1569859200000,13.39,13.4,13.3825,13.39,6504
1569860100000,13.385,13.395,13.38,13.39,4400
1569861000000,13.39,13.39,13.38,13.3851,1664
1569861900000,13.3805,13.4,13.38,13.4,24721
1569862800000,13.4,13.4266,13.3999,13.4,35240
1569863700000,13.3977,13.3977,13.38,13.39,2215
1569864600000,13.3899,13.3899,13.36,13.37,3633
1569865500000,13.37,13.37,13.36,13.37,7730
1569866400000,13.36,13.38,13.35,13.38,5406
1569867300000,13.37,13.3742,13.36,13.36,3425
1569868200000,13.37,13.4,13.37,13.4,8089
1569869100000,13.4,13.42,13.39,13.405,11067
1569870000000,13.405,13.41,13.39,13.405,11276
1569870900000,13.4079,13.41,13.395,13.4,4332
1569871800000,13.394,13.4,13.375,13.38,9171
1569872700000,13.375,13.38,13.36,13.36,31276
1569936600000,13.4,13.4186,13.35,13.37,18128
1569937500000,13.3688,13.4,13.3688,13.4,7653
1569938400000,13.39,13.4,13.31,13.31,18573
1569939300000,13.32,13.35,13.32,13.325,5563
1569940200000,13.325,13.37,13.325,13.3599,8592
1569941100000,13.37,13.3878,13.36,13.38,3049
1569942000000,13.38,13.38,13.3521,13.365,8231
1569942900000,13.38,13.39,13.358,13.36,7799
1569943800000,13.36,13.36,13.3,13.31,11351
1569944700000,13.31,13.32,13.3,13.31,5897
1569945600000,13.32,13.32,13.27,13.27,11523
1569946500000,13.28,13.3,13.28,13.285,4753
1569947400000,13.29,13.2951,13.28,13.2929,5153
1569948300000,13.29,13.3044,13.27,13.28,10110
