datetime,open,high,low,close,volume
1569504600000,12.48,12.64,12.41,12.41,2489
1569505500000,12.51,12.51,12.26,12.33,9999
1569506400000,12.26,12.3,12.145,12.19,5500
1569507300000,12.15,12.18,12.12,12.16,1600
1569508200000,12.18,12.19,12.1,12.105,2975
1569509100000,12.09,12.15,12.07,12.07,3919
1569510000000,12.07,12.12,12.07,12.12,700
1569510900000,12.12,12.13,12.09,12.13,1515
1569511800000,12.17,12.19,12.12,12.19,1302
1569512700000,12.19,12.19,12.11,12.15,700
1569513600000,12.19,12.19,12.15,12.18,700
1569514500000,12.17,12.2,12.16,12.194,1540
1569515400000,12.25,12.28,12.22,12.22,2591
1569516300000,12.24,12.24,12.17,12.195,800
1569517200000,12.19,12.19,12.15,12.15,800
1569519000000,12.15,12.23,12.15,12.215,1263
1569519900000,12.24,12.24,12.1676,12.19,943
1569520800000,12.175,12.25,12.16,12.2104,2600
1569521700000,12.24,12.25,12.19,12.19,1100
1569522600000,12.21,12.23,12.18,12.23,400
1569523500000,12.24,12.24,12.21,12.2178,1318
1569524400000,12.21,12.21,12.19,12.21,2000
1569525300000,12.21,12.24,12.2,12.23,1600
1569526200000,12.24,12.31,12.18,12.22,4726
1569527100000,12.21,12.25,12.19,12.19,7328
1569591000000,12.25,12.39,12.2036,12.29,3671
1569591900000,12.3301,12.35,12.14,12.14,5540
1569592800000,12.14,12.17,12.11,12.13,1000
1569593700000,12.18,12.21,12.14,12.2,5020
1569594600000,12.18,12.25,12.18,12.21,6117
1569595500000,12.18,12.18,12.15,12.15,600
1569596400000,12.11,12.19,12.11,12.1889,1351
1569597300000,12.1922,12.1922,12.15,12.17,900
1569598200000,12.17,12.245,12.01,12.15,2640
1569599100000,12.12,12.23,12.11,12.12,1000
1569600000000,12.11,12.18,12.11,12.18,600
1569600900000,12.2,12.2,12.07,12.07,1600
1569601800000,12.07,12.13,12.07,12.13,700
1569602700000,12.08,12.12,12.05,12.05,900
1569603600000,12.05,12.105,12.05,12.07,1300
1569604500000,12.09,12.09,12.08,12.09,500
1569605400000,12.12,12.14,12.07,12.14,1788
1569606300000,12.13,12.16,12.12,12.16,980
1569607200000,12.16,12.19,12.12,12.16,1358
1569608100000,12.12,12.14,12.103,12.103,704
1569609000000,12.09,12.12,12.09,12.09,1200
1569609900000,12.11,12.14,12.09,12.14,1200
1569610800000,12.11,12.16,12.09,12.12,3373
1569611700000,12.15,12.21,12.135,12.21,1000
1569612600000,12.16,12.23,12.14,12.18,5368
1569613500000,12.19,12.22,12.17,12.19,13239
1569850200000,12.16,12.42,12.16,12.42,1778
1569851100000,12.44,12.44,12.245,12.245,1714
