datetime,open,high,low,close,volume
1569504600000,10.73,10.73,10.6935,10.7,23448
1569505500000,10.6983,10.73,10.6983,10.72,10637
1569506400000,10.72,10.72,10.71,10.72,9812
1569507300000,10.72,10.72,10.69,10.7,13319
1569508200000,10.69,10.7031,10.6831,10.7031,11513
1569509100000,10.71,10.71,10.705,10.705,2060
1569510000000,10.7,10.71,10.7,10.705,16540
1569510900000,10.7037,10.705,10.695,10.695,7506
1569511800000,10.7,10.705,10.7,10.705,1702
1569512700000,10.7019,10.7019,10.7019,10.7019,1962
1569513600000,10.7093,10.71,10.7032,10.71,1233
1569514500000,10.7093,10.71,10.7043,10.7053,4769
1569515400000,10.71,10.71,10.705,10.71,18705
1569516300000,10.7093,10.71,10.7093,10.7093,1500
1569517200000,10.71,10.71,10.7009,10.7093,8342
1569518100000,10.705,10.71,10.7001,10.71,5482
1569519000000,10.71,10.71,10.69,10.705,12880
1569519900000,10.69,10.7083,10.69,10.7063,8173
1569520800000,10.71,10.71,10.7009,10.705,5000
1569521700000,10.705,10.71,10.695,10.697,7180
1569522600000,10.695,10.6999,10.6941,10.6999,1336
1569523500000,10.6993,10.705,10.69,10.7,7435
1569524400000,10.705,10.71,10.6937,10.695,8301
1569525300000,10.695,10.705,10.69,10.6971,6100
1569526200000,10.7,10.7,10.7,10.7,1985
1569527100000,10.6963,10.705,10.69,10.695,17982
1569591000000,10.72,10.74,10.709,10.74,26974
1569591900000,10.7377,10.74,10.72,10.72,15745
1569592800000,10.7177,10.738,10.715,10.715,26369
1569593700000,10.71,10.72,10.7,10.7099,21596
1569594600000,10.71,10.74,10.7,10.71,33466
1569595500000,10.71,10.7199,10.7,10.7199,16406
1569596400000,10.715,10.723,10.7,10.71,19240
1569597300000,10.71,10.72,10.7,10.7038,14815
1569598200000,10.7055,10.7124,10.7,10.71,21633
1569599100000,10.7164,10.72,10.7,10.715,11588
1569600000000,10.72,10.72,10.7033,10.71,4613
1569600900000,10.71,10.72,10.7,10.72,12863
1569601800000,10.72,10.73,10.72,10.725,11119
1569602700000,10.725,10.73,10.72,10.72,18183
1569603600000,10.72,10.7214,10.71,10.715,23982
1569604500000,10.71,10.73,10.71,10.7206,37659
1569605400000,10.72,10.7253,10.71,10.71,9429
1569606300000,10.71,10.7192,10.71,10.715,9744
1569607200000,10.71,10.71,10.7,10.71,7292
1569608100000,10.71,10.72,10.7,10.71,16125
1569609000000,10.71,10.71,10.69,10.7046,26155
1569609900000,10.7,10.7068,10.7,10.705,2475
1569610800000,10.7,10.7,10.695,10.695,3101
1569611700000,10.69,10.695,10.69,10.69,1283
1569612600000,10.7,10.7,10.695,10.7,18590
1569613500000,10.6963,10.705,10.69,10.695,60962
