datetime,open,high,low,close,volume
1569504600000,52.99,52.99,52.63,52.63,1070
1569505500000,52.855,52.96,52.84,52.885,700
1569506400000,53.12,53.21,52.84,52.84,4711
1569507300000,52.79,52.79,52.755,52.755,200
1569508200000,52.7,52.82,52.7,52.82,400
1569509100000,52.98,53.19,52.955,53.105,14600
1569510000000,53.15,53.2,52.985,53.11,6791
1569510900000,53.12,53.145,52.94,52.94,1600
1569511800000,52.92,53.065,52.92,53.065,800
1569512700000,53.02,53.02,52.88,52.88,600
1569513600000,52.84,52.92,52.8,52.89,1200
1569514500000,52.85,52.85,52.765,52.785,1900
1569515400000,52.9,52.91,52.9,52.9,500
1569516300000,52.83,52.83,52.77,52.77,700
1569517200000,52.815,52.815,52.72,52.72,500
1569518100000,52.66,52.67,52.55,52.55,600
1569519000000,52.575,52.74,52.575,52.66,1000
1569519900000,52.64,52.7584,52.635,52.7117,715
1569520800000,52.67,52.78,52.67,52.725,700
1569521700000,52.75,52.76,52.68,52.6975,700
1569522600000,52.61,52.6892,52.61,52.6892,1750
1569523500000,52.695,52.695,52.61,52.61,500
1569524400000,52.58,52.66,52.574,52.65,1125
1569525300000,52.6,52.61,52.46,52.46,2138
1569526200000,52.49,52.56,52.435,52.46,1800
1569527100000,52.48,52.48,52.29,52.37,8005
1569591000000,52.66,53.4,52.66,53.3,1386
1569591900000,53.265,53.41,52.73,52.92,8122
1569592800000,52.92,53.03,52.75,52.8478,1976
1569593700000,52.83,52.925,52.775,52.845,2326
1569594600000,52.91,52.98,52.805,52.805,1748
1569595500000,52.72,52.815,52.72,52.815,1700
1569596400000,52.92,52.925,52.81,52.84,1400
1569597300000,52.87,52.88,52.71,52.77,1100
1569598200000,52.91,52.92,52.37,52.48,5100
1569599100000,52.5,52.64,52.36,52.64,3148
1569600000000,52.6,52.62,52.55,52.55,900
1569600900000,52.57,52.57,52.4,52.425,1606
1569602700000,52.43,52.475,52.42,52.42,600
1569603600000,52.46,52.55,52.46,52.525,4331
1569604500000,52.57,52.62,52.525,52.61,4600
1569605400000,52.61,52.63,52.55,52.6,1021
1569606300000,52.49,52.61,52.445,52.61,600
1569607200000,52.6,52.62,52.55,52.56,1300
1569608100000,52.64,52.64,52.5,52.52,2649
1569609000000,52.49,52.49,52.45,52.45,400
1569609900000,52.51,52.51,52.43,52.46,2480
1569610800000,52.55,52.55,52.395,52.46,2000
1569611700000,52.54,52.68,52.54,52.59,1760
1569612600000,52.59,52.68,52.57,52.64,4247
1569613500000,52.65,52.75,52.61,52.73,10204
1569850200000,52.94,53.19,52.885,52.94,1623
1569851100000,52.68,52.8,52.63,52.65,1193
1569852000000,52.72,52.72,52.72,52.72,400
1569852900000,52.81,52.81,52.62,52.62,1046
