datetime,open,high,low,close,volume
1569504600000,5.95,5.95,5.92,5.92,27658
1569505500000,5.93,5.96,5.925,5.96,44313
1569506400000,5.96,5.965,5.95,5.96,25087
1569507300000,5.96,5.97,5.95,5.97,44172
1569508200000,5.9648,5.97,5.95,5.97,35857
1569509100000,5.965,5.9699,5.96,5.965,14671
1569510000000,5.9666,5.97,5.95,5.96,21803
1569510900000,5.97,5.97,5.95,5.96,18191
1569511800000,5.96,5.96,5.9527,5.96,8760
1569512700000,5.96,5.96,5.95,5.96,32797
1569513600000,5.96,5.97,5.96,5.965,25917
1569514500000,5.97,5.97,5.96,5.9656,17409
1569515400000,5.97,5.97,5.9646,5.97,21597
1569516300000,5.97,5.98,5.96,5.98,21830
1569517200000,5.98,5.98,5.97,5.98,14929
1569518100000,5.98,5.98,5.972,5.98,12214
1569519000000,5.98,5.98,5.97,5.98,22701
1569519900000,5.98,6.0,5.975,5.99,61247
1569520800000,5.99,5.99,5.9701,5.98,24673
1569521700000,5.9778,5.99,5.96,5.98,42027
1569522600000,5.98,6.0,5.98,6.0,101556
1569523500000,6.0,6.0,5.99,6.0,51782
1569524400000,6.0,6.0,5.99,6.0,28800
1569525300000,6.0,6.0,5.9901,6.0,7078
1569526200000,6.0,6.0,5.99,5.9993,11902
1569527100000,6.0,6.01,5.99,5.995,59070
1569591000000,5.99,6.01,5.99,6.01,17394
1569591900000,6.0,6.03,6.0,6.03,26373
1569592800000,6.03,6.04,6.02,6.02,48211
1569593700000,6.02,6.02,6.0001,6.007,16260
1569594600000,6.0,6.015,6.0,6.01,20467
1569595500000,6.02,6.02,6.01,6.01,25886
1569596400000,6.01,6.0153,6.01,6.01,5865
1569597300000,6.01,6.03,6.01,6.025,15472
1569598200000,6.025,6.03,6.01,6.01,48285
1569599100000,6.015,6.015,6.01,6.015,9300
1569600000000,6.01,6.0199,6.005,6.0095,14430
1569600900000,6.005,6.01,6.0,6.0,16623
1569601800000,6.0,6.0053,6.0,6.0,1800
1569602700000,6.0,6.0099,5.99,5.995,13178
1569603600000,5.99,6.0,5.99,5.995,2100
1569604500000,5.99,6.0,5.99,5.9966,4971
1569605400000,5.99,6.0,5.99,6.0,4932
1569606300000,5.99,6.0,5.99,6.0,23817
1569607200000,5.99,6.0,5.99,5.995,16719
1569608100000,5.99,5.99,5.97,5.975,47694
1569609000000,5.975,5.98,5.97,5.97,8619
1569609900000,5.97,5.975,5.97,5.97,2000
1569610800000,5.975,5.975,5.97,5.97,4800
1569611700000,5.97,5.98,5.97,5.97,6159
1569612600000,5.97,5.975,5.97,5.97,4088
1569613500000,5.98,6.0,5.97,5.98,36562
1569850200000,5.98,6.0,5.97,6.0,29142
1569851100000,6.0,6.01,5.99,6.01,21068
1569852000000,6.01,6.01,6.0,6.005,53260
1569852900000,6.0,6.01,6.0,6.0,23726
1569853800000,6.0034,6.02,6.0,6.01,16567
1569854700000,6.01,6.03,6.01,6.02,15406
1569855600000,6.02,6.03,6.02,6.025,15075
1569856500000,6.02,6.03,6.02,6.03,13900
1569857400000,6.02,6.03,6.02,6.03,1400
1569858300000,6.03,6.03,6.02,6.02,3915
1569859200000,6.03,6.03,6.02,6.03,19623
1569860100000,6.03,6.03,6.02,6.025,11770
1569861000000,6.03,6.03,6.02,6.03,2900
1569861900000,6.03,6.03,6.02,6.025,5098
1569862800000,6.03,6.03,6.02,6.025,18422
1569863700000,6.03,6.03,6.02,6.02,6931
1569864600000,6.03,6.03,6.0235,6.03,8640
1569865500000,6.025,6.03,6.02,6.03,39029
1569866400000,6.025,6.03,6.02,6.03,20772
1569867300000,6.03,6.03,6.02,6.0264,8776
1569868200000,6.03,6.03,6.02,6.025,13200
1569869100000,6.025,6.03,6.02,6.03,4862
1569870000000,6.03,6.03,6.02,6.03,3616
1569870900000,6.025,6.03,6.02,6.025,5900
1569871800000,6.02,6.0259,6.02,6.02,23778
1569872700000,6.02,6.03,6.0,6.005,27206
1569936600000,5.98,5.98,5.95,5.98,101646
1569937500000,5.9754,5.98,5.96,5.97,29006
1569938400000,5.98,5.98,5.95,5.96,23463
1569939300000,5.95,5.955,5.9322,5.94,85262
1569940200000,5.94,5.95,5.94,5.94,32512
1569941100000,5.95,5.95,5.94,5.94,20699
1569942000000,5.945,5.95,5.94,5.94,16277
1569942900000,5.94,5.95,5.94,5.94,8599
1569943800000,5.94,5.95,5.91,5.9203,107624
1569944700000,5.925,5.9375,5.92,5.9375,15899
1569945600000,5.935,5.94,5.925,5.93,7273
1569946500000,5.925,5.93,5.92,5.93,14525
1569947400000,5.93,5.94,5.928,5.94,3737
1569948300000,5.94,5.941,5.94,5.94,6474
1569949200000,5.94,5.945,5.94,5.94,7281
1569950100000,5.94,5.945,5.94,5.945,12741
1569951000000,5.945,5.95,5.9373,5.94,25527
1569951900000,5.9399,5.94,5.93,5.93,18497
1569952800000,5.93,5.935,5.92,5.92,35121
1569953700000,5.92,5.93,5.92,5.92,13515
1569954600000,5.92,5.93,5.92,5.92,18819
1569955500000,5.92,5.9284,5.92,5.92,12244
1569956400000,5.92,5.9295,5.92,5.92,14045
1569957300000,5.925,5.9275,5.91,5.92,36120
1569958200000,5.9125,5.9177,5.905,5.9071,30067
1569959100000,5.9001,5.92,5.9,5.92,77281
1570023000000,5.91,5.92,5.901,5.9093,43574
1570023900000,5.9082,5.91,5.8828,5.885,42289
