datetime,open,high,low,close,volume
1569504600000,7.81,7.8129,7.79,7.8072,26197
1569505500000,7.81,7.82,7.81,7.81,2500
1569506400000,7.805,7.82,7.8,7.82,7388
1569507300000,7.8153,7.82,7.8,7.8,14735
1569508200000,7.8,7.81,7.795,7.8,3000
1569509100000,7.8,7.8,7.7957,7.8,6786
1569510000000,7.7993,7.8,7.795,7.7993,2743
1569510900000,7.7993,7.8,7.79,7.79,6765
1569511800000,7.7964,7.8,7.79,7.79,1700
1569512700000,7.79,7.8,7.79,7.795,4783
1569513600000,7.8,7.8,7.7949,7.795,2002
1569514500000,7.795,7.795,7.7934,7.795,900
1569515400000,7.795,7.8,7.79,7.79,8722
1569516300000,7.795,7.8,7.79,7.795,9864
1569517200000,7.795,7.795,7.7839,7.785,6262
1569518100000,7.784,7.79,7.784,7.79,4393
1569519000000,7.79,7.79,7.78,7.785,12117
1569519900000,7.7888,7.79,7.78,7.7856,14502
1569520800000,7.79,7.79,7.78,7.79,5162
1569521700000,7.79,7.79,7.7843,7.79,11645
1569522600000,7.79,7.79,7.785,7.785,500
1569523500000,7.7847,7.785,7.7763,7.7767,5949
1569524400000,7.7761,7.785,7.7711,7.785,10028
1569525300000,7.78,7.78,7.76,7.78,11447
1569526200000,7.78,7.78,7.77,7.7752,15198
1569527100000,7.7763,7.8,7.77,7.78,18743
1569591000000,7.81,7.84,7.81,7.82,18118
1569591900000,7.81,7.82,7.81,7.82,2327
1569592800000,7.82,7.82,7.8,7.81,7387
1569593700000,7.8,7.82,7.8,7.815,9832
1569594600000,7.8136,7.82,7.81,7.81,3042
1569595500000,7.815,7.82,7.805,7.81,7552
1569596400000,7.81,7.82,7.81,7.81,18960
1569597300000,7.8141,7.82,7.81,7.8122,5954
1569598200000,7.8071,7.85,7.8071,7.83,55204
1569599100000,7.84,7.84,7.82,7.82,19212
1569600000000,7.84,7.85,7.83,7.83,7519
1569600900000,7.825,7.83,7.82,7.825,5630
1569601800000,7.82,7.83,7.82,7.83,4721
1569602700000,7.8283,7.83,7.8222,7.8273,5770
1569603600000,7.82,7.825,7.82,7.82,8362
1569604500000,7.8234,7.8295,7.82,7.8201,9603
1569605400000,7.8235,7.83,7.82,7.82,6856
1569606300000,7.825,7.829,7.82,7.829,728
1569607200000,7.83,7.83,7.82,7.825,3860
1569608100000,7.8265,7.8275,7.82,7.8275,6665
1569609000000,7.82,7.82,7.8,7.8,10148
1569609900000,7.805,7.805,7.8,7.8048,4609
1569610800000,7.8,7.8,7.79,7.7952,2684
1569611700000,7.7999,7.81,7.79,7.81,19305
1569612600000,7.8079,7.85,7.8079,7.845,24420
1569613500000,7.8446,7.86,7.83,7.86,17549
1569850200000,7.86,7.88,7.83,7.8502,36502
1569851100000,7.83,7.87,7.83,7.87,22112
1569852000000,7.86,7.91,7.86,7.8735,81852
1569852900000,7.87,7.885,7.87,7.87,9024
1569853800000,7.877,7.9,7.87,7.885,17850
1569854700000,7.885,7.89,7.87,7.8872,5835
1569855600000,7.88,7.88,7.87,7.87,2800
1569856500000,7.87,7.88,7.87,7.87,4595
1569857400000,7.875,7.89,7.87,7.88,8780
1569858300000,7.87,7.88,7.87,7.87,5753
1569859200000,7.87,7.88,7.87,7.87,8291
1569860100000,7.87,7.89,7.87,7.89,15760
1569861000000,7.88,7.89,7.88,7.885,5493
1569861900000,7.8854,7.9,7.88,7.8959,9427
1569862800000,7.9,7.905,7.89,7.905,7889
1569863700000,7.91,7.91,7.9,7.908,7150
1569864600000,7.91,7.91,7.9,7.9,9470
1569865500000,7.9,7.92,7.8945,7.92,10975
1569866400000,7.92,7.92,7.91,7.9131,8186
1569867300000,7.915,7.92,7.91,7.91,3463
1569868200000,7.9186,7.9186,7.91,7.91,8652
1569869100000,7.9161,7.9161,7.902,7.9085,8523
1569870000000,7.91,7.91,7.9,7.905,7346
1569870900000,7.905,7.92,7.9,7.91,11781
1569871800000,7.92,7.92,7.91,7.915,8470
1569872700000,7.915,7.9181,7.9,7.91,33792
1569936600000,7.92,7.92,7.86,7.8781,23923
1569937500000,7.86,7.86,7.83,7.8587,6077
1569938400000,7.8666,7.87,7.84,7.84,17751
1569939300000,7.85,7.86,7.84,7.86,13309
1569940200000,7.84,7.86,7.84,7.84,7228
1569941100000,7.84,7.85,7.83,7.84,5446
1569942000000,7.84,7.84,7.83,7.83,700
1569942900000,7.83,7.87,7.83,7.85,14097
1569943800000,7.8531,7.9,7.84,7.8612,19516
1569944700000,7.8653,7.8653,7.84,7.84,4721
1569945600000,7.84,7.85,7.83,7.85,3828
1569946500000,7.85,7.86,7.84,7.86,12008
1569947400000,7.86,7.88,7.855,7.88,14838
1569948300000,7.87,7.88,7.87,7.87,9490
1569949200000,7.88,7.88,7.87,7.87,7684
1569950100000,7.8736,7.8768,7.87,7.875,7300
1569951000000,7.875,7.88,7.8238,7.8238,12581
1569951900000,7.82,7.83,7.82,7.83,4324
1569952800000,7.825,7.83,7.82,7.8266,5456
1569953700000,7.825,7.83,7.82,7.8277,9679
1569954600000,7.8254,7.83,7.8225,7.825,6540
1569955500000,7.828,7.84,7.825,7.83,4559
1569956400000,7.84,7.9,7.84,7.8936,22787
1569957300000,7.8998,7.8998,7.88,7.88,14407
1569958200000,7.885,7.885,7.81,7.81,11834
1569959100000,7.8166,7.83,7.81,7.81,22497
1570023000000,7.81,7.81,7.77,7.77,14778
1570023900000,7.76,7.79,7.76,7.77,11180
1570024800000,7.77,7.79,7.75,7.76,15376
1570025700000,7.76,7.7648,7.76,7.76,3936
1570026600000,7.76,7.76,7.73,7.73,7667
1570027500000,7.7447,7.7447,7.72,7.73,6587
1570028400000,7.73,7.735,7.72,7.72,4780
1570029300000,7.7222,7.73,7.71,7.7136,4697
1570030200000,7.72,7.73,7.72,7.7267,7802
1570031100000,7.72,7.76,7.71,7.76,12141
1570032000000,7.7512,7.7512,7.73,7.74,6611
1570032900000,7.73,7.73,7.72,7.72,3300
1570033800000,7.72,7.72,7.71,7.71,2506
1570034700000,7.7,7.705,7.68,7.68,13523
1570035600000,7.6876,7.7,7.6851,7.69,16491
1570036500000,7.6931,7.7,7.693,7.6976,6138
1570037400000,7.695,7.71,7.6916,7.705,13900
1570038300000,7.7,7.7071,7.7,7.7018,9800
1570039200000,7.7037,7.71,7.68,7.69,24120
1570040100000,7.7,7.7,7.68,7.6922,29050
1570041000000,7.699,7.6999,7.69,7.695,8751
1570041900000,7.693,7.7,7.693,7.7,1800
1570042800000,7.709,7.73,7.705,7.72,4603
1570043700000,7.725,7.75,7.7231,7.745,4851
1570044600000,7.74,7.7477,7.732,7.7477,6107
1570045500000,7.7456,7.7499,7.74,7.745,7669
1570109400000,7.76,7.77,7.73,7.73,12195
1570110300000,7.73,7.7704,7.73,7.75,2800
1570111200000,7.75,7.77,7.71,7.71,9208
1570112100000,7.7,7.77,7.7,7.76,9947
1570113000000,7.7572,7.77,7.75,7.75,5855
1570113900000,7.75,7.755,7.75,7.75,3340
1570114800000,7.75,7.78,7.75,7.7695,24833
1570115700000,7.768,7.7746,7.76,7.76,2008
1570116600000,7.76,7.7698,7.755,7.7695,3800
1570117500000,7.75,7.7611,7.75,7.75,3427
1570118400000,7.7508,7.7625,7.74,7.74,9698
1570119300000,7.74,7.7455,7.74,7.7433,3214
1570120200000,7.74,7.78,7.74,7.77,7774
1570121100000,7.76,7.765,7.75,7.75,1800
1570122000000,7.7592,7.76,7.7592,7.76,2694
1570122900000,7.7574,7.77,7.7574,7.76,3727
1570123800000,7.76,7.82,7.76,7.8167,27111
1570124700000,7.8205,7.841,7.82,7.841,10280
1570125600000,7.84,7.85,7.82,7.84,10136
1570126500000,7.84,7.8421,7.84,7.84,7625
1570127400000,7.84,7.8422,7.84,7.8401,6600
1570128300000,7.8437,7.8437,7.8374,7.8374,5765
1570129200000,7.8133,7.815,7.81,7.815,6342
1570130100000,7.815,7.82,7.815,7.8199,1470
1570131000000,7.83,7.84,7.825,7.83,19398
1570131900000,7.84,7.85,7.83,7.845,14689
1570195800000,7.86,7.87,7.855,7.87,10895
1570196700000,7.855,7.87,7.84,7.85,2570
1570197600000,7.84,7.86,7.84,7.85,4831
1570198500000,7.84,7.85,7.84,7.8461,9187
1570199400000,7.84,7.845,7.83,7.83,4910
1570200300000,7.83,7.84,7.82,7.83,8476
1570201200000,7.83,7.835,7.83,7.83,1825
1570202100000,7.83,7.84,7.83,7.84,3648
1570203000000,7.845,7.85,7.84,7.8423,3115
1570203900000,7.84,7.8498,7.84,7.8498,4375
1570204800000,7.8453,7.8453,7.8425,7.8425,6135
1570205700000,7.83,7.83,7.83,7.83,1900
1570206600000,7.835,7.84,7.83,7.835,6000
1570207500000,7.84,7.85,7.8399,7.85,7586
1570208400000,7.84,7.84,7.83,7.835,9150
1570209300000,7.83,7.86,7.83,7.86,11587
1570210200000,7.8659,7.8659,7.86,7.86,3957
1570211100000,7.8666,7.88,7.8632,7.8743,6154
1570212000000,7.875,7.875,7.8645,7.8645,5830
1570212900000,7.87,7.9,7.8666,7.88,25020
1570213800000,7.89,7.89,7.8899,7.89,3500
1570214700000,7.8848,7.8873,7.88,7.8873,8849
1570215600000,7.8862,7.94,7.885,7.93,22070
1570216500000,7.92,7.92,7.8934,7.9,14675
1570217400000,7.9,7.9,7.885,7.89,13356
1570218300000,7.8993,7.9,7.89,7.9,5015
1570455000000,7.88,7.88,7.8556,7.87,10947
1570455900000,7.87,7.879,7.85,7.85,2472
1570456800000,7.86,7.88,7.825,7.8268,19493
1570457700000,7.825,7.83,7.81,7.81,20644
1570458600000,7.815,7.8168,7.81,7.8143,10468
1570459500000,7.81,7.8171,7.81,7.8138,14848
1570460400000,7.81,7.8236,7.81,7.8227,15909
1570461300000,7.8299,7.8299,7.8,7.805,10304
1570462200000,7.805,7.83,7.8,7.82,10130
1570463100000,7.825,7.83,7.82,7.82,15617
1570464000000,7.82,7.8299,7.82,7.825,12932
1570464900000,7.83,7.86,7.8239,7.85,10465
1570465800000,7.8566,7.8566,7.845,7.855,6371
1570467600000,7.85,7.85,7.8455,7.8455,1863
1570468500000,7.8479,7.858,7.84,7.85,9326
1570469400000,7.8514,7.8599,7.84,7.847,23989
1570470300000,7.845,7.8468,7.842,7.8461,4568
1570471200000,7.85,7.85,7.845,7.85,6036
1570472100000,7.84,7.845,7.82,7.8225,29443
1570473000000,7.82,7.8283,7.82,7.82,6338
1570473900000,7.815,7.83,7.815,7.83,20067
1570474800000,7.825,7.83,7.825,7.83,11381
1570475700000,7.83,7.8398,7.83,7.8341,2085
1570476600000,7.83,7.83,7.825,7.825,2738
1570477500000,7.825,7.84,7.825,7.84,15266
1570541400000,7.82,7.825,7.81,7.825,6103
1570542300000,7.825,7.8362,7.815,7.815,2816
1570543200000,7.8132,7.83,7.7801,7.785,10538
1570544100000,7.79,7.8,7.7867,7.7867,5423
1570545000000,7.7864,7.81,7.785,7.8018,8237
1570545900000,7.805,7.81,7.795,7.8036,3501
