datetime,open,high,low,close,volume
1591968600000,9.56,9.66,9.21,9.545,275577
1591969500000,9.54,9.61,9.43,9.55,128586
1591970400000,9.55,9.64,9.5,9.52,102192
1591971300000,9.51,9.6,9.41,9.41,104888
1591972200000,9.41,9.44,9.3,9.31,86824
1591973100000,9.31,9.36,9.06,9.06,106331
1591974000000,9.07,9.18,9.0,9.09,111557
1591974900000,9.09,9.155,9.0,9.15,64797
1591975800000,9.15,9.262,9.1,9.14,60222
1591976700000,9.15,9.33,9.14,9.32,53439
1591977600000,9.3299,9.4,9.305,9.36,52738
1591978500000,9.36,9.48,9.36,9.47,64766
1591979400000,9.47,9.5,9.44,9.48,52003
1591980300000,9.49,9.5499,9.41,9.52,78495
1591981200000,9.53,9.58,9.5,9.58,70027
1591982100000,9.57,9.6,9.53,9.6,63958
1591983000000,9.6,9.65,9.5959,9.635,87534
1591983900000,9.6301,9.635,9.38,9.39,158333
1591984800000,9.39,9.59,9.385,9.57,120665
1591985700000,9.5701,9.67,9.535,9.645,117631
1591986600000,9.645,9.74,9.6,9.66,141755
1591987500000,9.66,9.71,9.58,9.6401,104731
1591988400000,9.65,9.83,9.65,9.81,138432
1591989300000,9.815,9.84,9.77,9.83,230277
1591990200000,9.825,9.91,9.82,9.8513,147806
1591991100000,9.86,10.01,9.8513,9.975,489264
