datetime,open,high,low,close,volume
1569504600000,14.98,15.08,14.78,15.08,2348
1569505500000,15.0155,15.0155,15.0155,15.0155,300
1569506400000,14.9558,14.9558,14.9,14.9,230
1569507300000,14.91,14.9156,14.61,14.61,3650
1569508200000,14.7446,14.7446,14.55,14.55,2070
1569509100000,14.57,14.6,14.5475,14.59,1230
1569510000000,14.545,14.545,14.42,14.53,900
1569510900000,14.6133,14.77,14.45,14.575,11833
1569511800000,14.55,14.6,14.55,14.6,200
1569512700000,14.565,14.58,14.54,14.555,4800
1569513600000,14.545,14.58,14.51,14.58,1890
1569514500000,14.62,14.63,14.54,14.54,1447
1569515400000,14.59,14.8,14.59,14.76,6125
1569516300000,14.73,14.73,14.57,14.57,2281
1569517200000,14.51,14.632,14.51,14.54,1500
1569518100000,14.57,14.7,14.5,14.66,6088
1569519000000,14.65,14.66,14.58,14.61,10428
1569519900000,14.59,14.73,14.58,14.71,2071
1569520800000,14.695,14.74,14.65,14.65,4440
1569521700000,14.62,14.71,14.61,14.7,2066
1569522600000,14.69,14.74,14.59,14.59,2300
1569523500000,14.7,14.71,14.58,14.65,2690
1569524400000,14.58,14.69,14.58,14.61,2300
1569525300000,14.6,14.65,14.58,14.64,3777
1569526200000,14.64,14.71,14.59,14.66,5812
1569527100000,14.66,14.76,14.58,14.59,17980
1569591000000,14.59,14.79,14.43,14.6804,1923
1569591900000,14.8,14.8,14.8,14.8,100
1569592800000,14.65,14.8,14.56,14.8,2400
1569593700000,14.79,14.8,14.73,14.79,2675
1569594600000,14.8,14.88,14.77,14.84,3215
1569595500000,14.885,14.9,14.79,14.8329,1975
1569596400000,14.825,14.96,14.825,14.95,3131
1569597300000,14.87,14.96,14.74,14.96,2400
1569598200000,14.935,14.96,14.68,14.8,2000
1569599100000,14.775,14.775,14.605,14.75,3742
1569600000000,14.7125,14.75,14.64,14.74,2600
1569600900000,14.74,14.75,14.74,14.75,800
1569601800000,14.75,14.75,14.62,14.71,1621
1569602700000,14.71,14.71,14.675,14.675,900
1569603600000,14.7,14.7,14.48,14.5936,4400
1569604500000,14.64,14.64,14.55,14.55,6146
1569605400000,14.6,14.6,14.48,14.55,2300
1569606300000,14.55,14.56,14.46,14.56,6102
1569607200000,14.61,14.64,14.47,14.47,1789
1569608100000,14.58,14.65,14.52,14.575,1500
1569609000000,14.575,14.64,14.46,14.53,2700
1569609900000,14.59,14.59,14.4343,14.48,3075
1569610800000,14.48,14.54,14.4344,14.53,4011
1569611700000,14.52,14.57,14.45,14.57,5600
1569612600000,14.55,14.56,14.51,14.56,5492
1569613500000,14.5,14.65,14.46,14.65,29960
1569850200000,14.65,14.71,14.65,14.71,754
1569852000000,14.685,14.82,14.63,14.82,2800
1569852900000,14.83,14.96,14.83,14.96,2000
1569853800000,14.97,15.05,14.79,14.96,8149
1569854700000,14.97,15.0,14.905,15.0,3573
1569855600000,15.0,15.0,14.88,15.0,9300
1569856500000,15.0,15.0,14.9,14.96,3700
1569857400000,14.96,14.98,14.81,14.94,7180
1569858300000,14.94,14.94,14.84,14.84,8630
1569859200000,14.89,14.9,14.82,14.89,18661
1569860100000,14.89,14.96,14.89,14.96,4619
1569861000000,14.96,15.0,14.86,15.0,3300
1569861900000,15.0,15.0,14.975,15.0,1500
1569862800000,15.0,15.0,15.0,15.0,1800
1569863700000,15.0,15.0,14.95,15.0,4405
1569864600000,15.0,15.0,14.965,15.0,2340
1569865500000,15.0,15.0,14.94,15.0,7499
1569866400000,15.0,15.005,14.98,14.99,5506
1569867300000,14.99,15.13,14.99,15.055,8078
1569868200000,15.08,15.1,15.03,15.04,6250
1569869100000,15.02,15.05,15.0,15.02,3615
1569870000000,15.03,15.03,15.0,15.02,14380
1569870900000,15.02,15.07,14.98,14.985,12351
1569871800000,15.0,15.01,14.96,14.99,5212
1569872700000,14.98,15.01,14.96,14.96,15936
1569936600000,15.02,15.18,14.96,14.96,2352
1569937500000,15.1,15.11,15.01,15.07,800
1569938400000,15.07,15.15,15.06,15.12,22709
1569939300000,15.14,15.18,15.1,15.18,2002
1569940200000,15.22,15.26,15.18,15.26,2244
1569941100000,15.2,15.25,14.99,15.07,20559
1569942000000,15.07,15.19,14.88,15.15,118619
1569942900000,15.165,15.26,15.13,15.225,3510
1569943800000,15.2,15.2,15.03,15.07,27964
1569944700000,15.07,15.07,14.96,14.9926,33840
1569945600000,14.98,14.9987,14.88,14.95,1606
1569946500000,14.91,14.95,14.88,14.95,2400
