datetime,open,high,low,close,volume
1569504600000,27.24,27.5,26.7,27.4,43702
1569505500000,27.33,27.7398,27.2025,27.205,75739
1569506400000,27.23,27.5,27.2,27.3053,22878
1569507300000,27.39,27.44,27.0202,27.0318,34794
1569508200000,27.02,27.2,27.02,27.2,8735
1569509100000,27.2,27.41,27.16,27.2,16622
1569510000000,27.11,27.2762,27.08,27.08,17786
1569510900000,27.0,27.052,26.6755,26.82,12730
1569511800000,26.77,27.07,26.55,26.65,19435
1569512700000,26.7,26.7,26.38,26.52,18909
1569513600000,26.4553,26.78,26.4101,26.6705,22110
1569514500000,26.6705,26.96,26.51,26.7796,39620
1569515400000,26.7,26.97,26.7,26.9,20848
1569516300000,26.89,27.0,26.69,26.69,10200
1569517200000,26.75,26.75,26.51,26.52,2129
1569518100000,26.525,26.66,26.52,26.5901,6442
1569519000000,26.6,26.63,26.46,26.5742,5700
1569519900000,26.569,26.6,26.47,26.535,10258
1569520800000,26.54,26.98,26.28,26.9,65347
1569521700000,26.83,26.99,26.58,26.58,60270
1569522600000,26.59,26.71,26.38,26.57,6643
1569523500000,26.5,26.58,26.46,26.46,4309
1569524400000,26.5,26.52,26.11,26.52,16312
1569525300000,26.405,26.66,26.405,26.5,9050
1569526200000,26.51,26.71,26.34,26.4,16687
1569527100000,26.35,26.5,26.28,26.435,18677
1569591000000,26.22,26.63,26.0285,26.25,35833
1569591900000,26.3,26.37,25.34,25.7501,65279
1569592800000,25.79,25.8,25.4,25.56,40877
1569593700000,25.53,25.87,25.4923,25.64,25982
1569594600000,25.8519,25.8519,25.54,25.6407,13554
1569595500000,25.5629,25.99,25.55,25.8324,16469
1569596400000,25.74,25.8741,25.5553,25.58,20393
1569597300000,25.63,25.63,24.31,24.31,205331
1569598200000,24.41,24.5657,22.65,23.29,278280
1569599100000,23.325,23.67,21.25,21.8599,397813
1569600000000,21.8299,22.91,21.23,22.6599,332598
1569600900000,22.6796,23.25,22.645,23.08,123347
1569601800000,23.18,23.18,22.4,22.8684,60648
1569602700000,22.92,22.93,21.84,21.9849,61376
1569603600000,21.8585,22.465,21.8585,22.2005,35788
1569604500000,22.2,22.5699,22.01,22.01,29472
1569605400000,22.0,22.2,21.6,22.145,66254
1569606300000,22.145,22.18,21.65,21.86,36500
1569607200000,21.8787,21.98,21.75,21.856,19496
1569608100000,21.8491,21.8491,21.45,21.58,37380
1569609000000,21.5727,21.6299,21.3721,21.47,18279
1569609900000,21.3817,22.05,21.3817,22.03,26447
1569610800000,21.955,22.6,21.95,22.4,48687
1569611700000,22.395,22.5699,22.265,22.41,54357
1569612600000,22.3994,22.44,22.0801,22.28,35016
1569613500000,22.2656,22.505,22.0,22.15,86512
1569850200000,22.16,22.7248,21.5,21.92,50698
1569851100000,21.81,21.9043,20.8,21.2157,124885
1569852000000,21.2001,21.3,20.4,20.84,84114
1569852900000,20.8244,20.85,20.2,20.3201,77543
1569853800000,20.3709,20.5025,20.1,20.465,78868
1569854700000,20.455,21.15,20.3,21.06,41340
1569855600000,21.0,21.0005,20.5,20.7499,38682
1569856500000,20.635,20.9292,20.62,20.7526,30940
1569857400000,20.78,20.99,20.7173,20.925,18984
1569858300000,20.95,20.95,20.71,20.88,15636
1569859200000,20.83,21.2938,20.81,21.2938,21804
1569860100000,21.2,21.85,21.1978,21.59,36476
1569861000000,21.666,21.79,21.53,21.7276,12648
1569861900000,21.739,21.8,21.52,21.73,23246
1569862800000,21.745,21.8,21.68,21.781,7127
1569863700000,21.81,22.21,21.72,22.135,34086
1569864600000,22.13,22.1794,21.96,22.0653,25154
1569865500000,22.06,22.095,21.7788,21.935,17710
1569866400000,21.945,22.06,21.843,21.935,6110
1569867300000,22.0,22.19,21.93,22.17,9950
1569868200000,22.18,22.18,21.6,21.65,36257
1569869100000,21.68,21.96,21.6158,21.72,18105
1569870000000,21.785,21.785,21.6,21.68,12577
1569870900000,21.705,21.74,21.6,21.655,10679
1569871800000,21.655,21.66,21.3,21.435,41196
1569872700000,21.51,21.52,21.37,21.41,36689
1569936600000,21.43,22.1,21.01,21.8782,40497
1569937500000,21.763,22.5,21.763,22.39,49558
1569938400000,22.32,22.49,22.0,22.18,62087
1569939300000,22.18,22.3,22.0231,22.22,39119
1569940200000,22.205,22.36,22.19,22.313,11843
1569941100000,22.33,22.64,22.32,22.5004,28105
1569942000000,22.45,22.59,22.32,22.4017,23289
1569942900000,22.39,22.6077,22.34,22.55,10764
1569943800000,22.58,22.64,22.3139,22.445,28930
1569944700000,22.5,22.57,22.25,22.25,10434
1569945600000,22.25,22.5547,22.25,22.38,2670
1569946500000,22.3,22.36,21.77,21.98,38050
1569947400000,22.06,22.2,21.94,22.06,39026
1569948300000,22.08,22.19,22.0,22.15,10930
1569949200000,22.17,22.2747,21.99,22.19,29746
1569950100000,22.1416,22.27,21.85,22.16,18504
1569951000000,22.0977,22.29,22.0474,22.1772,7174
1569951900000,22.2159,22.3,22.08,22.08,3994
1569952800000,22.0901,22.21,22.01,22.125,4150
1569953700000,22.05,22.29,22.05,22.05,2800
1569954600000,22.07,22.6,22.07,22.5329,28555
1569955500000,22.514,22.76,22.514,22.6921,10853
1569956400000,22.7537,22.8,22.51,22.575,26447
1569957300000,22.5534,22.71,22.36,22.57,17302
1569958200000,22.4132,22.58,22.4132,22.55,7205
1569959100000,22.56,22.6,22.4,22.45,35344
1570023000000,22.43,22.5755,21.5114,21.9256,34578
1570023900000,22.0,22.0,21.19,21.42,62050
1570024800000,21.43,21.757,21.22,21.51,29559
1570025700000,21.411,21.75,21.35,21.47,6417
1570026600000,21.43,21.63,21.35,21.51,39351
1570027500000,21.43,21.9653,21.43,21.793,69033
1570028400000,21.8257,22.25,21.8257,22.2272,20495
1570029300000,22.17,22.1997,22.04,22.1989,7520
1570030200000,22.14,22.24,22.01,22.02,32990
1570031100000,22.11,22.1999,21.96,22.03,11810
1570032000000,22.0641,22.0641,21.7441,21.8235,4236
1570032900000,21.8,21.9299,21.57,21.89,5615
1570033800000,21.84,21.91,21.82,21.9087,4550
1570034700000,21.915,21.93,21.61,21.81,23169
1570035600000,21.8022,21.97,21.66,21.9299,7078
1570036500000,21.9299,22.02,21.89,21.9262,14189
1570037400000,21.9499,21.9921,21.91,21.99,4283
1570038300000,21.95,21.99,21.93,21.94,5939
1570039200000,22.0005,22.0899,21.9,21.98,6574
1570040100000,21.985,22.0205,21.77,21.815,14098
1570041000000,21.8,21.91,21.61,21.82,14315
1570041900000,21.775,21.82,21.65,21.765,5851
1570042800000,21.77,21.785,21.62,21.67,11306
1570043700000,21.62,21.695,21.587,21.695,2747
1570044600000,21.69,21.885,21.69,21.885,13847
1570045500000,21.905,22.08,21.79,22.01,50352
1570109400000,22.08,22.66,21.62,21.6961,29979
1570110300000,21.75,21.83,21.595,21.595,9476
1570111200000,21.54,21.62,20.86,21.26,65365
1570112100000,21.1922,21.81,21.1922,21.81,59155
1570113000000,21.74,22.05,21.7,21.7649,25533
1570113900000,21.73,21.78,21.44,21.5076,12275
1570114800000,21.58,21.8004,21.5214,21.7382,26318
1570115700000,21.76,21.9,21.74,21.855,7289
1570116600000,21.88,21.93,21.73,21.82,7250
1570117500000,21.8192,22.0,21.7996,21.9646,6300
1570118400000,21.9,22.2,21.9,22.2,22449
1570119300000,22.199,22.39,22.0786,22.35,14574
1570120200000,22.38,22.76,22.3715,22.6759,35098
1570121100000,22.71,23.08,22.63,23.0401,29197
1570122000000,23.01,23.27,22.9606,23.0,41293
1570122900000,23.0,23.28,22.84,23.132,31926
1570123800000,23.15,23.195,22.9,22.93,33339
1570124700000,23.09,23.185,22.63,22.6692,25184
1570125600000,22.69,22.8842,22.56,22.74,15717
1570126500000,22.75,22.99,22.695,22.7059,13350
1570127400000,22.79,22.9,22.6926,22.815,11300
1570128300000,22.8166,23.0,22.75,22.8,23172
1570129200000,22.77,22.8216,22.41,22.74,28213
1570130100000,22.7546,22.8,22.29,22.42,11572
1570131000000,22.54,22.68,22.29,22.549,16555
1570131900000,22.62,22.64,22.33,22.51,24654
1570195800000,22.5,22.8336,22.26,22.77,19508
1570196700000,22.82,23.68,22.5901,23.66,48951
1570197600000,23.6,23.81,23.38,23.4727,28666
1570198500000,23.4732,23.7799,23.46,23.7444,17056
1570199400000,23.725,23.77,23.42,23.55,16726
1570200300000,23.6815,23.7,23.5896,23.64,5447
1570201200000,23.65,23.7,23.4531,23.515,23112
1570202100000,23.515,23.62,23.2514,23.4502,18395
1570203000000,23.55,23.61,23.43,23.51,18052
1570203900000,23.5,23.6,23.44,23.4544,7497
