datetime,open,high,low,close,volume
1591968600000,9.52,9.72,9.5149,9.69,251170
1591969500000,9.69,9.7292,9.5901,9.655,122517
1591970400000,9.6583,9.695,9.62,9.6701,52264
1591971300000,9.68,9.7813,9.63,9.6326,98564
1591972200000,9.64,9.6687,9.55,9.6139,92764
1591973100000,9.615,9.65,9.45,9.45,119998
1591974000000,9.45,9.4699,9.3,9.3839,140767
1591974900000,9.39,9.4299,9.29,9.3648,73065
1591975800000,9.37,9.495,9.34,9.41,53422
1591976700000,9.41,9.55,9.41,9.5421,28518
1591977600000,9.5434,9.58,9.5,9.52,40636
1591978500000,9.52,9.5261,9.42,9.4506,60660
1591979400000,9.461,9.461,9.4,9.405,42665
1591980300000,9.41,9.5,9.36,9.5,47741
1591981200000,9.4996,9.5,9.41,9.43,26867
1591982100000,9.4387,9.47,9.3939,9.45,34040
1591983000000,9.45,9.465,9.4,9.425,41691
1591983900000,9.42,9.425,9.3202,9.38,84744
1591984800000,9.385,9.5,9.3756,9.475,70119
1591985700000,9.4899,9.5,9.39,9.42,60775
1591986600000,9.41,9.4574,9.32,9.34,51151
1591987500000,9.345,9.41,9.345,9.41,42349
1591988400000,9.42,9.48,9.4123,9.45,54971
1591989300000,9.44,9.44,9.32,9.35,62616
1591990200000,9.36,9.45,9.33,9.45,85353
1591991100000,9.45,9.54,9.45,9.53,230061
