datetime,open,high,low,close,volume
1569504600000,8.04,8.08,7.72,7.8033,72348
1569505500000,7.79,7.83,7.65,7.685,28619
1569506400000,7.685,7.84,7.68,7.83,35953
1569507300000,7.81,7.86,7.77,7.8391,13352
1569508200000,7.83,7.88,7.8,7.8101,14841
1569509100000,7.79,7.8199,7.77,7.77,12019
1569510000000,7.78,7.78,7.7,7.7,14520
1569510900000,7.7,7.72,7.64,7.67,37536
1569511800000,7.6544,7.69,7.61,7.65,15611
1569512700000,7.66,7.66,7.56,7.58,33910
1569513600000,7.58,7.64,7.56,7.62,49666
1569514500000,7.605,7.71,7.58,7.65,282203
1569515400000,7.68,7.7,7.66,7.69,35402
1569516300000,7.69,7.71,7.63,7.64,27131
1569517200000,7.66,7.68,7.64,7.65,22233
1569518100000,7.65,7.67,7.61,7.64,50852
1569519000000,7.645,7.69,7.645,7.67,18195
1569519900000,7.65,7.67,7.61,7.65,55879
1569520800000,7.66,7.67,7.61,7.665,24574
1569521700000,7.665,7.68,7.64,7.65,18452
1569522600000,7.65,7.7,7.63,7.675,29629
1569523500000,7.675,7.76,7.675,7.74,24248
1569524400000,7.74,7.77,7.74,7.74,14840
1569525300000,7.745,7.77,7.735,7.74,17776
1569526200000,7.74,7.765,7.71,7.715,38919
1569527100000,7.725,7.77,7.71,7.74,98074
1569591000000,7.78,7.86,7.675,7.845,22646
1569591900000,7.82,7.82,7.585,7.695,76404
1569592800000,7.695,7.77,7.63,7.76,19079
1569593700000,7.74,7.83,7.7,7.81,8057
1569594600000,7.805,7.9,7.79,7.87,53789
1569595500000,7.865,7.94,7.865,7.91,25490
1569596400000,7.9,7.95,7.86,7.95,8608
1569597300000,7.94,7.95,7.91,7.93,9225
1569598200000,7.91,7.92,7.79,7.83,13790
1569599100000,7.84,7.87,7.81,7.8389,19975
1569600000000,7.82,7.83,7.73,7.76,16274
1569600900000,7.76,7.78,7.72,7.72,13430
1569601800000,7.73,7.73,7.65,7.65,9169
1569602700000,7.66,7.66,7.595,7.595,24933
1569603600000,7.59,7.68,7.58,7.66,17615
1569604500000,7.66,7.68,7.64,7.65,10748
1569605400000,7.645,7.66,7.6,7.63,7860
1569606300000,7.63,7.67,7.6049,7.645,20931
1569607200000,7.645,7.66,7.61,7.61,5700
1569608100000,7.61,7.64,7.6,7.61,15444
1569609000000,7.61,7.62,7.59,7.62,12740
1569609900000,7.61,7.61,7.59,7.61,16679
1569610800000,7.6,7.62,7.57,7.57,37260
1569611700000,7.58,7.58,7.54,7.55,21382
1569612600000,7.54,7.55,7.52,7.53,28907
1569613500000,7.53,7.53,7.48,7.51,91274
1569850200000,7.74,7.74,7.41,7.44,44056
1569851100000,7.47,7.52,7.3769,7.3769,16710
1569852000000,7.3949,7.45,7.37,7.44,11106
1569852900000,7.44,7.45,7.4,7.44,13659
1569853800000,7.44,7.49,7.38,7.39,16093
1569854700000,7.39,7.42,7.34,7.36,32802
1569855600000,7.36,7.41,7.36,7.4,12557
1569856500000,7.395,7.42,7.335,7.4,68192
1569857400000,7.39,7.42,7.35,7.38,58976
1569858300000,7.38,7.39,7.295,7.335,44658
1569859200000,7.33,7.345,7.29,7.3,25592
1569860100000,7.3,7.36,7.28,7.35,16156
1569861000000,7.35,7.36,7.325,7.34,16266
1569861900000,7.34,7.46,7.3,7.44,118922
1569862800000,7.43,7.46,7.37,7.42,33614
1569863700000,7.44,7.46,7.42,7.46,13400
1569864600000,7.48,7.54,7.47,7.49,29453
1569865500000,7.505,7.54,7.5,7.52,10224
1569866400000,7.52,7.57,7.51,7.56,13242
1569867300000,7.555,7.59,7.55,7.59,17923
1569868200000,7.58,7.63,7.58,7.63,17432
1569869100000,7.63,7.65,7.62,7.64,21583
1569870000000,7.645,7.645,7.54,7.56,22614
1569870900000,7.56,7.58,7.51,7.51,22758
1569871800000,7.51,7.51,7.47,7.475,46497
1569872700000,7.48,7.49,7.46,7.47,98804
1569936600000,7.45,7.53,7.34,7.53,37537
1569937500000,7.53,7.61,7.49,7.52,12906
1569938400000,7.52,7.55,7.485,7.49,3511
1569939300000,7.48,7.49,7.4,7.45,12427
1569940200000,7.46,7.46,7.35,7.41,23796
1569941100000,7.42,7.45,7.3916,7.41,9571
1569942000000,7.4,7.45,7.395,7.41,10435
1569942900000,7.4,7.45,7.375,7.375,35043
1569943800000,7.385,7.39,7.32,7.33,9641
1569944700000,7.33,7.33,7.26,7.33,35249
1569945600000,7.3,7.305,7.2226,7.24,10336
1569946500000,7.23,7.25,7.195,7.2,8667
1569947400000,7.195,7.21,7.13,7.17,59711
1569948300000,7.165,7.165,7.05,7.06,43792
1569949200000,7.05,7.08,7.03,7.03,45883
1569950100000,7.03,7.04,6.95,6.97,23623
1569951000000,6.965,6.965,6.79,6.8,109909
1569951900000,6.8,6.87,6.75,6.85,47303
1569952800000,6.86,6.9,6.77,6.895,139077
1569953700000,6.89,7.03,6.84,7.005,151678
1569954600000,7.01,7.15,7.01,7.12,42953
1569955500000,7.13,7.22,7.11,7.16,38220
1569956400000,7.18,7.18,7.145,7.155,15936
1569957300000,7.16,7.19,7.1499,7.185,23319
1569958200000,7.19,7.31,7.18,7.31,50327
1569959100000,7.29,7.34,7.25,7.25,79283
1570023000000,7.19,7.36,7.08,7.18,21065
1570023900000,7.19,7.41,7.16,7.37,41993
1570024800000,7.38,7.5,7.38,7.44,18602
1570025700000,7.41,7.55,7.36,7.53,40146
1570026600000,7.49,7.65,7.49,7.6,35040
1570027500000,7.58,7.7,7.55,7.5717,34566
1570028400000,7.58,7.71,7.58,7.71,19047
1570029300000,7.75,7.75,7.61,7.67,89794
1570030200000,7.685,7.78,7.65,7.75,75132
1570031100000,7.74,7.74,7.67,7.7,15526
1570032000000,7.7,7.74,7.655,7.715,27086
1570032900000,7.72,7.78,7.7,7.745,16033
1570033800000,7.74,7.76,7.67,7.67,16411
1570034700000,7.6611,7.81,7.66,7.81,34824
1570035600000,7.7879,7.84,7.755,7.8116,19094
1570036500000,7.815,7.8568,7.7871,7.8,84171
1570037400000,7.8,7.825,7.7686,7.825,23510
1570038300000,7.825,7.86,7.79,7.86,27198
1570039200000,7.85,7.86,7.79,7.82,19021
1570040100000,7.82,7.8668,7.81,7.8634,20598
1570041000000,7.86,7.91,7.845,7.905,25778
1570041900000,7.91,7.94,7.8545,7.855,35829
1570042800000,7.86,7.88,7.84,7.85,24986
1570043700000,7.85,7.97,7.84,7.93,39130
1570044600000,7.92,7.94,7.825,7.85,49499
1570045500000,7.85,7.88,7.84,7.88,115787
1570109400000,7.84,8.08,7.695,8.0,162619
1570110300000,7.96,7.9799,7.71,7.72,29712
1570111200000,7.7,7.75,7.54,7.72,50376
1570112100000,7.7175,7.7175,7.61,7.7,18625
1570113000000,7.67,7.75,7.66,7.74,29703
1570113900000,7.73,7.81,7.72,7.79,18251
1570114800000,7.83,7.91,7.81,7.91,23683
1570115700000,7.93,8.03,7.93,8.0,38257
1570116600000,8.01,8.02,7.97,8.02,19499
1570117500000,8.03,8.03,7.97,8.01,12115
1570118400000,8.0243,8.07,7.99,8.055,14599
1570119300000,8.05,8.07,8.0,8.06,23343
1570120200000,8.06,8.08,8.04,8.05,8771
1570121100000,8.045,8.11,8.045,8.11,17598
1570122000000,8.1,8.1,8.0124,8.02,9983
1570122900000,8.01,8.065,8.01,8.03,11083
1570123800000,8.04,8.05,8.01,8.04,9198
1570124700000,8.02,8.08,8.02,8.03,13663
1570125600000,8.05,8.05,7.985,8.01,15460
1570126500000,8.01,8.03,7.99,8.01,8081
1570127400000,8.015,8.02,8.0,8.0,6600
1570128300000,8.0116,8.05,8.0,8.05,11916
1570129200000,8.02,8.09,8.015,8.06,443169
1570130100000,8.05,8.05,7.93,7.97,51421
1570131000000,7.98,8.01,7.935,8.01,25386
1570131900000,8.0,8.04,7.98,8.035,97793
1570195800000,8.01,8.11,8.0,8.07,26164
1570196700000,8.0553,8.12,7.89,8.06,108197
1570197600000,8.07,8.12,7.92,7.94,42130
1570198500000,7.95,7.985,7.93,7.955,27278
1570199400000,7.94,7.95,7.83,7.84,18681
1570200300000,7.84,7.9,7.8,7.82,110644
1570201200000,7.825,7.825,7.75,7.79,26008
1570202100000,7.78,7.8,7.74,7.76,18679
1570203000000,7.76,7.84,7.75,7.77,23396
1570203900000,7.78,7.8,7.725,7.74,17699
1570204800000,7.735,7.76,7.72,7.75,5869
1570205700000,7.75,7.84,7.75,7.83,35009
1570206600000,7.82,7.9161,7.8,7.88,40402
1570207500000,7.87,7.89,7.81,7.82,19455
1570208400000,7.81,7.84,7.8,7.84,3998
1570209300000,7.84,7.89,7.8399,7.88,8121
1570210200000,7.88,7.93,7.86,7.91,5714
1570211100000,7.91,7.93,7.895,7.91,6700
1570212000000,7.92,7.95,7.84,7.84,52185
1570212900000,7.87,7.87,7.8,7.83,30168
1570213800000,7.83,7.95,7.83,7.915,50681
1570214700000,7.91,7.95,7.89,7.94,31370
1570215600000,7.94,8.02,7.935,8.02,21583
1570216500000,8.015,8.045,8.005,8.01,30779
1570217400000,8.01,8.09,8.01,8.09,15272
1570218300000,8.075,8.18,8.07,8.17,157113
1570455000000,8.12,8.31,8.12,8.28,28969
1570455900000,8.28,8.41,8.28,8.32,48726
1570456800000,8.33,8.34,8.12,8.12,94529
1570457700000,8.13,8.14,8.04,8.115,37675
1570458600000,8.12,8.16,8.11,8.14,16602
1570459500000,8.16,8.29,8.16,8.18,39381
1570460400000,8.18,8.26,8.175,8.25,54245
1570461300000,8.25,8.25,8.055,8.07,47451
1570462200000,8.07,8.09,8.04,8.05,14255
1570463100000,8.06,8.07,8.0,8.035,34623
1570464000000,8.04,8.07,8.02,8.07,15816
1570464900000,8.07,8.11,8.065,8.09,4100
1570465800000,8.08,8.09,8.04,8.06,5184
1570466700000,8.06,8.08,8.05,8.05,8388
1570467600000,8.06,8.06,7.96,7.965,8441
1570468500000,7.955,8.01,7.955,7.99,5650
1570469400000,7.99,8.07,7.99,8.05,12666
1570470300000,8.05,8.05,8.035,8.045,4958
1570471200000,8.04,8.06,8.03,8.06,10815
1570472100000,8.06,8.08,8.05,8.06,10758
1570473000000,8.065,8.065,8.01,8.03,14228
1570473900000,8.04,8.07,8.03,8.05,10136
1570474800000,8.05,8.08,8.035,8.06,11947
1570475700000,8.06,8.1,8.025,8.04,13635
1570476600000,8.04,8.05,8.02,8.02,16600
1570477500000,8.02,8.03,8.0,8.0,73835
1570541400000,7.94,8.01,7.91,7.97,31089
1570542300000,7.985,8.01,7.83,7.86,63382
1570543200000,7.84,8.02,7.81,7.969,155167
1570544100000,7.98,8.16,7.98,8.09,25800
1570545000000,8.09,8.14,8.01,8.06,22655
1570545900000,8.07,8.1,7.96,8.02,90778
1570546800000,8.0,8.0,7.935,7.97,3800
1570547700000,7.96,8.01,7.9,7.91,5150
1570548600000,7.92,7.97,7.9,7.97,9230
