datetime,open,high,low,close,volume
1591968600000,4.98,5.15,4.7,4.965,4850978
1591969500000,4.965,4.98,4.78,4.89,1908329
1591970400000,4.895,4.96,4.85,4.8599,1170792
1591971300000,4.86,4.94,4.82,4.83,769118
1591972200000,4.8261,4.84,4.62,4.69,1736122
1591973100000,4.69,4.74,4.5,4.5024,1476493
1591974000000,4.51,4.63,4.4,4.515,1898575
1591974900000,4.5143,4.56,4.43,4.53,895394
1591975800000,4.53,4.67,4.5,4.53,1217332
1591976700000,4.535,4.66,4.53,4.635,678007
1591977600000,4.635,4.65,4.55,4.58,639418
1591978500000,4.585,4.65,4.56,4.5937,418570
1591979400000,4.6,4.6,4.56,4.5862,247387
1591980300000,4.58,4.59,4.53,4.58,356559
1591981200000,4.58,4.59,4.54,4.59,321265
1591982100000,4.59,4.6,4.55,4.555,249025
1591983000000,4.555,4.57,4.51,4.51,315407
1591983900000,4.5182,4.56,4.5,4.515,637992
1591984800000,4.52,4.59,4.51,4.57,329955
1591985700000,4.57,4.69,4.532,4.645,533262
1591986600000,4.65,4.71,4.625,4.7,626161
1591987500000,4.7,4.75,4.65,4.67,544554
1591988400000,4.675,4.8,4.675,4.785,637399
1591989300000,4.785,4.79,4.69,4.72,484079
1591990200000,4.725,4.79,4.715,4.78,535161
1591991100000,4.79,4.85,4.7809,4.8201,1187348
