datetime,open,high,low,close,volume
1569504600000,19.27,19.3,18.6,18.6391,103860
1569505500000,18.58,18.72,18.45,18.6254,78526
1569506400000,18.71,18.82,18.62,18.68,23278
1569507300000,18.68,18.695,18.51,18.6375,16723
1569508200000,18.65,18.6699,18.4338,18.47,41625
1569509100000,18.44,18.4499,18.26,18.33,41531
1569510000000,18.32,18.36,18.16,18.3372,40509
1569510900000,18.34,18.3678,18.26,18.32,8519
1569511800000,18.3499,18.4317,18.3,18.3682,20249
1569512700000,18.37,18.45,18.32,18.36,67478
1569513600000,18.36,18.43,18.35,18.39,33723
1569514500000,18.39,18.44,18.37,18.42,19180
1569515400000,18.42,18.4306,18.37,18.43,22229
1569516300000,18.43,18.43,18.35,18.36,48446
1569517200000,18.36,18.37,18.13,18.16,114943
1569518100000,18.1699,18.19,18.07,18.07,47756
1569519000000,18.09,18.09,17.94,17.94,84014
1569519900000,17.92,17.95,17.74,17.8091,77149
1569520800000,17.85,17.9,17.7077,17.755,42828
1569521700000,17.77,18.02,17.755,17.9,30360
1569522600000,17.89,18.07,17.88,17.99,35721
1569523500000,18.02,18.04,17.93,17.99,21347
1569524400000,18.02,18.09,17.99,18.0797,14845
1569525300000,18.065,18.18,18.03,18.0406,22832
1569526200000,18.025,18.15,18.025,18.14,71598
1569527100000,18.14,18.18,17.975,18.0,88324
1569591000000,18.22,18.39,17.79,17.88,76079
1569591900000,17.86,18.11,17.83,18.09,28364
1569592800000,18.09,18.17,18.02,18.06,17046
1569593700000,18.06,18.28,18.0011,18.07,37295
1569594600000,18.08,18.09,17.71,17.8048,66522
1569595500000,17.81,18.0163,17.805,18.0163,17175
1569596400000,18.02,18.17,18.02,18.165,35034
1569597300000,18.15,18.15,18.04,18.12,21373
1569598200000,18.12,18.18,17.811,17.9,30037
1569599100000,17.88,17.945,17.606,17.77,129605
1569600000000,17.75,17.84,17.67,17.81,18693
1569600900000,17.81,17.83,17.58,17.595,31344
1569601800000,17.58,17.67,17.42,17.62,60563
1569602700000,17.62,17.62,17.32,17.36,39164
1569603600000,17.32,17.46,17.28,17.44,38763
1569604500000,17.439,17.44,17.3301,17.4075,25344
1569605400000,17.39,17.39,17.28,17.34,13390
1569606300000,17.31,17.325,17.19,17.262,30029
1569607200000,17.25,17.2896,17.18,17.195,24436
1569608100000,17.19,17.195,17.01,17.01,64642
1569609000000,17.0268,17.03,16.8999,16.93,83199
1569609900000,16.9197,16.93,16.56,16.89,148256
1569610800000,16.88,16.97,16.84,16.91,44662
1569611700000,16.89,16.99,16.8,16.805,40641
1569612600000,16.81,16.89,16.79,16.81,42265
1569613500000,16.82,16.86,16.72,16.77,149591
1569850200000,17.03,17.19,16.6,16.65,135104
1569851100000,16.64,16.91,16.5765,16.67,75252
1569852000000,16.69,16.71,16.2242,16.28,123835
1569852900000,16.29,16.48,16.24,16.28,38186
1569853800000,16.26,16.295,16.01,16.0892,82654
1569854700000,16.0931,16.185,16.05,16.1,41679
1569855600000,16.1119,16.17,16.03,16.05,41354
1569856500000,16.065,16.205,16.065,16.19,51146
1569857400000,16.2,16.22,16.06,16.09,61271
1569858300000,16.11,16.2081,16.08,16.145,32981
1569859200000,16.16,16.28,16.14,16.28,36109
1569860100000,16.26,16.45,16.26,16.395,23678
1569861000000,16.4,16.44,16.3,16.39,20600
1569861900000,16.4173,16.44,16.37,16.402,10749
1569862800000,16.41,16.43,16.35,16.37,9635
1569863700000,16.38,16.3965,16.35,16.35,7370
1569864600000,16.37,16.37,16.28,16.28,25956
1569865500000,16.29,16.3115,16.19,16.21,28817
1569866400000,16.21,16.24,16.15,16.19,22228
1569867300000,16.19,16.28,16.18,16.1883,19479
1569868200000,16.21,16.255,16.18,16.2,24293
1569869100000,16.205,16.24,16.18,16.2,15266
1569870000000,16.2,16.205,16.13,16.16,24475
1569870900000,16.16,16.181,16.12,16.135,31433
1569871800000,16.137,16.137,16.01,16.03,65284
1569872700000,16.02,16.04,15.93,15.94,246938
1569936600000,16.1,16.18,15.76,15.85,70382
1569937500000,15.83,15.95,15.714,15.81,54816
1569938400000,15.79,15.97,15.71,15.72,31142
1569939300000,15.724,15.77,15.6001,15.745,72408
1569940200000,15.74,15.785,15.55,15.57,67068
1569941100000,15.57,15.6098,15.4409,15.52,59976
1569942000000,15.5,15.5,15.36,15.36,19239
1569942900000,15.35,15.6063,15.33,15.5599,24475
1569943800000,15.53,15.53,15.42,15.48,17827
1569944700000,15.51,15.5392,15.39,15.43,10168
1569945600000,15.42,15.5,15.405,15.48,24931
1569946500000,15.5,15.557,15.41,15.4399,18250
1569947400000,15.43,15.45,15.36,15.3738,11636
1569948300000,15.37,15.5,15.37,15.415,13046
1569949200000,15.4,15.42,15.33,15.355,36070
1569950100000,15.35,15.36,15.28,15.295,10719
1569951000000,15.28,15.34,15.21,15.32,16097
1569951900000,15.32,15.345,15.305,15.32,5860
1569952800000,15.33,15.4,15.32,15.4,17719
1569953700000,15.41,15.43,15.32,15.335,16174
1569954600000,15.32,15.32,15.26,15.27,26133
1569955500000,15.265,15.42,15.25,15.4,28494
1569956400000,15.42,15.5099,15.4,15.46,17782
1569957300000,15.45,15.46,15.4,15.42,9139
1569958200000,15.41,15.41,15.34,15.375,72168
1569959100000,15.38,15.38,15.26,15.27,108400
1570023000000,15.2,15.51,15.16,15.27,108883
1570023900000,15.24,15.3062,14.86,15.01,107282
1570024800000,15.01,15.22,15.01,15.1,35050
1570025700000,15.13,15.2295,15.095,15.1,23940
1570026600000,15.09,15.095,14.92,14.98,34151
1570027500000,14.985,15.06,14.98,14.98,40085
1570028400000,14.95,15.0,14.69,14.7463,71318
1570029300000,14.715,14.92,14.7,14.92,26917
1570030200000,14.93,14.97,14.77,14.91,47642
1570031100000,14.91,14.95,14.8,14.805,37468
1570032000000,14.81,14.83,14.755,14.78,12271
1570032900000,14.78,14.855,14.765,14.855,16049
1570033800000,14.85,14.85,14.75,14.75,17854
1570034700000,14.755,14.86,14.75,14.855,20264
1570035600000,14.855,14.9615,14.845,14.855,32580
1570036500000,14.855,14.855,14.8,14.83,18160
1570037400000,14.83,14.835,14.77,14.83,18227
1570038300000,14.83,14.845,14.79,14.845,13397
1570039200000,14.845,14.88,14.77,14.785,16480
1570040100000,14.79,14.88,14.79,14.875,15114
1570041000000,14.875,14.88,14.785,14.8,24465
1570041900000,14.805,14.845,14.77,14.83,41299
1570042800000,14.82,14.96,14.82,14.96,29144
1570043700000,14.935,14.98,14.885,14.89,18624
1570044600000,14.89,14.98,14.86,14.94,33486
1570045500000,14.94,14.948,14.83,14.85,99659
1570109400000,14.95,15.09,14.6905,14.6905,59329
1570110300000,14.69,15.13,14.69,15.065,48701
1570111200000,15.05,15.06,14.89,15.03,61701
1570112100000,15.01,15.12,14.905,15.0939,38463
1570113000000,15.07,15.17,15.025,15.1195,26623
1570113900000,15.11,15.11,14.96,15.04,26335
1570114800000,15.04,15.3,15.04,15.2685,16550
1570115700000,15.3,15.3,15.18,15.195,10636
1570116600000,15.195,15.26,15.19,15.24,25761
1570117500000,15.25,15.42,15.23,15.36,27999
1570118400000,15.36,15.5,15.35,15.5,18458
1570119300000,15.51,15.51,15.26,15.34,29919
1570120200000,15.33,15.46,15.32,15.3632,18916
1570121100000,15.375,15.41,15.32,15.38,4100
1570122000000,15.43,15.52,15.39,15.51,7619
1570122900000,15.5101,15.5199,15.38,15.38,11117
1570123800000,15.37,15.49,15.3685,15.49,5783
1570124700000,15.49,15.525,15.46,15.46,12676
1570125600000,15.43,15.5,15.3748,15.42,26122
1570126500000,15.43,15.51,15.425,15.485,7382
1570127400000,15.48,15.48,15.4,15.42,7076
1570128300000,15.41,15.43,15.36,15.42,5109
1570129200000,15.4,15.43,15.37,15.39,4861
1570130100000,15.4248,15.43,15.33,15.415,15173
1570131000000,15.41,15.51,15.35,15.51,15646
1570131900000,15.51,15.65,15.5,15.58,77987
1570195800000,15.8,15.85,15.4001,15.46,59325
1570196700000,15.44,15.58,15.41,15.58,12216
1570197600000,15.6511,15.69,15.35,15.5,31755
1570198500000,15.5264,15.62,15.48,15.585,4682
1570199400000,15.58,15.65,15.55,15.59,6721
1570200300000,15.57,15.57,15.3751,15.48,9083
1570201200000,15.5,15.595,15.48,15.5,4990
1570202100000,15.5,15.52,15.45,15.46,2200
1570203000000,15.49,15.51,15.4467,15.51,9165
1570203900000,15.51,15.6359,15.51,15.6359,5344
1570204800000,15.63,15.72,15.63,15.705,15356
1570205700000,15.705,15.74,15.6471,15.71,6842
1570206600000,15.71,15.7631,15.7,15.74,7909
1570207500000,15.72,15.76,15.7,15.7201,6321
1570208400000,15.72,15.76,15.7,15.76,6544
1570209300000,15.78,15.84,15.77,15.84,14186
1570210200000,15.84,15.95,15.81,15.94,33586
1570211100000,15.93,16.02,15.895,16.0,24895
1570212000000,15.9922,16.11,15.9765,16.09,11731
1570212900000,16.08,16.11,16.01,16.0965,12207
1570213800000,16.11,16.14,16.07,16.14,18467
1570214700000,16.14,16.14,16.02,16.02,10644
1570215600000,16.03,16.09,16.02,16.03,4434
1570216500000,16.05,16.15,16.05,16.15,9509
1570217400000,16.14,16.15,16.02,16.055,34450
1570218300000,16.055,16.0899,15.97,16.02,102545
1570455000000,15.38,15.96,15.3,15.8,96366
1570455900000,15.83,16.0,15.7,15.986,45832
1570456800000,15.98,16.0912,15.9335,16.005,25505
1570457700000,16.0,16.01,15.88,15.9664,16783
1570458600000,15.98,16.0599,15.98,16.05,14620
1570459500000,16.05,16.13,15.9253,16.04,60688
1570460400000,16.06,16.15,16.03,16.1,32802
1570461300000,16.1,16.1,16.03,16.04,9426
1570462200000,16.02,16.0757,15.67,15.715,28504
1570463100000,15.715,15.83,15.71,15.71,13147
1570464000000,15.69,15.69,15.465,15.51,45360
1570464900000,15.52,15.5793,15.495,15.52,20607
1570465800000,15.495,15.575,15.48,15.57,8655
1570466700000,15.5652,15.578,15.51,15.5554,7601
1570467600000,15.51,15.63,15.51,15.59,13789
1570468500000,15.59,15.65,15.555,15.65,7631
1570469400000,15.67,15.78,15.67,15.72,7970
1570470300000,15.72,15.75,15.67,15.69,12713
1570471200000,15.68,15.6802,15.615,15.655,7377
1570472100000,15.66,15.71,15.66,15.68,1600
1570473000000,15.69,15.69,15.63,15.64,5752
1570473900000,15.63,15.72,15.61,15.71,12174
1570474800000,15.7,15.7,15.645,15.67,8874
1570475700000,15.68,15.705,15.62,15.63,6610
1570476600000,15.625,15.7,15.595,15.7,24905
1570477500000,15.695,15.715,15.63,15.63,56157
1570541400000,15.62,15.7349,15.6,15.71,31031
1570542300000,15.74,15.78,15.62,15.6294,21379
1570543200000,15.635,15.68,15.6,15.64,16769
1570544100000,15.6511,15.795,15.62,15.75,9505
1570545000000,15.74,15.79,15.66,15.74,10651
1570545900000,15.76,15.84,15.74,15.8393,8437
1570546800000,15.84,15.855,15.77,15.79,21386
1570547700000,15.7758,15.83,15.7758,15.7845,7236
1570548600000,15.79,15.87,15.75,15.83,12787
