datetime,open,high,low,close,volume
1569504600000,7.52,7.53,7.5199,7.5199,17869
1569505500000,7.515,7.52,7.5,7.5048,36354
1569506400000,7.5075,7.51,7.5,7.5076,3832
1569507300000,7.5033,7.51,7.5,7.5,14484
1569508200000,7.5,7.5,7.49,7.49,19694
1569509100000,7.49,7.5,7.49,7.4966,7961
1569510000000,7.4963,7.4963,7.49,7.49,21672
1569510900000,7.495,7.5,7.49,7.495,9700
1569511800000,7.4953,7.4985,7.49,7.495,7826
1569512700000,7.495,7.495,7.48,7.49,14491
1569513600000,7.49,7.49,7.48,7.49,14325
1569514500000,7.49,7.5,7.49,7.49,10657
1569515400000,7.495,7.495,7.4869,7.4869,20467
1569516300000,7.485,7.49,7.48,7.48,6970
1569517200000,7.4818,7.49,7.48,7.49,22998
1569518100000,7.495,7.5,7.49,7.49,8700
1569519000000,7.4901,7.5,7.4901,7.5,11280
1569519900000,7.495,7.495,7.48,7.48,31494
1569520800000,7.485,7.4879,7.48,7.485,1844
1569521700000,7.485,7.4899,7.48,7.4899,19748
1569522600000,7.485,7.4875,7.48,7.4801,22906
1569523500000,7.485,7.49,7.48,7.48,12981
1569524400000,7.4861,7.4861,7.48,7.48,1748
1569525300000,7.485,7.4897,7.48,7.48,5647
1569526200000,7.48,7.49,7.48,7.48,9223
1569527100000,7.485,7.49,7.48,7.49,49404
1569591000000,7.5,7.5,7.485,7.485,31654
1569591900000,7.485,7.49,7.4757,7.48,16862
1569592800000,7.4899,7.49,7.477,7.49,27188
1569593700000,7.485,7.49,7.48,7.48,23647
1569594600000,7.48,7.49,7.4772,7.485,7400
1569595500000,7.485,7.49,7.475,7.475,14655
1569596400000,7.48,7.49,7.47,7.485,5397
1569597300000,7.485,7.49,7.47,7.485,15304
1569598200000,7.4823,7.49,7.48,7.49,8860
1569599100000,7.485,7.485,7.4703,7.48,13115
1569600000000,7.4793,7.49,7.47,7.49,6023
1569600900000,7.49,7.49,7.47,7.4793,9020
1569601800000,7.47,7.48,7.47,7.47,25899
1569602700000,7.47,7.48,7.47,7.47,4884
1569603600000,7.47,7.48,7.47,7.47,19289
1569604500000,7.47,7.48,7.47,7.47,11482
1569605400000,7.47,7.48,7.47,7.475,4217
1569606300000,7.475,7.4787,7.46,7.465,43256
1569607200000,7.46,7.47,7.46,7.46,20259
1569608100000,7.46,7.4692,7.46,7.4692,12953
1569609000000,7.465,7.4669,7.46,7.46,16883
1569609900000,7.46,7.465,7.45,7.45,30449
1569610800000,7.45,7.45,7.44,7.45,29202
1569611700000,7.44,7.45,7.44,7.44,4000
1569612600000,7.445,7.46,7.44,7.45,23132
1569613500000,7.4563,7.4563,7.44,7.45,29399
1569850200000,7.45,7.455,7.445,7.445,44123
1569851100000,7.45,7.46,7.44,7.4594,30767
1569852000000,7.4552,7.46,7.45,7.455,17669
1569852900000,7.455,7.46,7.44,7.45,33586
1569853800000,7.45,7.46,7.44,7.4549,11467
1569854700000,7.45,7.455,7.44,7.446,10076
1569855600000,7.44,7.45,7.44,7.44,26576
1569856500000,7.445,7.45,7.44,7.44,12496
1569857400000,7.445,7.45,7.44,7.45,4992
1569858300000,7.44,7.45,7.44,7.45,31182
1569859200000,7.448,7.45,7.44,7.44,21656
1569860100000,7.44,7.45,7.44,7.4481,8636
1569861000000,7.44,7.45,7.44,7.44,4068
1569861900000,7.445,7.45,7.44,7.44,14901
1569862800000,7.445,7.445,7.43,7.445,35711
1569863700000,7.445,7.46,7.44,7.455,56508
1569864600000,7.45,7.46,7.45,7.46,3600
1569865500000,7.45,7.46,7.45,7.45,9476
1569866400000,7.45,7.46,7.44,7.455,16828
1569867300000,7.455,7.46,7.45,7.45,9714
1569868200000,7.45,7.46,7.45,7.45,28023
1569869100000,7.455,7.47,7.45,7.47,120614
1569870000000,7.47,7.47,7.46,7.465,14287
1569870900000,7.465,7.47,7.46,7.4664,18845
1569871800000,7.46,7.47,7.455,7.47,96388
1569872700000,7.47,7.48,7.46,7.48,123785
1569936600000,7.51,7.51,7.48,7.495,122503
1569937500000,7.5,7.51,7.49,7.5,83458
1569938400000,7.5,7.505,7.4805,7.4965,44685
1569939300000,7.5,7.5,7.49,7.5,22613
1569940200000,7.492,7.5,7.49,7.5,17863
1569941100000,7.495,7.5,7.48,7.48,21840
1569942000000,7.485,7.5,7.45,7.455,50577
1569942900000,7.46,7.46,7.45,7.45,15466
1569943800000,7.45,7.4582,7.44,7.44,52881
1569944700000,7.44,7.448,7.42,7.425,117460
1569945600000,7.425,7.44,7.42,7.43,37207
1569946500000,7.43,7.45,7.43,7.44,17124
1569947400000,7.44,7.45,7.44,7.4498,8816
1569948300000,7.44,7.47,7.44,7.4662,10079
1569949200000,7.46,7.47,7.46,7.465,5170
1569950100000,7.47,7.47,7.46,7.47,26280
1569951000000,7.47,7.48,7.47,7.47,15235
1569951900000,7.48,7.48,7.47,7.47,6035
1569952800000,7.47,7.48,7.47,7.47,9453
1569953700000,7.47,7.48,7.47,7.47,2485
