datetime,open,high,low,close,volume
1569504600000,16.24,16.31,16.21,16.22,8667
1569505500000,16.22,16.22,16.14,16.2,6193
1569506400000,16.21,16.24,16.17,16.185,5456
1569507300000,16.18,16.18,16.15,16.17,4585
1569508200000,16.18,16.23,16.17,16.225,2688
1569509100000,16.21,16.24,16.2,16.24,5272
1569510000000,16.23,16.24,16.19,16.2,6438
1569510900000,16.195,16.2137,16.18,16.2052,12307
1569511800000,16.205,16.29,16.205,16.29,9206
1569512700000,16.3,16.3,16.27,16.3,4429
1569513600000,16.29,16.33,16.29,16.3,5195
1569514500000,16.29,16.31,16.28,16.305,4652
1569515400000,16.305,16.32,16.29,16.29,6147
1569516300000,16.29,16.305,16.28,16.3,5358
1569517200000,16.3,16.32,16.3,16.31,1889
1569518100000,16.31,16.315,16.28,16.305,4837
1569519000000,16.31,16.3443,16.305,16.3443,5712
1569519900000,16.335,16.35,16.33,16.35,11049
1569520800000,16.36,16.3837,16.33,16.38,4113
1569521700000,16.39,16.395,16.35,16.35,4448
1569522600000,16.34,16.38,16.34,16.365,5705
1569523500000,16.37,16.38,16.36,16.365,2511
1569524400000,16.37,16.39,16.35,16.37,12817
1569525300000,16.3725,16.405,16.37,16.39,13409
1569526200000,16.39,16.405,16.38,16.385,8547
1569527100000,16.39,16.42,16.375,16.41,42968
1569591000000,16.47,16.48,16.38,16.44,12182
1569591900000,16.416,16.44,16.39,16.41,2885
1569592800000,16.38,16.39,16.34,16.365,10594
1569593700000,16.37,16.4,16.34,16.36,7564
1569594600000,16.36,16.38,16.35,16.38,1984
1569595500000,16.38,16.38,16.335,16.35,12041
1569596400000,16.35,16.38,16.34,16.38,3835
1569597300000,16.38,16.42,16.38,16.42,3100
1569598200000,16.41,16.42,16.34,16.35,7963
1569599100000,16.34,16.37,16.34,16.35,7384
1569600000000,16.33,16.355,16.31,16.32,20110
1569600900000,16.3,16.3,16.28,16.29,3997
1569601800000,16.3,16.3,16.28,16.28,1300
1569602700000,16.27,16.29,16.26,16.26,1400
1569603600000,16.25,16.32,16.25,16.3,4495
1569604500000,16.29,16.29,16.25,16.27,1760
1569605400000,16.26,16.28,16.23,16.27,1893
1569606300000,16.26,16.28,16.24,16.28,2403
1569607200000,16.27,16.3,16.27,16.28,10680
1569608100000,16.28,16.28,16.25,16.25,4368
1569609000000,16.25,16.26,16.21,16.24,18786
1569609900000,16.24,16.25,16.22,16.23,4125
1569610800000,16.235,16.235,16.19,16.19,12585
1569611700000,16.2,16.23,16.2,16.23,8370
1569612600000,16.22,16.29,16.22,16.275,9596
1569613500000,16.28,16.35,16.28,16.35,32834
1569850200000,16.36,16.44,16.36,16.42,4818
1569851100000,16.385,16.41,16.36,16.36,3689
1569852000000,16.339,16.339,16.3,16.32,4622
1569852900000,16.3,16.31,16.28,16.3,1923
1569853800000,16.28,16.3,16.27,16.27,2118
1569854700000,16.29,16.34,16.29,16.305,4503
1569855600000,16.3,16.32,16.3,16.31,2600
1569856500000,16.31,16.31,16.28,16.28,1500
1569857400000,16.29,16.3,16.27,16.3,3057
1569858300000,16.31,16.31,16.26,16.27,4653
1569859200000,16.27,16.29,16.24,16.24,5580
1569860100000,16.24,16.29,16.23,16.29,4575
1569861000000,16.28,16.28,16.19,16.2532,16364
1569861900000,16.25,16.27,16.24,16.27,2050
1569862800000,16.27,16.27,16.25,16.25,5644
1569863700000,16.24,16.24,16.2161,16.2161,2081
1569864600000,16.219,16.235,16.21,16.22,6233
1569865500000,16.225,16.24,16.22,16.22,1921
1569866400000,16.22,16.24,16.22,16.235,2700
1569867300000,16.24,16.27,16.24,16.265,3220
1569868200000,16.27,16.28,16.27,16.27,4000
1569869100000,16.275,16.28,16.24,16.24,4630
1569870000000,16.25,16.2947,16.25,16.285,3767
1569870900000,16.29,16.3,16.24,16.24,5329
1569871800000,16.24,16.25,16.22,16.23,6908
1569872700000,16.23,16.24,16.14,16.15,75704
1569936600000,16.18,16.22,16.1,16.1,12835
1569937500000,16.12,16.13,16.06,16.08,4700
1569938400000,16.06,16.06,15.9,15.9,6889
1569939300000,15.905,15.95,15.905,15.94,5366
1569940200000,15.95,15.98,15.93,15.93,8225
1569941100000,15.95,15.965,15.92,15.965,4505
1569942000000,15.96,16.0,15.96,15.99,2661
1569942900000,15.97,16.05,15.97,16.05,2477
1569943800000,16.06,16.09,16.0,16.0,7255
