datetime,open,high,low,close,volume
1569504600000,33.77,34.09,33.17,33.6805,41267
1569505500000,33.83,33.95,33.63,33.8787,2610
1569506400000,33.92,33.99,33.71,33.715,2582
1569507300000,33.65,33.66,33.35,33.48,8103
1569508200000,33.49,33.7176,33.49,33.709,2679
1569509100000,33.71,33.89,33.69,33.81,2875
1569510000000,33.74,33.8,33.59,33.79,2367
1569510900000,33.85,33.935,33.53,33.55,3910
1569511800000,33.555,33.62,33.46,33.535,1766
1569512700000,33.5424,33.6768,33.45,33.6768,2156
1569513600000,33.68,34.285,33.68,34.17,6709
1569514500000,34.19,34.31,34.17,34.31,4657
1569515400000,34.31,34.37,34.31,34.32,2135
1569516300000,34.29,34.325,34.21,34.22,2873
1569517200000,34.205,34.35,34.19,34.24,6248
1569518100000,34.19,34.19,34.07,34.07,1319
1569519000000,34.1299,34.195,34.095,34.195,1578
1569519900000,34.1571,34.41,34.12,34.41,7530
1569520800000,34.36,34.4,34.25,34.38,3642
1569521700000,34.3999,34.4,34.28,34.28,3258
1569522600000,34.3,34.63,34.3,34.63,19238
1569523500000,34.61,34.61,34.415,34.6,3855
1569524400000,34.6,34.78,34.6,34.75,9333
1569525300000,34.73,34.89,34.675,34.73,6652
1569526200000,34.715,34.72,34.0,34.0,80695
1569527100000,34.01,34.43,33.93,34.3,67695
1569591000000,34.41,34.76,34.14,34.6,32535
1569591900000,34.72,34.75,34.0373,34.0373,4491
1569592800000,34.115,34.175,33.95,34.175,4393
1569593700000,34.08,34.35,34.08,34.3,7579
1569594600000,34.38,34.54,34.3595,34.44,2934
1569595500000,34.3663,34.48,34.3663,34.48,5792
1569596400000,34.48,34.53,34.27,34.53,49524
1569597300000,34.535,34.83,34.25,34.74,13497
1569598200000,34.85,34.86,34.24,34.4826,5741
1569599100000,34.47,34.68,34.34,34.68,5114
1569600000000,34.61,34.61,34.365,34.42,3000
1569600900000,34.41,34.45,34.23,34.32,3367
1569601800000,34.36,34.63,34.34,34.46,3879
1569602700000,34.51,34.51,34.22,34.22,3550
1569603600000,34.2,34.38,34.11,34.3,4348
1569604500000,34.35,34.3507,34.2,34.2,3661
