datetime,open,high,low,close,volume
1569504600000,18.5,18.6,18.4,18.46,125101
1569505500000,18.51,18.51,18.45,18.5,11019
1569506400000,18.505,18.53,18.43,18.45,14733
1569507300000,18.44,18.47,18.3701,18.47,16259
1569508200000,18.47,18.47,18.32,18.32,14746
1569509100000,18.3251,18.36,18.26,18.2795,17619
1569510000000,18.25,18.2501,18.14,18.18,43740
1569510900000,18.17,18.2295,18.17,18.22,23743
1569511800000,18.23,18.26,18.2,18.22,18516
1569512700000,18.23,18.24,18.2,18.205,14872
1569513600000,18.2,18.27,18.18,18.24,23934
1569514500000,18.24,18.255,18.18,18.24,23464
1569515400000,18.25,18.28,18.2,18.2,15384
1569516300000,18.2,18.26,18.18,18.24,21283
1569517200000,18.24,18.27,18.22,18.24,11281
1569518100000,18.23,18.24,18.2,18.24,13492
1569519000000,18.235,18.27,18.23,18.245,12556
1569519900000,18.24,18.3,18.23,18.295,12974
1569520800000,18.29,18.33,18.28,18.33,12414
1569521700000,18.33,18.39,18.33,18.38,11316
1569522600000,18.38,18.44,18.38,18.42,13482
1569523500000,18.42,18.44,18.35,18.39,15089
1569524400000,18.4,18.425,18.38,18.42,18303
1569525300000,18.41,18.42,18.39,18.4054,16022
1569526200000,18.405,18.41,18.34,18.36,34380
1569527100000,18.355,18.355,18.27,18.28,108005
1569591000000,18.29,18.39,18.19,18.28,45049
1569591900000,18.27,18.27,18.1901,18.235,25614
1569592800000,18.26,18.26,18.21,18.225,6572
1569593700000,18.21,18.235,18.18,18.2227,35048
1569594600000,18.225,18.3,18.22,18.2889,9750
1569595500000,18.29,18.34,18.27,18.315,11745
1569596400000,18.32,18.35,18.26,18.27,10270
1569597300000,18.28,18.345,18.195,18.34,26615
1569598200000,18.34,18.38,18.24,18.3,24668
1569599100000,18.28,18.35,18.2799,18.31,32816
1569600000000,18.31,18.36,18.29,18.34,16446
1569600900000,18.35,18.37,18.28,18.3,19868
1569601800000,18.3,18.35,18.28,18.3,43506
1569602700000,18.28,18.32,18.21,18.3,33617
1569603600000,18.3,18.375,18.29,18.36,12483
1569604500000,18.36,18.395,18.345,18.39,9546
1569605400000,18.385,18.42,18.36,18.41,7256
1569606300000,18.4,18.43,18.37,18.415,16312
1569607200000,18.41,18.41,18.38,18.41,12489
1569608100000,18.41,18.41,18.35,18.39,38474
1569609000000,18.399,18.42,18.35,18.395,33051
1569609900000,18.39,18.4,18.28,18.295,26129
1569610800000,18.29,18.32,18.25,18.32,42974
1569611700000,18.3,18.3099,18.24,18.27,32613
1569612600000,18.26,18.37,18.25,18.365,48685
1569613500000,18.365,18.425,18.345,18.37,160945
1569850200000,18.28,18.4932,18.28,18.48,47014
1569851100000,18.5,18.53,18.39,18.44,13776
1569852000000,18.48,18.55,18.46,18.55,15499
1569852900000,18.54,18.54,18.43,18.47,6176
1569853800000,18.48,18.54,18.48,18.5,7538
1569854700000,18.5,18.71,18.45,18.61,33264
1569855600000,18.61,18.625,18.575,18.59,39240
1569856500000,18.5887,18.595,18.55,18.59,12588
1569857400000,18.5895,18.65,18.57,18.62,11530
1569858300000,18.62,18.62,18.51,18.52,28399
1569859200000,18.53,18.605,18.53,18.565,28568
1569860100000,18.58,18.605,18.55,18.605,14052
1569861000000,18.6,18.62,18.59,18.615,11770
1569861900000,18.615,18.66,18.595,18.655,12418
1569862800000,18.653,18.67,18.64,18.66,8300
1569863700000,18.65,18.66,18.61,18.615,7830
1569864600000,18.615,18.62,18.58,18.62,12038
1569865500000,18.63,18.64,18.58,18.623,23152
1569866400000,18.62,18.669,18.61,18.665,16426
1569867300000,18.67,18.72,18.665,18.67,31700
