datetime,open,high,low,close,volume
1569504600000,15.94,15.94,15.8638,15.8638,1593
1569505500000,15.87,15.96,15.84,15.895,3500
1569506400000,15.88,16.03,15.85,15.985,10417
1569507300000,15.98,16.0,15.93,15.955,2800
1569508200000,15.92,15.97,15.835,15.835,3300
1569509100000,15.85,15.94,15.82,15.89,16640
1569510000000,15.875,15.92,15.77,15.8,28463
1569510900000,15.8,15.81,15.6,15.6,11903
1569511800000,15.6,15.67,15.42,15.42,10314
1569512700000,15.43,15.43,15.31,15.31,5000
1569513600000,15.32,15.37,15.26,15.345,4500
1569514500000,15.345,15.39,15.33,15.39,2616
1569515400000,15.385,15.385,15.32,15.335,4029
1569516300000,15.34,15.35,15.31,15.35,2833
1569517200000,15.35,15.37,15.29,15.3408,6436
1569518100000,15.355,15.36,15.33,15.36,4800
1569519000000,15.35,15.4,15.34,15.37,3300
1569519900000,15.39,15.39,15.17,15.195,30802
1569520800000,15.17,15.185,15.01,15.0261,8712
1569521700000,15.03,15.035,14.95,15.035,8111
1569522600000,15.035,15.04,14.96,14.99,3000
1569523500000,14.95,15.0,14.945,14.985,5000
1569524400000,14.99,15.02,14.98,15.01,4600
1569525300000,15.02,15.02,14.96,15.01,3700
1569526200000,15.025,15.025,14.995,15.015,4606
1569527100000,15.015,15.035,14.935,14.95,38268
1569591000000,15.03,15.03,14.8,14.9,2557
1569591900000,15.02,15.02,14.82,14.945,4904
1569592800000,14.92,15.08,14.92,15.0,3155
1569593700000,15.0,15.01,14.65,14.9,16541
1569594600000,14.92,15.01,14.88,14.95,6123
1569595500000,14.99,14.99,14.925,14.97,5200
1569596400000,14.975,15.05,14.945,14.96,4600
1569597300000,14.96,15.02,14.915,15.02,4250
1569598200000,14.99,15.02,14.835,14.94,5811
1569599100000,14.94,15.06,14.91,15.025,4700
1569600000000,15.02,15.02,14.93,14.99,3871
1569600900000,14.9825,15.0,14.93,14.93,4211
1569601800000,14.93,14.93,14.86,14.86,3322
1569602700000,14.85,14.85,14.72,14.72,2174
1569603600000,14.7,14.825,14.7,14.825,5450
1569604500000,14.84,14.87,14.825,14.84,3500
1569605400000,14.84,14.86,14.81,14.85,2822
1569606300000,14.84,14.95,14.815,14.935,4677
1569607200000,14.91,14.93,14.83,14.83,3916
1569608100000,14.81,14.81,14.76,14.76,4729
1569609000000,14.75,14.76,14.71,14.71,4090
1569609900000,14.72,14.72,14.51,14.6,11395
1569610800000,14.62,14.83,14.615,14.725,8535
1569611700000,14.71,14.79,14.71,14.77,6600
1569612600000,14.745,14.83,14.745,14.75,7382
1569613500000,14.75,14.77,14.7,14.76,20673
1569850200000,14.82,14.84,14.56,14.6699,2550
1569851100000,14.67,14.89,14.67,14.89,3533
1569852000000,14.915,14.97,14.9,14.97,4328
1569852900000,15.005,15.125,14.98,15.125,5620
1569853800000,15.11,15.15,14.93,14.99,6091
1569854700000,14.98,15.07,14.88,14.88,11113
1569855600000,14.87,14.87,14.805,14.83,4909
1569856500000,14.77,14.84,14.77,14.79,4364
1569857400000,14.77,14.95,14.77,14.92,10807
1569858300000,14.89,14.895,14.85,14.85,1998
1569859200000,14.84,14.93,14.84,14.9,8264
1569860100000,14.93,15.0,14.93,15.0,4404
1569861000000,15.02,15.04,14.99,15.03,4406
1569861900000,15.03,15.08,15.03,15.06,4077
1569862800000,15.07,15.21,15.07,15.1771,4934
1569863700000,15.2,15.24,15.165,15.2,4662
1569864600000,15.22,15.37,15.205,15.35,4902
1569865500000,15.35,15.49,15.35,15.455,9400
1569866400000,15.455,15.47,15.39,15.39,8569
1569867300000,15.39,15.39,15.215,15.22,7193
1569868200000,15.2,15.26,15.17,15.26,5194
1569869100000,15.26,15.33,15.24,15.25,5391
1569870000000,15.265,15.27,15.25,15.25,3493
1569870900000,15.23,15.3,15.23,15.25,4538
1569871800000,15.25,15.29,15.22,15.26,15911
1569872700000,15.26,15.28,15.16,15.17,27611
1569936600000,15.29,15.36,15.17,15.32,5039
1569937500000,15.45,15.785,15.395,15.62,12063
1569938400000,15.62,15.63,15.51,15.515,3706
1569939300000,15.55,15.61,15.44,15.55,6862
1569940200000,15.57,15.6,15.54,15.59,4300
1569941100000,15.61,15.65,15.14,15.17,22603
1569942000000,15.12,15.265,15.12,15.13,11897
1569942900000,15.12,15.195,15.1,15.19,6418
1569943800000,15.19,15.27,15.13,15.13,4400
1569944700000,15.13,15.175,15.01,15.02,20259
1569945600000,15.02,15.03,14.95,14.97,4100
1569946500000,14.94,15.02,14.89,14.89,4377
1569947400000,14.88,14.93,14.88,14.93,6151
1569948300000,14.985,14.985,14.86,14.915,5093
1569949200000,14.9,14.94,14.87,14.9,4942
1569950100000,14.89,14.895,14.81,14.85,5486
1569951000000,14.83,14.83,14.77,14.79,4887
1569951900000,14.79,14.83,14.77,14.8,8724
1569952800000,14.77,14.77,14.67,14.74,6445
1569953700000,14.74,14.74,14.68,14.71,4105
1569954600000,14.73,14.83,14.73,14.83,4500
1569955500000,14.84,14.85,14.79,14.79,2100
1569956400000,14.805,14.815,14.735,14.735,7991
1569957300000,14.72,14.755,14.59,14.605,10850
1569958200000,14.59,14.655,14.5,14.545,31266
1569959100000,14.545,14.55,14.48,14.5,18321
1570023000000,14.41,14.75,14.27,14.32,5374
1570023900000,14.29,14.29,14.08,14.22,9390
1570024800000,14.24,14.5,14.24,14.5,4234
1570025700000,14.4956,14.62,14.45,14.62,4411
1570026600000,14.61,14.7,14.52,14.7,4800
1570027500000,14.7,14.7,14.56,14.57,3490
1570028400000,14.59,14.66,14.59,14.64,5396
1570029300000,14.67,14.9,14.67,14.9,5400
1570030200000,14.92,15.02,14.76,14.76,7359
1570031100000,14.77,14.795,14.7,14.78,4652
1570032000000,14.835,14.91,14.8325,14.885,1700
1570032900000,14.875,14.92,14.84,14.91,2200
1570033800000,14.9173,15.02,14.88,14.89,3750
1570034700000,14.84,14.97,14.84,14.92,2392
1570035600000,14.94,15.05,14.94,15.04,3393
1570036500000,15.02,15.055,15.02,15.03,2009
1570037400000,15.02,15.04,14.98,15.005,3566
1570038300000,14.99,14.99,14.86,14.865,4862
1570039200000,14.86,14.88,14.8,14.88,5001
1570040100000,14.9,15.03,14.9,15.03,2600
1570041000000,15.04,15.06,15.01,15.03,3579
1570041900000,15.1,15.17,15.09,15.15,5599
1570042800000,15.15,15.16,15.07,15.14,3600
1570043700000,15.13,15.2,15.12,15.16,5011
1570044600000,15.15,15.18,15.14,15.17,3600
1570045500000,15.16,15.24,15.14,15.22,22478
1570109400000,15.09,15.09,15.09,15.09,2052
1570110300000,15.01,15.26,14.895,15.12,5823
1570111200000,15.05,15.05,14.8,14.845,4597
1570112100000,14.9,14.9,14.73,14.84,3300
1570113000000,14.83,14.91,14.82,14.91,2600
1570113900000,14.94,15.03,14.87,15.0,3234
1570114800000,15.04,15.17,15.03,15.16,2000
1570115700000,15.18,15.24,15.13,15.14,4000
1570116600000,15.11,15.11,14.96,14.96,600
1570117500000,14.98,15.06,14.98,15.01,2659
1570118400000,15.055,15.145,15.055,15.145,1800
1570119300000,15.145,15.145,14.99,15.13,1700
1570120200000,15.09,15.12,15.07,15.08,1900
1570121100000,15.09,15.125,15.05,15.05,1300
1570122000000,15.07,15.07,15.01,15.07,2303
1570122900000,15.0925,15.115,15.09,15.115,1100
1570123800000,15.12,15.12,15.05,15.105,1900
1570124700000,15.11,15.15,15.09,15.09,1000
1570125600000,15.09,15.11,15.08,15.08,500
1570126500000,15.09,15.1,15.085,15.1,1600
1570127400000,15.06,15.1,15.06,15.08,2370
1570128300000,15.09,15.1,15.0597,15.07,1757
1570129200000,15.055,15.055,14.98,15.04,4000
1570130100000,15.04,15.08,15.02,15.07,2901
1570131000000,15.06,15.06,15.03,15.04,6294
1570131900000,15.03,15.12,14.97,15.09,17065
1570195800000,15.16,15.25,15.09,15.09,2869
1570196700000,15.01,15.23,15.01,15.07,3316
1570197600000,15.17,15.17,15.01,15.01,1300
1570198500000,14.99,14.99,14.87,14.87,1800
1570199400000,14.84,14.84,14.73,14.73,4353
1570200300000,14.76,14.805,14.72,14.72,2400
1570201200000,14.65,14.685,14.53,14.685,4400
1570202100000,14.685,14.75,14.66,14.75,2241
1570203000000,14.75,14.76,14.69,14.76,2300
1570203900000,14.78,14.815,14.77,14.79,1700
1570204800000,14.76,14.8186,14.76,14.77,3398
1570205700000,14.77,14.77,14.73,14.75,2263
1570206600000,14.74,14.7431,14.655,14.695,9109
1570207500000,14.7,14.7,14.54,14.55,2999
1570208400000,14.51,14.68,14.51,14.65,3800
1570209300000,14.665,14.68,14.63,14.66,2712
1570210200000,14.68,14.68,14.66,14.68,900
1570211100000,14.71,14.71,14.65,14.665,1100
1570212000000,14.665,14.69,14.66,14.665,1503
1570212900000,14.665,14.6665,14.59,14.62,2867
1570213800000,14.62,14.65,14.59,14.65,6200
