datetime,open,high,low,close,volume
1569504600000,10.52,10.69,10.4723,10.49,24106
1569505500000,10.49,10.51,10.41,10.51,11860
1569506400000,10.51,10.56,10.44,10.45,9843
1569507300000,10.44,10.53,10.43,10.49,22749
1569508200000,10.485,10.485,10.425,10.45,11156
1569509100000,10.455,10.49,10.45,10.455,6722
1569510000000,10.44,10.44,10.38,10.38,13446
1569510900000,10.39,10.42,10.385,10.405,23075
1569511800000,10.4,10.51,10.39,10.48,16305
1569512700000,10.475,10.5,10.47,10.485,11939
1569513600000,10.49,10.51,10.46,10.47,22431
1569514500000,10.48,10.55,10.455,10.55,20473
1569515400000,10.55,10.79,10.55,10.71,32152
1569516300000,10.71,10.72,10.64,10.645,6002
1569517200000,10.65,10.68,10.585,10.585,7293
1569518100000,10.58,10.63,10.5623,10.595,19964
1569519000000,10.59,10.62,10.55,10.62,84654
1569519900000,10.62,10.625,10.4,10.47,47175
1569520800000,10.47,10.515,10.4675,10.5,21685
1569521700000,10.5,10.545,10.495,10.52,13184
1569522600000,10.52,10.55,10.495,10.54,23753
1569523500000,10.54,10.56,10.44,10.48,20499
1569524400000,10.47,10.515,10.47,10.505,20031
1569525300000,10.51,10.53,10.475,10.5,39856
1569526200000,10.505,10.56,10.5,10.54,32892
1569527100000,10.54,10.54,10.51,10.52,64306
1569591000000,10.42,10.81,10.42,10.77,51601
1569591900000,10.75,10.845,10.65,10.65,30810
1569592800000,10.62,10.71,10.62,10.68,15748
1569593700000,10.69,10.79,10.68,10.76,47981
1569594600000,10.78,10.8,10.66,10.69,4534
1569595500000,10.69,10.705,10.66,10.705,5725
1569596400000,10.69,10.69,10.57,10.59,8547
1569597300000,10.56,10.77,10.56,10.76,42865
1569598200000,10.755,10.78,10.63,10.69,11379
1569599100000,10.68,10.74,10.63,10.69,12155
1569600000000,10.68,10.705,10.65,10.7,10718
1569600900000,10.7,10.701,10.59,10.6,5111
1569601800000,10.59,10.6,10.54,10.54,8271
1569602700000,10.54,10.55,10.5,10.55,30385
1569603600000,10.55,10.59,10.53,10.555,5717
1569604500000,10.54,10.56,10.51,10.56,10253
1569605400000,10.555,10.61,10.54,10.585,8748
1569606300000,10.58,10.63,10.56,10.62,8045
1569607200000,10.62,10.64,10.605,10.63,8656
1569608100000,10.63,10.655,10.61,10.61,7356
1569609000000,10.61,10.64,10.585,10.63,14475
1569609900000,10.63,10.675,10.605,10.67,12075
1569610800000,10.67,10.6701,10.58,10.62,10488
1569611700000,10.62,10.665,10.62,10.635,18977
1569612600000,10.635,10.765,10.635,10.765,34808
1569613500000,10.765,10.87,10.745,10.85,168380
1569850200000,10.82,10.88,10.67,10.88,27331
1569851100000,10.85,10.85,10.65,10.73,17421
1569852000000,10.73,10.79,10.66,10.79,10897
1569852900000,10.79,10.86,10.76,10.86,19084
1569853800000,10.85,10.86,10.77,10.79,10318
1569854700000,10.79,10.84,10.74,10.76,12620
1569855600000,10.76,10.76,10.72,10.74,7471
1569856500000,10.72,10.72,10.66,10.68,9331
1569857400000,10.69,10.76,10.685,10.75,20536
1569858300000,10.77,10.78,10.72,10.76,7844
1569859200000,10.76,10.86,10.76,10.81,25787
1569860100000,10.81,10.92,10.8,10.91,21175
1569861000000,10.91,10.96,10.8925,10.925,25976
1569861900000,10.925,10.94,10.915,10.94,18114
1569862800000,10.94,10.995,10.93,10.97,65587
1569863700000,10.965,10.98,10.81,10.86,25708
1569864600000,10.87,10.92,10.85,10.92,9735
1569865500000,10.92,10.94,10.92,10.925,14095
1569866400000,10.925,10.99,10.925,10.97,28758
1569867300000,10.975,10.975,10.9,10.92,34449
1569868200000,10.92,10.95,10.9,10.935,15839
1569869100000,10.94,10.96,10.91,10.925,36804
1569870000000,10.92,10.92,10.805,10.84,21346
1569870900000,10.83,10.83,10.77,10.77,18506
1569871800000,10.78,10.89,10.775,10.86,30434
1569872700000,10.86,10.89,10.82,10.82,90820
1569936600000,10.82,11.0,10.81,10.9,38248
1569937500000,10.91,11.03,10.88,10.93,14418
1569938400000,10.93,10.95,10.82,10.86,22529
1569939300000,10.83,10.97,10.83,10.88,13987
1569940200000,10.86,10.92,10.82,10.82,35839
1569941100000,10.84,10.86,10.71,10.76,22727
1569942000000,10.76,10.79,10.72,10.73,11872
1569942900000,10.73,10.81,10.71,10.79,13559
1569943800000,10.79,10.87,10.77,10.78,40153
1569944700000,10.78,10.785,10.73,10.755,8313
1569945600000,10.755,10.76,10.72,10.74,10042
1569946500000,10.74,10.805,10.735,10.805,39823
1569947400000,10.81,10.88,10.8,10.81,81958
1569948300000,10.81,10.815,10.7,10.7,30691
1569949200000,10.7,10.75,10.68,10.705,19860
1569950100000,10.71,10.73,10.65,10.7,27897
1569951000000,10.7,10.71,10.66,10.675,36633
1569951900000,10.675,10.69,10.61,10.63,17171
1569952800000,10.62,10.63,10.56,10.61,13227
1569953700000,10.61,10.62,10.59,10.61,4926
1569954600000,10.62,10.65,10.6,10.62,8735
1569955500000,10.63,10.65,10.595,10.62,7879
1569956400000,10.62,10.63,10.53,10.53,43947
1569957300000,10.53,10.57,10.525,10.555,9966
1569958200000,10.555,10.555,10.52,10.55,18721
1569959100000,10.55,10.56,10.51,10.52,54177
1570023000000,10.39,10.41,10.29,10.39,19285
1570023900000,10.4,10.5,10.35,10.47,22069
1570024800000,10.47,10.68,10.47,10.62,16644
1570025700000,10.65,10.72,10.59,10.59,7429
1570026600000,10.56,10.6,10.48,10.56,23867
1570027500000,10.58,10.62,10.54,10.58,7868
1570028400000,10.59,10.69,10.51,10.52,16043
1570029300000,10.51,10.57,10.5,10.54,12237
1570030200000,10.54,10.56,10.47,10.515,24781
1570031100000,10.515,10.58,10.49,10.51,18076
1570032000000,10.5,10.53,10.46,10.46,11450
1570032900000,10.475,10.535,10.45,10.49,11931
1570033800000,10.48,10.48,10.43,10.435,11073
1570034700000,10.445,10.485,10.44,10.475,9012
1570035600000,10.48,10.565,10.465,10.56,13099
1570036500000,10.565,10.565,10.51,10.52,15120
1570037400000,10.51,10.51,10.39,10.43,24857
1570038300000,10.44,10.46,10.4,10.42,12008
1570039200000,10.42,10.44,10.34,10.34,23407
1570040100000,10.36,10.405,10.33,10.34,12680
1570041000000,10.34,10.35,10.32,10.34,6723
1570041900000,10.34,10.36,10.29,10.31,19985
1570042800000,10.315,10.385,10.31,10.37,19205
1570043700000,10.36,10.38,10.335,10.345,13794
1570044600000,10.34,10.44,10.34,10.41,59232
1570045500000,10.415,10.42,10.34,10.35,94980
1570109400000,10.29,10.49,10.29,10.46,17595
1570110300000,10.5,10.54,10.43,10.44,7922
1570111200000,10.38,10.405,10.29,10.32,11013
1570112100000,10.31,10.39,10.31,10.33,9471
1570113000000,10.31,10.335,10.29,10.3,14716
1570113900000,10.32,10.4,10.28,10.4,9659
1570114800000,10.4,10.465,10.4,10.4,8706
1570115700000,10.42,10.44,10.35,10.41,15107
1570116600000,10.41,10.42,10.32,10.34,6599
1570117500000,10.355,10.38,10.33,10.37,10723
1570118400000,10.38,10.48,10.38,10.445,18778
1570119300000,10.445,10.495,10.395,10.485,16803
1570120200000,10.485,10.52,10.45,10.45,10382
1570121100000,10.46,10.51,10.45,10.45,14935
1570122000000,10.45,10.47,10.44,10.455,11122
1570122900000,10.455,10.545,10.45,10.535,41285
1570123800000,10.53,10.535,10.46,10.485,41866
1570124700000,10.4866,10.51,10.475,10.48,40035
1570125600000,10.47,10.49,10.43,10.49,19023
1570126500000,10.48,10.5,10.47,10.475,20264
1570127400000,10.47,10.51,10.44,10.51,25919
1570128300000,10.5,10.54,10.48,10.48,13042
1570129200000,10.485,10.52,10.44,10.48,28097
1570130100000,10.48,10.525,10.46,10.525,24202
1570131000000,10.52,10.52,10.47,10.47,23689
1570131900000,10.475,10.55,10.465,10.54,51871
1570195800000,10.6,10.68,10.55,10.575,14473
1570196700000,10.6,10.65,10.54,10.555,8049
1570197600000,10.55,10.59,10.35,10.4,30709
1570198500000,10.39,10.47,10.36,10.44,54834
1570199400000,10.45,10.45,10.29,10.3,13697
1570200300000,10.31,10.335,10.27,10.335,45276
1570201200000,10.32,10.3575,10.3,10.33,27925
1570202100000,10.3,10.3,10.26,10.26,15163
1570203000000,10.26,10.27,10.25,10.25,31921
1570203900000,10.25,10.25,10.22,10.22,12626
1570204800000,10.22,10.23,9.97,9.99,80084
1570205700000,9.97,9.97,9.88,9.91,26870
1570206600000,9.905,9.91,9.77,9.78,81378
1570207500000,9.78,9.85,9.76,9.78,16162
1570208400000,9.79,10.09,9.79,10.04,50477
1570209300000,10.035,10.09,10.02,10.09,83844
1570210200000,10.08,10.09,10.03,10.07,19324
1570211100000,10.07,10.07,9.9706,10.02,15626
1570212000000,10.02,10.065,10.02,10.055,24235
1570212900000,10.06,10.11,10.06,10.11,20009
1570213800000,10.1,10.13,10.085,10.12,79359
1570214700000,10.115,10.15,10.09,10.15,26158
1570215600000,10.15,10.19,10.14,10.18,22651
1570216500000,10.18,10.3,10.18,10.285,31834
1570217400000,10.285,10.305,10.25,10.3,28767
1570218300000,10.29,10.38,10.29,10.31,119207
1570455000000,10.27,10.35,10.21,10.285,46349
1570455900000,10.3,10.45,10.285,10.43,42125
1570456800000,10.43,10.495,10.43,10.49,47918
1570457700000,10.49,10.53,10.41,10.41,113549
1570458600000,10.4,10.42,10.31,10.31,37797
1570459500000,10.31,10.39,10.3,10.37,17029
1570460400000,10.37,10.42,10.35,10.35,32542
1570461300000,10.355,10.395,10.33,10.385,11645
1570462200000,10.38,10.41,10.35,10.41,13571
1570463100000,10.41,10.41,10.34,10.36,16569
1570464000000,10.37,10.4,10.355,10.38,7480
1570464900000,10.38,10.445,10.38,10.445,10099
1570465800000,10.445,10.455,10.42,10.425,12491
1570466700000,10.43,10.44,10.405,10.42,9418
1570467600000,10.41,10.42,10.33,10.37,81027
1570468500000,10.38,10.415,10.38,10.4,13188
1570469400000,10.4,10.47,10.4,10.42,22374
1570470300000,10.42,10.44,10.34,10.4,12741
1570471200000,10.4,10.415,10.33,10.365,36855
1570472100000,10.37,10.4,10.34,10.3575,40532
1570473000000,10.355,10.37,10.28,10.3,34187
1570473900000,10.29,10.295,10.25,10.265,16473
1570474800000,10.27,10.32,10.225,10.32,12555
1570475700000,10.32,10.325,10.275,10.285,14293
1570476600000,10.29,10.34,10.29,10.31,16716
1570477500000,10.305,10.33,10.23,10.24,84451
1570541400000,10.13,10.275,10.05,10.195,43942
1570542300000,10.19,10.195,9.98,10.0,155026
1570543200000,10.025,10.15,9.98,10.11,28065
1570544100000,10.11,10.11,9.92,9.94,14363
1570545000000,9.93,10.005,9.91,9.915,31817
1570545900000,9.92,10.085,9.92,10.01,25746
1570546800000,10.005,10.03,9.99,10.01,19102
1570547700000,10.01,10.03,9.91,9.92,14441
1570548600000,9.925,10.02,9.92,9.965,97941
1570549500000,9.96,10.06,9.94,10.02,98733
1570550400000,10.03,10.04,9.92,9.92,12481
1570551300000,9.93,9.93,9.86,9.885,16096
1570552200000,9.88,9.88,9.84,9.85,14513
1570553100000,9.87,9.92,9.87,9.875,28260
1570554000000,9.875,9.93,9.87,9.91,7995
1570554900000,9.91,9.99,9.9,9.98,19070
1570555800000,9.98,9.98,9.92,9.935,10836
1570556700000,9.93,9.98,9.93,9.975,7935
1570557600000,9.975,10.0599,9.97,10.05,16225
1570558500000,10.04,10.055,9.985,10.025,31374
1570559400000,10.025,10.14,10.025,10.11,27232
1570560300000,10.11,10.215,10.1,10.185,57344
1570561200000,10.19,10.215,10.12,10.155,47412
1570562100000,10.15,10.185,10.125,10.17,45137
1570563000000,10.17,10.2,10.14,10.185,42775
1570563900000,10.185,10.21,10.12,10.12,76866
1570627800000,10.18,10.18,10.02,10.135,50684
1570628700000,10.145,10.2,10.11,10.14,20807
1570629600000,10.12,10.16,10.02,10.04,50841
1570630500000,10.05,10.085,10.0,10.02,37294
1570631400000,10.01,10.02,9.94,9.94,73138
1570632300000,9.95,9.95,9.85,9.89,88657
1570633200000,9.9,9.955,9.86,9.92,54739
1570634100000,9.92,10.0,9.885,9.96,40068
1570635000000,9.96,9.96,9.89,9.93,14906
1570635900000,9.93,9.95,9.89,9.93,34577
1570636800000,9.95,9.95,9.79,9.79,17136
1570637700000,9.78,9.79,9.64,9.68,68108
1570638600000,9.71,9.71,9.53,9.565,27706
1570639500000,9.56,9.5772,9.5,9.52,20330
1570640400000,9.525,9.535,9.5,9.53,12856
1570641300000,9.53,9.54,9.47,9.51,17415
1570642200000,9.5,9.51,9.44,9.45,17032
1570643100000,9.45,9.46,9.36,9.39,16571
1570644000000,9.3828,9.49,9.36,9.46,27047
1570644900000,9.45,9.51,9.44,9.51,11754
1570645800000,9.51,9.55,9.5,9.54,13044
1570646700000,9.54,9.55,9.5,9.515,11943
1570647600000,9.51,9.54,9.49,9.5,13988
1570648500000,9.495,9.56,9.49,9.56,60773
1570649400000,9.555,9.645,9.49,9.49,102775
1570650300000,9.5,9.58,9.47,9.53,124631
1570714200000,9.53,9.6,9.48,9.51,101727
1570715100000,9.52,9.53,9.42,9.42,63317
1570716000000,9.4,9.435,9.28,9.335,43124
1570716900000,9.33,9.46,9.33,9.45,22564
1570717800000,9.45,9.45,9.33,9.3395,85282
1570718700000,9.35,9.45,9.345,9.435,25011
1570719600000,9.435,9.435,9.34,9.345,15649
1570720500000,9.35,9.39,9.35,9.355,18357
1570721400000,9.35,9.46,9.32,9.45,25524
1570722300000,9.455,9.455,9.425,9.435,15350
1570723200000,9.44,9.455,9.415,9.42,16231
1570724100000,9.425,9.43,9.365,9.365,18269
1570725000000,9.37,9.38,9.325,9.325,15953
1570725900000,9.325,9.325,9.24,9.245,24201
1570726800000,9.245,9.26,9.22,9.225,51682
1570727700000,9.225,9.225,9.19,9.21,26824
1570728600000,9.2,9.2,9.13,9.2,29270
1570729500000,9.21,9.245,9.175,9.215,25619
1570730400000,9.22,9.32,9.22,9.27,37639
1570731300000,9.27,9.285,9.2,9.21,24677
1570732200000,9.205,9.26,9.18,9.245,38000
1570733100000,9.245,9.245,9.155,9.16,45873
1570734000000,9.155,9.32,9.135,9.32,48558
1570734900000,9.33,9.33,9.26,9.26,44857
1570735800000,9.265,9.27,9.23,9.235,62755
1570736700000,9.24,9.28,9.225,9.24,146302
1570800600000,9.43,9.44,9.31,9.43,34278
1570801500000,9.43,9.64,9.43,9.63,23647
1570802400000,9.63,9.65,9.55,9.55,52949
1570803300000,9.55,9.56,9.49,9.52,79041
1570804200000,9.52,9.57,9.52,9.54,31429
1570805100000,9.53,9.54,9.445,9.465,57104
1570806000000,9.465,9.5,9.46,9.495,36806
1570806900000,9.495,9.505,9.24,9.36,149841
1570807800000,9.365,9.38,9.285,9.32,42142
1570808700000,9.31,9.38,9.24,9.25,30858
1570809600000,9.24,9.25,9.23,9.24,42362
1570810500000,9.24,9.27,9.17,9.25,51621
1570811400000,9.255,9.3,9.25,9.26,38611
1570812300000,9.26,9.275,9.22,9.25,33180
1570813200000,9.245,9.35,9.235,9.29,38111
1570814100000,9.29,9.32,9.27,9.32,25855
1570815000000,9.305,9.33,9.29,9.325,27479
1570815900000,9.325,9.37,9.32,9.36,25778
1570816800000,9.36,9.395,9.35,9.355,31947
1570817700000,9.35,9.36,9.27,9.285,37771
1570818600000,9.29,9.33,9.28,9.28,28531
1570819500000,9.285,9.29,9.235,9.245,25282
1570820400000,9.245,9.25,9.215,9.22,49526
1570821300000,9.23,9.27,9.22,9.25,78571
1570822200000,9.24,9.28,9.23,9.25,85329
1570823100000,9.24,9.26,9.16,9.16,140969
1571059800000,9.0,9.04,8.68,8.71,54126
1571060700000,8.73,8.74,8.65,8.65,12397
1571061600000,8.66,8.77,8.6,8.7,20761
1571062500000,8.71,8.7565,8.605,8.62,15186
1571063400000,8.62,8.64,8.57,8.61,9083
1571064300000,8.6,8.64,8.54,8.56,19463
1571065200000,8.5699,8.61,8.52,8.59,53781
1571066100000,8.59,8.73,8.5702,8.72,26178
1571067000000,8.7,8.72,8.65,8.69,52320
1571067900000,8.7,8.72,8.69,8.705,14251
1571068800000,8.705,8.73,8.675,8.715,24608
1571069700000,8.72,8.74,8.69,8.695,15638
1571070600000,8.695,8.725,8.69,8.72,24642
1571071500000,8.72,8.78,8.69,8.78,31282
1571072400000,8.77,8.87,8.77,8.855,15896
1571073300000,8.86,8.95,8.86,8.86,26138
1571074200000,8.87,8.88,8.81,8.81,18537
1571075100000,8.81,8.85,8.78,8.835,8956
