datetime,open,high,low,close,volume
1569504600000,17.81,18.1354,17.78,17.875,4345
1569505500000,17.94,17.94,17.74,17.805,3116
1569506400000,17.83,17.89,17.7,17.74,3103
1569507300000,17.69,17.7,17.67,17.7,1072
1569508200000,17.7,17.79,17.7,17.755,2200
1569509100000,17.75,17.76,17.625,17.725,34149
1569510000000,17.725,17.725,17.585,17.585,2100
1569510900000,17.5609,17.6,17.525,17.6,1866
1569511800000,17.605,17.66,17.58,17.66,1300
1569512700000,17.6,17.63,17.55,17.55,1800
1569513600000,17.57,17.57,17.57,17.57,100
1569514500000,17.51,17.52,17.5,17.5,600
1569515400000,17.505,17.53,17.48,17.48,800
1569516300000,17.47,17.47,17.445,17.445,2668
1569517200000,17.47,17.47,17.445,17.46,1155
1569518100000,17.37,17.37,17.37,17.37,100
1569519000000,17.4,17.445,17.4,17.425,2446
1569519900000,17.43,17.43,17.37,17.38,2800
1569520800000,17.4,17.425,17.4,17.425,1100
1569521700000,17.425,17.45,17.38,17.4,24055
1569522600000,17.36,17.38,17.35,17.38,1800
1569524400000,17.33,17.34,17.29,17.29,3674
1569525300000,17.29,17.29,17.27,17.27,1323
1569526200000,17.24,17.24,17.175,17.18,1874
1569527100000,17.2,17.2,17.13,17.15,11776
1569591000000,17.13,17.13,17.12,17.12,1109
1569591900000,17.1,17.1,17.1,17.1,400
1569592800000,17.09,17.09,17.05,17.05,300
1569593700000,17.04,17.04,17.04,17.04,100
1569594600000,17.08,17.34,17.08,17.34,2580
1569595500000,17.35,17.37,17.35,17.355,300
1569596400000,17.33,17.35,17.3,17.35,1700
1569597300000,17.35,17.405,17.32,17.36,3950
1569598200000,17.36,17.41,17.3,17.31,10900
1569599100000,17.28,17.28,17.25,17.25,1000
1569600000000,17.35,17.35,17.35,17.35,100
1569600900000,17.35,17.35,17.345,17.35,800
1569601800000,17.3,17.3,17.3,17.3,800
1569602700000,17.26,17.26,17.2,17.2,500
1569603600000,17.2,17.21,17.19,17.19,900
1569604500000,17.2,17.23,17.2,17.2184,1660
1569605400000,17.2,17.27,17.2,17.267,1900
1569606300000,17.23,17.25,17.23,17.25,400
1569607200000,17.26,17.26,17.26,17.26,200
1569608100000,17.22,17.22,17.18,17.195,900
1569609000000,17.17,17.19,17.17,17.19,500
1569609900000,17.19,17.24,17.19,17.2,3080
1569610800000,17.17,17.19,17.145,17.145,2600
1569611700000,17.15,17.256,17.145,17.22,14100
1569612600000,17.25,17.268,17.22,17.24,2100
1569613500000,17.22,17.27,17.19,17.2,17188
1569850200000,17.17,17.17,17.17,17.17,605
1569851100000,17.25,17.34,17.24,17.34,3900
1569852000000,17.29,17.29,17.2,17.2,400
1569852900000,17.21,17.21,17.105,17.105,1429
1569853800000,17.03,17.08,17.02,17.045,646
1569854700000,17.08,17.08,17.04,17.07,1006
1569855600000,17.04,17.04,17.01,17.01,500
1569856500000,16.98,16.99,16.98,16.99,800
1569857400000,16.96,16.96,16.96,16.96,100
1569858300000,16.96,16.96,16.83,16.9,2800
1569859200000,16.9,16.9,16.82,16.82,600
1569860100000,16.86,16.89,16.85,16.89,5157
1569861000000,16.89,16.89,16.81,16.81,8330
1569861900000,16.78,16.79,16.65,16.65,9758
1569862800000,16.645,16.69,16.59,16.61,30163
1569863700000,16.6,16.69,16.56,16.62,23302
1569864600000,16.61,16.68,16.61,16.62,14431
1569865500000,16.64,16.66,16.6,16.63,11751
