datetime,open,high,low,close,volume
1569504600000,20.51,20.59,20.08,20.08,86182
1569505500000,20.05,20.12,19.92,20.11,99437
1569506400000,20.0772,20.1599,20.06,20.12,48101
1569507300000,20.124,20.1599,20.0018,20.07,36951
1569508200000,20.07,20.08,19.95,20.008,70666
1569509100000,20.0041,20.075,19.985,20.03,54914
1569510000000,20.03,20.05,20.0,20.03,54661
1569510900000,20.03,20.04,20.01,20.03,31501
1569511800000,20.03,20.08,20.02,20.03,25096
1569512700000,20.03,20.0799,20.03,20.03,18263
1569513600000,20.05,20.06,20.02,20.03,15362
1569514500000,20.03,20.04,20.02,20.03,29280
1569515400000,20.03,20.0399,19.98,20.0,32563
1569516300000,19.99,20.06,19.99,20.04,16345
1569517200000,20.03,20.04,20.02,20.0238,18859
1569518100000,20.03,20.03,20.02,20.0234,12837
1569519000000,20.02,20.04,20.02,20.03,16480
1569519900000,20.02,20.17,20.02,20.1,37399
1569520800000,20.1299,20.1389,20.07,20.1,22157
1569521700000,20.1037,20.13,20.04,20.1,26133
1569522600000,20.1,20.15,20.06,20.12,49467
1569523500000,20.12,20.2,20.0887,20.19,39932
1569524400000,20.18,20.27,20.15,20.26,33282
1569525300000,20.26,20.28,20.15,20.2699,29257
1569526200000,20.25,20.27,20.115,20.17,80889
1569527100000,20.14,20.21,20.1,20.17,142872
1569591000000,20.2,20.2299,20.03,20.09,64504
1569591900000,20.119,20.119,19.8344,19.97,106437
1569592800000,19.96,20.0,19.5,19.54,202557
1569593700000,19.53,19.83,19.36,19.779,156188
1569594600000,19.75,19.8023,19.7,19.73,107275
1569595500000,19.73,19.8,19.7,19.7993,152644
1569596400000,19.79,20.0,19.78,19.93,112370
1569597300000,19.93,20.09,19.85,20.05,74763
1569598200000,20.05,20.05,18.7,18.7,587161
1569599100000,18.7,19.73,18.59,19.027,956938
1569600000000,19.0201,19.3231,18.95,19.3231,269141
1569600900000,19.32,19.4,19.03,19.2011,363234
1569601800000,19.2303,19.24,19.05,19.05,190534
1569602700000,19.05,19.08,18.7,18.71,314635
1569603600000,18.71,18.79,18.65,18.6778,329453
1569604500000,18.685,18.7199,18.45,18.58,467388
1569605400000,18.57,18.76,18.52,18.595,298323
1569606300000,18.595,18.67,18.45,18.59,330641
1569607200000,18.595,18.85,18.595,18.67,279423
1569608100000,18.7099,18.76,18.62,18.62,160024
1569609000000,18.6149,18.75,18.45,18.455,262528
1569609900000,18.455,18.5912,18.45,18.51,138397
1569610800000,18.51,18.6,18.49,18.52,136445
1569611700000,18.525,18.68,18.51,18.65,153157
1569612600000,18.64,18.795,18.56,18.73,282319
1569613500000,18.7433,19.1699,18.73,18.993,536339
1569850200000,19.3,19.33,18.9,19.0615,456118
1569851100000,19.09,19.14,18.85,18.88,131388
1569852000000,18.9,19.07,18.89,18.89,119651
1569852900000,18.91,18.9831,18.6308,18.865,146759
1569853800000,18.865,18.865,18.7,18.7782,188313
1569854700000,18.78,18.8,18.7,18.7,140558
1569855600000,18.7,18.77,18.7,18.705,77362
1569856500000,18.72,18.83,18.68,18.75,72648
1569857400000,18.75,18.81,18.7,18.79,63807
1569858300000,18.7764,18.819,18.695,18.7,55582
1569859200000,18.717,18.7599,18.69,18.71,97488
1569860100000,18.7229,18.77,18.67,18.7,79532
1569861000000,18.72,18.8,18.67,18.7862,92802
1569861900000,18.7861,18.8997,18.73,18.8,44004
1569862800000,18.8,18.9,18.76,18.86,30500
1569863700000,18.8588,19.08,18.82,19.04,110708
1569864600000,19.0492,19.29,18.91,18.96,118148
1569865500000,18.9803,19.03,18.85,18.93,44005
1569866400000,18.9688,19.1,18.92,18.94,150079
1569867300000,18.94,19.0,18.88,18.96,63339
1569868200000,18.949,18.96,18.81,18.9,85524
1569869100000,18.8877,18.8877,18.72,18.795,66015
1569870000000,18.795,18.88,18.795,18.88,49692
1569870900000,18.89,18.93,18.85,18.9,103877
1569871800000,18.9,18.94,18.85,18.89,67635
1569872700000,18.9,19.01,18.87,18.95,250170
1569936600000,19.08,19.21,18.9,19.058,87313
