datetime,open,high,low,close,volume
1569504600000,21.81,22.06,21.6,21.77,17304
1569505500000,21.865,21.9021,21.78,21.78,1459
1569506400000,21.73,21.77,21.7,21.7,600
1569507300000,21.69,21.72,21.52,21.64,6721
1569508200000,21.59,21.635,21.59,21.61,1999
1569509100000,21.62,21.67,21.62,21.625,1300
1569510000000,21.56,21.57,21.48,21.52,700
1569510900000,21.5,21.5,21.42,21.42,3500
1569511800000,21.42,21.485,21.37,21.47,1900
1569512700000,21.47,21.49,21.44,21.46,1000
1569513600000,21.49,21.49,21.46,21.475,1400
1569514500000,21.48,21.54,21.48,21.54,1000
1569515400000,21.54,21.55,21.47,21.5,3800
1569516300000,21.54,21.54,21.3775,21.39,31236
1569517200000,21.43,21.62,21.43,21.6,12700
1569518100000,21.605,21.63,21.56,21.56,3300
1569519000000,21.56,21.63,21.51,21.63,3336
1569519900000,21.61,21.615,21.55,21.55,4400
1569520800000,21.55,21.56,21.5,21.515,5408
1569521700000,21.505,21.51,21.4,21.46,18567
1569522600000,21.46,21.66,21.46,21.64,9311
1569523500000,21.63,21.65,21.63,21.65,4263
1569524400000,21.655,21.74,21.655,21.71,3500
1569525300000,21.67,21.73,21.67,21.73,3200
1569526200000,21.74,21.78,21.71,21.74,6805
1569527100000,21.74,21.78,21.69,21.71,16762
1569591000000,20.02,20.77,20.02,20.74,11197
1569591900000,20.66,20.66,20.38,20.44,19480
1569592800000,20.36,20.78,20.35,20.78,8617
1569593700000,20.68,20.85,20.65,20.65,5623
1569594600000,20.64,20.77,20.64,20.74,2200
1569595500000,20.75,20.775,20.74,20.775,2597
1569596400000,20.8,20.85,20.785,20.785,4593
1569597300000,20.79,20.84,20.7693,20.84,3460
1569598200000,20.84,20.85,20.705,20.8,10222
1569599100000,20.81,20.82,20.77,20.795,1700
1569600000000,20.7833,20.835,20.7833,20.835,1060
1569600900000,20.84,20.85,20.805,20.85,6624
1569601800000,20.84,20.85,20.805,20.805,1612
1569602700000,20.81,20.82,20.74,20.755,3329
1569603600000,20.755,20.81,20.7,20.81,1871
1569604500000,20.77,20.77,20.71,20.72,500
1569605400000,20.71,20.72,20.58,20.69,13785
1569606300000,20.69,20.83,20.69,20.82,1100
1569607200000,20.81,20.87,20.8,20.86,2755
1569608100000,20.84,20.84,20.8,20.81,2100
1569609000000,20.81,20.81,20.78,20.8,800
1569609900000,20.78,20.79,20.71,20.72,2934
1569610800000,20.74,20.74,20.67,20.69,2226
1569611700000,20.67,20.76,20.67,20.75,8943
1569612600000,20.745,20.755,20.69,20.72,12914
1569613500000,20.73,20.8,20.67,20.74,20096
1569850200000,20.8,20.89,20.8,20.89,1518
1569851100000,20.885,20.94,20.85,20.88,2400
1569852000000,20.82,20.82,20.69,20.73,3100
1569852900000,20.77,20.7878,20.6,20.63,3404
1569853800000,20.635,20.635,20.59,20.62,1600
1569854700000,20.62,20.62,20.54,20.57,9545
1569855600000,20.56,20.58,20.54,20.56,2670
1569856500000,20.59,20.63,20.58,20.63,3634
1569857400000,20.61,20.75,20.61,20.735,3200
1569858300000,20.72,20.72,20.66,20.7,2100
1569859200000,20.73,20.79,20.73,20.79,1900
1569860100000,20.78,20.87,20.75,20.87,2392
1569861000000,20.87,20.87,20.785,20.81,2900
1569861900000,20.8,20.83,20.77,20.83,2800
1569862800000,20.83,20.85,20.75,20.81,5000
1569863700000,20.815,20.815,20.78,20.78,2700
1569864600000,20.79,20.88,20.79,20.87,3540
1569865500000,20.9,20.91,20.86,20.9,1300
1569866400000,20.88,20.9,20.86,20.9,2797
1569867300000,20.87,20.915,20.87,20.89,1900
1569868200000,20.91,20.93,20.88,20.93,2408
1569869100000,20.91,20.955,20.9,20.91,5466
1569870000000,20.895,20.92,20.87,20.89,3215
1569870900000,20.9,20.92,20.88,20.91,3300
1569871800000,20.91,20.95,20.67,20.67,48594
1569872700000,20.66,20.78,20.61,20.65,72210
1569936600000,20.8,21.4389,20.72,20.72,4241
1569937500000,20.89,21.1,20.85,20.89,17942
1569938400000,20.91,20.915,20.685,20.69,5724
1569939300000,20.66,20.695,20.45,20.6,10169
1569940200000,20.59,20.7,20.53,20.53,11523
1569941100000,20.55,20.57,20.43,20.43,2400
1569942000000,20.44,20.45,20.42,20.44,1800
1569942900000,20.5,20.52,20.47,20.52,2600
1569943800000,20.53,20.55,20.16,20.31,15491
1569944700000,20.35,20.36,20.27,20.29,1700
1569945600000,20.29,20.29,20.15,20.16,4463
1569946500000,20.14,20.18,20.11,20.13,1300
1569947400000,20.17,20.18,20.13,20.18,1100
1569948300000,20.21,20.21,20.08,20.08,2600
1569949200000,20.11,20.11,20.04,20.046,2944
1569950100000,20.02,20.03,19.96,19.96,2200
1569951000000,19.95,19.99,19.92,19.945,3500
1569951900000,19.91,19.93,19.89,19.92,4500
1569952800000,19.91,19.94,19.83,19.9,5294
1569953700000,19.91,19.94,19.88,19.94,4740
1569954600000,19.93,19.96,19.92,19.96,2400
1569955500000,19.97,19.99,19.91,19.91,2300
1569956400000,19.93,19.99,19.9,19.96,7509
1569957300000,19.97,19.9837,19.955,19.98,4900
1569958200000,19.99,20.01,19.92,19.96,5395
1569959100000,19.96,20.06,19.93,20.05,19173
1570023000000,19.89,19.89,19.63,19.69,3715
1570023900000,19.68,19.68,19.6,19.63,1600
1570024800000,19.53,19.76,19.53,19.7,2249
1570025700000,19.75,19.79,19.68,19.76,2100
