datetime,open,high,low,close,volume
1569504600000,26.86,27.0,26.795,26.95,7044
1569505500000,26.95,27.01,26.8375,26.85,1814
1569506400000,26.9,26.9461,26.77,26.805,4001
1569507300000,26.76,26.76,26.62,26.62,800
1569508200000,26.57,26.57,26.4199,26.42,5131
1569509100000,26.39,26.39,26.13,26.23,3677
1569510000000,26.1501,26.1501,26.05,26.09,1900
1569510900000,26.09,26.13,25.98,26.075,5911
1569511800000,26.09,26.215,26.03,26.1775,5799
1569512700000,26.12,26.29,26.12,26.2,5069
1569513600000,26.21,26.36,26.19,26.36,11236
1569514500000,26.37,26.5,26.36,26.48,6864
1569515400000,26.48,26.55,26.43,26.43,20570
1569516300000,26.38,26.38,26.32,26.35,2707
1569517200000,26.365,26.395,26.33,26.36,5348
1569518100000,26.36,26.42,26.345,26.42,3700
1569519000000,26.46,26.51,26.455,26.49,2400
1569519900000,26.44,26.45,26.32,26.45,2564
1569520800000,26.49,26.6,26.45,26.6,6318
1569521700000,26.58,26.6,26.5,26.5,4249
1569522600000,26.5,26.53,26.48,26.53,6737
1569523500000,26.515,26.52,26.5,26.5,2045
1569524400000,26.505,26.535,26.47,26.47,4338
1569525300000,26.46,26.53,26.44,26.495,8544
1569526200000,26.47,26.49,26.47,26.485,3887
1569527100000,26.485,26.49,26.41,26.42,16638
1569591000000,26.5,26.78,26.5,26.78,4388
1569591900000,26.77,26.7875,26.53,26.53,4041
1569592800000,26.54,26.67,26.54,26.58,4048
1569593700000,26.61,26.84,26.61,26.84,3523
1569594600000,26.84,26.89,26.69,26.69,4472
1569595500000,26.74,26.85,26.74,26.85,1728
1569596400000,26.83,26.89,26.78,26.89,3155
1569597300000,26.87,26.925,26.87,26.925,3100
1569598200000,26.925,26.96,26.665,26.76,4270
1569599100000,26.73,26.91,26.73,26.86,3681
1569600000000,26.83,26.895,26.8,26.895,10335
1569600900000,26.895,26.91,26.77,26.87,4748
1569601800000,26.89,26.95,26.86,26.91,4793
1569602700000,26.9,26.91,26.845,26.88,5999
1569603600000,26.9,26.95,26.86,26.95,4885
1569604500000,26.92,26.92,26.84,26.86,10215
1569605400000,26.85,26.94,26.75,26.89,18736
1569606300000,26.875,26.94,26.84,26.88,15547
1569607200000,26.895,26.93,26.815,26.86,13857
1569608100000,26.85,26.85,26.72,26.725,2022
1569609000000,26.71,26.71,26.62,26.62,3200
1569609900000,26.6,26.6,26.52,26.6,5300
1569610800000,26.62,26.62,26.515,26.515,3782
1569611700000,26.52,26.6,26.46,26.46,9200
1569612600000,26.45,26.455,26.42,26.43,5894
1569613500000,26.435,26.49,26.4,26.49,19558
1569850200000,26.51,26.92,26.51,26.92,6329
1569851100000,26.95,27.02,26.78,26.78,5079
1569852000000,26.705,26.705,26.54,26.57,2752
1569852900000,26.57,26.57,26.34,26.34,2867
1569853800000,26.36,26.4,26.26,26.38,3800
1569854700000,26.395,26.395,26.31,26.38,4015
1569855600000,26.355,26.37,26.26,26.33,3016
1569856500000,26.305,26.31,26.19,26.285,4800
1569857400000,26.285,26.35,26.24,26.35,3000
1569858300000,26.34,26.34,26.2,26.22,5427
1569859200000,26.25,26.3,26.19,26.19,3211
1569860100000,26.2,26.38,26.2,26.36,4585
1569861000000,26.36,26.36,26.29,26.31,3586
1569861900000,26.29,26.355,26.26,26.355,3185
1569862800000,26.35,26.45,26.35,26.44,2801
1569863700000,26.45,26.46,26.42,26.435,2558
1569864600000,26.42,26.42,26.36,26.37,2600
1569865500000,26.35,26.43,26.35,26.42,4400
1569866400000,26.41,26.42,26.37,26.385,2700
1569867300000,26.385,26.485,26.37,26.44,3946
1569868200000,26.435,26.49,26.435,26.49,1563
1569869100000,26.48,26.52,26.46,26.515,2500
1569870000000,26.515,26.515,26.46,26.47,5296
1569870900000,26.46,26.47,26.43,26.43,3000
1569871800000,26.425,26.46,26.4,26.45,10905
1569872700000,26.45,26.47,26.36,26.4,33208
1569936600000,26.52,26.6,26.44,26.44,1650
1569937500000,26.58,26.725,26.47,26.725,3570
1569938400000,26.78,26.78,26.56,26.56,4937
1569939300000,26.62,26.91,26.6,26.91,3119
1569940200000,26.915,27.045,26.915,26.97,3163
1569941100000,27.0,27.185,27.0,27.16,8876
1569942000000,27.14,27.21,27.045,27.06,17836
1569942900000,27.03,27.18,26.99,27.1001,5920
1569943800000,27.16,27.16,27.07,27.08,4466
1569944700000,27.1,27.19,27.07,27.16,10675
1569945600000,27.185,27.26,27.12,27.14,6439
1569946500000,27.165,27.24,27.14,27.21,6274
1569947400000,27.205,27.325,27.205,27.29,6842
1569948300000,27.28,27.4,27.28,27.37,5537
1569949200000,27.37,27.375,27.19,27.2,6538
1569950100000,27.2,27.2,27.09,27.13,4374
1569951000000,27.12,27.12,26.89,26.89,4818
1569951900000,26.85,26.91,26.81,26.905,3630
1569952800000,26.88,26.92,26.84,26.86,3532
1569953700000,26.85,26.93,26.85,26.87,4263
1569954600000,26.895,26.895,26.77,26.79,3783
1569955500000,26.81,26.83,26.7,26.74,5652
1569956400000,26.74,26.74,26.62,26.63,7657
1569957300000,26.61,26.65,26.55,26.6,5575
1569958200000,26.61,26.635,26.54,26.6,9446
1569959100000,26.6,26.62,26.41,26.44,21986
1570023000000,26.34,26.445,26.34,26.445,1582
1570023900000,26.415,26.415,26.26,26.26,4225
1570024800000,26.22,26.45,26.22,26.365,4929
1570025700000,26.41,26.41,26.24,26.24,1909
1570026600000,26.245,26.27,26.185,26.22,3494
1570027500000,26.225,26.25,26.06,26.19,8711
1570028400000,26.205,26.37,26.205,26.36,4178
1570029300000,26.36,26.57,26.36,26.49,3781
1570030200000,26.47,26.53,26.43,26.53,3631
1570031100000,26.525,26.62,26.5,26.5855,4484
1570032000000,26.59,26.6,26.54,26.54,5373
1570032900000,26.55,26.59,26.53,26.56,2447
1570033800000,26.545,26.56,26.45,26.45,3001
1570034700000,26.39,26.42,26.34,26.42,1469
1570035600000,26.41,26.515,26.41,26.51,3063
1570036500000,26.49,26.56,26.485,26.54,2475
1570037400000,26.54,26.54,26.47,26.47,2742
1570038300000,26.465,26.49,26.39,26.49,1548
1570039200000,26.475,26.5,26.42,26.42,4514
1570040100000,26.425,26.4725,26.415,26.44,2701
1570041000000,26.44,26.49,26.44,26.465,2575
1570041900000,26.465,26.54,26.44,26.44,6710
1570042800000,26.41,26.415,26.23,26.27,6654
1570043700000,26.26,26.28,26.19,26.25,6448
1570044600000,26.24,26.41,26.23,26.325,25699
1570045500000,26.33,26.45,26.32,26.44,27934
1570109400000,26.44,26.6,26.44,26.47,7145
1570110300000,26.47,26.53,26.42,26.435,1721
1570111200000,26.39,26.39,26.145,26.145,1200
1570112100000,26.105,26.31,26.095,26.21,2553
1570113000000,26.15,26.24,26.15,26.175,1206
1570113900000,26.16,26.16,25.84,25.935,5764
1570114800000,25.89,26.02,25.89,25.97,3573
1570115700000,25.98,26.01,25.9,25.9,1300
1570116600000,25.815,25.83,25.71,25.74,2042
1570117500000,25.77,25.79,25.66,25.6655,2114
1570118400000,25.665,25.665,25.59,25.66,1956
1570119300000,25.69,25.75,25.625,25.75,2374
1570120200000,25.79,25.81,25.74,25.74,1200
1570121100000,25.76,25.78,25.7,25.7,1200
1570122000000,25.705,25.81,25.705,25.81,1961
1570122900000,25.83,25.87,25.81,25.87,2310
1570123800000,25.84,25.93,25.78,25.93,7472
1570124700000,25.91,25.95,25.87,25.87,1236
1570125600000,25.8863,25.9,25.8,25.81,4098
1570126500000,25.77,25.86,25.75,25.85,2739
1570127400000,25.86,25.9,25.86,25.9,3600
1570128300000,25.88,26.02,25.88,26.02,4945
1570129200000,26.0,26.03,25.98,25.98,2207
1570130100000,26.0,26.0,25.94,25.94,3943
1570131000000,25.93,26.13,25.905,26.05,13678
1570131900000,26.04,26.12,26.01,26.08,30130
1570195800000,26.21,26.56,26.21,26.56,4132
1570196700000,26.41,26.41,26.24,26.315,2663
1570197600000,26.28,26.4,26.08,26.08,1600
1570198500000,26.13,26.2,26.11,26.12,2301
1570199400000,26.03,26.06,26.03,26.06,200
1570200300000,25.99,26.03,25.91,26.03,4030
1570201200000,26.01,26.02,25.97,25.97,2326
1570202100000,26.02,26.035,25.95,26.035,1490
1570203000000,26.06,26.11,26.02,26.02,1369
1570203900000,26.07,26.12,26.07,26.11,1541
1570204800000,26.07,26.125,26.07,26.1168,1300
1570205700000,26.11,26.17,26.085,26.16,1820
1570206600000,26.16,26.23,26.15,26.205,2964
1570207500000,26.205,26.23,26.205,26.21,600
1570208400000,26.21,26.21,26.17,26.17,1461
1570209300000,26.165,26.18,26.16,26.18,637
1570210200000,26.175,26.24,26.175,26.24,1814
1570211100000,26.23,26.24,26.23,26.24,700
1570212000000,26.25,26.25,26.23,26.24,1190
1570212900000,26.25,26.28,26.225,26.24,2112
1570213800000,26.25,26.25,26.2,26.2,1300
1570214700000,26.18,26.19,26.15,26.165,1417
1570215600000,26.17,26.2,26.16,26.19,1500
1570216500000,26.19,26.21,26.15,26.155,7705
1570217400000,26.14,26.18,26.11,26.17,7032
1570218300000,26.19,26.25,26.19,26.25,25030
1570455000000,25.99,26.2,25.74,25.74,4638
1570455900000,25.64,25.975,25.61,25.97,4936
1570456800000,25.94,26.15,25.93,26.13,6284
1570457700000,26.12,26.2,26.1,26.18,8906
1570458600000,26.19,26.25,26.18,26.2,2205
1570459500000,26.18,26.235,26.18,26.235,300
1570460400000,26.3,26.31,26.24,26.31,4058
1570461300000,26.28,26.28,26.22,26.22,1300
1570462200000,26.22,26.38,26.19,26.38,6628
1570463100000,26.34,26.42,26.31,26.4,1104
1570464000000,26.41,26.42,26.35,26.35,1712
1570464900000,26.38,26.39,26.305,26.305,1464
1570465800000,26.28,26.35,26.255,26.33,2447
1570466700000,26.34,26.38,26.3339,26.34,1694
1570467600000,26.32,26.35,26.29,26.29,1310
1570468500000,26.26,26.29,26.23,26.29,1701
1570469400000,26.275,26.4,26.27,26.37,6295
1570470300000,26.39,26.39,26.37,26.37,1100
1570471200000,26.36,26.36,26.28,26.28,1612
1570472100000,26.275,26.275,26.24,26.24,2579
1570473000000,26.25,26.26,26.17,26.17,1904
1570473900000,26.18,26.19,26.16,26.16,2600
1570474800000,26.15,26.18,26.125,26.17,3089
1570475700000,26.175,26.28,26.17,26.28,2986
