datetime,open,high,low,close,volume
1569504600000,11.67,11.88,11.66,11.86,31663
1569505500000,11.82,11.86,11.67,11.75,6400
1569506400000,11.67,11.7,11.58,11.67,15932
1569507300000,11.67,11.67,11.57,11.6,24127
1569508200000,11.615,11.63,11.47,11.47,9154
1569509100000,11.4801,11.65,11.4801,11.62,12691
1569510000000,11.66,11.67,11.52,11.5499,12741
1569510900000,11.53,11.65,11.53,11.575,5256
1569511800000,11.56,11.56,11.49,11.505,6618
1569512700000,11.49,11.52,11.4101,11.42,3604
1569513600000,11.42,11.445,11.38,11.445,3576
1569514500000,11.45,11.46,11.42,11.45,4760
1569515400000,11.44,11.44,11.38,11.43,4220
1569516300000,11.42,11.48,11.3947,11.47,2820
1569517200000,11.45,11.49,11.435,11.48,4520
1569518100000,11.48,11.56,11.48,11.56,5538
1569519000000,11.53,11.53,11.46,11.47,4386
1569519900000,11.46,11.46,11.41,11.44,3950
1569520800000,11.435,11.48,11.425,11.425,3800
1569521700000,11.43,11.55,11.43,11.55,18894
1569522600000,11.54,11.55,11.51,11.53,4868
1569523500000,11.51,11.52,11.47,11.52,4072
1569524400000,11.52,11.5367,11.47,11.47,5002
1569525300000,11.47,11.47,11.42,11.44,9950
1569526200000,11.42,11.435,11.39,11.42,19491
1569527100000,11.415,11.44,11.37,11.38,40628
1569591000000,11.14,11.24,11.06,11.16,24696
1569591900000,11.16,11.2009,11.08,11.2009,12032
1569592800000,11.22,11.31,11.1483,11.28,8677
1569593700000,11.28,11.3,11.1751,11.18,6293
1569594600000,11.18,11.18,11.11,11.16,10746
1569595500000,11.15,11.15,11.04,11.1,12989
1569596400000,11.0801,11.15,11.06,11.0736,11605
1569597300000,11.07,11.15,11.05,11.07,8485
1569598200000,11.06,11.18,10.99,11.12,37839
1569599100000,11.1,11.13,10.99,11.005,16823
1569600000000,11.01,11.13,11.0,11.1215,11072
1569600900000,11.1,11.17,11.0903,11.13,4270
1569601800000,11.14,11.17,11.11,11.13,4412
1569602700000,11.13,11.25,11.13,11.21,7661
1569603600000,11.22,11.24,11.16,11.19,6802
1569604500000,11.16,11.25,11.16,11.2,7973
1569605400000,11.2,11.32,11.2,11.25,14355
1569606300000,11.25,11.27,11.18,11.2,4460
1569607200000,11.18,11.26,11.1703,11.23,14428
1569608100000,11.24,11.24,11.16,11.18,4000
1569609000000,11.18,11.2,11.16,11.19,5000
1569609900000,11.19,11.19,11.141,11.18,8444
1569610800000,11.17,11.17,11.14,11.14,3100
1569611700000,11.13,11.13,11.08,11.08,7426
1569612600000,11.07,11.08,11.05,11.07,11077
1569613500000,11.07,11.09,11.04,11.07,29468
1569850200000,10.89,10.96,10.61,10.94,56136
1569851100000,10.91,11.02,10.881,10.91,14726
1569852000000,10.93,10.94,10.83,10.83,7663
1569852900000,10.83,10.9,10.8,10.84,18033
1569853800000,10.8401,10.8401,10.73,10.78,14296
1569854700000,10.79,10.79,10.64,10.68,15391
1569855600000,10.675,10.7,10.481,10.51,29232
1569856500000,10.52,10.5504,10.44,10.4925,38787
1569857400000,10.48,10.53,10.41,10.51,26008
1569858300000,10.53,10.61,10.53,10.55,10920
1569859200000,10.56,10.58,10.53,10.54,15933
1569860100000,10.54,10.67,10.54,10.65,12930
1569861000000,10.66,10.73,10.65,10.69,36759
1569861900000,10.68,10.69,10.6,10.6,18910
1569862800000,10.61,10.61,10.55,10.56,4264
1569863700000,10.5392,10.545,10.48,10.53,33734
1569864600000,10.58,10.58,10.485,10.56,28394
1569865500000,10.56,10.5802,10.52,10.5602,26269
1569866400000,10.57,10.57,10.52,10.545,9985
1569867300000,10.58,10.58,10.53,10.56,6954
1569868200000,10.57,10.65,10.534,10.62,9093
1569869100000,10.63,10.68,10.63,10.67,6375
1569870000000,10.65,10.66,10.59,10.61,10758
1569870900000,10.59,10.67,10.59,10.664,11884
1569871800000,10.655,10.68,10.63,10.63,14944
1569872700000,10.64,10.65,10.6,10.62,39534
1569936600000,10.54,10.6,10.48,10.58,12191
1569937500000,10.53,10.55,10.47,10.49,18228
1569938400000,10.52,10.83,10.52,10.78,39196
1569939300000,10.825,10.8927,10.75,10.8187,13200
1569940200000,10.83,10.91,10.76,10.86,27674
1569941100000,10.87,10.88,10.77,10.85,15878
1569942000000,10.85,10.87,10.82,10.85,8256
1569942900000,10.84,10.91,10.82,10.855,11305
1569943800000,10.84,10.9,10.84,10.87,8800
1569944700000,10.85,10.9,10.84,10.9,4870
1569945600000,10.91,10.92,10.87,10.87,7307
1569946500000,10.89,10.91,10.81,10.84,16589
1569947400000,10.855,10.855,10.73,10.75,10518
1569948300000,10.75,10.8,10.74,10.7988,13100
1569949200000,10.79,10.81,10.76,10.78,3900
1569950100000,10.79,10.81,10.765,10.8,6176
1569951000000,10.79,10.82,10.72,10.74,2600
1569951900000,10.73,10.76,10.72,10.72,2500
1569952800000,10.74,10.76,10.72,10.73,25703
1569953700000,10.73,10.74,10.63,10.64,30519
1569954600000,10.625,10.65,10.58,10.58,12277
1569955500000,10.57,10.59,10.54,10.59,13778
1569956400000,10.61,10.63,10.5812,10.61,9280
1569957300000,10.62,10.64,10.6,10.62,10471
1569958200000,10.63,10.63,10.58,10.61,6239
1569959100000,10.61,10.62,10.56,10.58,26080
1570023000000,10.79,10.83,10.67,10.7,21865
1570023900000,10.6919,10.6919,10.54,10.57,11024
1570024800000,10.56,10.605,10.49,10.58,26648
1570025700000,10.58,10.7,10.57,10.69,11705
1570026600000,10.695,10.75,10.6614,10.7,12549
1570027500000,10.72,10.75,10.68,10.6833,4911
1570028400000,10.65,10.67,10.6,10.64,15849
1570029300000,10.62,10.67,10.62,10.67,1900
1570030200000,10.71,10.79,10.71,10.7352,11263
1570031100000,10.72,10.7691,10.7,10.7235,4429
1570032000000,10.73,10.7577,10.705,10.74,5026
1570032900000,10.745,10.7626,10.6697,10.68,7039
1570033800000,10.69,10.71,10.66,10.68,2000
1570034700000,10.67,10.72,10.65,10.72,3700
1570035600000,10.72,10.72,10.65,10.68,7400
1570036500000,10.68,10.7,10.66,10.68,3785
1570037400000,10.68,10.735,10.6779,10.72,11375
1570038300000,10.72,10.72,10.685,10.7,4399
1570039200000,10.7,10.71,10.66,10.66,3063
1570040100000,10.64,10.67,10.64,10.64,4600
1570041000000,10.64,10.66,10.56,10.57,25115
1570041900000,10.57,10.65,10.55,10.65,3087
1570042800000,10.64,10.67,10.63,10.6679,5005
1570043700000,10.68,10.7,10.6698,10.68,5660
1570044600000,10.68,10.71,10.66,10.6862,14000
1570045500000,10.69,10.71,10.66,10.69,41720
1570109400000,10.67,10.7,10.56,10.64,12469
1570110300000,10.64,10.747,10.624,10.747,5790
1570111200000,10.75,10.98,10.75,10.9,38992
1570112100000,10.9131,10.9131,10.75,10.76,14490
1570113000000,10.76,10.85,10.71,10.82,4200
1570113900000,10.84,10.915,10.82,10.85,5683
1570114800000,10.85,10.85,10.73,10.7899,3485
1570115700000,10.76,10.76,10.7,10.7,8396
1570116600000,10.81,10.85,10.76,10.77,5200
1570117500000,10.8,10.81,10.76,10.7833,4075
1570118400000,10.76,10.77,10.7,10.75,8322
1570119300000,10.74,10.78,10.74,10.76,2800
1570120200000,10.78,10.78,10.7465,10.77,4155
1570121100000,10.795,10.81,10.74,10.76,2137
1570122000000,10.75,10.81,10.74,10.78,3550
1570122900000,10.79,10.79,10.71,10.72,1793
1570123800000,10.75,10.7525,10.73,10.7395,1917
1570124700000,10.73,10.7395,10.72,10.72,2716
1570125600000,10.75,10.79,10.75,10.77,4850
1570126500000,10.75,10.75,10.71,10.74,1850
