datetime,open,high,low,close,volume
1591968600000,6.07,6.07,5.95,6.01,87178
1591969500000,6.01,6.035,5.975,5.975,55071
1591970400000,5.98,6.0501,5.98,6.01,45306
1591971300000,6.01,6.05,5.99,5.99,113610
1591972200000,5.995,6.01,5.98,6.005,44323
1591973100000,6.0,6.03,5.92,5.92,121190
1591974000000,5.92,5.99,5.89,5.945,96718
1591974900000,5.945,5.97,5.91,5.96,73098
1591975800000,5.96,6.0,5.93,5.97,27636
1591976700000,5.975,6.06,5.975,6.055,53795
1591977600000,6.05,6.055,6.03,6.045,66726
1591978500000,6.05,6.06,6.03,6.045,67895
1591979400000,6.04,6.09,6.04,6.055,36692
1591980300000,6.055,6.115,6.04,6.1,67840
1591981200000,6.09,6.12,6.085,6.105,66428
1591982100000,6.1,6.18,6.1,6.155,73778
1591983000000,6.155,6.1701,6.1,6.105,68148
1591983900000,6.1,6.13,6.09,6.115,116868
1591984800000,6.115,6.155,6.09,6.095,140992
1591985700000,6.095,6.105,6.05,6.055,161854
1591986600000,6.055,6.06,5.99,5.995,85293
1591987500000,6.0,6.08,6.0,6.08,82817
1591988400000,6.08,6.11,6.06,6.065,106113
1591989300000,6.065,6.07,6.04,6.045,127433
1591990200000,6.045,6.06,6.01,6.015,160018
1591991100000,6.015,6.11,6.01,6.075,422679
