datetime,open,high,low,close,volume
1569504600000,35.38,35.505,34.93,34.95,8533
1569505500000,34.91,35.0,34.765,34.93,5340
1569506400000,34.985,35.14,34.95,35.03,3585
1569507300000,35.02,35.06,34.93,34.955,10570
1569508200000,34.96,35.06,34.87,34.98,9370
1569509100000,35.0,35.13,34.96,34.96,2500
1569510000000,34.98,35.09,34.91,34.97,3420
1569510900000,35.0,35.05,34.9,35.02,6560
1569511800000,35.0,35.23,35.0,35.18,6550
1569512700000,35.24,35.355,35.23,35.33,10995
1569513600000,35.33,35.4,35.27,35.35,9477
1569514500000,35.36,35.56,35.36,35.55,6772
1569515400000,35.5444,35.56,35.48,35.51,5700
1569516300000,35.51,35.52,35.18,35.19,6544
1569517200000,35.2,35.21,35.01,35.04,4558
1569518100000,34.96,34.99,34.9,34.95,3327
1569519000000,34.97,35.13,34.97,35.09,2843
1569519900000,35.05,35.06,34.95,35.015,3300
1569520800000,35.04,35.15,34.98,35.11,3500
1569521700000,35.14,35.23,35.14,35.19,3883
1569522600000,35.19,35.27,35.19,35.255,4238
1569523500000,35.26,35.295,35.22,35.26,5100
1569524400000,35.255,35.34,35.23,35.34,3984
1569525300000,35.31,35.34,35.24,35.28,5630
1569526200000,35.28,35.32,35.18,35.205,10308
1569527100000,35.2,35.24,35.14,35.2,21160
1569591000000,35.14,35.85,35.02,35.84,11464
1569591900000,35.87,35.89,35.41,35.61,7633
1569592800000,35.59,35.63,35.455,35.62,5310
1569593700000,35.56,35.82,35.55,35.82,3547
1569594600000,35.81,35.99,35.81,35.83,2476
1569595500000,35.76,35.87,35.67,35.8,6651
1569596400000,35.86,35.98,35.815,35.95,3580
1569597300000,35.95,35.96,35.885,35.95,4305
1569598200000,35.96,35.99,35.57,35.65,8539
1569599100000,35.67,35.83,35.62,35.76,2700
1569600000000,35.69,35.9,35.66,35.9,4295
1569600900000,35.88,35.88,35.73,35.781,2287
1569601800000,35.76,35.83,35.66,35.66,3526
1569602700000,35.67,35.7,35.47,35.52,12612
1569603600000,35.42,35.6,35.415,35.51,5324
1569604500000,35.505,35.505,35.45,35.48,1500
1569605400000,35.48,35.61,35.43,35.59,3099
1569606300000,35.58,35.59,35.49,35.59,2300
1569607200000,35.55,35.62,35.53,35.62,2902
1569608100000,35.58,35.63,35.54,35.6,1800
1569609000000,35.545,35.545,35.47,35.47,2900
1569609900000,35.47,35.5,35.37,35.4,1800
1569610800000,35.41,35.44,35.34,35.37,3200
1569611700000,35.38,35.42,35.35,35.38,4549
1569612600000,35.39,35.44,35.36,35.38,12378
1569613500000,35.38,35.55,35.34,35.54,39598
1569850200000,35.46,35.8,35.11,35.45,33685
1569851100000,35.28,35.46,35.19,35.2,3299
1569852000000,35.28,35.28,35.02,35.25,4914
1569852900000,35.32,35.41,35.25,35.34,2137
1569853800000,35.33,35.49,35.33,35.34,2663
1569854700000,35.31,35.45,35.26,35.45,4500
1569855600000,35.43,35.46,35.37,35.42,2321
1569856500000,35.43,35.49,35.39,35.44,2700
1569857400000,35.44,35.45,35.36,35.425,4596
1569858300000,35.42,35.48,35.41,35.46,5881
1569859200000,35.48,35.56,35.48,35.525,2278
1569860100000,35.525,35.61,35.525,35.61,2200
1569861000000,35.595,35.595,35.5,35.5,800
1569861900000,35.45,35.5,35.42,35.465,2000
1569862800000,35.4651,35.49,35.4651,35.49,600
1569863700000,35.5013,35.5013,35.44,35.44,2134
1569864600000,35.44,35.57,35.43,35.57,2295
1569865500000,35.6,35.67,35.6,35.67,600
1569866400000,35.6,35.62,35.49,35.62,15176
1569867300000,35.59,35.61,35.55,35.59,1300
1569868200000,35.585,35.63,35.55,35.6,3217
1569869100000,35.59,35.6391,35.59,35.6,2533
1569870000000,35.59,35.59,35.5,35.56,2444
1569870900000,35.54,35.55,35.51,35.53,3100
1569871800000,35.52,35.6,35.5,35.55,10100
1569872700000,35.55,35.62,35.46,35.46,30090
1569936600000,35.51,35.855,35.35,35.855,8164
1569937500000,35.87,36.18,35.84,36.03,10813
1569938400000,36.0,36.19,35.71,35.74,15021
1569939300000,35.8,35.85,35.52,35.65,10014
1569940200000,35.65,35.65,35.28,35.28,9429
1569941100000,35.31,35.51,35.11,35.15,14197
1569942000000,35.09,35.2,35.09,35.17,4612
1569942900000,35.1317,35.42,35.12,35.42,9666
1569943800000,35.38,35.44,35.16,35.16,4045
1569944700000,35.16,35.17,35.12,35.17,3848
1569945600000,35.19,35.195,34.91,34.91,2800
1569946500000,34.93,35.1,34.93,35.09,4721
1569947400000,35.05,35.05,34.88,34.9,4676
1569948300000,34.88,34.88,34.69,34.69,6052
1569949200000,34.7,34.71,34.61,34.61,2379
1569950100000,34.59,34.59,34.55,34.55,2200
1569951000000,34.56,34.6,34.45,34.59,5500
1569951900000,34.56,34.565,34.36,34.36,2650
1569952800000,34.38,34.475,34.3064,34.37,6298
1569953700000,34.34,34.46,34.34,34.41,3333
1569954600000,34.45,34.46,34.37,34.41,3308
1569955500000,34.42,34.48,34.35,34.48,5020
1569956400000,34.48,34.51,34.37,34.4,6850
1569957300000,34.36,34.47,34.36,34.47,8882
1569958200000,34.435,34.44,34.34,34.41,21717
1569959100000,34.42,34.5,34.38,34.45,26423
1570023000000,34.62,35.16,33.89,34.09,75343
1570023900000,34.09,34.13,33.89,33.97,10876
1570024800000,33.91,34.55,33.8,34.415,11921
1570025700000,34.36,34.57,34.33,34.33,7200
1570026600000,34.285,34.29,34.01,34.01,4542
1570027500000,34.0,34.0,33.81,33.9,10973
1570028400000,33.91,34.11,33.75,33.79,7465
1570029300000,33.7,33.8,33.67,33.67,5064
1570030200000,33.685,33.69,33.55,33.69,9500
1570031100000,33.68,33.69,33.55,33.6,7121
1570032000000,33.6,33.83,33.57,33.73,11746
1570032900000,33.705,33.76,33.705,33.76,1900
1570033800000,33.715,33.72,33.55,33.59,8663
1570034700000,33.61,33.78,33.56,33.78,3200
1570035600000,33.75,33.93,33.75,33.92,4800
1570036500000,33.93,34.04,33.9,33.98,6663
1570037400000,33.95,33.95,33.88,33.91,2800
1570038300000,33.92,34.025,33.92,34.02,7242
1570039200000,34.02,34.11,33.98,33.98,4400
1570040100000,34.01,34.23,34.01,34.145,7747
1570041000000,34.15,34.35,34.15,34.35,28903
1570041900000,34.36,34.41,34.28,34.29,12215
1570042800000,34.32,34.42,34.27,34.42,7758
1570043700000,34.39,34.52,34.39,34.45,11875
1570044600000,34.44,34.51,34.265,34.265,26357
1570045500000,34.27,34.3,34.08,34.26,105625
1570109400000,33.93,34.18,33.87,33.93,4989
1570110300000,34.12,34.15,33.98,34.05,2900
1570111200000,34.0,34.01,33.49,33.625,12180
1570112100000,33.615,33.615,33.4,33.51,5912
1570113000000,33.485,33.6,33.39,33.4,12177
1570113900000,33.36,33.5,33.22,33.49,6911
1570114800000,33.53,33.82,33.48,33.75,9100
1570115700000,33.82,33.88,33.68,33.7,6316
1570116600000,33.71,33.71,33.54,33.61,3200
1570117500000,33.61,33.63,33.5,33.62,2405
1570118400000,33.5959,33.82,33.5959,33.82,4704
1570119300000,33.82,33.89,33.69,33.86,3100
1570120200000,33.83,33.955,33.83,33.9,2300
1570121100000,33.91,33.94,33.86,33.91,2000
1570122000000,33.86,33.98,33.85,33.98,1000
1570122900000,33.9922,34.16,33.9922,34.16,5872
1570123800000,34.16,34.25,34.12,34.22,11200
1570124700000,34.29,34.37,34.22,34.22,1706
1570125600000,34.228,34.3,34.21,34.3,5822
1570126500000,34.305,34.41,34.28,34.3,5500
1570127400000,34.34,34.34,34.27,34.32,4100
1570128300000,34.36,34.4,34.31,34.31,3400
1570129200000,34.34,34.34,34.28,34.325,3100
1570130100000,34.31,34.31,34.22,34.24,6900
1570131000000,34.225,34.23,34.105,34.1851,9542
1570131900000,34.2,34.39,34.165,34.38,28296
1570195800000,34.53,34.85,34.05,34.05,334366
1570196700000,34.14,34.29,33.975,34.28,8700
1570197600000,34.26,34.43,34.15,34.23,7000
1570198500000,34.21,34.385,34.09,34.1,7000
1570199400000,34.1,34.16,33.98,34.15,8915
1570200300000,34.19,34.33,34.07,34.29,3284
1570201200000,34.26,34.31,34.15,34.205,3000
1570202100000,34.23,34.23,34.0,34.0,2400
1570203000000,34.0,34.08,33.95,33.97,2111
1570203900000,33.99,34.01,33.93,33.95,2900
1570204800000,33.955,34.07,33.955,34.02,2828
1570205700000,33.98,34.09,33.95,34.065,2000
1570206600000,34.04,34.0597,34.02,34.055,2100
1570207500000,34.03,34.06,33.98,34.01,3428
1570208400000,34.04,34.15,34.03,34.15,1400
1570209300000,34.16,34.24,34.14,34.195,3400
1570210200000,34.18,34.24,34.11,34.22,2784
1570211100000,34.2,34.21,34.17,34.17,2300
1570212000000,34.185,34.28,34.185,34.27,3400
1570212900000,34.3,34.37,34.27,34.37,3819
1570213800000,34.37,34.37,34.27,34.28,4511
1570214700000,34.265,34.28,34.19,34.2,4728
1570215600000,34.22,34.24,34.2,34.2,2408
1570216500000,34.2,34.23,34.16,34.17,5270
1570217400000,34.16,34.22,34.12,34.22,9289
1570218300000,34.215,34.35,34.2,34.33,26659
1570455000000,34.56,34.6657,34.0,34.13,10049
1570455900000,34.13,34.52,34.13,34.33,3500
1570456800000,34.435,34.47,34.35,34.35,4960
1570457700000,34.41,34.41,34.2,34.3,7802
1570458600000,34.29,34.29,34.05,34.13,6988
1570459500000,34.15,34.36,34.135,34.32,4051
1570460400000,34.325,34.495,34.325,34.38,32886
1570461300000,34.38,34.49,34.35,34.43,6700
1570462200000,34.4,34.48,34.31,34.46,4926
1570463100000,34.47,34.48,34.23,34.29,4150
1570464000000,34.28,34.28,34.16,34.23,4477
1570464900000,34.28,34.41,34.28,34.41,3800
1570465800000,34.45,34.45,34.34,34.45,3600
1570466700000,34.46,34.4756,34.41,34.465,3669
1570467600000,34.45,34.45,34.26,34.26,3000
1570468500000,34.25,34.265,34.21,34.21,3200
1570469400000,34.23,34.49,34.22,34.46,4200
1570470300000,34.42,34.47,34.4,34.43,4000
1570471200000,34.42,34.44,34.26,34.3,6047
1570472100000,34.31,34.33,34.29,34.3,3100
1570473000000,34.3,34.34,34.16,34.18,4835
1570473900000,34.16,34.18,34.07,34.17,6096
1570474800000,34.15,34.15,34.07,34.1,5255
1570475700000,34.14,34.2,34.07,34.085,6100
1570476600000,34.07,34.15,34.06,34.11,9595
1570477500000,34.1,34.11,33.97,33.97,23561
1570541400000,33.62,33.79,33.14,33.3287,9012
1570542300000,33.19,33.235,33.13,33.23,2000
1570543200000,33.125,33.4792,33.04,33.45,6000
1570544100000,33.41,33.43,33.2,33.2,4663
1570545000000,33.175,33.23,33.04,33.04,1500
1570545900000,33.11,33.24,33.09,33.24,1000
1570546800000,33.2,33.21,33.075,33.13,5822
1570547700000,33.14,33.24,33.12,33.185,6587
1570548600000,33.165,33.18,33.045,33.09,4523
1570549500000,33.085,33.51,33.07,33.38,29177
1570550400000,33.41,33.5,33.355,33.385,20388
1570551300000,33.38,33.41,33.32,33.41,12816
1570552200000,33.37,33.37,33.235,33.285,8300
1570553100000,33.35,33.5,33.18,33.18,5000
1570554000000,33.15,33.22,33.06,33.11,6099
1570554900000,33.08,33.14,33.08,33.12,2600
1570555800000,33.11,33.22,33.07,33.21,4700
1570556700000,33.17,33.175,33.09,33.1,3500
1570557600000,33.08,33.16,33.05,33.16,6100
1570558500000,33.1,33.24,33.1,33.19,7004
1570559400000,33.23,33.51,33.23,33.485,8088
1570560300000,33.49,33.57,33.39,33.52,11297
1570561200000,33.525,33.55,33.3,33.3,7924
1570562100000,33.31,33.44,33.2803,33.435,9060
1570563000000,33.49,33.49,33.24,33.24,12855
1570563900000,33.23,33.39,33.21,33.34,44528
1570627800000,33.57,33.57,33.18,33.21,6865
1570628700000,33.08,33.19,33.04,33.08,3800
1570629600000,33.03,33.46,32.96,33.345,29069
1570630500000,33.35,33.59,33.35,33.57,11402
1570631400000,33.48,33.56,33.4,33.52,15700
1570632300000,33.55,33.55,33.32,33.41,4200
1570633200000,33.46,33.46,33.24,33.27,5424
1570634100000,33.255,33.38,33.2,33.37,12010
1570635000000,33.41,33.48,33.39,33.44,2400
1570635900000,33.415,33.44,33.31,33.32,4100
1570636800000,33.33,33.33,33.2,33.22,4078
1570637700000,33.235,33.28,33.21,33.24,1400
1570638600000,33.2,33.2,33.1,33.1,3449
1570639500000,33.08,33.12,33.06,33.07,3400
1570640400000,33.1,33.15,33.1,33.15,3300
1570641300000,33.16,33.16,33.07,33.08,3200
1570642200000,33.06,33.11,33.05,33.05,2600
1570643100000,33.05,33.2,33.02,33.2,3925
1570644000000,33.22,33.28,33.2,33.26,4413
1570644900000,33.27,33.39,33.25,33.32,5132
1570645800000,33.35,33.475,33.34,33.43,3145
1570646700000,33.43,33.52,33.43,33.44,5262
1570647600000,33.44,33.54,33.41,33.52,9498
1570648500000,33.49,33.49,33.42,33.46,5288
1570649400000,33.46,33.5,33.35,33.37,13871
1570650300000,33.35,33.45,33.31,33.35,24167
1570714200000,33.57,33.73,33.4,33.55,5463
1570715100000,33.57,33.92,33.44,33.92,6400
1570716000000,33.85,34.28,33.79,34.16,9681
1570716900000,34.12,34.135,33.86,33.98,15342
1570717800000,34.03,34.17,33.99,34.15,6837
1570718700000,34.15,34.25,34.04,34.24,7300
1570719600000,34.22,34.22,34.0,34.07,11414
1570720500000,34.05,34.2,34.05,34.17,7238
1570721400000,34.16,34.29,34.16,34.23,5355
1570722300000,34.27,34.27,34.1,34.1,2600
1570723200000,34.07,34.1,34.0,34.03,5600
1570724100000,34.01,34.04,33.94,34.01,8900
1570725000000,34.0,34.05,33.99,34.02,4402
