datetime,open,high,low,close,volume
1569505500000,6.75,6.79,6.75,6.79,900
1569506400000,6.77,6.8,6.77,6.8,700
1569508200000,6.81,6.81,6.81,6.81,300
1569509100000,6.81,6.82,6.8,6.82,500
1569510000000,6.82,6.82,6.82,6.82,100
1569510900000,6.82,6.82,6.82,6.82,2300
1569512700000,6.82,6.84,6.82,6.84,1116
1569513600000,6.85,6.85,6.8345,6.8345,1150
1569514500000,6.8385,6.8385,6.8385,6.8385,300
1569516300000,6.84,6.85,6.84,6.8439,800
1569517200000,6.84,6.84,6.84,6.84,500
1569518100000,6.82,6.82,6.82,6.82,600
1569519900000,6.82,6.82,6.82,6.82,100
1569522600000,6.8473,6.8473,6.83,6.83,725
1569524400000,6.84,6.84,6.84,6.84,200
1569526200000,6.83,6.85,6.8,6.82,2140
1569527100000,6.8166,6.82,6.8166,6.82,776
1569591000000,6.81,6.81,6.81,6.81,175
1569593700000,6.78,6.7927,6.78,6.7927,1200
1569598200000,6.77,6.77,6.77,6.77,100
1569600000000,6.75,6.75,6.75,6.75,300
1569600900000,6.76,6.76,6.76,6.76,800
1569601800000,6.79,6.8,6.79,6.79,637
1569602700000,6.77,6.77,6.76,6.76,2484
1569605400000,6.71,6.75,6.71,6.75,3400
1569606300000,6.75,6.75,6.75,6.75,400
1569607200000,6.76,6.76,6.76,6.76,700
1569609000000,6.76,6.76,6.76,6.76,300
1569609900000,6.77,6.77,6.77,6.77,100
1569610800000,6.78,6.79,6.78,6.79,300
1569611700000,6.77,6.77,6.77,6.77,709
1569612600000,6.77,6.77,6.765,6.77,4099
1569613500000,6.77,6.77,6.77,6.77,100
1569850200000,6.97,7.07,6.97,7.07,3175
1569852000000,7.05,7.05,7.0,7.05,8407
1569852900000,7.0254,7.0254,7.0254,7.0254,1300
1569853800000,7.01,7.0481,7.01,7.01,1180
1569854700000,7.05,7.05,7.04,7.04,1400
1569855600000,7.04,7.05,7.03,7.035,4900
1569856500000,7.035,7.04,7.03,7.04,1900
1569857400000,7.03,7.05,7.03,7.04,3900
1569858300000,7.04,7.04,7.04,7.04,300
1569859200000,7.04,7.04,7.04,7.04,1000
1569860100000,7.0452,7.0452,7.0452,7.0452,200
1569861000000,7.05,7.05,7.03,7.035,1600
1569861900000,7.05,7.05,7.05,7.05,1000
1569862800000,7.04,7.04,7.04,7.04,100
1569863700000,7.045,7.05,7.04,7.04,4905
1569864600000,7.04,7.0433,7.04,7.0433,1609
1569865500000,7.03,7.035,7.0054,7.02,3600
1569866400000,7.01,7.01,7.0,7.0057,1000
1569867300000,7.0,7.01,7.0,7.01,1000
1569868200000,7.01,7.01,6.99,6.99,900
1569869100000,7.0,7.0,6.995,7.0,1400
1569870000000,6.99,7.0,6.9601,6.961,2905
1569870900000,6.98,6.98,6.98,6.98,200
1569871800000,6.97,6.97,6.95,6.95,4025
1569872700000,6.956,6.96,6.93,6.93,4646
