datetime,open,high,low,close,volume
1569504600000,9.77,9.89,9.4,9.415,205307
1569505500000,9.42,9.574,9.42,9.54,90599
1569506400000,9.5299,9.55,9.47,9.52,79809
1569507300000,9.53,9.55,9.48,9.545,86886
1569508200000,9.545,9.57,9.48,9.505,76940
1569509100000,9.5,9.5464,9.475,9.49,64076
1569510000000,9.49,9.64,9.49,9.64,65415
1569510900000,9.64,9.69,9.58,9.635,85967
1569511800000,9.63,9.665,9.565,9.61,71944
1569512700000,9.6,9.64,9.5701,9.64,58034
1569513600000,9.65,9.68,9.63,9.65,71280
1569514500000,9.65,9.72,9.62,9.67,80957
1569515400000,9.675,9.73,9.645,9.72,61202
1569516300000,9.72,9.73,9.69,9.69,56434
1569517200000,9.69,9.7,9.65,9.665,36860
1569518100000,9.66,9.66,9.53,9.54,59930
1569519000000,9.545,9.545,9.49,9.535,75545
1569519900000,9.535,9.6,9.53,9.6,34855
1569520800000,9.6,9.645,9.58,9.63,56480
1569521700000,9.63,9.7132,9.62,9.67,38848
1569522600000,9.67,9.74,9.67,9.72,49559
1569523500000,9.73,9.76,9.72,9.75,58070
1569524400000,9.745,9.76,9.67,9.69,54748
1569525300000,9.6921,9.76,9.68,9.715,66219
1569526200000,9.715,9.74,9.65,9.655,90253
1569527100000,9.65,9.68,9.63,9.64,266610
1569591000000,9.69,9.97,9.56,9.95,154658
1569591900000,9.95,9.95,9.72,9.77,100935
1569592800000,9.76,9.79,9.69,9.76,98680
1569593700000,9.765,9.87,9.765,9.84,98164
1569594600000,9.85,9.86,9.73,9.73,70914
1569595500000,9.72,9.765,9.69,9.76,111715
1569596400000,9.76,9.787,9.73,9.78,46873
1569597300000,9.78,9.815,9.75,9.8,43073
1569598200000,9.8,9.87,9.68,9.735,87857
1569599100000,9.73,9.86,9.73,9.79,63390
1569600000000,9.79,9.83,9.78,9.81,51884
1569600900000,9.8,9.82,9.76,9.81,32721
1569601800000,9.81,9.885,9.79,9.85,48563
1569602700000,9.84,9.87,9.79,9.8,87028
1569603600000,9.805,9.81,9.755,9.78,43004
1569604500000,9.785,9.82,9.775,9.81,56838
1569605400000,9.81,9.82,9.78,9.81,51470
1569606300000,9.81,9.81,9.77,9.79,76744
1569607200000,9.78,9.795,9.72,9.75,79030
1569608100000,9.75,9.82,9.74,9.81,71351
1569609000000,9.8,9.81,9.77,9.79,58724
1569609900000,9.79,9.82,9.76,9.76,52504
1569610800000,9.77,9.78,9.73,9.74,75802
1569611700000,9.74,9.78,9.74,9.745,184778
1569612600000,9.745,9.75,9.71,9.71,97917
1569613500000,9.715,9.75,9.69,9.695,294225
1569850200000,9.74,9.94,9.72,9.75,140481
1569851100000,9.75,9.87,9.74,9.86,84809
1569852000000,9.85,9.87,9.73,9.85,85072
1569852900000,9.855,9.94,9.83,9.88,71554
1569853800000,9.875,9.935,9.86,9.935,68683
1569854700000,9.93,9.97,9.91,9.9376,61157
1569855600000,9.94,9.97,9.84,9.8465,123357
1569856500000,9.845,9.85,9.795,9.8,74507
1569857400000,9.8,9.85,9.7699,9.7699,65187
1569858300000,9.77,9.83,9.76,9.79,47250
1569859200000,9.795,9.8,9.68,9.725,74709
1569860100000,9.72,9.8,9.705,9.78,43723
1569861000000,9.785,9.79,9.74,9.76,60213
1569861900000,9.76,9.78,9.74,9.78,139614
1569862800000,9.78,9.78,9.71,9.76,124763
1569863700000,9.76,9.77,9.71,9.72,46782
1569864600000,9.73,9.8,9.73,9.775,53501
1569865500000,9.78,9.8,9.74,9.74,73579
1569866400000,9.745,9.8,9.73,9.77,83519
1569867300000,9.77,9.77,9.72,9.75,85149
1569868200000,9.75,9.82,9.74,9.805,69984
1569869100000,9.805,9.87,9.75,9.765,121112
1569870000000,9.77,9.78,9.73,9.74,105977
1569870900000,9.745,9.78,9.715,9.75,133477
1569871800000,9.75,9.895,9.745,9.89,173400
1569872700000,9.88,9.915,9.79,9.79,288963
1569936600000,9.8,10.25,9.8,10.23,209027
1569937500000,10.21,10.37,10.2,10.24,223778
1569938400000,10.24,10.27,10.04,10.115,113037
1569939300000,10.115,10.155,9.99,10.05,85198
1569940200000,10.055,10.055,9.96,10.044,57310
1569941100000,10.05,10.05,9.91,9.925,55431
1569942000000,9.92,9.955,9.83,9.87,108017
1569942900000,9.875,9.94,9.79,9.845,84015
1569943800000,9.845,9.95,9.845,9.93,61256
1569944700000,9.93,9.95,9.85,9.95,30794
1569945600000,9.95,9.955,9.81,9.813,83431
1569946500000,9.815,9.915,9.76,9.875,62340
1569947400000,9.875,9.905,9.865,9.89,31723
1569948300000,9.89,9.9,9.8,9.81,145877
1569949200000,9.805,9.84,9.79,9.825,51660
1569950100000,9.83,9.83,9.77,9.775,47340
1569951000000,9.775,9.81,9.74,9.805,52883
1569951900000,9.805,9.82,9.76,9.805,32923
1569952800000,9.8,9.875,9.77,9.77,48404
1569953700000,9.77,9.8,9.75,9.8,54720
1569954600000,9.795,9.91,9.79,9.855,56808
1569955500000,9.85,9.865,9.79,9.835,49256
1569956400000,9.84,9.84,9.79,9.8,65643
1569957300000,9.81,9.81,9.77,9.785,62281
1569958200000,9.785,9.805,9.78,9.78,120599
1569959100000,9.785,9.79,9.71,9.72,295291
1570023000000,9.66,9.7,9.37,9.45,134414
1570023900000,9.44,9.515,9.32,9.35,102026
1570024800000,9.34,9.41,9.275,9.31,240803
1570025700000,9.31,9.465,9.2,9.22,226625
1570026600000,9.22,9.26,9.15,9.22,137422
1570027500000,9.2,9.225,9.06,9.075,226855
1570028400000,9.07,9.16,8.98,8.98,239702
1570029300000,8.985,9.03,8.92,8.925,137927
1570030200000,8.925,8.95,8.71,8.71,223187
1570031100000,8.71,8.77,8.5901,8.5901,211992
1570032000000,8.595,8.66,8.41,8.47,385410
1570032900000,8.47,8.649,8.47,8.575,143784
1570033800000,8.575,8.79,8.575,8.785,126303
1570034700000,8.7899,8.82,8.7,8.705,130509
1570035600000,8.7,8.72,8.645,8.71,112949
1570036500000,8.705,8.815,8.705,8.745,79936
1570037400000,8.75,8.75,8.67,8.695,92567
1570038300000,8.69,8.71,8.67,8.69,109832
1570039200000,8.695,8.73,8.65,8.655,90992
1570040100000,8.65,8.7227,8.64,8.705,72758
1570041000000,8.7,8.705,8.66,8.68,115629
