datetime,open,high,low,close,volume
1569504600000,21.05,21.05,21.05,21.05,577
1569505500000,20.91,20.91,20.61,20.61,3962
1569506400000,20.47,20.8518,20.17,20.2,2100
1569507300000,20.3,20.41,20.29,20.35,957
1569508200000,20.2,20.33,20.16,20.25,5319
1569509100000,20.2506,20.3377,20.02,20.24,5500
1569510000000,20.08,20.55,20.08,20.53,14529
1569510900000,20.48,20.49,20.48,20.48,5593
1569511800000,20.48,20.6,20.48,20.48,4934
1569512700000,20.62,20.82,20.48,20.51,21500
1569513600000,20.48,20.73,20.48,20.595,5504
1569514500000,20.69,20.72,20.5,20.72,2100
1569515400000,20.785,20.785,20.63,20.63,600
1569516300000,20.63,20.76,20.62,20.75,3300
1569517200000,20.61,20.69,20.594,20.594,1415
1569518100000,20.54,20.66,20.54,20.66,3530
1569519000000,20.7,20.84,20.69,20.81,1025
1569519900000,20.785,20.79,20.48,20.6,5915
1569520800000,20.72,20.73,20.6,20.71,10480
1569521700000,20.71,20.93,20.7,20.7,20312
1569522600000,20.7,20.73,20.42,20.48,5166
1569523500000,20.53,20.58,20.41,20.45,4600
1569524400000,20.41,20.53,20.29,20.475,32636
1569525300000,20.46,20.54,20.44,20.505,4920
1569526200000,20.45,20.53,20.37,20.44,6918
1569527100000,20.43,20.43,20.07,20.18,36828
1569591000000,20.0,20.355,20.0,20.355,2089
1569591900000,20.2,20.37,20.05,20.1,20595
1569592800000,20.36,20.41,20.07,20.11,2174
1569593700000,20.225,20.33,20.08,20.25,3000
1569594600000,20.39,20.59,20.315,20.59,800
1569595500000,20.595,20.595,20.595,20.595,100
1569596400000,20.6,20.69,20.47,20.6,1208
1569597300000,20.51,20.69,20.51,20.605,300
1569598200000,20.72,20.72,20.51,20.51,600
1569599100000,20.67,20.68,20.54,20.54,300
1569600000000,20.69,20.69,20.545,20.5801,1300
1569600900000,20.54,20.58,20.54,20.58,200
1569601800000,20.53,20.54,20.29,20.29,1900
1569602700000,20.28,20.28,20.27,20.27,200
1569603600000,20.25,20.47,20.11,20.25,4900
1569604500000,20.25,20.25,20.01,20.12,2600
1569605400000,20.075,20.1875,20.03,20.09,1200
1569606300000,20.03,20.25,20.01,20.06,5117
1569607200000,20.09,20.2,20.06,20.155,3517
1569608100000,20.12,20.2025,20.09,20.2025,21300
1569609000000,20.165,20.315,20.1,20.29,8805
1569609900000,20.2,20.365,20.2,20.365,500
1569610800000,20.22,20.32,20.11,20.32,14807
1569611700000,20.32,20.32,20.25,20.285,2711
1569612600000,20.285,20.47,20.18,20.23,14990
1569613500000,20.23,20.4,20.11,20.29,10289
1569850200000,20.25,20.25,20.0871,20.0871,466
1569851100000,20.48,20.5,20.045,20.045,12580
1569852000000,20.045,20.1,19.615,19.8,13739
1569852900000,19.88,20.05,19.75,19.765,6701
1569853800000,19.83,19.83,19.76,19.76,200
1569854700000,19.94,19.97,19.83,19.92,2845
1569855600000,19.865,19.9139,19.8516,19.86,762
1569856500000,19.9443,19.9443,19.75,19.84,8075
1569857400000,19.84,19.86,19.79,19.86,2300
1569859200000,19.78,19.78,19.78,19.78,200
1569861000000,19.86,19.86,19.86,19.86,5000
1569861900000,19.865,19.96,19.8027,19.88,31800
1569862800000,19.88,20.13,19.88,20.0,7172
1569863700000,20.0,20.09,19.98,20.0,7894
1569864600000,19.995,19.995,19.995,19.995,600
1569865500000,19.995,19.995,19.995,19.995,100
1569866400000,19.9,19.97,19.9,19.97,300
1569868200000,19.905,19.99,19.9,19.965,2200
1569869100000,20.01,20.08,20.01,20.08,200
1569870000000,20.05,20.08,20.0,20.0,2900
1569870900000,20.1,20.1,19.9608,19.9608,760
1569871800000,19.975,20.1,19.975,20.1,8626
1569872700000,20.0,20.06,19.89,19.94,12291
1569936600000,19.97,20.23,19.91,20.23,758
1569937500000,20.115,20.34,20.115,20.215,900
1569938400000,20.38,20.49,20.065,20.245,21303
