datetime,open,high,low,close,volume
1569504600000,6.99,7.02,6.955,6.97,17584
1569505500000,6.975,6.975,6.935,6.96,17479
1569506400000,6.96,6.965,6.92,6.92,8500
1569507300000,6.915,6.92,6.89,6.91,10820
1569508200000,6.91,6.91,6.86,6.86,18262
1569509100000,6.86,6.865,6.835,6.835,17659
1569510000000,6.835,6.84,6.805,6.815,16826
1569510900000,6.82,6.83,6.785,6.82,53636
1569511800000,6.82,6.8254,6.805,6.81,11999
1569512700000,6.815,6.8178,6.805,6.81,5780
1569513600000,6.8,6.85,6.8,6.825,12672
1569514500000,6.825,6.825,6.805,6.81,12099
1569515400000,6.8127,6.82,6.8,6.805,4889
1569516300000,6.805,6.81,6.8,6.805,3700
1569517200000,6.8,6.82,6.8,6.8062,12325
1569518100000,6.81,6.81,6.79,6.79,5400
1569519000000,6.8,6.815,6.8,6.805,12627
1569519900000,6.81,6.81,6.7944,6.795,1900
1569520800000,6.7944,6.805,6.79,6.8,11626
1569521700000,6.795,6.8,6.775,6.78,8652
1569522600000,6.78,6.79,6.77,6.785,9206
1569523500000,6.785,6.79,6.76,6.775,24984
1569524400000,6.775,6.8,6.77,6.795,16514
1569525300000,6.795,6.81,6.79,6.8,19954
1569526200000,6.8,6.815,6.79,6.795,23589
1569527100000,6.795,6.81,6.785,6.8,61997
1569591000000,6.81,6.83,6.76,6.795,31270
1569591900000,6.79,6.79,6.645,6.675,132543
1569592800000,6.675,6.7,6.67,6.6836,20174
1569593700000,6.68,6.7,6.67,6.7,10334
1569594600000,6.7,6.72,6.685,6.71,5500
1569595500000,6.72,6.72,6.705,6.72,8800
1569596400000,6.715,6.716,6.69,6.695,5700
1569597300000,6.69,6.69,6.665,6.665,18873
1569598200000,6.665,6.67,6.59,6.605,100423
1569599100000,6.605,6.64,6.6021,6.625,27416
1569600000000,6.625,6.63,6.59,6.62,50892
1569600900000,6.615,6.62,6.575,6.585,16644
1569601800000,6.58,6.58,6.5443,6.545,26729
1569602700000,6.55,6.56,6.52,6.52,37939
1569603600000,6.52,6.54,6.5,6.535,17243
1569604500000,6.535,6.54,6.52,6.52,16307
1569605400000,6.525,6.54,6.5,6.53,28604
1569606300000,6.525,6.55,6.515,6.545,4632
1569607200000,6.54,6.55,6.505,6.52,17919
1569608100000,6.52,6.52,6.5,6.5,22719
1569609000000,6.5,6.5,6.47,6.5,45707
1569609900000,6.495,6.495,6.46,6.485,13332
1569610800000,6.49,6.5,6.48,6.495,32617
1569611700000,6.495,6.53,6.4901,6.505,37280
1569612600000,6.51,6.54,6.51,6.535,33117
1569613500000,6.54,6.55,6.53,6.54,47915
1569850200000,6.58,6.58,6.49,6.51,24649
1569851100000,6.5156,6.54,6.495,6.505,19071
1569852000000,6.5,6.54,6.5,6.52,13350
1569852900000,6.5194,6.525,6.47,6.47,15274
1569853800000,6.4633,6.48,6.447,6.465,39740
1569854700000,6.465,6.5,6.465,6.5,10975
1569855600000,6.5,6.51,6.49,6.505,8224
1569856500000,6.505,6.55,6.5,6.55,30478
1569857400000,6.555,6.58,6.555,6.575,7884
1569858300000,6.575,6.58,6.55,6.565,27790
1569859200000,6.565,6.61,6.565,6.605,14245
1569860100000,6.605,6.63,6.6,6.625,20515
1569861000000,6.625,6.63,6.61,6.625,23942
1569861900000,6.625,6.63,6.61,6.61,10178
1569862800000,6.615,6.625,6.61,6.615,10613
1569863700000,6.615,6.62,6.61,6.615,14113
1569864600000,6.615,6.62,6.61,6.615,3704
1569865500000,6.615,6.63,6.61,6.625,9360
1569866400000,6.6201,6.63,6.615,6.625,13467
1569867300000,6.63,6.63,6.61,6.62,12771
1569868200000,6.615,6.615,6.6,6.61,6604
1569869100000,6.61,6.61,6.595,6.6,6815
1569870000000,6.595,6.61,6.595,6.605,11136
1569870900000,6.605,6.61,6.59,6.59,9595
