datetime,open,high,low,close,volume
1569504600000,28.29,28.4,28.09,28.37,3389
1569505500000,28.275,28.31,28.1405,28.1405,1595
1569506400000,28.19,28.27,28.13,28.165,3590
1569507300000,28.1,28.23,28.08,28.22,4227
1569508200000,28.22,28.22,27.86,27.995,23431
1569509100000,28.025,28.025,27.88,27.92,3604
1569510000000,27.95,27.95,27.815,27.83,2200
1569510900000,27.8,27.86,27.62,27.8,24098
1569511800000,27.8,27.95,27.78,27.91,2839
1569512700000,27.91,27.92,27.85,27.9,2720
1569513600000,27.87,28.0472,27.87,28.02,3945
1569514500000,28.04,28.06,28.0,28.03,2402
1569515400000,28.03,28.03,27.95,27.97,1000
1569516300000,27.95,27.975,27.915,27.94,4038
1569517200000,27.945,27.99,27.94,27.99,2767
1569518100000,28.01,28.02,27.94,27.96,5800
1569519000000,27.96,27.99,27.945,27.96,4205
1569519900000,27.96,28.0,27.92,28.0,3703
1569520800000,28.02,28.05,27.985,27.985,2325
1569521700000,27.985,28.07,27.985,28.045,3800
1569522600000,28.06,28.06,28.03,28.05,4621
1569523500000,28.05,28.06,28.03,28.03,4333
1569524400000,28.035,28.09,28.03,28.03,2720
1569525300000,28.015,28.07,28.0,28.045,6395
1569526200000,28.06,28.06,27.98,27.99,4925
1569527100000,27.99,28.03,27.9536,27.98,15913
1569591000000,27.95,28.1,27.68,27.985,3441
1569591900000,27.91,27.985,27.61,27.73,7674
1569592800000,27.73,27.78,27.5986,27.69,5578
1569593700000,27.675,27.7,27.63,27.66,4407
1569594600000,27.65,27.675,27.615,27.675,5993
1569595500000,27.67,27.82,27.65,27.82,4688
1569596400000,27.85,27.86,27.76,27.86,16054
1569597300000,27.87,27.93,27.82,27.83,4392
1569598200000,27.805,27.805,27.575,27.65,6679
1569599100000,27.62,27.82,27.62,27.745,4748
1569600000000,27.73,27.77,27.65,27.72,2911
1569600900000,27.78,27.78,27.65,27.685,5833
1569601800000,27.66,27.69,27.55,27.55,3938
1569602700000,27.54,27.54,27.29,27.29,9721
1569603600000,27.3,27.41,27.2332,27.27,8696
1569604500000,27.25,27.33,27.25,27.31,5422
1569605400000,27.3,27.5,27.27,27.465,6360
1569606300000,27.45,27.55,27.43,27.51,2100
1569607200000,27.51,27.51,27.19,27.25,8573
1569608100000,27.27,27.28,27.23,27.24,4509
1569609000000,27.24,27.24,27.16,27.22,6560
1569609900000,27.22,27.24,27.08,27.23,6214
1569610800000,27.21,27.26,27.18,27.19,3025
1569611700000,27.19,27.2825,27.19,27.24,9811
1569612600000,27.22,27.25,27.14,27.2,10319
1569613500000,27.2,27.28,27.2,27.24,22399
1569850200000,27.37,27.49,27.18,27.49,5580
1569851100000,27.5,27.73,27.5,27.7,5414
