datetime,open,high,low,close,volume
1569504600000,1.63,1.6336,1.6,1.61,9543
1569505500000,1.61,1.64,1.61,1.625,6850
1569506400000,1.64,1.64,1.62,1.62,2571
1569507300000,1.62,1.62,1.6,1.6,2011
1569508200000,1.6,1.61,1.6,1.6,3000
1569509100000,1.6,1.62,1.6,1.61,2100
1569510000000,1.6,1.61,1.585,1.59,9533
1569510900000,1.59,1.6,1.585,1.59,3375
1569511800000,1.59,1.6,1.59,1.59,2005
1569512700000,1.59,1.6,1.57,1.6,130352
1569513600000,1.6,1.61,1.59,1.59,3100
1569514500000,1.585,1.59,1.57,1.57,3900
1569515400000,1.59,1.59,1.555,1.56,39527
1569516300000,1.57,1.58,1.55,1.5501,10627
1569517200000,1.55,1.57,1.55,1.5699,2500
1569518100000,1.56,1.57,1.55,1.55,2348
1569519000000,1.55,1.57,1.54,1.54,9242
1569519900000,1.55,1.56,1.54,1.5575,4294
1569520800000,1.55,1.56,1.53,1.53,14583
1569521700000,1.5399,1.56,1.52,1.56,5500
1569522600000,1.5799,1.58,1.56,1.58,2082
1569523500000,1.5799,1.58,1.56,1.56,2000
1569524400000,1.56,1.58,1.56,1.58,2370
1569525300000,1.56,1.58,1.56,1.5799,3000
1569526200000,1.56,1.58,1.55,1.55,3712
1569527100000,1.56,1.57,1.53,1.55,7613
1569591000000,1.55,1.59,1.55,1.59,1635
1569591900000,1.5765,1.59,1.5765,1.58,700
1569592800000,1.57,1.6,1.57,1.6,500
1569593700000,1.57,1.6,1.53,1.56,45548
1569594600000,1.56,1.58,1.56,1.58,2600
1569595500000,1.56,1.62,1.56,1.61,4774
1569596400000,1.61,1.6124,1.61,1.61,1469
1569597300000,1.62,1.62,1.6,1.6,900
1569598200000,1.62,1.62,1.58,1.585,5461
1569599100000,1.58,1.61,1.58,1.61,3200
1569600000000,1.595,1.595,1.57,1.57,600
1569600900000,1.5815,1.5815,1.57,1.58,300
1569601800000,1.57,1.575,1.56,1.57,3690
1569602700000,1.56,1.58,1.56,1.58,1600
1569603600000,1.5501,1.57,1.55,1.57,1194
