datetime,open,high,low,close,volume
1569504600000,18.23,18.27,17.69,17.88,33785
1569505500000,17.91,17.99,17.89,17.91,7839
1569506400000,17.93,18.09,17.93,18.09,13455
1569507300000,18.04,18.1,17.97,18.04,10221
1569508200000,18.03,18.12,18.02,18.12,7800
1569509100000,18.11,18.15,18.08,18.11,8098
1569510000000,18.09,18.09,18.0,18.015,11282
1569510900000,18.02,18.03,17.86,17.88,16091
1569511800000,17.875,17.88,17.79,17.79,13178
1569512700000,17.79,17.81,17.77,17.78,8469
1569513600000,17.78,17.94,17.77,17.93,12562
1569514500000,17.93,17.96,17.85,17.95,15075
1569515400000,17.95,18.02,17.945,17.995,11540
1569516300000,18.0,18.03,17.95,17.955,7805
1569517200000,17.96,17.96,17.88,17.92,10614
1569518100000,17.93,17.93,17.84,17.8608,5560
1569519000000,17.87,17.91,17.83,17.88,10673
1569519900000,17.89,17.95,17.885,17.94,12723
1569520800000,17.96,18.02,17.94,18.02,10174
1569521700000,18.01,18.02,17.965,17.965,9986
1569522600000,17.965,17.97,17.94,17.95,9814
1569523500000,17.95,18.01,17.95,18.01,10470
1569524400000,18.0,18.05,17.995,18.03,18041
1569525300000,18.035,18.115,18.02,18.09,13230
1569526200000,18.09,18.145,18.065,18.095,29360
1569527100000,18.095,18.1,18.01,18.01,69641
1569591000000,18.17,18.29,17.99,18.28,16506
1569591900000,18.31,18.37,18.21,18.26,8381
1569592800000,18.24,18.264,18.11,18.12,11693
1569593700000,18.125,18.2,18.12,18.15,10138
1569594600000,18.15,18.27,18.15,18.15,10416
1569595500000,18.15,18.15,18.07,18.08,8776
1569596400000,18.09,18.13,18.01,18.02,12786
1569597300000,18.02,18.02,17.915,17.94,35356
1569598200000,17.94,17.95,17.71,17.815,23717
1569599100000,17.81,17.9,17.75,17.9,44175
1569600000000,17.9,17.92,17.82,17.92,13902
1569600900000,17.92,17.96,17.88,17.9,8844
1569601800000,17.88,17.93,17.86,17.92,8623
1569602700000,17.92,17.92,17.77,17.79,12567
1569603600000,17.79,17.88,17.78,17.88,8825
1569604500000,17.88,17.88,17.85,17.88,8941
1569605400000,17.89,17.9,17.865,17.89,7616
1569606300000,17.89,17.89,17.84,17.87,11922
1569607200000,17.87,17.92,17.85,17.915,13116
1569608100000,17.915,17.94,17.89,17.89,13053
1569609000000,17.895,17.895,17.87,17.89,9970
1569609900000,17.88,17.88,17.82,17.825,10510
1569610800000,17.82,17.84,17.795,17.835,20646
1569611700000,17.835,17.89,17.835,17.87,14290
