datetime,open,high,low,close,volume
1569504600000,12.55,12.55,12.41,12.42,2566
1569505500000,12.425,12.425,12.36,12.36,800
1569506400000,12.39,12.42,12.28,12.3,1940
1569507300000,12.25,12.25,12.13,12.185,4075
1569508200000,12.19,12.28,12.19,12.28,4333
1569509100000,12.28,12.29,12.17,12.17,8067
1569510000000,12.195,12.195,12.15,12.195,4348
1569510900000,12.19,12.19,12.13,12.13,1150
1569511800000,12.17,12.21,12.16,12.2,2168
1569512700000,12.2,12.21,12.19,12.21,1000
1569513600000,12.2,12.21,12.15,12.16,8245
1569514500000,12.1605,12.1605,12.09,12.16,9482
1569515400000,12.175,12.18,12.16,12.1759,3009
1569516300000,12.17,12.1936,12.16,12.175,2420
1569517200000,12.18,12.18,12.1399,12.15,1810
1569518100000,12.16,12.16,12.12,12.15,1686
1569519000000,12.15,12.2,12.15,12.18,3229
1569519900000,12.2,12.22,12.18,12.215,2200
1569520800000,12.23,12.24,12.18,12.225,4100
1569521700000,12.26,12.26,12.22,12.22,607
1569522600000,12.21,12.22,12.2,12.21,1400
1569523500000,12.2,12.22,12.2,12.21,2008
1569524400000,12.21,12.22,12.19,12.205,2303
1569525300000,12.21,12.23,12.19,12.22,5792
1569526200000,12.23,12.26,12.2,12.21,11574
1569527100000,12.22,12.25,12.19,12.2,48013
1569591000000,12.24,12.37,12.126,12.33,14004
1569591900000,12.39,12.39,12.18,12.195,3000
1569592800000,12.17,12.17,12.07,12.13,6729
1569593700000,12.09,12.23,12.09,12.22,2574
1569594600000,12.23,12.28,12.2,12.2,4143
1569595500000,12.1811,12.23,12.1811,12.2,5311
1569596400000,12.21,12.24,12.21,12.23,1033
1569597300000,12.22,12.24,12.2,12.24,5370
1569598200000,12.21,12.22,12.05,12.0862,8087
1569599100000,12.05,12.16,12.05,12.16,2538
1569600000000,12.13,12.18,12.12,12.18,3597
1569600900000,12.16,12.17,12.1126,12.145,5594
1569601800000,12.13,12.145,12.12,12.12,1900
1569602700000,12.1,12.1,12.01,12.02,3871
1569603600000,12.03,12.075,12.02,12.07,2200
1569604500000,12.08,12.08,12.07,12.07,2406
1569605400000,12.065,12.065,12.03,12.06,3608
1569606300000,12.05,12.09,12.02,12.08,7257
1569607200000,12.08,12.11,12.06,12.1,4185
1569608100000,12.12,12.135,12.1,12.11,2563
1569609000000,12.1,12.1,12.07,12.09,3531
1569609900000,12.08,12.08,12.06,12.06,3578
1569610800000,12.06,12.07,12.03,12.0699,8598
1569611700000,12.065,12.085,12.05,12.0799,5501
1569612600000,12.07,12.12,12.07,12.1,19049
1569613500000,12.1,12.135,12.05,12.12,65048
1569850200000,12.15,12.24,12.04,12.2379,14896
1569851100000,12.23,12.2899,12.16,12.21,10650
1569852000000,12.21,12.23,12.1352,12.205,3975
1569852900000,12.2081,12.28,12.2081,12.225,5560
1569853800000,12.2275,12.27,12.2275,12.23,2925
1569854700000,12.21,12.245,12.18,12.2275,7056
1569855600000,12.22,12.38,12.22,12.3223,15993
1569856500000,12.3398,12.3864,12.2945,12.385,3969
1569857400000,12.37,12.497,12.33,12.47,11596
1569858300000,12.46,12.46,12.39,12.41,3652
