datetime,open,high,low,close,volume
1569504600000,10.7,10.7,10.565,10.565,1855
1569506400000,10.59,10.59,10.505,10.505,3200
1569507300000,10.5,10.5,10.42,10.47,2100
1569508200000,10.49,10.49,10.46,10.46,400
1569509100000,10.46,10.46,10.3611,10.365,6114
1569510000000,10.37,10.39,10.34,10.39,2200
1569510900000,10.38,10.44,10.37,10.44,3400
1569511800000,10.47,10.54,10.45,10.51,1205
1569512700000,10.49,10.53,10.49,10.495,1400
1569513600000,10.49,10.49,10.47,10.47,500
1569514500000,10.45,10.47,10.44,10.45,1200
1569515400000,10.43,10.46,10.41,10.41,1000
1569516300000,10.42,10.42,10.38,10.38,300
1569517200000,10.4,10.4,10.37,10.38,2964
1569518100000,10.36,10.36,10.34,10.34,400
1569519000000,10.37,10.38,10.37,10.38,600
1569519900000,10.35,10.38,10.34,10.38,500
1569520800000,10.4,10.42,10.36,10.4,1780
1569521700000,10.43,10.45,10.4,10.4,1600
1569522600000,10.39,10.42,10.39,10.39,1100
1569523500000,10.38,10.395,10.35,10.36,2955
1569524400000,10.36,10.42,10.36,10.41,4709
1569525300000,10.4,10.43,10.4,10.42,2600
1569526200000,10.41,10.49,10.41,10.48,6111
1569527100000,10.47,10.47,10.43,10.43,7635
1569591000000,10.36,10.48,10.36,10.48,2394
1569591900000,10.5,10.5,10.34,10.34,1396
1569592800000,10.34,10.34,10.23,10.23,1870
1569593700000,10.235,10.4,10.235,10.4,6823
1569594600000,10.41,10.43,10.32,10.42,9018
1569595500000,10.405,10.405,10.34,10.34,1400
1569596400000,10.33,10.37,10.29,10.29,6178
1569597300000,10.31,10.34,10.31,10.32,900
1569598200000,10.33,10.37,10.27,10.27,2600
1569599100000,10.32,10.36,10.27,10.35,4116
1569600000000,10.31,10.38,10.31,10.32,1000
1569600900000,10.32,10.32,10.23,10.23,3433
1569601800000,10.21,10.28,10.21,10.26,5700
1569602700000,10.26,10.26,10.205,10.22,4477
1569603600000,10.22,10.36,10.22,10.34,2438
1569604500000,10.32,10.32,10.272,10.29,2552
1569605400000,10.27,10.275,10.26,10.275,400
1569606300000,10.275,10.285,10.245,10.285,4879
1569607200000,10.28,10.28,10.23,10.25,2280
1569608100000,10.28,10.28,10.21,10.21,1476
1569609000000,10.21,10.21,10.18,10.18,1100
1569609900000,10.17,10.22,10.16,10.21,3500
1569610800000,10.21,10.22,10.18,10.19,2200
1569611700000,10.19,10.25,10.19,10.24,1768
1569612600000,10.22,10.24,10.21,10.21,2318
1569613500000,10.21,10.23,10.21,10.21,7423
1569850200000,10.24,10.24,10.1,10.125,4877
1569851100000,10.16,10.16,10.05,10.06,9801
1569852000000,10.055,10.13,10.05,10.07,2653
1569852900000,10.08,10.09,10.05,10.06,2105
1569853800000,10.08,10.08,10.05,10.06,10330
1569854700000,10.055,10.09,10.055,10.08,3800
1569855600000,10.1,10.1,10.06,10.08,4500
1569856500000,10.08,10.09,10.07,10.085,3100
1569857400000,10.08,10.145,10.06,10.145,4200
1569858300000,10.13,10.13,10.11,10.11,1271
1569859200000,10.11,10.12,10.07,10.12,5551
1569860100000,10.1,10.13,10.1,10.11,900
1569861000000,10.09,10.1,10.09,10.1,1400
1569861900000,10.09,10.11,10.09,10.1,1762
1569862800000,10.1,10.12,10.08,10.08,1152
1569863700000,10.08,10.1,10.07,10.08,2900
1569864600000,10.097,10.097,10.08,10.09,3000
1569865500000,10.1,10.16,10.09,10.16,3261
1569866400000,10.16,10.1836,10.15,10.16,7136
