datetime,open,high,low,close,volume
1569504600000,22.22,22.82,22.13,22.29,25791
1569505500000,22.34,22.46,22.34,22.41,3600
1569506400000,22.42,22.58,22.41,22.55,6246
1569507300000,22.54,22.66,22.49,22.66,6068
1569508200000,22.64,22.66,22.42,22.43,52978
1569509100000,22.42,22.495,22.37,22.39,23504
1569510000000,22.375,22.41,22.28,22.4,11082
1569510900000,22.39,22.4,22.34,22.375,5152
1569511800000,22.36,22.48,22.36,22.44,3808
1569512700000,22.45,22.5,22.43,22.48,3846
1569513600000,22.48,22.53,22.455,22.47,15586
1569514500000,22.47,22.5,22.43,22.5,18874
1569515400000,22.51,22.53,22.48,22.53,3901
1569516300000,22.52,22.52,22.44,22.47,3642
1569517200000,22.475,22.48,22.44,22.45,2900
1569518100000,22.44,22.44,22.38,22.39,4835
1569519000000,22.38,22.5,22.37,22.5,89017
1569519900000,22.49,22.5,22.43,22.475,10064
1569520800000,22.49,22.615,22.49,22.61,4153
1569521700000,22.6,22.65,22.6,22.61,3845
1569522600000,22.63,22.67,22.63,22.67,2700
1569523500000,22.66,22.665,22.6048,22.6048,4073
1569524400000,22.64,22.68,22.63,22.67,5321
1569525300000,22.67,22.75,22.66,22.73,8770
1569526200000,22.73,22.73,22.63,22.63,10481
1569527100000,22.635,22.64,22.48,22.5,94949
1569591000000,22.42,22.77,22.3,22.695,7416
1569591900000,22.675,22.73,22.42,22.5,8802
1569592800000,22.5,22.5,22.43,22.45,6077
1569593700000,22.43,22.52,22.36,22.39,4233
1569594600000,22.38,22.39,22.3,22.31,7088
1569595500000,22.33,22.695,22.2868,22.695,54681
1569596400000,22.7,22.75,22.65,22.68,8291
1569597300000,22.685,22.79,22.67,22.73,8729
1569598200000,22.74,22.76,22.41,22.53,11375
1569599100000,22.53,22.7,22.49,22.61,5125
1569600000000,22.55,22.7,22.55,22.655,6895
1569600900000,22.66,22.66,22.54,22.55,13047
1569601800000,22.56,22.57,22.51,22.51,6509
1569602700000,22.48,22.51,22.34,22.34,7060
1569603600000,22.31,22.43,22.31,22.43,3460
1569604500000,22.41,22.42,22.37,22.4,3584
1569605400000,22.43,22.43,22.33,22.37,4092
1569606300000,22.3718,22.41,22.31,22.41,3843
1569607200000,22.4,22.41,22.33,22.33,3597
1569608100000,22.35,22.36,22.24,22.26,7008
1569609000000,22.25,22.32,22.25,22.29,4139
1569609900000,22.27,22.27,22.17,22.2,4310
1569610800000,22.2,22.225,22.15,22.175,5863
1569611700000,22.19,22.28,22.19,22.24,6417
1569612600000,22.24,22.26,22.22,22.23,6123
1569613500000,22.235,22.29,22.2,22.29,32100
1569850200000,22.54,22.66,22.48,22.63,8650
1569851100000,22.63,22.66,22.54,22.57,6200
1569852000000,22.6,22.61,22.46,22.475,8147
1569852900000,22.5,22.515,22.395,22.44,4415
1569853800000,22.42,22.44,22.3,22.34,6017
1569854700000,22.35,22.45,22.34,22.43,13501
1569855600000,22.43,22.46,22.3663,22.375,6883
1569856500000,22.395,22.43,22.35,22.39,8704
1569857400000,22.41,22.43,22.37,22.43,7147
1569858300000,22.43,22.45,22.385,22.45,3250
1569859200000,22.45,22.475,22.33,22.37,32026
1569860100000,22.355,22.5,22.355,22.5,47061
1569861000000,22.5,22.55,22.35,22.37,67814
1569861900000,22.36,22.53,22.36,22.48,33928
1569862800000,22.48,22.51,22.455,22.48,14300
1569863700000,22.49,22.57,22.48,22.51,24133
1569864600000,22.505,22.52,22.48,22.49,10111
1569865500000,22.5,22.525,22.47,22.49,26793
1569866400000,22.5,22.525,22.5,22.52,11905
1569867300000,22.52,22.52,22.43,22.46,27708
1569868200000,22.47,22.52,22.4,22.49,16599
1569869100000,22.5,22.5,22.45,22.49,16119
