datetime,open,high,low,close,volume
1569504600000,5.3,5.45,5.3,5.3262,16289
1569505500000,5.34,5.4499,5.34,5.385,11988
1569506400000,5.38,5.43,5.38,5.39,5464
1569507300000,5.4,5.43,5.4,5.4,5461
1569508200000,5.38,5.41,5.37,5.4,3922
1569509100000,5.37,5.37,5.275,5.275,2957
1569510000000,5.26,5.2847,5.24,5.27,7052
1569510900000,5.27,5.27,5.23,5.25,6036
1569511800000,5.25,5.27,5.21,5.23,1732
1569512700000,5.225,5.23,5.21,5.23,2700
1569513600000,5.23,5.24,5.2127,5.24,3100
1569514500000,5.25,5.26,5.25,5.26,1506
1569515400000,5.27,5.27,5.24,5.24,3555
1569516300000,5.22,5.24,5.2,5.24,3802
1569517200000,5.225,5.24,5.225,5.24,1100
1569518100000,5.225,5.225,5.18,5.2,4980
1569519000000,5.2,5.26,5.19,5.23,12487
1569519900000,5.23,5.25,5.2,5.25,3814
1569520800000,5.25,5.33,5.25,5.33,13386
1569521700000,5.33,5.39,5.32,5.33,17117
1569522600000,5.33,5.335,5.3,5.3,1200
1569523500000,5.315,5.315,5.28,5.31,2524
1569524400000,5.31,5.31,5.3,5.3,1400
1569525300000,5.28,5.3,5.24,5.24,12384
1569526200000,5.255,5.271,5.2202,5.271,10493
1569527100000,5.25,5.28,5.23,5.23,11340
1569591000000,5.27,5.324,5.22,5.29,5443
1569591900000,5.34,5.39,5.285,5.36,15336
1569592800000,5.365,5.42,5.365,5.39,2500
1569593700000,5.4,5.425,5.395,5.405,5182
1569594600000,5.41,5.44,5.38,5.4,10194
1569595500000,5.4,5.44,5.38,5.42,3801
1569596400000,5.415,5.425,5.35,5.35,111883
1569597300000,5.355,5.395,5.34,5.39,5910
1569598200000,5.385,5.4,5.34,5.35,4843
1569599100000,5.34,5.36,5.28,5.29,5043
1569600000000,5.29,5.3,5.27,5.27,3982
1569600900000,5.275,5.275,5.26,5.26,1733
1569601800000,5.25,5.25,5.23,5.23,1200
1569602700000,5.23,5.23,5.17,5.17,14094
1569603600000,5.18,5.19,5.11,5.12,13721
1569604500000,5.115,5.14,5.115,5.14,4500
1569605400000,5.12,5.22,5.11,5.22,21566
1569606300000,5.19,5.23,5.19,5.22,7998
1569607200000,5.22,5.23,5.195,5.2,8657
1569608100000,5.2,5.2,5.17,5.185,1551
1569609000000,5.185,5.19,5.17,5.17,1900
1569609900000,5.18,5.18,5.11,5.125,42359
1569610800000,5.135,5.15,5.1282,5.14,1242
1569611700000,5.12,5.14,5.1,5.12,7406
1569612600000,5.13,5.17,5.08,5.14,345303
1569613500000,5.15,5.23,5.14,5.2,32839
1569850200000,5.2,5.285,5.2,5.245,18004
1569851100000,5.265,5.265,5.18,5.19,43314
1569852000000,5.19,5.22,5.15,5.165,134725
1569852900000,5.165,5.18,5.15,5.155,10459
1569853800000,5.16,5.17,5.12,5.145,6983
1569854700000,5.145,5.18,5.12,5.145,8345
1569855600000,5.145,5.15,5.05,5.05,14475
1569856500000,5.05,5.07,5.04,5.07,27998
1569857400000,5.075,5.11,5.07,5.1,3078
1569858300000,5.09,5.12,5.07,5.07,5335
1569859200000,5.07,5.07,5.055,5.055,3518
1569860100000,5.05,5.05,5.03,5.0481,12662
1569861000000,5.04,5.055,5.02,5.055,6459
1569861900000,5.045,5.055,5.04,5.0481,2089
1569862800000,5.04,5.055,5.04,5.05,4156
1569863700000,5.06,5.075,5.06,5.06,5495
1569864600000,5.06,5.12,5.06,5.115,19228
1569865500000,5.13,5.16,5.115,5.13,2862
1569866400000,5.14,5.1483,5.11,5.13,12135
1569867300000,5.14,5.15,5.13,5.14,2600
1569868200000,5.13,5.13,5.1,5.125,4511
1569869100000,5.11,5.1125,5.08,5.08,4697
1569870000000,5.08,5.09,5.04,5.05,36840
1569870900000,5.05,5.17,5.0445,5.15,37698
1569871800000,5.145,5.26,5.145,5.22,172812
1569872700000,5.225,5.24,5.17,5.2,129686
1569936600000,5.17,5.27,5.17,5.23,10054
1569937500000,5.23,5.375,5.23,5.33,18715
1569938400000,5.34,5.36,5.25,5.26,6864
1569939300000,5.3,5.37,5.29,5.36,5200
1569940200000,5.33,5.39,5.315,5.39,18239
1569941100000,5.38,5.38,5.29,5.29,2200
1569942000000,5.27,5.34,5.265,5.27,5050
1569942900000,5.27,5.3,5.26,5.26,8503
1569943800000,5.26,5.3,5.26,5.27,7580
1569944700000,5.27,5.29,5.22,5.28,20312
1569945600000,5.275,5.275,5.215,5.22,5212
1569946500000,5.21,5.23,5.2,5.21,4500
1569947400000,5.23,5.24,5.2,5.2075,6618
1569948300000,5.2,5.205,5.2,5.2,5146
1569949200000,5.2,5.205,5.15,5.15,4700
1569950100000,5.15,5.15,5.11,5.12,8208
1569951000000,5.115,5.185,5.1,5.185,9212
1569951900000,5.17,5.17,5.12,5.135,6477
1569952800000,5.13,5.13,5.12,5.13,4500
1569953700000,5.13,5.14,5.11,5.12,3526
1569954600000,5.12,5.18,5.12,5.17,4504
1569955500000,5.18,5.18,5.165,5.17,2400
1569956400000,5.165,5.17,5.125,5.135,4864
1569957300000,5.11,5.11,5.03,5.07,22345
1569958200000,5.06,5.06,5.01,5.03,12645
1569959100000,5.035,5.04,4.94,4.98,64947
1570023000000,4.94,4.94,4.81,4.9113,16240
1570023900000,4.895,4.9,4.8,4.8219,27016
1570024800000,4.83,4.905,4.81,4.88,15301
1570025700000,4.8822,5.0,4.84,5.0,104708
