datetime,open,high,low,close,volume
1569504600000,0.625,0.639,0.625,0.6341,40274
1569505500000,0.6341,0.6343,0.626243,0.6341,32315
1569506400000,0.634,0.634,0.627,0.6297,49957
1569507300000,0.6308,0.63165,0.627,0.627,3165
1569508200000,0.6292,0.63201,0.627,0.632,36853
1569509100000,0.632,0.632,0.63,0.6315,58550
1569510000000,0.6315,0.6315,0.626,0.6275,18762
1569510900000,0.625,0.630105,0.625,0.63,9308
1569511800000,0.63,0.6314,0.625,0.63,18590
1569512700000,0.63,0.6323,0.625,0.6323,52079
1569513600000,0.63,0.632,0.63,0.63,17825
1569514500000,0.63,0.6337,0.63,0.63,9100
1569515400000,0.63,0.6336,0.63,0.630111,5320
1569516300000,0.6319,0.6319,0.63,0.6305,3700
1569517200000,0.6305,0.6315,0.6305,0.6305,2487
1569518100000,0.6305,0.63205,0.621,0.6254,99994
1569519000000,0.6251,0.626,0.622,0.622,5800
1569519900000,0.622,0.626,0.6211,0.6258,17353
1569520800000,0.6211,0.626,0.62,0.62,69435
1569521700000,0.6201,0.6218,0.62,0.6205,79200
1569522600000,0.62,0.62677,0.62,0.6259,23862
1569523500000,0.6259,0.6259,0.621,0.621,2756
1569524400000,0.6237,0.624,0.6214,0.6214,4774
1569525300000,0.62465,0.6268,0.6214,0.6238,21396
1569526200000,0.6241,0.626399,0.622,0.625,22130
1569527100000,0.622,0.62615,0.622,0.6241,7544
1569591000000,0.62,0.63,0.62,0.6251,110324
1569591900000,0.6252,0.63,0.625,0.628366,29782
1569592800000,0.621,0.6242,0.6151,0.6151,111542
1569593700000,0.621268,0.6231,0.6151,0.6178,16908
1569594600000,0.6205,0.6207,0.6148,0.618,48472
1569595500000,0.6171,0.6191,0.6165,0.6165,20577
1569596400000,0.6169,0.617,0.615,0.6168,49570
1569597300000,0.6169,0.616955,0.6125,0.6125,22568
1569598200000,0.613,0.6169,0.613,0.6149,1825
1569599100000,0.6149,0.6168,0.6125,0.615,13980
1569600000000,0.615,0.6156,0.6126,0.6126,3300
1569600900000,0.6125,0.616,0.6116,0.6116,33384
1569601800000,0.6112,0.6113,0.6103,0.6103,27833
1569602700000,0.6101,0.6101,0.6031,0.6099,97090
1569603600000,0.6099,0.61,0.6065,0.6065,16418
1569604500000,0.6065,0.6099,0.6065,0.6097,13950
1569605400000,0.6098,0.6104,0.6096,0.61015,101291
1569606300000,0.6103,0.6103,0.6095,0.6103,6709
1569607200000,0.61015,0.610276,0.6095,0.61,2965
1569608100000,0.6095,0.6103,0.6065,0.61,25745
1569609000000,0.61,0.61,0.6065,0.6097,20335
1569609900000,0.6098,0.6102,0.6065,0.6095,12454
1569610800000,0.6067,0.61,0.6065,0.6091,49574
1569611700000,0.6093,0.6103,0.6065,0.6086,64188
1569612600000,0.6086,0.6124,0.6065,0.6083,98263
1569613500000,0.60681,0.61,0.601,0.6028,331231
1569850200000,0.601,0.61,0.6,0.602,164899
1569851100000,0.602,0.6028,0.591,0.6,507146
1569852000000,0.5911,0.6019,0.5804,0.583,210161
