datetime,open,high,low,close,volume
1591968600000,4.94,4.95,4.8,4.925,326868
1591969500000,4.93,4.935,4.83,4.865,142037
1591970400000,4.87,4.895,4.85,4.8501,123874
1591971300000,4.85,4.88,4.834,4.834,73373
1591972200000,4.835,4.8499,4.8,4.8499,92768
1591973100000,4.845,4.8731,4.78,4.78,96588
1591974000000,4.7899,4.8313,4.75,4.77,118465
1591974900000,4.765,4.78,4.72,4.75,117242
1591975800000,4.7553,4.8,4.74,4.7701,93664
1591976700000,4.7787,4.84,4.7701,4.8385,93024
1591977600000,4.84,4.85,4.8158,4.8158,66273
1591978500000,4.82,4.86,4.81,4.8551,131898
1591979400000,4.85,4.86,4.8413,4.85,40028
1591980300000,4.85,4.88,4.85,4.8701,51750
1591981200000,4.8787,4.88,4.82,4.8413,54989
1591982100000,4.845,4.8653,4.84,4.85,34586
1591983000000,4.85,4.855,4.82,4.82,37536
1591983900000,4.82,4.82,4.77,4.77,86328
1591984800000,4.77,4.815,4.77,4.7901,64664
1591985700000,4.78,4.8187,4.78,4.8113,50469
1591986600000,4.82,4.85,4.82,4.832,63602
1591987500000,4.835,4.865,4.83,4.85,152233
1591988400000,4.85,4.865,4.841,4.855,53627
1591989300000,4.8583,4.8599,4.81,4.8257,64483
1591990200000,4.8269,4.85,4.81,4.845,154939
1591991100000,4.845,4.88,4.84,4.88,235478
