datetime,open,high,low,close,volume
1569504600000,24.55,24.61,24.27,24.5,7744
1569505500000,24.48,24.48,24.29,24.365,1700
1569506400000,24.36,24.4,24.32,24.4,1100
1569507300000,24.41,24.41,24.27,24.38,3500
1569508200000,24.36,24.42,24.34,24.42,800
1569509100000,24.38,24.48,24.3,24.3,1200
1569510000000,24.37,24.41,24.33,24.33,1100
1569510900000,24.34,24.38,24.26,24.26,941
1569511800000,24.36,24.46,24.34,24.41,1331
1569512700000,24.45,24.45,24.3,24.3,2250
1569513600000,24.41,24.41,24.34,24.34,787
1569514500000,24.36,24.41,24.31,24.37,1600
1569515400000,24.4,24.45,24.4,24.44,630
1569516300000,24.4,24.43,24.37,24.37,2100
1569517200000,24.37,24.47,24.315,24.35,4928
1569518100000,24.33,24.35,24.31,24.325,1500
1569519000000,24.36,24.36,24.31,24.325,3646
1569519900000,24.3205,24.374,24.3205,24.365,3276
1569520800000,24.39,24.44,24.38,24.43,2300
1569521700000,24.42,24.56,24.41,24.51,4291
1569522600000,24.51,24.51,24.38,24.38,2859
1569523500000,24.43,24.43,24.29,24.29,8175
1569524400000,24.34,24.35,24.32,24.33,921
1569525300000,24.36,24.36,24.27,24.32,5342
1569526200000,24.35,24.42,24.32,24.32,4528
1569527100000,24.36,24.47,24.27,24.32,18566
1569591000000,23.9,24.4,23.9,24.1939,11034
1569591900000,24.24,24.24,24.06,24.12,3360
1569592800000,24.1,24.16,24.02,24.105,4600
1569593700000,24.15,24.15,24.12,24.12,500
1569594600000,24.08,24.18,24.07,24.07,2390
1569595500000,24.07,24.165,24.05,24.11,2294
1569596400000,24.14,24.2,24.09,24.145,10300
1569597300000,24.17,24.17,24.1,24.15,2725
1569598200000,24.1,24.15,23.97,23.98,9184
1569599100000,23.97,24.075,23.93,23.975,3424
1569600000000,23.9,24.06,23.9,24.04,2034
1569600900000,23.97,24.2,23.95,24.165,2841
1569601800000,24.12,24.16,24.04,24.1,9217
1569602700000,24.13,24.2665,24.095,24.185,11165
1569603600000,24.17,24.21,24.1533,24.16,3325
1569604500000,24.17,24.26,24.14,24.14,9492
1569605400000,24.18,24.2,24.12,24.18,1830
1569606300000,24.16,24.21,24.15,24.17,1935
1569607200000,24.17,24.2,24.11,24.17,2900
1569608100000,24.18,24.2,24.11,24.18,1717
1569609000000,24.16,24.2,24.06,24.11,8046
1569609900000,24.15,24.1697,24.04,24.04,12458
1569610800000,24.08,24.1295,24.06,24.065,3481
1569611700000,24.12,24.185,24.12,24.16,4120
1569612600000,24.13,24.18,24.09,24.12,4126
1569613500000,24.14,24.28,24.12,24.16,28564
1569850200000,24.18,24.18,24.095,24.15,1046
1569851100000,24.2811,24.2811,24.2811,24.2811,100
1569852000000,24.25,24.31,24.16,24.31,1350
1569852900000,24.27,24.48,24.265,24.265,2900
1569853800000,24.29,24.3166,24.16,24.2,4000
1569854700000,24.16,24.36,24.16,24.225,9266
1569855600000,24.19,24.22,24.19,24.22,200
1569856500000,24.15,24.15,24.06,24.1225,4879
1569857400000,24.12,24.12,24.1,24.1,300
1569858300000,24.07,24.12,24.04,24.09,3611
1569859200000,24.06,24.12,24.06,24.12,772
1569860100000,24.06,24.16,24.05,24.11,1149
1569861000000,24.17,24.19,24.07,24.07,3637
1569861900000,24.105,24.14,24.08,24.09,1700
1569862800000,24.1,24.17,24.09,24.13,2990
1569863700000,24.11,24.1101,24.11,24.1101,672
1569864600000,24.12,24.22,24.1,24.22,3600
1569865500000,24.21,24.28,24.21,24.28,681
1569866400000,24.21,24.32,24.21,24.32,3168
1569867300000,24.3,24.31,24.22,24.24,2400
1569868200000,24.25,24.33,24.22,24.22,1500
1569869100000,24.2,24.2,24.13,24.13,885
1569870000000,24.13,24.13,24.13,24.13,100
1569870900000,24.16,24.25,24.16,24.24,300
1569871800000,24.25,24.315,24.21,24.265,19655
1569872700000,24.25,24.265,24.06,24.1,39059
1569936600000,24.27,24.36,24.15,24.36,943
1569937500000,24.305,24.305,24.21,24.21,900
1569938400000,24.38,24.38,24.29,24.29,300
1569939300000,24.195,24.205,24.13,24.205,3030
1569940200000,24.23,24.25,24.23,24.24,300
1569941100000,24.16,24.16,24.14,24.14,400
1569942000000,24.07,24.12,23.92,23.9524,7857
1569942900000,23.99,24.06,23.9546,24.06,1200
1569943800000,24.06,24.14,24.03,24.115,2500
1569944700000,24.08,24.16,24.07,24.07,734
1569945600000,24.08,24.08,24.02,24.05,500
