datetime,open,high,low,close,volume
1569504600000,13.57,13.61,13.57,13.6,5396
1569505500000,13.62,13.62,13.58,13.597,12987
1569506400000,13.6,13.62,13.6,13.61,9553
1569507300000,13.61,13.63,13.61,13.62,3000
1569508200000,13.63,13.64,13.62,13.63,4597
1569509100000,13.635,13.65,13.61,13.645,21216
1569510000000,13.65,13.65,13.631,13.631,4037
1569510900000,13.64,13.65,13.6377,13.6499,5142
1569511800000,13.65,13.675,13.65,13.67,3800
1569512700000,13.6649,13.67,13.6565,13.66,12125
1569513600000,13.66,13.67,13.66,13.67,867
1569514500000,13.665,13.67,13.65,13.66,3350
1569515400000,13.665,13.68,13.665,13.68,500
1569516300000,13.68,13.68,13.67,13.67,6359
1569517200000,13.68,13.68,13.665,13.67,3922
1569518100000,13.67,13.67,13.635,13.635,9231
1569519000000,13.63,13.645,13.63,13.64,4830
1569519900000,13.645,13.66,13.64,13.6519,4999
1569520800000,13.66,13.665,13.6532,13.6556,3029
1569521700000,13.66,13.675,13.645,13.65,13315
1569522600000,13.65,13.655,13.65,13.655,3569
1569523500000,13.65,13.65,13.64,13.65,6385
1569524400000,13.65,13.67,13.65,13.665,6900
1569525300000,13.665,13.675,13.665,13.665,4102
1569526200000,13.665,13.685,13.66,13.66,29914
1569527100000,13.665,13.68,13.66,13.66,28143
1569591000000,13.7,13.73,13.69,13.7147,50592
1569591900000,13.72,13.72,13.68,13.68,4674
1569592800000,13.6848,13.69,13.66,13.6624,19893
1569593700000,13.67,13.69,13.63,13.67,41922
1569594600000,13.6798,13.69,13.6798,13.69,3859
1569595500000,13.69,13.7,13.6867,13.7,5515
1569596400000,13.7,13.7,13.69,13.7,3866
1569597300000,13.7,13.71,13.7,13.71,5772
1569598200000,13.705,13.71,13.645,13.66,6414
1569599100000,13.66,13.67,13.635,13.67,7421
1569600000000,13.6629,13.67,13.65,13.65,6301
1569600900000,13.65,13.655,13.65,13.65,1899
1569601800000,13.655,13.66,13.655,13.66,1268
1569602700000,13.66,13.66,13.64,13.64,5143
1569603600000,13.65,13.6647,13.645,13.66,3953
1569604500000,13.66,13.66,13.65,13.65,1443
1569605400000,13.65,13.657,13.64,13.64,2510
1569606300000,13.6463,13.67,13.62,13.655,22784
1569607200000,13.65,13.66,13.645,13.6464,1248
1569608100000,13.6448,13.6501,13.64,13.64,2055
1569609000000,13.645,13.645,13.63,13.63,4189
1569609900000,13.64,13.645,13.63,13.63,3947
1569610800000,13.63,13.635,13.595,13.605,18237
1569611700000,13.6,13.61,13.59,13.59,6581
1569612600000,13.5901,13.609,13.58,13.6,20193
1569613500000,13.6001,13.635,13.6,13.63,38185
1569850200000,13.64,13.68,13.62,13.68,22631
1569851100000,13.69,13.71,13.68,13.71,26970
1569852000000,13.71,13.77,13.71,13.74,92445
1569852900000,13.74,13.74,13.71,13.73,26599
1569853800000,13.73,13.73,13.7,13.73,13437
1569854700000,13.73,13.73,13.71,13.72,12627
1569855600000,13.72,13.72,13.715,13.72,4000
1569856500000,13.72,13.72,13.69,13.7,14411
1569857400000,13.7,13.7,13.68,13.6876,5055
1569858300000,13.69,13.69,13.68,13.68,9324
1569859200000,13.68,13.69,13.665,13.67,4199
1569860100000,13.67,13.675,13.6601,13.67,9565
1569861000000,13.67,13.67,13.665,13.67,4357
1569861900000,13.665,13.665,13.64,13.65,10783
1569862800000,13.64,13.65,13.64,13.65,3492
1569863700000,13.65,13.65,13.64,13.64,21010
1569864600000,13.64,13.64,13.63,13.63,5147
1569865500000,13.64,13.64,13.6332,13.635,1575
1569866400000,13.633,13.6375,13.61,13.62,9314
1569867300000,13.62,13.62,13.61,13.62,4410
1569868200000,13.62,13.635,13.62,13.63,6329
1569869100000,13.62,13.64,13.62,13.63,4862
1569870000000,13.625,13.655,13.625,13.65,8139
1569870900000,13.65,13.675,13.64,13.655,4172
1569871800000,13.66,13.67,13.65,13.67,10960
1569872700000,13.67,13.675,13.63,13.63,59888
1569936600000,13.64,13.6692,13.6,13.62,18722
1569937500000,13.63,13.64,13.61,13.62,6011
1569938400000,13.61,13.61,13.53,13.53,17376
1569939300000,13.52,13.52,13.5,13.505,9413
1569940200000,13.5097,13.52,13.49,13.52,28455
1569941100000,13.51,13.54,13.51,13.53,8875
