datetime,open,high,low,close,volume
1569504600000,2.08,2.08,2.02,2.04,151476
1569505500000,2.04,2.05,2.02,2.02,159091
1569506400000,2.03,2.04,2.02,2.04,91917
1569507300000,2.04,2.05,2.02,2.03,91296
1569508200000,2.03,2.035,2.01,2.025,149602
1569509100000,2.02,2.04,2.02,2.03,134127
1569510000000,2.03,2.04,2.02,2.02,128894
1569510900000,2.02,2.03,2.02,2.03,87154
1569511800000,2.025,2.05,2.02,2.04,116319
1569512700000,2.04,2.04,2.03,2.04,37350
1569513600000,2.04,2.05,2.03,2.035,43383
1569514500000,2.035,2.05,2.03,2.045,56423
1569515400000,2.045,2.06,2.04,2.055,66388
1569516300000,2.055,2.06,2.05,2.055,119410
1569517200000,2.05,2.065,2.02,2.025,122178
1569518100000,2.02,2.03,1.99,2.0,470357
1569519000000,1.9978,2.01,1.98,1.99,242835
1569519900000,1.99,1.99,1.97,1.99,178650
1569520800000,1.985,1.99,1.97,1.97,149615
1569521700000,1.97,2.01,1.97,1.99,233565
1569522600000,1.99,2.0,1.985,1.995,134239
1569523500000,2.0,2.0,1.98,1.98,54795
1569524400000,1.985,1.99,1.97,1.97,115037
1569525300000,1.97,1.98,1.97,1.975,78685
1569526200000,1.97,1.99,1.97,1.97,170263
1569527100000,1.97,1.99,1.96,1.99,593984
1569591000000,1.97,2.0,1.95,2.0,424160
1569591900000,2.0,2.0,1.98,1.99,225205
1569592800000,1.99,2.01,1.965,2.0,362466
1569593700000,2.0,2.035,2.0,2.015,231947
1569594600000,2.02,2.03,2.0,2.0,177782
1569595500000,2.01,2.01,1.98,1.995,199614
1569596400000,2.0,2.01,1.98,1.98,170289
1569597300000,1.98,1.99,1.97,1.98,190880
1569598200000,1.98,2.0,1.96,1.965,288906
1569599100000,1.965,1.98,1.96,1.975,194360
1569600000000,1.975,2.0,1.97,1.995,216684
1569600900000,2.0,2.0,1.97,1.97,147963
1569601800000,1.97,1.98,1.95,1.96,223397
1569602700000,1.96,1.97,1.94,1.95,269227
1569603600000,1.95,1.96,1.94,1.955,101130
1569604500000,1.955,1.96,1.94,1.96,94917
1569605400000,1.96,1.96,1.94,1.945,195318
1569606300000,1.945,1.96,1.94,1.95,75906
1569607200000,1.955,1.96,1.94,1.955,141812
1569608100000,1.955,1.97,1.95,1.97,163864
1569609000000,1.96,1.97,1.95,1.95,79905
1569609900000,1.95,1.96,1.94,1.945,85474
1569610800000,1.945,1.95,1.94,1.94,105297
1569611700000,1.945,1.96,1.94,1.95,115523
1569612600000,1.9588,1.98,1.95,1.975,252454
1569613500000,1.975,1.99,1.96,1.97,730927
1569850200000,1.98,1.98,1.92,1.93,265255
1569851100000,1.93,1.95,1.92,1.935,137125
1569852000000,1.94,1.97,1.93,1.96,221532
1569852900000,1.96,1.97,1.95,1.96,58303
1569853800000,1.965,1.98,1.965,1.975,154875
1569854700000,1.97,2.01,1.97,1.993,121590
1569855600000,1.995,2.0,1.98,1.99,154328
1569856500000,1.985,1.99,1.965,1.965,164407
1569857400000,1.965,1.99,1.96,1.99,84522
1569858300000,1.99,1.995,1.98,1.99,102186
1569859200000,1.985,2.005,1.98,2.0,205710
1569860100000,2.0,2.02,1.9901,2.02,231395
1569861000000,2.015,2.02,2.01,2.02,191482
1569861900000,2.015,2.04,1.99,2.0,346913
1569862800000,2.0,2.0,1.99,2.0,55114
1569863700000,2.0,2.0,1.96,1.97,153316
1569864600000,1.975,1.98,1.96,1.975,140349
1569865500000,1.9738,1.99,1.96,1.97,153044
1569866400000,1.97,1.98,1.96,1.98,87595
1569867300000,1.98,1.99,1.97,1.97,128823
1569868200000,1.975,1.995,1.97,1.99,154819
1569869100000,1.99,1.995,1.98,1.99,172794
1569870000000,1.99,2.0,1.98,1.995,102417
1569870900000,2.0,2.005,1.98,1.995,278708
1569871800000,1.995,2.0,1.98,1.98,214109
1569872700000,1.98,1.99,1.95,1.96,955824
1569936600000,1.96,1.99,1.955,1.98,122514
1569937500000,1.99,2.0,1.97,1.98,91262
1569938400000,1.98,1.99,1.94,1.94,152725
1569939300000,1.94,1.97,1.94,1.95,82366
1569940200000,1.95,1.9598,1.92,1.93,158667
1569941100000,1.935,1.94,1.91,1.915,113830
1569942000000,1.9153,1.93,1.91,1.915,123978
1569942900000,1.92,1.92,1.9,1.91,151141
1569943800000,1.915,1.94,1.91,1.92,167578
1569944700000,1.92,1.93,1.91,1.915,69668
1569945600000,1.915,1.915,1.89,1.89,145116
1569946500000,1.89,1.91,1.87,1.89,275046
1569947400000,1.895,1.9,1.88,1.895,118595
1569948300000,1.89,1.9,1.87,1.88,99593
1569949200000,1.88,1.89,1.87,1.88,89248
1569950100000,1.87,1.88,1.86,1.88,93601
1569951000000,1.87,1.89,1.86,1.88,156485
1569951900000,1.88,1.885,1.855,1.86,167662
1569952800000,1.86,1.87,1.85,1.86,201952
1569953700000,1.86,1.88,1.86,1.875,77374
1569954600000,1.875,1.88,1.86,1.87,73368
1569955500000,1.87,1.88,1.86,1.865,51149
1569956400000,1.86,1.87,1.86,1.86,24242
1569957300000,1.86,1.87,1.86,1.86,30949
1569958200000,1.86,1.88,1.86,1.88,153826
1569959100000,1.88,1.88,1.86,1.86,633683
1570023000000,1.85,1.86,1.78,1.825,501969
1570023900000,1.825,1.84,1.79,1.8095,290849
1570024800000,1.81,1.86,1.805,1.84,255973
1570025700000,1.84,1.87,1.84,1.85,114795
1570026600000,1.85,1.86,1.82,1.85,185082
1570027500000,1.86,1.86,1.83,1.845,130799
1570028400000,1.84,1.86,1.825,1.83,201307
1570029300000,1.83,1.84,1.82,1.835,95899
1570030200000,1.83,1.835,1.79,1.81,261109
1570031100000,1.8,1.82,1.8,1.815,135346
1570032000000,1.815,1.82,1.81,1.81,30359
1570032900000,1.815,1.83,1.8,1.82,124104
1570033800000,1.82,1.825,1.81,1.81,80455
1570034700000,1.81,1.82,1.81,1.8172,49028
1570035600000,1.81,1.83,1.81,1.825,81550
1570036500000,1.82,1.83,1.81,1.82,187141
1570037400000,1.82,1.825,1.8,1.81,115774
1570038300000,1.805,1.82,1.8,1.81,66850
1570039200000,1.81,1.82,1.8,1.805,213600
1570040100000,1.81,1.82,1.805,1.815,79002
1570041000000,1.81,1.82,1.81,1.82,22656
1570041900000,1.815,1.82,1.81,1.81,20812
1570042800000,1.815,1.83,1.81,1.82,212968
1570043700000,1.82,1.825,1.81,1.815,70230
1570044600000,1.82,1.82,1.805,1.805,142867
1570045500000,1.805,1.83,1.8,1.82,668610
1570109400000,1.8,1.83,1.8,1.82,231765
1570110300000,1.82,1.8334,1.81,1.82,70511
1570111200000,1.815,1.82,1.8,1.8,430130
1570112100000,1.8,1.83,1.79,1.79,485444
1570113000000,1.795,1.81,1.78,1.795,320353
1570113900000,1.79,1.83,1.78,1.83,309504
1570114800000,1.825,1.86,1.82,1.855,300477
1570115700000,1.855,1.86,1.81,1.83,118962
1570116600000,1.83,1.835,1.81,1.82,68876
1570117500000,1.82,1.83,1.81,1.83,21067
1570118400000,1.83,1.85,1.82,1.845,108715
1570119300000,1.845,1.85,1.82,1.85,57568
1570120200000,1.85,1.865,1.85,1.86,116288
1570121100000,1.85,1.86,1.85,1.855,11807
1570122000000,1.855,1.86,1.84,1.86,115929
1570122900000,1.86,1.87,1.855,1.86,36766
1570123800000,1.86,1.89,1.86,1.875,90686
1570124700000,1.88,1.88,1.86,1.88,101241
1570125600000,1.875,1.875,1.86,1.865,29853
1570126500000,1.865,1.89,1.86,1.89,132068
1570127400000,1.8901,1.9,1.88,1.885,63085
1570128300000,1.885,1.9,1.88,1.88,94108
1570129200000,1.88,1.91,1.88,1.8903,138245
1570130100000,1.89,1.9,1.875,1.88,400006
1570131000000,1.875,1.88,1.86,1.875,155827
1570131900000,1.875,1.88,1.86,1.88,520025
1570195800000,1.89,1.92,1.87,1.89,112826
1570196700000,1.89,1.9,1.87,1.88,89090
1570197600000,1.88,1.905,1.87,1.88,96948
1570198500000,1.87,1.92,1.87,1.9,408068
1570199400000,1.9,1.9087,1.87,1.88,208036
1570200300000,1.875,1.9,1.87,1.885,107476
1570201200000,1.88,1.89,1.86,1.875,562545
1570202100000,1.875,1.88,1.84,1.86,545473
1570203000000,1.855,1.87,1.83,1.845,249278
1570203900000,1.8413,1.865,1.8308,1.85,569340
1570204800000,1.85,1.85,1.83,1.83,153323
1570205700000,1.8397,1.85,1.83,1.85,230511
1570206600000,1.85,1.86,1.84,1.845,168604
1570207500000,1.845,1.85,1.83,1.835,124947
1570208400000,1.835,1.85,1.83,1.84,152596
1570209300000,1.85,1.86,1.835,1.85,149273
1570210200000,1.8499,1.86,1.84,1.855,177829
1570211100000,1.855,1.86,1.845,1.855,108187
1570212000000,1.86,1.88,1.85,1.875,301336
1570212900000,1.875,1.88,1.87,1.875,187021
1570213800000,1.875,1.89,1.87,1.875,126018
1570214700000,1.875,1.88,1.85,1.875,235593
1570215600000,1.88,1.89,1.87,1.88,186193
1570216500000,1.88,1.89,1.855,1.8775,409011
1570217400000,1.88,1.89,1.87,1.88,226248
1570218300000,1.89,1.91,1.88,1.9,855970
1570455000000,1.9,1.9,1.855,1.88,106040
1570455900000,1.875,1.9,1.86,1.9,93664
1570456800000,1.9,1.92,1.88,1.92,139726
1570457700000,1.92,1.925,1.9,1.915,207238
1570458600000,1.92,1.93,1.89,1.91,126266
1570459500000,1.9,1.93,1.9,1.92,68156
1570460400000,1.9149,1.94,1.91,1.91,168651
1570461300000,1.915,1.93,1.9,1.92,107610
1570462200000,1.92,1.92,1.9,1.91,124712
1570463100000,1.92,1.92,1.89,1.91,403394
1570464000000,1.91,1.92,1.9,1.905,83876
1570464900000,1.9,1.92,1.9,1.915,65385
1570465800000,1.91,1.92,1.91,1.91,109712
1570466700000,1.91,1.92,1.89,1.905,217302
1570467600000,1.91,1.92,1.9,1.91,268362
1570468500000,1.915,1.915,1.89,1.9,81167
1570469400000,1.895,1.92,1.89,1.91,86275
1570470300000,1.91,1.92,1.89,1.895,135744
1570471200000,1.895,1.91,1.89,1.91,137700
1570472100000,1.905,1.92,1.9,1.9,252467
1570473000000,1.9,1.91,1.89,1.91,169268
1570473900000,1.9,1.91,1.89,1.91,155999
1570474800000,1.91,1.91,1.9,1.905,57899
1570475700000,1.9,1.92,1.9,1.91,141513
1570476600000,1.91,1.92,1.9,1.915,344445
1570477500000,1.91,1.92,1.9,1.9,592189
1570541400000,1.87,1.88,1.85,1.88,169675
1570542300000,1.88,1.88,1.85,1.865,49429
1570543200000,1.86,1.89,1.86,1.885,107107
1570544100000,1.885,1.9,1.87,1.88,166055
1570545000000,1.88,1.89,1.86,1.87,89403
1570545900000,1.88,1.905,1.8706,1.89,79758
1570546800000,1.89,1.89,1.88,1.89,68671
1570547700000,1.885,1.9,1.885,1.9,81297
1570548600000,1.8955,1.92,1.89,1.91,181289
1570549500000,1.91,1.92,1.9,1.91,328120
1570550400000,1.91,1.92,1.89,1.89,212866
1570551300000,1.9,1.92,1.89,1.91,137432
1570552200000,1.91,1.92,1.9,1.91,88331
1570553100000,1.92,1.93,1.9,1.92,321860
1570554000000,1.93,1.93,1.91,1.91,247901
1570554900000,1.915,1.93,1.91,1.92,61497
1570555800000,1.92,1.925,1.91,1.92,131688
1570556700000,1.92,1.93,1.9173,1.925,47644
1570557600000,1.925,1.93,1.92,1.93,52660
1570558500000,1.925,1.93,1.92,1.925,37698
1570559400000,1.93,1.96,1.93,1.94,317837
1570560300000,1.94,1.95,1.91,1.93,253650
1570561200000,1.93,1.94,1.91,1.92,190663
1570562100000,1.92,1.93,1.91,1.92,171617
1570563000000,1.91,1.93,1.91,1.915,229363
1570563900000,1.91,1.9189,1.9,1.9,356411
1570627800000,1.94,1.94,1.9092,1.93,148112
1570628700000,1.93,1.93,1.91,1.92,33778
1570629600000,1.92,1.93,1.91,1.91,104526
